Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
SP117655	1:Del:C:0	0.016060800008427214	0.09716440961304355	0.8867747903785291	0.0	0.0
SP117655	1:Del:C:1	0.00846572664255814	0.05062378381287405	0.9409104895445678	0.0	0.0
SP117655	1:Del:C:2	0.02315032436393096	0.030630093966414716	0.9462195816696543	0.0	0.0
SP117655	1:Del:C:3	0.1005178348730513	0.041079144619648726	0.8584030205073	0.0	0.0
SP117655	1:Del:C:4	0.36519010985418704	0.02765066046149087	0.6071592296843221	0.0	0.0
SP117655	1:Del:C:5	0.8808696210252727	0.019653890459038658	0.09947648851568877	0.0	0.0
SP117655	1:Del:T:0	0.013062691921951468	0.04626252619701687	0.9406747818810316	0.0	0.0
SP117655	1:Del:T:1	0.02000791114739328	0.06242188229089725	0.9175702065617094	0.0	0.0
SP117655	1:Del:T:2	0.03579330965330478	0.045819030858347314	0.9183876594883479	0.0	0.0
SP117655	1:Del:T:3	0.15408115202543649	0.058459640890703345	0.7874592070838602	0.0	0.0
SP117655	1:Del:T:4	0.4329432551405565	0.0413538437941741	0.5257029010652695	0.0	0.0
SP117655	1:Del:T:5	0.9365034052421104	0.05357431366973621	0.009922281088153349	0.0	0.0
SP117655	1:Ins:C:0	0.05279399796976248	0.8755549521194208	0.07165104991081679	0.0	0.0
SP117655	1:Ins:C:1	0.023692044695579808	0.1916385672996982	0.7846693880047221	0.0	0.0
SP117655	1:Ins:C:2	0.025781080994452577	0.31024521872048944	0.663973700285058	0.0	0.0
SP117655	1:Ins:C:3	0.09140729348352662	0.1126652251838517	0.7959274813326216	0.0	0.0
SP117655	1:Ins:C:4	0.401535974695307	0.3547096430927172	0.24375438221197598	0.0	0.0
SP117655	1:Ins:C:5	0.4034642951508957	0.5354703711090305	0.06106533374007388	0.0	0.0
SP117655	1:Ins:T:0	0.06196997140840068	0.40476320745858485	0.5332668211330145	0.0	0.0
SP117655	1:Ins:T:1	0.005700769346526444	0.10728106319904217	0.8870181674544313	0.0	0.0
SP117655	1:Ins:T:2	0.10246607161704581	0.13401646198464476	0.7635174663983094	0.0	0.0
SP117655	1:Ins:T:3	0.0814152567224123	0.23169448096252285	0.6868902623150649	0.0	0.0
SP117655	1:Ins:T:4	0.11147462065984112	0.40580397667853635	0.48272140266162256	0.0	0.0
SP117655	1:Ins:T:5	0.17927118927094066	0.6970083945909099	0.1237204161381495	0.0	0.0
SP117655	2:Del:R:0	0.08128433514071598	0.09832709032622854	0.8203885745330555	0.0	0.0
SP117655	2:Del:R:1	0.10792450474401188	0.22588194942614162	0.6661935458298466	0.0	0.0
SP117655	2:Del:R:2	0.1526128383734957	0.11624252558080772	0.7311446360456966	0.0	0.0
SP117655	2:Del:R:3	0.7303123797947679	0.06514212663065842	0.20454549357457363	0.0	0.0
SP117655	2:Del:R:4	0.7377892563627912	0.004089187384162121	0.2581215562530465	0.0	0.0
