Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP117655	0	424	0	815	206	0	0	0	0	19
SP117556	85	106	307	170	38	0	23	44	0	13
SP117627	0	52	29	348	5	0	23	0	0	0
SP117775	0	273	0	612	66	0	31	0	0	0
SP117332	0	13	0	77	24	0	16	3	21	0
SP117712	11	0	112	0	195	0	18	106	75	10
SP117017	0	23	155	90	82	5	16	0	14	0
SP117031	24	191	411	93	43	0	42	71	11	56
SP117759	42	446	163	842	0	0	3	35	0	11
SP117621	0	133	139	429	133	0	16	0	0	17
SP117425	0	105	0	312	51	0	14	8	29	71
SP117930	225	143	903	0	129	0	24	204	0	22
SP99287	0	0	29	41	70	0	0	26	0	0
SP99293	2	0	40	0	170	0	0	69	29	4
SP99289	41	0	72	145	439	0	11	0	0	17
SP99297	0	1	3	0	4	3	0	0	9	3
SP99301	918	0	0	0	0	0	0	266	93	0
SP99305	0	5	45	46	54	1	15	34	60	5
SP99309	0	0	69	259	68	0	0	89	0	7
SP99313	15	0	58	0	241	31	186	0	13	0
SP99317	0	0	2	0	15	0	0	0	20	0
SP99321	15	26	72	0	42	0	8	29	54	0
SP99325	109501	16571	0	0	0	0	0	0	0	0
SP99329	0	0	0	0	47	0	390	60	23	0
SP99333	11	0	107	0	44	0	9	23	56	0
SP99337	37	0	180	135	54	0	9	12	0	13
SP99341	16	0	155	2	31	0	6	43	73	8
SP99345	0	0	0	22	26	0	7	0	0	0
SP99113	0	4	0	0	56	0	0	0	19	0
SP99185	0	4	39	0	357	0	0	33	0	0
SP99209	0	0	41	184	221	0	24	66	0	0
SP99213	7	101	234	0	59	2	6	0	120	8
SP99221	0	0	0	5	37	0	0	2	0	4
SP99225	0	0	30	0	52	0	12	57	42	4
SP99241	70	0	128	0	533	4	101	0	0	22
CPCT02020318T	0	123	140	63	0	47	6	62	42	19
CPCT02010377T	43	0	232	0	150	48	22	51	28	22
CPCT02060017T	42	26	250	0	0	48	30	0	266	15
CPCT02060166T	0	257	161	174	0	117	28	0	3	91
DRUP01080024T	7	0	17	0	0	31	0	63	0	208
CPCT02300029T	67	259	331	152	35	174	44	0	90	33
CPCT02130024T	79	45	168	59	35	113	14	0	44	33
CPCT02370015T	0	19	0	83	99	44	12	10	33	24
CPCT02080291T	0	66	195	0	23	21	9	24	57	18
CPCT02330082T	0	22	137	0	65	38	0	11	34	7
CPCT02130035T	0	294	329	0	47	125	36	0	127	26
CPCT02020667T	30	0	140	81	54	115	30	0	44	4
CPCT02190030T	0	82	172	118	263	80	31	0	0	18
CPCT02070304T	0	151	312	82	34	89	46	40	161	44
CPCT02230093T	63	331	267	0	44	74	42	125	169	0
CPCT02170024T	29	0	154	42	126	140	0	14	30	34
CPCT02050342T	0	100	280	0	94	124	6	70	135	75
CPCT02130064T	0	40	191	0	84	182	24	0	63	35
CPCT02130063T	0	779	95	0	33	185	201	835	0	23
CPCT02080208T	0	16	30	0	61	103	12	52	22	8
CPCT02130066T	0	389	156	647	42	47	0	40	0	11
CPCT02130067T	121	0	119	431	164	116	7	0	0	7
CPCT02100172T	0	30	37	30	0	115	2	55	0	8
CPCT02130084T	0	22	184	117	61	65	34	105	0	18
CPCT02060220T	58	4	225	0	90	198	21	112	0	2
CPCT02100169T	0	829	565	12	5	189	54	0	202	91
CPCT02080218T	142	312	638	108	82	201	60	0	106	31
CPCT02050332T	0	77	75	0	78	51	296	0	42	11
DRUP01080031T	40366	31686	0	0	0	0	0	0	0	0
CPCT02040245T	66	320	614	266	32	53	19	0	46	94
DRUP01050048T	79887	25937	4362	0	0	243	0	0	0	0
DRUP01010142T	39729	14405	721	0	0	0	0	0	0	0
CPCT02080224T	36	2	121	63	103	101	25	77	19	9
CPCT02260021T	14	13	139	0	75	95	0	8	70	3
CPCT02020762T	0	19	65	29	49	171	49	0	48	0
CPCT02130116T	0	0	189	0	27	40	16	127	45	36
CPCT02050342TII	0	98	277	0	88	48	5	75	136	67
CPCT02130138T	0	56	99	241	29	111	39	95	16	7
CPCT02130139T	0	234	253	135	26	117	20	0	0	268
CPCT02230115T	58	108	69	132	47	161	22	0	0	9
CPCT02010902T	26	13	506	62	0	153	20	0	62	2
CPCT02290056T	0	25	200	97	243	95	245	0	0	66
CPCT02130152T	25	9	60	0	90	65	20	0	0	8
DRUP01170003T	0	0	40	19	16	86	287	34	13	11
DRUP01010095T	0	53	719	0	0	58	19	0	135	21
DRUP01030024T	105	257	241	0	85	166	99	0	88	0
CPCT02040292T	100	0	259	39	34	381	88	0	77	0
DRUP01050035T	0	887	152	0	135	78	160	933	0	43
CPCT02020577T	0	36	198	0	121	154	41	0	56	13
CPCT02050263T	0	209	292	0	31	52	11	135	86	24
DRUP01010108T	0	2548	1668	57	48	130	28	415	212	309
DRUP01010109T	40	0	204	85	78	22	1	23	22	27
DRUP01010113T	0	37	93	0	409	51	196	0	169	24
CPCT02120059T	0	238	937	90	40	156	91	107	14	141
CPCT02170010T	0	5	45	46	96	192	136	54	0	27
CPCT02030398T	0	165	223	15	33	134	19	0	48	29
CPCT02050250T	132	91	217	0	48	60	13	0	0	27
CPCT02050076TII	0	307	488	0	3	96	22	78	162	28
CPCT02050182T	0	30	120	121	54	36	21	11	34	21
CPCT02070187T	0	64	393	53	22	109	17	0	12	30
CPCT02030373T	0	836	298	542	75	118	42	151	0	15
CPCT02020589T	0	30	76	159	0	134	356	62	0	15
CPCT02040154T	0	107	244	0	77	90	20	0	85	2
CPCT02050091T	5	11	68	41	39	44	13	43	5	15
CPCT02020406T	0	35	58	162	35	52	14	0	36	8
CPCT02020405T	0	143	414	132	0	92	193	0	0	4
CPCT02070052T	61	74	334	44	54	66	14	36	66	26
CPCT02060063T	124	63	101	79	0	175	1101	0	0	200
CPCT02230004T	0	69	189	234	53	29	16	98	0	19
CPCT02300006T	6	125	237	105	18	100	32	0	9	16
CPCT02080066T	0	89	44	121	32	14	4	44	13	12
CPCT02010492T	0	24	0	0	78	39	6	0	31	15
CPCT02020460T	0	10	60	0	34	56	21	0	77	3
DRUP01010019T	34	110	525	0	199	39	32	199	33	39
CPCT02050133T	0	382	567	0	9	48	26	93	17	113
CPCT02050144T	0	1484	924	81	0	88	33	76	144	449
CPCT02050286T	251	0	250	0	0	343	1034	149	50	154
CPCT02130006T	88	345	182	226	50	92	12	124	0	18
CPCT02130003T	18	42	75	0	52	90	41	40	46	2
CPCT02340039T	0	216	274	138	12	103	30	132	0	26
CPCT02230075T	7	153	44	92	0	45	17	5	9	2
CPCT02080169T	73	37	122	11	44	130	27	0	97	4
CPCT02150005T	0	22	0	177	85	88	19	23	1	18
WIDE01010522T	18	1	48	29	52	51	16	0	70	20
WIDE01010696T	14	4	75	0	64	15	7	11	77	26
