MutationType	ID83A	ID83B
1:Del:C:0	9.02E-05	1.00E-04
1:Del:C:1	5.77E-05	7.08E-05
1:Del:C:2	4.44E-05	4.25E-05
1:Del:C:3	3.03E-05	3.50E-05
1:Del:C:4	2.77E-05	2.77E-05
1:Del:C:5	2.16E-05	3.30E-05
1:Del:T:0	6.09E-05	7.69E-05
1:Del:T:1	5.04E-05	5.70E-05
1:Del:T:2	5.90E-05	6.15E-05
1:Del:T:3	5.82E-05	6.63E-05
1:Del:T:4	5.46E-05	5.27E-05
1:Del:T:5	1.19E-04	1.25E-04
1:Ins:C:0	2.75E-05	3.96E-05
1:Ins:C:1	2.10E-05	2.76E-05
1:Ins:C:2	1.47E-05	1.70E-05
1:Ins:C:3	1.47E-05	2.01E-05
1:Ins:C:4	9.07E-06	1.84E-05
1:Ins:C:5	1.98E-05	4.16E-05
1:Ins:T:0	3.43E-05	3.96E-05
1:Ins:T:1	4.26E-05	4.69E-05
1:Ins:T:2	2.74E-05	3.13E-05
1:Ins:T:3	2.20E-05	3.26E-05
1:Ins:T:4	2.15E-05	2.97E-05
1:Ins:T:5	2.23E-04	1.98E-04
2:Del:R:0	3.62E-05	4.75E-05
2:Del:R:1	3.85E-05	5.15E-05
2:Del:R:2	2.38E-05	3.21E-05
2:Del:R:3	1.50E-05	2.10E-05
2:Del:R:4	8.37E-06	1.52E-05
2:Del:R:5	1.50E-05	2.91E-05
3:Del:R:0	2.75E-05	2.91E-05
3:Del:R:1	3.52E-05	4.69E-05
3:Del:R:2	1.56E-05	2.52E-05
3:Del:R:3	9.64E-06	1.32E-05
3:Del:R:4	5.55E-06	9.57E-06
3:Del:R:5	5.96E-06	8.45E-06
4:Del:R:0	2.54E-05	3.00E-05
4:Del:R:1	3.22E-05	4.42E-05
4:Del:R:2	1.67E-05	2.35E-05
4:Del:R:3	1.06E-05	1.60E-05
4:Del:R:4	4.76E-06	9.44E-06
4:Del:R:5	4.58E-06	6.88E-06
5:Del:R:0	1.23E-04	9.37E-05
5:Del:R:1	2.75E-05	3.02E-05
5:Del:R:2	8.45E-06	1.45E-05
5:Del:R:3	4.24E-06	7.41E-06
5:Del:R:4	1.86E-06	3.34E-06
5:Del:R:5	8.96E-07	1.50E-06
2:Ins:R:0	3.29E-05	4.08E-05
2:Ins:R:1	1.77E-05	2.67E-05
2:Ins:R:2	1.32E-05	1.89E-05
2:Ins:R:3	1.04E-05	1.67E-05
2:Ins:R:4	7.97E-06	1.84E-05
2:Ins:R:5	2.37E-05	4.69E-05
3:Ins:R:0	2.09E-05	2.48E-05
3:Ins:R:1	1.56E-05	2.39E-05
3:Ins:R:2	9.42E-06	1.07E-05
3:Ins:R:3	3.42E-06	3.84E-06
3:Ins:R:4	3.39E-06	5.22E-06
3:Ins:R:5	6.06E-06	1.17E-05
4:Ins:R:0	2.38E-05	3.04E-05
4:Ins:R:1	1.59E-05	2.51E-05
4:Ins:R:2	7.92E-06	1.02E-05
4:Ins:R:3	3.54E-06	8.47E-06
4:Ins:R:4	4.92E-06	7.95E-06
4:Ins:R:5	4.99E-06	1.20E-05
5:Ins:R:0	9.13E-05	1.11E-04
5:Ins:R:1	3.77E-05	4.05E-05
5:Ins:R:2	1.01E-05	1.21E-05
5:Ins:R:3	4.70E-06	6.82E-06
5:Ins:R:4	2.01E-06	5.31E-06
5:Ins:R:5	3.96E-06	5.41E-06
2:Del:M:1	3.67E-05	4.76E-05
3:Del:M:1	2.74E-05	3.05E-05
3:Del:M:2	3.34E-05	3.74E-05
4:Del:M:1	3.01E-05	3.35E-05
4:Del:M:2	2.88E-05	3.87E-05
4:Del:M:3	2.96E-05	3.03E-05
5:Del:M:1	1.58E-04	7.52E-05
5:Del:M:2	1.92E-04	9.58E-06
5:Del:M:3	1.53E-04	4.92E-06
5:Del:M:4	1.01E-04	4.85E-06
5:Del:M:5	9.66E-05	2.56E-05
