MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	1.35E-04	4.52E-04	8.54E-04	2.71E-03	1.14E-03	2.22E-03	1.86E-03	3.26E-03	6.38E-04	2.04E-03	3.97E-03	4.32E-03	4.94E-03	1.46E-03	3.82E-03
1:Del:C:1	5.22E-05	1.97E-04	5.09E-04	1.79E-03	1.12E-03	1.60E-03	8.78E-04	1.90E-03	3.47E-04	1.04E-03	1.68E-03	2.64E-03	2.25E-03	9.57E-04	1.28E-03
1:Del:C:2	5.15E-05	1.69E-04	1.79E-04	8.08E-04	3.54E-04	5.90E-04	4.70E-04	8.00E-04	2.19E-04	7.59E-04	1.36E-03	1.03E-03	1.60E-03	6.15E-04	5.81E-04
1:Del:C:3	1.34E-04	3.69E-05	3.21E-04	2.01E-03	1.31E-03	1.16E-03	3.25E-04	1.01E-03	1.49E-04	3.85E-04	6.66E-04	1.29E-03	1.03E-03	2.34E-04	7.77E-04
1:Del:C:4	5.04E-04	3.79E-05	6.65E-04	4.84E-03	1.84E-03	1.85E-03	2.21E-04	1.13E-03	1.12E-04	2.64E-04	5.86E-04	8.59E-04	7.92E-04	1.17E-04	2.14E-03
1:Del:C:5	1.42E-03	2.73E-04	5.34E-04	9.04E-03	1.93E-03	6.14E-03	2.18E-04	1.49E-03	7.47E-05	1.89E-05	1.10E-04	4.15E-04	5.31E-04	5.05E-04	4.38E-03
1:Del:T:0	3.39E-05	7.82E-05	9.27E-04	8.20E-04	5.72E-04	2.08E-03	7.21E-04	2.13E-03	3.77E-04	1.24E-03	2.51E-03	3.04E-03	1.42E-03	7.49E-04	2.30E-03
1:Del:T:1	7.33E-05	2.22E-04	4.40E-04	9.71E-04	8.36E-04	1.36E-03	2.23E-04	1.43E-03	2.48E-04	9.10E-04	1.58E-03	2.24E-03	1.08E-03	7.38E-04	1.10E-03
1:Del:T:2	4.21E-05	3.16E-04	3.41E-03	1.01E-03	9.31E-04	1.56E-03	5.30E-04	1.42E-03	2.91E-04	9.52E-04	2.07E-03	2.39E-03	1.11E-03	7.99E-04	2.71E-03
1:Del:T:3	4.13E-04	8.14E-04	6.08E-03	1.62E-03	1.06E-03	2.81E-03	5.46E-04	8.25E-04	3.27E-04	7.01E-04	1.96E-03	2.18E-03	9.69E-04	6.76E-04	6.06E-03
1:Del:T:4	1.09E-03	1.88E-03	8.56E-03	3.12E-03	4.70E-04	2.80E-03	7.18E-05	1.40E-03	4.22E-04	5.09E-04	5.71E-04	1.19E-03	9.55E-04	6.14E-04	8.34E-03
1:Del:T:5	5.09E-03	2.68E-03	1.09E-02	1.55E-02	5.77E-03	1.64E-02	7.42E-04	7.59E-03	1.37E-03	2.21E-03	4.84E-03	1.03E-02	5.37E-03	2.09E-03	2.50E-02
1:Ins:C:0	9.02E-05	6.35E-04	8.40E-05	1.69E-04	2.44E-04	1.17E-04	1.18E-05	5.70E-04	2.12E-04	1.05E-04	3.44E-04	5.44E-04	2.42E-04	3.57E-03	4.30E-04
1:Ins:C:1	1.07E-05	5.44E-05	1.42E-05	4.52E-04	5.20E-04	2.24E-04	3.41E-04	4.35E-04	1.09E-04	3.17E-04	4.96E-04	5.68E-04	5.45E-04	8.86E-04	2.64E-04
1:Ins:C:2	9.71E-06	4.83E-05	5.02E-05	1.09E-04	2.14E-04	1.54E-04	2.04E-04	2.51E-04	9.97E-05	2.45E-04	3.17E-04	2.38E-04	2.82E-04	4.19E-04	1.79E-04
1:Ins:C:3	2.52E-05	2.68E-05	3.66E-05	3.48E-04	6.64E-04	1.85E-04	2.37E-04	1.48E-04	1.65E-05	2.23E-04	1.30E-04	5.08E-04	5.27E-04	5.00E-04	3.26E-04
1:Ins:C:4	2.73E-04	2.83E-05	1.87E-04	1.04E-03	2.84E-03	4.95E-04	1.33E-04	4.00E-04	3.25E-05	1.90E-04	1.71E-04	4.77E-04	1.24E-03	4.46E-04	1.70E-03
1:Ins:C:5	5.33E-04	3.81E-04	7.91E-04	4.35E-03	1.05E-02	3.44E-03	4.70E-04	1.90E-03	6.25E-05	3.89E-04	1.36E-04	2.08E-03	2.70E-03	1.60E-03	4.40E-03
1:Ins:T:0	1.52E-04	2.54E-04	1.86E-04	7.07E-04	4.44E-04	9.74E-04	5.81E-04	7.10E-04	2.04E-04	5.10E-04	4.97E-04	7.55E-04	1.50E-03	1.34E-03	7.57E-04
1:Ins:T:1	3.00E-05	1.42E-04	1.21E-04	1.09E-03	1.58E-03	4.05E-04	6.87E-04	1.54E-03	1.69E-04	1.21E-03	1.15E-03	1.31E-03	3.84E-03	1.13E-03	7.63E-04
1:Ins:T:2	2.42E-05	2.05E-04	2.61E-04	1.50E-03	2.53E-03	6.03E-04	3.34E-04	7.33E-04	1.05E-04	9.07E-04	5.67E-04	8.14E-04	3.41E-03	9.34E-04	1.93E-03
1:Ins:T:3	7.30E-05	2.49E-04	3.19E-04	6.10E-04	1.30E-03	4.50E-04	7.00E-05	5.98E-04	3.51E-05	6.46E-04	5.30E-04	6.21E-04	1.54E-03	5.83E-04	1.04E-03
1:Ins:T:4	2.27E-04	8.73E-04	8.54E-04	7.46E-04	1.70E-03	8.07E-04	1.94E-04	8.92E-04	2.79E-05	2.45E-04	1.59E-04	6.80E-04	1.19E-03	3.27E-04	1.01E-03
1:Ins:T:5	3.07E-03	5.32E-03	1.59E-02	1.71E-02	2.22E-02	6.26E-03	4.36E-03	2.13E-02	1.48E-03	3.63E-03	3.24E-03	7.84E-03	8.19E-03	4.84E-03	8.15E-03
2:Del:R:0	1.22E-04	5.36E-05	9.25E-05	7.04E-04	4.99E-04	9.75E-04	3.91E-04	1.15E-03	1.94E-04	6.32E-04	9.71E-04	1.40E-03	1.17E-03	5.93E-04	1.07E-03
2:Del:R:1	1.25E-04	3.23E-04	5.35E-04	1.57E-03	1.49E-03	1.67E-03	5.88E-04	2.88E-03	2.10E-04	6.65E-04	1.32E-03	2.40E-03	9.95E-04	9.82E-04	2.56E-03
2:Del:R:2	2.03E-04	9.12E-05	2.39E-04	4.92E-04	6.43E-04	7.03E-04	3.11E-04	8.78E-04	8.19E-05	3.49E-04	5.19E-04	7.95E-04	4.51E-04	3.89E-04	6.78E-04
2:Del:R:3	2.33E-03	3.80E-05	2.34E-04	2.93E-03	3.90E-03	4.03E-03	2.14E-04	3.16E-04	7.17E-05	8.22E-05	1.71E-04	4.37E-04	2.79E-03	8.17E-05	4.99E-03
2:Del:R:4	8.91E-04	2.31E-05	1.28E-04	1.22E-03	1.42E-04	3.01E-03	5.81E-05	1.60E-04	3.51E-05	1.08E-05	0.00E+00	2.71E-04	2.90E-04	1.12E-04	1.62E-03
2:Del:R:5	1.33E-03	1.58E-05	3.46E-04	1.94E-03	8.60E-04	1.12E-02	1.80E-04	1.66E-04	3.47E-08	1.71E-05	1.01E-04	2.82E-04	7.93E-05	1.53E-04	5.26E-03
3:Del:R:0	3.46E-05	3.78E-05	1.65E-04	1.28E-04	6.02E-05	5.01E-04	3.90E-04	3.45E-04	1.13E-04	4.69E-04	4.75E-04	4.85E-04	2.51E-04	2.73E-04	4.14E-04
3:Del:R:1	1.33E-04	1.94E-04	3.47E-04	1.66E-03	1.74E-03	6.75E-04	3.21E-04	3.22E-03	2.00E-04	5.44E-04	1.32E-03	3.07E-03	1.14E-03	5.36E-04	2.38E-03
3:Del:R:2	9.71E-05	2.96E-05	7.46E-05	6.78E-04	6.98E-04	3.82E-04	2.59E-04	9.89E-04	7.72E-05	1.49E-04	3.79E-04	1.05E-03	2.74E-04	1.95E-04	5.87E-04
3:Del:R:3	6.16E-05	3.07E-05	6.05E-05	1.79E-04	1.07E-04	2.99E-04	1.67E-04	3.21E-04	1.47E-05	1.95E-05	1.49E-04	3.17E-04	1.85E-04	1.86E-04	1.98E-04
3:Del:R:4	5.43E-05	4.73E-06	1.61E-04	1.67E-04	1.37E-04	2.98E-04	5.90E-06	3.72E-04	2.16E-05	2.72E-05	2.80E-04	2.87E-04	2.00E-04	1.51E-09	1.28E-04
3:Del:R:5	3.78E-05	1.86E-05	1.41E-04	1.42E-04	1.24E-04	5.99E-04	0.00E+00	2.09E-04	0.00E+00	5.26E-06	2.88E-04	3.28E-04	7.44E-10	6.06E-06	2.59E-04
4:Del:R:0	1.96E-05	8.52E-06	5.36E-05	3.88E-04	9.77E-05	1.50E-04	3.20E-04	3.80E-04	1.06E-04	4.01E-04	1.88E-04	4.25E-04	6.76E-04	3.13E-04	1.04E-04
4:Del:R:1	1.37E-04	1.95E-04	5.00E-04	9.00E-04	9.04E-04	8.27E-04	4.62E-04	1.82E-03	1.54E-04	2.57E-04	8.78E-04	1.62E-03	4.22E-04	5.60E-04	1.57E-03
4:Del:R:2	5.61E-05	5.32E-05	6.90E-05	2.06E-04	2.85E-04	3.14E-04	2.20E-04	6.70E-04	9.44E-05	1.11E-04	3.74E-04	6.43E-04	2.76E-04	2.40E-04	4.18E-04
4:Del:R:3	4.37E-05	2.85E-06	7.58E-05	2.16E-04	1.38E-04	4.48E-04	1.85E-05	4.11E-04	4.65E-05	3.05E-05	2.14E-04	4.22E-04	8.89E-05	1.08E-05	3.27E-04
4:Del:R:4	1.64E-05	2.03E-06	1.81E-04	1.51E-04	1.39E-04	2.83E-04	5.03E-05	2.74E-04	3.12E-05	7.17E-06	2.69E-04	2.97E-04	7.56E-05	4.00E-05	1.13E-04
4:Del:R:5	2.03E-05	5.69E-06	6.94E-05	7.70E-05	9.77E-05	4.03E-04	0.00E+00	4.02E-05	2.53E-05	2.20E-05	3.67E-05	7.35E-05	1.26E-05	3.13E-09	1.33E-04
5:Del:R:0	1.00E-05	6.94E-05	1.81E-04	9.06E-04	3.33E-04	6.84E-05	1.52E-03	1.21E-03	5.50E-04	2.06E-03	9.93E-04	1.26E-03	1.06E-03	3.59E-05	5.29E-04
5:Del:R:1	7.67E-06	8.24E-05	1.59E-04	2.88E-04	1.84E-04	4.67E-04	3.97E-04	6.41E-04	1.22E-04	1.29E-04	6.68E-04	6.63E-04	6.14E-04	3.60E-04	5.79E-04
5:Del:R:2	8.68E-06	5.94E-06	5.24E-05	7.77E-05	1.21E-04	1.19E-04	1.98E-04	2.01E-04	4.77E-05	4.01E-05	3.45E-05	2.39E-04	1.37E-04	7.83E-05	1.79E-04
5:Del:R:3	2.37E-05	0.00E+00	3.13E-05	7.08E-05	5.60E-05	8.08E-05	8.04E-05	1.09E-04	2.84E-05	4.65E-05	4.60E-05	1.20E-04	1.46E-04	8.52E-10	9.58E-05
