Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP18310	4.16E+02	4.82E+02	2.45E+02	1.25E+02	3.95E+00	8.50E-01
SP17172	1.02E+02	1.29E+02	2.15E+01	3.17E+01	2.16E+00	0.00E+00
SP96133	2.11E+02	3.12E+02	1.17E+02	1.34E+02	2.88E+00	3.46E+00
SP110242	3.13E+02	3.74E+02	1.97E+02	9.72E+01	5.45E+00	0.00E+00
SP114330	2.52E+00	1.22E+01	5.13E+00	1.65E+01	5.87E-01	1.74E+00
SP21017	3.13E+02	4.25E+02	1.82E+02	1.50E+02	4.37E+00	1.12E+00
SP22383	2.14E+02	3.64E+02	1.26E+02	1.88E+02	2.93E+00	3.18E+00
SP81312	1.61E+01	6.78E+01	1.93E+00	7.33E+01	3.67E+00	5.01E+00
SP22031	6.20E+00	1.46E+01	2.17E+00	1.65E+01	1.63E+00	9.47E-01
SP96112	1.75E+00	8.24E+00	4.44E+00	1.27E+01	2.81E-01	1.41E+00
SP19215	2.12E+02	3.70E+02	1.41E+02	1.99E+02	2.27E+00	1.37E+00
SP96120	3.64E+00	2.22E+01	9.79E+00	3.34E+01	1.50E+00	1.91E+00
SP16886	9.50E+00	2.18E+01	3.73E-01	2.23E+01	3.63E+00	3.62E+00
SP96124	4.72E+00	2.62E+01	8.39E+00	3.82E+01	4.91E-01	1.65E+00
SP19295	8.11E+00	1.50E+01	3.94E+00	1.74E+01	1.70E+00	1.61E+00
SP19670	3.12E+00	1.92E+01	6.34E+00	2.74E+01	5.29E-01	1.24E+00
SP17905	8.84E+01	5.42E+02	1.59E+00	6.61E+02	9.55E+00	4.18E+01
SP16934	3.10E+00	1.06E+01	5.53E+00	1.74E+01	1.62E+00	1.76E+00
SP20993	4.84E+00	2.52E+01	8.41E+00	3.69E+01	1.50E+00	1.89E+00
SP19983	5.49E+00	2.40E+01	1.25E+01	4.05E+01	1.87E+00	1.74E+00
SP18121	2.43E+02	3.84E+02	1.31E+02	1.52E+02	7.30E+00	0.00E+00
SP96122	6.26E+00	3.49E+01	1.23E+01	5.23E+01	9.78E-01	1.36E+00
SP119755	4.42E+00	1.21E+01	6.72E+00	2.05E+01	1.29E+00	2.17E+00
SP96126	7.71E+00	4.39E+01	1.05E+01	6.07E+01	8.15E-01	1.94E+00
SP19606	2.28E+00	3.18E+00	2.42E+00	3.85E+00	1.29E+00	2.07E+00
SP96118	2.48E+01	6.02E+01	2.81E+01	5.06E+01	0.00E+00	2.55E+00
SP21528	3.10E+00	1.71E+01	5.79E+00	2.44E+01	7.83E-01	1.29E+00
SP21400	2.03E+01	4.42E+01	4.16E-01	5.04E+01	3.12E+00	3.01E+00
SP23078	1.93E+00	4.12E+00	5.24E+00	7.74E+00	2.12E+00	2.35E+00
SP17430	1.50E+00	4.74E+00	3.30E+00	6.80E+00	5.76E-01	1.62E+00
SP96110	3.02E+00	1.15E+01	6.70E+00	1.95E+01	1.02E+00	1.51E+00
SP18946	2.44E+01	1.51E+02	4.82E+00	1.78E+02	4.53E+00	1.04E+01
