MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	1.43E-03	1.50E-03	1.64E-03	2.47E-03	7.88E-03	2.46E-03	6.64E-03	5.24E-03	1.60E-03	5.12E-03	3.31E-03	7.24E-03	3.48E-03	4.85E-03	6.54E-03	4.05E-03
1:Del:C:1	1.09E-03	4.89E-04	8.73E-04	1.03E-03	4.32E-03	1.06E-03	4.35E-03	2.90E-03	7.16E-04	2.65E-03	1.18E-03	4.60E-03	2.53E-03	3.83E-03	3.61E-03	2.59E-03
1:Del:C:2	5.69E-04	7.40E-04	4.59E-04	4.91E-04	2.31E-03	1.02E-03	2.40E-03	1.67E-03	4.35E-04	1.99E-03	1.03E-03	2.36E-03	2.19E-03	1.36E-03	1.93E-03	1.45E-03
1:Del:C:3	7.09E-04	3.50E-04	1.31E-03	5.44E-04	2.05E-03	6.34E-04	1.47E-03	1.13E-03	1.46E-04	1.34E-03	1.62E-03	1.59E-03	1.15E-03	1.74E-03	2.79E-03	2.63E-03
1:Del:C:4	6.64E-04	4.23E-04	1.24E-03	5.36E-04	2.13E-03	4.83E-04	1.01E-03	1.19E-03	4.75E-04	1.32E-03	1.90E-03	2.32E-03	9.87E-04	9.53E-04	2.55E-03	1.87E-03
1:Del:C:5	2.21E-03	8.85E-04	3.65E-03	6.46E-04	2.00E-03	3.29E-04	1.25E-03	2.68E-03	5.70E-04	1.48E-03	3.14E-03	1.35E-03	3.64E-04	1.85E-03	8.10E-03	7.66E-03
1:Del:T:0	1.74E-03	1.02E-03	2.15E-03	2.72E-03	6.86E-03	1.69E-03	8.58E-03	7.31E-03	1.67E-03	3.75E-03	1.67E-03	3.54E-03	3.55E-03	3.39E-03	4.31E-03	3.55E-03
1:Del:T:1	6.32E-04	8.11E-04	8.59E-04	7.40E-04	2.76E-03	6.86E-04	2.36E-03	3.69E-03	9.94E-04	1.58E-03	1.21E-03	2.79E-03	1.04E-02	6.64E-04	2.27E-03	1.43E-03
1:Del:T:2	7.76E-04	1.10E-03	1.05E-03	8.40E-04	4.67E-03	7.58E-04	4.75E-03	3.17E-03	5.31E-04	1.67E-03	1.20E-03	3.92E-03	2.58E-03	3.32E-03	3.49E-03	2.44E-03
1:Del:T:3	1.02E-03	1.27E-03	1.91E-03	1.49E-03	5.79E-03	1.33E-03	4.67E-03	3.38E-03	5.96E-04	3.81E-03	3.62E-03	5.49E-03	2.63E-03	3.69E-03	4.39E-03	2.58E-03
1:Del:T:4	2.03E-03	2.15E-03	3.31E-03	1.74E-03	8.88E-03	1.93E-03	3.95E-03	5.96E-03	3.79E-04	5.27E-03	2.94E-03	3.27E-03	3.34E-03	2.73E-03	5.00E-03	3.82E-03
1:Del:T:5	1.41E-02	4.98E-03	1.31E-02	1.10E-02	4.76E-03	3.87E-03	5.67E-03	1.38E-02	1.17E-03	6.63E-03	1.11E-02	4.98E-03	2.04E-03	3.49E-03	6.38E-03	1.82E-02
1:Ins:C:0	7.75E-04	4.03E-04	1.70E-03	3.54E-04	3.21E-03	1.95E-04	1.92E-03	1.03E-02	9.31E-04	5.45E-04	3.15E-03	4.28E-03	1.65E-03	1.26E-09	6.19E-03	3.96E-03
1:Ins:C:1	3.83E-04	4.21E-04	4.08E-04	4.15E-04	9.30E-04	2.73E-04	1.28E-03	1.14E-03	4.39E-04	5.54E-04	6.06E-04	1.16E-03	5.25E-04	9.99E-04	1.09E-03	8.13E-04
1:Ins:C:2	3.59E-04	2.84E-04	6.10E-05	1.51E-04	3.91E-04	5.65E-04	1.09E-03	9.38E-04	2.37E-04	5.74E-04	3.99E-04	7.75E-04	6.68E-04	6.08E-04	8.33E-04	4.96E-04
1:Ins:C:3	1.18E-04	1.87E-04	1.86E-04	1.47E-04	2.53E-04	1.37E-04	1.90E-04	9.43E-04	3.60E-04	1.10E-04	4.14E-04	6.73E-04	6.06E-04	7.32E-05	5.24E-04	3.69E-04
1:Ins:C:4	3.03E-04	2.91E-04	4.53E-04	3.45E-04	4.83E-04	3.51E-04	1.90E-04	7.68E-04	3.17E-04	7.15E-04	8.01E-04	4.19E-04	2.03E-04	4.14E-04	1.06E-03	5.23E-04
1:Ins:C:5	1.46E-03	2.79E-03	1.96E-03	2.27E-03	1.23E-03	6.01E-04	1.79E-03	2.53E-03	1.11E-03	2.64E-03	5.48E-03	1.47E-03	3.81E-04	2.76E-04	5.64E-03	2.68E-03
1:Ins:T:0	1.53E-03	1.05E-03	5.75E-04	9.77E-04	1.28E-03	2.32E-04	9.73E-04	3.57E-03	8.11E-04	2.27E-03	1.67E-03	4.06E-03	2.66E-03	4.81E-04	3.35E-03	1.85E-03
1:Ins:T:1	2.48E-04	5.79E-04	1.78E-04	2.41E-04	1.76E-03	1.19E-03	1.45E-03	1.60E-03	6.16E-04	1.97E-03	1.08E-03	3.82E-03	2.56E-03	2.74E-03	2.92E-03	1.27E-03
1:Ins:T:2	3.74E-04	6.23E-04	2.49E-04	3.85E-04	1.29E-03	3.03E-04	1.46E-03	1.59E-03	1.66E-04	1.60E-03	1.17E-03	2.02E-03	8.57E-04	1.66E-03	2.25E-03	1.04E-03
1:Ins:T:3	2.88E-04	7.70E-04	4.02E-04	5.51E-04	1.03E-03	9.88E-04	7.70E-04	1.29E-03	4.28E-09	1.76E-03	1.41E-03	1.84E-03	1.22E-03	1.28E-03	3.25E-03	9.13E-04
1:Ins:T:4	3.57E-04	2.28E-03	6.95E-04	1.04E-03	2.44E-03	6.69E-04	1.09E-03	1.40E-03	1.69E-04	2.34E-03	1.85E-03	8.81E-04	5.64E-04	5.19E-04	2.80E-03	1.73E-03
1:Ins:T:5	8.79E-03	1.47E-02	7.51E-03	1.33E-02	1.57E-03	4.76E-03	1.73E-03	6.37E-03	2.02E-03	4.64E-03	1.87E-02	3.66E-03	2.08E-03	1.99E-03	1.32E-02	8.36E-03
2:Del:R:0	3.03E-04	5.82E-04	1.62E-04	3.18E-04	1.98E-03	1.37E-03	2.53E-03	1.20E-03	8.66E-04	3.28E-03	6.54E-04	3.02E-03	1.00E-03	7.39E-03	1.78E-03	1.11E-03
