MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
3:Ins:R:3	2.91E-05	4.46E-06	1.41E-05	2.27E-05	2.29E-05	3.28E-05	1.93E-05	1.44E-05	1.09E-05	3.90E-05	3.13E-05	6.80E-05	2.73E-05
3:Ins:R:4	2.37E-05	5.13E-06	3.23E-05	3.91E-05	4.79E-05	1.75E-05	6.49E-05	6.43E-05	1.64E-05	3.78E-05	5.89E-05	7.57E-05	4.05E-05
3:Ins:R:5	1.05E-04	1.12E-04	1.93E-04	6.61E-05	2.22E-04	8.25E-05	2.17E-04	1.85E-04	1.29E-04	1.84E-04	2.72E-04	4.23E-04	1.75E-04
4:Ins:R:0	2.34E-04	3.90E-06	5.23E-04	3.92E-04	2.41E-04	2.11E-05	1.89E-04	6.52E-05	1.21E-03	2.83E-04	6.88E-04	8.02E-04	3.84E-04
4:Ins:R:1	4.44E-04	3.77E-04	4.08E-04	2.25E-04	6.30E-04	7.03E-05	4.78E-04	1.22E-03	2.17E-04	3.19E-04	9.66E-04	9.52E-04	1.22E-03
4:Ins:R:2	7.44E-05	7.74E-06	5.96E-05	1.44E-04	1.02E-04	9.08E-05	1.33E-04	1.62E-04	1.60E-04	5.83E-05	1.17E-04	2.24E-04	1.53E-04
4:Ins:R:3	8.60E-05	2.78E-05	7.12E-05	7.88E-05	5.75E-05	1.10E-05	3.23E-05	6.04E-05	1.07E-04	1.12E-08	1.05E-04	1.48E-04	1.54E-04
4:Ins:R:4	9.90E-05	3.88E-05	9.93E-05	1.06E-04	1.20E-04	8.45E-08	1.50E-04	1.53E-04	8.92E-05	6.33E-05	2.12E-04	2.12E-04	2.41E-04
4:Ins:R:5	4.03E-04	9.71E-05	4.76E-04	1.93E-04	3.78E-04	4.61E-10	3.42E-04	3.52E-04	7.78E-05	6.12E-05	5.29E-04	6.31E-04	8.38E-04
5:Ins:R:0	1.69E-07	5.31E-08	1.68E-08	1.30E-06	6.32E-08	4.08E-07	3.56E-08	4.13E-08	3.36E-03	2.31E-08	2.65E-07	3.22E-07	1.21E-07
5:Ins:R:1	1.24E-03	7.25E-04	7.41E-04	3.00E-04	2.34E-03	3.53E-04	1.53E-03	2.52E-03	4.46E-04	1.85E-03	3.29E-03	3.01E-03	2.82E-03
5:Ins:R:2	5.45E-05	3.58E-05	4.81E-05	9.92E-05	1.01E-04	1.02E-04	1.92E-04	1.82E-04	1.73E-04	1.90E-04	1.48E-04	2.43E-04	1.40E-04
5:Ins:R:3	6.48E-05	1.42E-05	4.91E-05	6.35E-05	6.54E-05	3.33E-05	3.66E-05	1.83E-05	1.50E-04	4.48E-05	1.18E-04	1.09E-04	1.05E-04
5:Ins:R:4	4.16E-05	5.19E-05	3.31E-05	3.88E-05	6.88E-05	3.11E-06	9.66E-05	1.01E-04	3.32E-05	1.85E-05	1.38E-04	1.34E-04	8.54E-05
5:Ins:R:5	7.74E-05	2.11E-05	3.66E-05	4.28E-05	8.55E-05	0.00E+00	1.35E-04	7.99E-05	3.25E-05	5.71E-05	8.91E-05	1.84E-04	1.29E-04
