MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	0.010363440916407854	0.007009349267209472	0.012402565737138502	0.0064885880149086	0.17805846937000752	0.03556837473093765	0.09162581346987281	0.04909365819592495	0.020414363528834654	0.05446944228140637	0.04287679414730519	0.07125000668806024	0.04117667700222228
1:Del:C:1	0.004927294842345873	0.0023120822608325396	0.005373296792095061	0.002526737112093542	0.06036747454898432	0.016760489380103535	0.05130590526786363	0.022361323763616384	0.008616221395787972	0.047442922345362605	0.01858682449994376	0.04247205530642532	0.01131767729864805
1:Del:C:2	0.0032475079627329252	0.0019557629526389063	0.003434190527186729	0.0016249356491607615	0.02201833898667246	0.008546274092877866	0.02539097956570913	0.00694558672606945	0.0030584025041190442	0.026717445799149572	0.01042138545668422	0.013195909762289374	0.014020848337095231
1:Del:C:3	0.0038669029308948666	0.0014515448384918273	0.001791084183496423	0.00904607338947244	0.01346666379589692	0.011680686292238533	0.00621748736477457	0.009204124121461064	0.00045178348780609666	0.009255389436439145	0.00744829184259288	0.024017943104554434	0.006379145681748923
1:Del:C:4	0.002904328729070471	0.0033264341531526044	0.001304448314539286	0.00919527676176898	0.012817867011640373	0.0035025407528155483	0.006615077030037355	0.0035731618313002405	0.005181210047288118	0.009952174625650513	0.005065075533566983	0.012978622863895452	0.006259169778377327
1:Del:C:5	0.010335760343719186	0.004361833857271193	0.001708671267180364	0.030051100272488043	0.004767470332578796	0.0001736304482074047	0.003114087524027127	0.008210699826158817	0.005376224228519338	0.001784716149622909	0.013625594737412712	0.034314918844941075	0.01968501608716622
1:Del:T:0	0.013305543935784954	0.0006858781643677503	0.006391566321399296	0.004499056100576127	0.0850998133746907	0.00150772379769478	0.17891317561268807	0.020257226523244753	0.02306681127054617	0.043518851967528464	0.03685118505265564	0.025178671977482737	0.022587567646987737
1:Del:T:1	0.0016670111258399345	0.002317266610525337	0.0021558544239934463	0.0028554598589840907	0.01881738039607683	0.003917173108816314	0.013130007734781656	0.004978795321439975	0.010594545200061702	0.3234731806814671	0.007673915984460678	0.009600537045898819	0.005375828952645492
1:Del:T:2	0.006932514236395946	0.006006367966183462	0.006046441431099083	0.007115384747157805	0.07582966878078878	0.005111320800751855	0.07278151048347353	0.011565874954685569	0.0039216115664777364	0.03919601736590266	0.017471548071480356	0.03211833471432328	0.018057895142119376
1:Del:T:3	0.009132695106382016	0.012907034946838394	0.008740491132048191	0.01758682553539984	0.09439575946889818	0.01816334712988464	0.05214602894848212	0.01938854520441964	0.005017109379405155	0.038753191316500304	0.018710398509865625	0.044933653648768085	0.022057514335028828
1:Del:T:4	0.024062832668423653	0.017926296298683156	0.012432771058520302	0.038629648918285964	0.09867271448951215	0.021611915186513217	0.033633464926388114	0.024307053308875767	0.000502732104214374	0.014589595545548945	0.039103295583627184	0.025515830421040844	0.026219467371702193
1:Del:T:5	0.48829941913485525	0.06141497623529842	0.32534829162061213	0.6396091273427009	0.032652726558480935	0.013118841626785525	0.0446493694087565	0.04067970444157254	0.00848738191388236	0.005997357442975044	0.3412499492615461	0.026391075637657194	0.08215357980816407
1:Ins:C:0	0.006485809759407175	0.0016140613960268979	0.0029373619268262276	0.0032829867231362188	0.02214053686239197	0.0007341832468273423	0.00271900756605433	5.724720040234388e-09	0.016217799662464928	0.012398377254565957	0.04360342995160352	0.01528660625821729	0.025461183206496117
1:Ins:C:1	0.0026265453407540917	0.0011274977395078168	0.0016078832096332008	0.0011167940887753503	0.004865190805309105	0.0013283306213270408	0.008803813325857845	0.003834316587845592	0.005444854089192574	0.003551651884051239	0.005909561825137644	0.007615976855886402	0.003976918892294634
1:Ins:C:2	0.0010549666332994433	9.814925753744319e-05	0.0005295206909795525	0.0003929605276971415	0.0018194778614699203	0.0020274408667506805	0.00674975338892466	0.0017233843440772035	0.002803988103872257	0.004528440604917705	0.003032908753123138	0.004240688453128314	0.0027393524932563195
1:Ins:C:3	0.000712422355732869	0.000958512008943444	0.000390442730034124	0.0007760318246391762	0.00239275192344067	0.000631137113771274	0.0011623227642253652	0.0003796859341088066	0.015623939302749933	0.005227417105654304	0.003873197824473209	0.002181665340615382	0.0022549563113913253
1:Ins:C:4	0.0017091219063695461	0.001137970581803529	0.001350355761243236	0.004071814739436377	0.0022031955837499596	0.004101061286451113	0.0009982522094423984	0.0023105329281492004	0.005597007642510334	0.0006430454717150269	0.004480251113532745	0.0018393926417957119	0.00410131743976649
1:Ins:C:5	0.013350528354790185	0.027558856223639624	0.022037901860229567	0.018435224811719733	0.003475847870868165	0.004396818829266067	0.0010621413492481223	0.001972699971330485	0.012412106686375353	0.0014868790742184502	0.01576210043125798	0.010766282200456771	0.02181407934083836
1:Ins:T:0	0.004096564281509032	0.002892950223600792	0.008869774711783976	0.000970742060453631	0.0067369313441395205	0.0011559957258577924	0.004807494844524172	0.005765808493506484	0.015900673175664223	0.02828025344367461	0.02090015604383325	0.014824282050434477	0.01989138637552969
1:Ins:T:1	0.0020351969702824134	0.003351874508371111	0.0021648673355593928	0.0016376903078344186	0.013968919702456332	0.005674626017571427	0.014271175230496737	0.022967018166091292	0.007542316510225646	0.03793355222141372	0.006798263663076795	0.030613595638424158	0.010454063760698773
1:Ins:T:2	0.002696223641760298	0.004447569227195345	0.002690784130281827	0.0012941288686351981	0.007217420218512416	0.0026454966666642574	0.009719441603665472	0.005301400286261923	0.0011385492604912882	0.010099618773990642	0.00601082613622566	0.014026038689162306	0.011502403396734735
1:Ins:T:3	0.0017894947157765272	0.007487274640589021	0.004274537211313145	0.0025036775930493606	0.004280181392678059	0.004778491847025635	0.0034896825876785443	0.012044553018640727	4.641707091892044e-05	0.01522995957697276	0.006586932740174234	0.009146361635648645	0.008581786010881842
1:Ins:T:4	0.003980258444480569	0.03296210408676416	0.00644454940772448	0.004788378239708777	0.008713367306593228	0.0009766469621081341	0.0025972744258780265	0.0035570703599023547	0.00011521039220923512	0.002887917221102896	0.00781662749164525	0.00530373726021935	0.011007962507031835
1:Ins:T:5	0.2533220015093684	0.7210168322920799	0.432721688747406	0.12956080451564048	0.013347932163533187	0.03787466389018846	0.007924646623432636	0.0030871546741764178	0.019049442476352853	0.01354992761160247	0.04273787392025042	0.009967515641474165	0.2847829985618591
2:Del:R:0	0.0011104286726421719	0.00155242085653299	0.0009428320309157811	0.0010380586265910097	0.021180672970367596	0.0053333327012251176	0.021326318155042826	0.07686632576864212	0.01820240980712697	0.009234661415684969	0.0030269802310795057	0.04612649689544924	0.004134622639394365
2:Del:R:1	0.010957672895209498	0.0058147535778698516	0.01023321440530708	0.002862989312452555	0.018162760555860587	0.006574433923373135	0.005453361615072936	0.10567233428359031	0.001835599516702784	0.015437284802319482	0.02839269885327667	0.02017908201087266	0.029820706942118705
2:Del:R:2	0.004917640151907108	0.001532076073736448	0.002277665979345329	0.0009857673232909292	0.008312870936933905	0.005700735798454843	0.007141022522118874	0.023458691035630183	0.00399933194020349	0.006997535436821636	0.010105976531049237	0.00700186722970102	0.009410215043099015
2:Del:R:3	0.001822488383999712	2.88583138899412e-05	0.0004949979275988881	0.0030677550746440827	0.0020292794968537462	0.0015543714870182156	0.0016995148532441817	0.00808599464246072	0.001898517241463793	0.0016652265140146482	0.0030288936074674665	0.004366599259698205	0.0013391196301535046
2:Del:R:4	0.0008805944166191182	0.00011046018177594874	0.00026159044366689697	0.0024855473853654074	0.0011051186383918576	0.00022048513274057767	0.000976793022172444	0.0004395205803601243	0.0027336801022332224	0.0013213195333173645	0.001405571132291925	0.0024998465047166006	0.0012316108710592744
2:Del:R:5	0.001979937124145508	4.2927574394013844e-06	0.00030773461911891785	0.005805731049252288	0.0006719166013450816	1.6801883651851312e-06	0.00028219176785327705	0.00033343921862595495	0.014388575544508057	1.3894126595914713e-08	0.002762344783001396	0.004786761161933555	0.0018155370048323505
3:Del:R:0	0.0010884677758349426	0.00010837180896487553	0.0010697626294859219	0.000565443485029391	0.003828646393556028	0.006649081556927286	0.01264244142221287	0.007802158395857077	0.003186012759360892	0.0032452767922927705	0.003518951475562062	0.010027323487774993	0.0024687175448752895
3:Del:R:1	0.009593404005281627	0.009842270448425552	0.007684117271564901	0.0010304468556205392	0.00903991213417612	0.020238226523943012	0.03759153068531305	0.050211928614298816	0.0008389834835543297	0.0031193510998855345	0.01881633672885073	0.02358901625557337	0.02199680470803287
3:Del:R:2	0.003520710640164708	0.0016042868568911218	0.0027396531633348785	0.0005952382296624136	0.002395815672819026	0.008899706802158108	0.00435986268625129	0.017936215159224958	0.0038780086124324954	0.00031089320065802895	0.005727572704199701	0.007380909200537644	0.00785488142631948
