Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP85623	4.16E-01	3.81E-01	1.91E-01	3.09E-01	4.16E-01	9.10E-01	9.09E-01	1.09E+00	1.20E+00	7.53E-01	1.17E+00	3.66E-01	9.65E-01	4.73E-01	4.15E-01
SP85491	2.46E-01	1.81E-01	1.06E-01	0.00E+00	2.99E-01	1.64E+00	1.87E+00	1.67E+00	1.39E+00	2.26E+00	2.22E+00	6.25E-01	1.42E+00	1.52E-01	3.82E-01
SP87582	2.02E-01	1.76E-01	2.82E-01	2.25E-01	5.72E-01	8.15E-01	6.47E-01	9.50E-01	7.88E-01	9.36E-01	8.52E-01	1.41E+00	9.76E-01	8.50E-01	6.84E-01
SP89090	1.97E-01	3.82E-01	3.94E-01	3.19E-01	8.36E-01	6.11E-01	1.73E+00	1.16E+00	8.69E-01	7.98E-01	1.33E+00	1.40E+00	1.08E+00	2.02E-01	8.18E-01
SP85511	5.51E-01	9.16E-01	4.30E-01	5.18E-01	1.31E+00	2.49E+00	1.75E+00	8.32E-01	1.32E+00	2.83E+00	1.62E+00	2.11E+00	1.87E+00	4.96E-01	1.38E+00
SP85952	9.86E-02	9.52E-02	2.59E-01	1.96E-01	7.19E-01	1.28E+00	1.33E+00	6.33E-01	1.04E+00	1.26E+00	8.82E-01	7.86E-01	1.46E+00	2.50E-01	7.70E-01
SP85840	4.10E-01	4.04E-01	1.72E-01	0.00E+00	2.30E-01	7.60E-01	1.54E+00	1.22E+00	1.18E+00	1.44E+00	1.17E+00	5.64E-01	1.39E+00	1.02E+00	4.20E-01
SP87675	4.34E-01	5.94E-01	7.29E-01	0.00E+00	5.41E-01	6.75E-01	1.03E+00	6.49E-01	9.13E-01	8.59E-01	5.35E-01	5.91E-01	8.14E-01	7.60E-01	3.93E-01
SP85836	3.55E-01	8.51E-01	3.67E-01	2.89E-01	1.00E+00	1.28E+00	3.19E+00	1.57E+00	2.41E+00	1.99E+00	3.05E+00	1.22E+00	2.29E+00	6.61E-01	6.56E-01
SP120767	3.85E-01	7.36E-01	1.19E-01	5.30E-01	9.46E-01	1.61E+00	1.99E+00	1.54E+00	2.31E+00	1.86E+00	1.46E+00	1.20E+00	1.56E+00	4.93E-01	6.82E-01
SP105708	6.85E-01	7.03E-01	3.77E-01	0.00E+00	4.69E-01	1.11E+00	1.46E+00	1.29E+00	1.22E+00	1.69E+00	8.73E-01	1.06E+00	1.61E+00	6.33E-01	4.36E-01
SP85818	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SP105922	2.58E-01	1.58E-01	4.11E-02	0.00E+00	6.80E-02	7.18E-01	1.05E+00	1.48E+00	1.41E+00	8.29E-01	7.39E-01	4.73E-01	1.50E+00	1.52E-01	1.09E-01
SP86118	9.09E-01	6.51E-01	1.28E-01	0.00E+00	3.95E-01	1.24E+00	1.19E+00	1.86E+00	1.31E+00	1.78E+00	9.51E-01	6.49E-01	1.63E+00	3.99E-01	6.92E-01
SP86306	7.04E-01	7.62E-01	1.25E+00	0.00E+00	3.22E+00	1.64E+00	1.40E+00	2.38E+00	1.74E+00	1.66E+00	1.30E+00	3.14E+00	2.07E+00	0.00E+00	9.04E-01
SP87099	8.41E-01	1.06E+00	3.53E-01	2.82E-01	7.07E-01	1.10E+00	7.78E-01	1.64E+00	1.41E+00	9.53E-01	5.64E-01	1.85E+00	2.20E+00	8.28E-01	1.02E+00
SP87434	3.89E-01	5.08E-01	6.46E-01	0.00E+00	6.65E-01	7.86E-01	1.35E+00	8.60E-01	4.40E-01	1.53E+00	1.06E+00	4.32E-01	7.99E-01	5.83E-01	4.90E-01
SP85864	2.37E-01	3.80E-01	2.73E-01	1.68E-01	4.26E-01	1.92E-01	2.65E-01	1.88E-01	1.45E-01	2.06E-01	1.76E-01	3.71E-01	2.04E-01	5.04E-01	1.53E-01
SP105807	3.30E-01	4.39E-01	4.53E-01	0.00E+00	9.58E-01	1.33E+00	1.04E+00	1.47E+00	1.69E+00	1.13E+00	1.63E+00	1.44E+00	8.98E-01	2.00E-01	8.14E-01
SP89291	1.87E-01	2.33E-01	5.72E-01	0.00E+00	2.89E-01	6.69E-01	2.46E-01	8.86E-01	1.18E+00	4.08E-01	5.36E-01	6.50E-01	5.12E-01	6.59E-01	2.19E-01
SP88050	2.00E-01	1.68E-01	4.18E-01	0.00E+00	7.12E-01	8.55E-01	4.29E-01	9.64E-01	5.71E-01	4.35E-01	1.64E-01	9.89E-01	3.28E-01	6.28E-01	4.70E-01
SP88593	2.28E-01	3.03E-01	3.98E-01	1.80E-01	2.37E-01	5.53E-01	1.72E+00	7.17E-01	1.14E+00	9.57E-01	5.38E-01	5.58E-01	1.33E+00	1.05E+00	2.91E-01
SP88158	1.09E-01	8.95E-02	2.27E-01	0.00E+00	1.94E-01	2.44E-01	2.52E-01	8.13E-01	8.21E-01	1.88E-01	1.82E-01	5.42E-01	8.00E-01	3.12E-01	6.68E-02
SP87534	4.41E-01	8.36E-01	1.23E+00	6.50E-01	3.54E+00	3.05E+00	1.97E+00	1.57E+00	9.35E-01	1.66E+00	1.31E+00	3.51E+00	1.63E+00	8.98E-01	3.17E+00
SP88776	1.28E-01	1.60E-01	3.12E-01	0.00E+00	7.16E-01	1.47E+00	2.11E+00	1.06E+00	1.91E+00	1.59E+00	1.61E+00	1.05E+00	1.80E+00	2.10E-01	5.75E-01
SP85725	1.87E-01	3.55E-01	6.78E-01	0.00E+00	7.47E-01	1.49E+00	1.79E+00	8.47E-01	9.43E-01	1.01E+00	2.33E+00	1.01E+00	8.05E-01	2.00E-02	9.25E-01
SP86660	3.39E-01	5.68E-01	1.11E+00	2.60E-01	1.53E+00	1.72E+00	2.26E+00	1.44E+00	1.73E+00	1.52E+00	1.77E+00	2.35E+00	1.92E+00	1.07E+00	1.38E+00
SP87903	0.00E+00	0.00E+00	3.90E-01	0.00E+00	4.28E-01	8.40E-01	7.79E-01	5.98E-01	6.22E-01	1.06E+00	1.11E+00	8.16E-01	8.47E-01	3.72E-01	3.01E-01
SP88098	1.48E-01	5.55E-01	1.02E+00	8.00E-02	2.40E+00	3.42E+00	1.27E+00	1.70E+00	1.86E+00	1.22E+00	1.12E+00	2.23E+00	1.92E+00	3.52E-01	1.78E+00
SP85487	1.07E+00	2.49E+00	2.80E+00	2.86E-01	4.71E+00	3.16E+00	1.80E+00	1.62E+00	1.74E+00	2.60E+00	1.38E+00	3.55E+00	1.67E+00	5.43E-01	1.85E+00
SP105759	5.02E-01	3.94E-01	1.98E-01	2.94E-01	4.14E-01	4.61E-01	1.22E+00	8.46E-01	3.06E-01	1.04E+00	7.51E-01	7.06E-01	1.14E+00	5.61E-01	5.36E-01
SP86775	0.00E+00	2.00E-02	0.00E+00	1.71E-01	5.09E-02	1.37E-01	3.57E-01	2.45E-01	1.94E-01	6.03E-01	5.13E-01	1.29E-01	2.84E-01	4.62E-01	6.82E-02
SP88322	2.60E-01	4.53E-01	8.66E-01	0.00E+00	1.23E+00	1.06E+00	1.47E+00	1.50E+00	1.20E+00	9.49E-01	1.17E+00	1.50E+00	1.46E+00	8.00E-02	5.81E-01
SP85582	2.90E-01	6.19E-01	6.46E-01	0.00E+00	6.64E-01	6.33E-01	1.55E+00	6.11E-01	1.18E+00	9.08E-01	1.30E+00	8.28E-01	1.11E+00	1.04E+00	6.08E-01
SP87446	5.98E-01	1.27E+00	1.58E+00	3.08E-01	3.17E+00	2.49E+00	1.24E+00	2.17E+00	1.98E+00	1.41E+00	1.18E+00	3.13E+00	1.87E+00	9.39E-01	1.41E+00
SP87337	1.50E-01	1.44E-01	1.60E-01	0.00E+00	1.97E-01	2.53E-01	7.78E-01	5.62E-01	1.10E+00	3.57E-01	1.02E+00	4.67E-01	1.00E+00	5.23E-01	8.00E-02
