Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP95454	18048	2125	3838	3575	437	0	299	0	0	0	0	0	0	0	0	0
SP94741	37117	2708	7190	6097	300	963	757	0	0	0	0	0	0	0	0	0
SP90209	51774	57510	13493	4435	0	0	0	0	0	0	0	0	0	0	0	0
SP90989	40024	3837	2586	2989	0	886	303	0	0	3	0	0	0	0	0	0
SP93540	63673	2230	8221	8927	0	11480	1509	0	0	0	0	0	0	0	0	0
SP93227	52010	66310	0	0	0	0	0	11019	0	0	0	0	0	0	0	0
SP94348	35291	1694	5464	6335	0	1045	537	0	0	0	0	0	0	0	0	0
SP94588	9	67	84	0	17	0	0	13	127	4	38	42	32	33	0	67
SP90725	20	15	131	3	13	0	1	6	23	1	6	29	12	56	0	91
SP94236	29	14	33	0	0	0	12	0	213	8	27	42	105	28	0	0
SP93772	30	0	10	5	38	0	0	58	110	5	33	38	19	36	3	0
SP92195	29	0	91	2	60	0	0	132	24	7	47	41	61	13	7	0
SP89957	142	0	99	0	7	0	2	54	51	6	3	44	26	42	3	0
SP92268	92	44	58	2	43	0	0	0	118	4	5	46	25	0	0	1
SP92707	32	0	50	0	0	0	0	27	161	3	0	42	14	0	4	0
SP89687	97	0	57	0	0	0	0	43	100	0	51	37	102	4	9	0
SP90269	4	0	194	16	0	0	10	31	62	5	21	34	27	21	38	25
SP94933	23289	1424	12825	275	26026	0	0	0	0	42	0	0	0	0	405	0
SP95126	176	0	0	0	0	0	0	132	243	0	93	1	162	0	0	9
SP95646	39	7	96	1	17	0	7	88	75	5	24	36	94	3	13	0
SP89443	30	5	80	0	0	0	19	25	32	2	7	67	60	35	9	0
SP89651	24	0	38	6	0	0	1	27	51	1	40	26	50	4	15	0
SP94060	26	0	85	3	0	0	0	0	147	3	0	43	50	20	0	0
SP92787	11	0	25	0	0	0	1	45	79	1	19	60	33	0	11	7
SP92723	45	0	117	9	0	2	1	23	167	2	11	21	35	0	1	0
SP92364	37304	7091	4553	3801	6793	80	0	0	0	13	0	0	0	0	49	0
SP95406	8	38	3	7	0	7	0	28	118	0	8	46	12	6	5	18
SP91746	16	58	15	0	10	0	0	0	133	0	22	18	23	19	9	0
SP92332	31	162	2	5	0	0	0	51	89	0	124	22	207	2	0	25
SP91730	36	0	16	25	35	0	1	64	109	0	534	16	133	20	0	0
SP92947	48	28	100	0	63	18	0	0	163	0	8	23	20	17	10	9
SP91666	95	0	175	9	24	0	22	51	40	0	9	22	91	0	8	0
SP90245	26	0	56	5	35	0	10	86	67	2	36	86	106	12	3	0
SP90893	18	0	59	4	22	0	1	69	42	1	23	67	111	15	9	0
SP89519	58	0	65	0	0	0	2	1	238	0	7	1	5	31	0	0
SP94917	10331	1905	2800	2347	0	0	436	0	0	0	6	17	31	0	0	0
SP92659	381	541	2138	0	15	0	0	272	0	31	11	3	7	1	302	0
SP94332	70	4	8	0	0	0	0	0	0	10	748	232	0	0	4	0
SP94661	50	13	86	0	0	0	0	0	147	0	22	23	63	26	7	41
SP93652	28	0	100	0	51	0	0	73	71	7	16	83	4	6	2	0
SP90125	17	105	20	0	0	0	2	0	91	18	5	63	79	40	12	0
SP94540	41	13	278	0	0	0	7	19	87	9	30	56	7	16	4	0
SP95222	167	0	99	0	0	0	1	208	24	2	60	38	134	0	0	9
SP89389	89	0	24	0	0	0	0	33	203	5	38	36	59	3	0	57
SP90503	21	55	8	0	0	0	7	18	129	0	5	73	17	4	6	0
SP92460	8327	1326	1928	2022	344	6	216	0	0	0	16	1	0	0	0	0
SP92931	75	0	54	2	0	0	0	70	190	2	26	53	31	0	12	0
SP91265	126	148	9	10	0	0	0	14	200	3	20	80	130	14	4	0
SP89909	8007	2341	300	1968	0	0	37	0	0	9	0	0	0	0	0	0
SP90629	115	0	52	8	0	0	8	160	61	7	49	67	307	23	26	49
SP95550	102	45	27	0	0	0	0	44	134	0	90	11	73	0	1	114
CPCT02020389T	134	12	90	0	8	0	1	0	100	24	16	25	35	6	30	0
CPCT02080033T	16	52	297	7	88	39	0	0	223	88	2	68	11	18	13	20
CPCT02060156T	281	0	79	33	90	0	27	4	329	119	15	120	19	0	34	0
DRUP01340014T	16	20	13	10	31	0	0	0	0	15	0	27	0	16	293	0
DRUP01010121T	359	0	101	34	43	0	21	53	87	50	61	25	66	51	5	109
CPCT02130034T	63	121	64	7	20	23	0	0	105	121	40	48	129	67	9	42
CPCT02260015T	267	24	134	1	10	0	3	101	0	222	123	317	47	0	17	143
CPCT02220071T	10749	439	1171	1180	47	0	560	0	0	195	41	32	57	0	69	0
CPCT02010710T	146	0	93	26	60	0	13	66	13	107	106	33	3	32	12	0
CPCT02340068T	16	0	55	26	24	18	0	38	67	43	0	58	37	18	15	0
CPCT02130050T	90	74	141	16	42	0	11	0	80	227	26	112	109	55	0	0
DRUP01060016T	27	57	28	20	0	0	0	15	0	100	28	366	21	47	1	19
CPCT02260017T	198	0	300	5	18	0	4	61	217	69	33	65	46	37	64	0
CPCT02020682T	777	5	422	0	106	0	0	121	23	134	10	77	61	64	38	0
DRUP01030013T	34465	1383	4942	6187	0	3893	1184	0	0	722	18	0	0	0	0	0
CPCT02130059T	90	10	123	0	84	18	2	0	0	135	24	46	150	31	0	157
WIDE01010296T	160	118	234	0	123	3	0	0	202	37	26	450	99	214	24	0
CPCT02380044T	31	0	134	44	55	0	0	13	0	80	39	115	92	329	23	7
CPCT02060117T	49	10	120	0	139	1	7	14	27	65	6	50	15	10	0	65
CPCT02080220T	50	0	287	7	200	0	0	0	107	120	25	72	44	11	8	18
CPCT02210056T	72	0	76	7	90	0	1	24	152	138	7	32	0	10	4	0
CPCT02020734T	68	0	123	1	112	0	2	0	109	241	20	23	0	0	0	32
CPCT02020716T	20	0	81	0	46	0	2	7	57	80	16	23	18	11	5	55
CPCT02080226T	34	0	79	0	0	0	7	74	198	120	56	7	37	91	18	17
DRUP01080014T	16891	1370	1439	1991	249	0	623	0	0	273	16	0	0	0	0	0
DRUP01270003T	66	14	106	0	0	11	3	0	59	43	3	19	75	58	4	98
CPCT02190044T	26	0	38	10	0	0	8	116	0	119	24	48	66	27	7	0
CPCT02130131T	55	0	151	29	2	0	0	0	0	66	3	0	274	0	47	0
CPCT02220054T	126	74	41	0	0	0	4	0	390	106	59	10	66	9	13	55
CPCT02330075T	256	91	245	0	168	0	7	0	286	102	36	67	64	50	35	98
CPCT02130134T	4	78	47	0	65	36	0	0	29	184	37	82	94	16	6	0
CPCT02130148T	9	0	111	0	0	0	0	67	140	85	30	29	102	20	13	258
CPCT02070381T	0	0	17	13	0	0	2	23	63	97	7	33	22	8	2	0
DRUP01070053T	76	42	7	0	13	0	3	0	206	142	0	62	58	0	18	0
DRUP01060025T	0	63	108	2	0	115	42	36	112	274	2027	0	45	96	65	0
DRUP01100007T	169	0	300	0	60	0	5	0	154	84	29	55	55	7	30	164
CPCT02380019T	32	0	142	11	31	6	27	115	0	205	107	18	129	74	34	0
