InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_M	InsDel_N_alpha	InsDel_N_beta
A[Del(C):R1]A	0.00387183661702857	0.0013705566747994	0.000433349609930679	0.0088160408089665	0.00127755929052034	0.000846171642316292	0.00827106391115882	0.0269831348427078	0.00354690213726061	0.0105767878573484	0.0129003072902153	0.0116977355396398	0.00433419733785044	0.00127720496553123	0.0049629545502981	0.0271896664318534	0.00128630831721622	0.000539200748632093	0.0179394423422089	0.00746549925843038	0.00346722024893582	0.00348866428663158	0	0.00192310228168503	0.000628541236696115	0.0125725069111762	0.00362697547463259	0.00331706393552425	0.0050205079127995	0.0218938595434098	0.00674139839565253	0.00856796414257935	0.00281767055895852	0.000405001825115288	0.00171482436705748	0.00183817781674	0.000962103548260968	0.00186519381659902	0.0470528242501199	0.00950731417083684	0.00172882361380051	0.000329820822406193	0.0977530324592793	9.39868076040543e-05	0.00255112453142617
A[Del(C):R1]G	0.000198454830195067	0.000132625872154203	6.16732462772602e-05	0.000428990666354246	0.000395810629763527	0.000134617247072442	0.00207565212947777	0.00255138169265066	0.000806729588942924	0.00120515701193626	0.0017191601363781	0.0022105621127305	0.00017774767258977	3.93698150804842e-05	0.000301558322164672	0.00224495139050321	0.000326351690171105	4.56794941233559e-07	0.00171130718118193	0.00173743567470322	0.000258942771620701	0.00119990413914234	0	0.000448396066317694	0.000132331300950117	0.00136770308474932	0.000943403502588204	0.000547554827894796	0.00015656909994125	0.00158810383173233	0.000428340026550612	0.00123707023784944	5.0689683838304e-05	0.000105356193311086	0.000253547382862373	0.000360756208934884	0.00106166858719919	0.0020662927509859	1.01312332412517e-05	0.000901730703567594	7.76521717029532e-05	0.000164243905972505	7.13146943135247e-06	1.05288407285117e-05	6.77395754288758e-05
A[Del(C):R1]T	0.00399328561618057	0.00142156631794985	0.000585568744010425	0.00677998263608957	0.000155808702001022	0.000103374955831669	0.00266156556648545	0.0068003146553115	0.00153572339488341	0.0106185157102973	0.00761714765915007	0.0120404924509721	0.00450789891612298	8.89607775520962e-05	0.00371904650110766	0.0414965641797728	0.00195815344815468	0.000174678385527713	0.00792391251642371	0.00697810086299326	0.00258332914513052	0.00144493000067902	0	0.00244899683323421	0.00114026473763329	0.00889476391446436	0.00492165587975216	0.00388411622759811	0.00244889908064923	0.0163607922341756	0.00385878989889349	0.00774321707436593	0.0074926111337525	0.000532439566504848	0.00303014949843888	0.000175170671032874	0.00259981813972011	0.00101864843369662	0.0322646007956395	0.000359642714180608	0.00958351043848386	4.62299372707967e-05	0.0013858822261595	0.000104786966273627	0.00271374919279258
A[Del(C):R2]A	0.000973690583322449	0.00252005556335275	0.000287728703206837	0.000556633787250519	0.000335759476495373	0.000234867603127629	0.0173517443869943	0.0263647956437333	0.000721388618363364	0.00608354578080315	0.0163611738314586	0.00387806416145721	0.00104129305843089	0.000125787974807756	0.00257242171522675	0.00606149890092453	0.00100550489896729	3.65435952986847e-07	0.00284505341209287	0.0017731859856391	0.00081193770333991	0.0160056433423594	0	0.0010947010257067	0.000609022458286383	0.0030258070368816	0.0026246273298752	0.000392806994014291	0.0167641454156569	0.0106899233486409	0.00174049528513897	0.00582433187257128	0.0011685661780857	0.000155416374472789	0.000706239914292852	0.000788828020804424	0.000685166308671683	0.00176750073197804	3.37707774708389e-05	0.00193898613962938	0.00432669372380515	0.000105931788776948	0.00310060443165358	0.000141098113966857	0.000185787029058404
A[Del(C):R2]G	0.000200846808720967	4.33739959478912e-05	2.47635320850908e-05	0.00015976066074624	6.9960212873625e-05	7.82632553741735e-06	0.00262202852567735	0.00442176122161364	0.000452501759579538	0.000573085003306192	0.00195362952872798	0.000433002564534265	0.000204715155029492	2.27039907936788e-05	0.000191003589545992	0.000718710120994284	0.00024703468515523	4.56794941233559e-08	0.000397748174457544	0.000327205193147195	0.000113514371119931	0.00469756809810759	0	0.000229366461337587	0.000240861371654458	0.000696789928555765	0.000403665712728842	0.000355956911779765	0.0016556005923476	0.000586450993841453	0.000358732393626483	0.00061469893075776	2.9737947851805e-05	4.57457697060174e-06	0.00019947485907898	2.07373624134891e-05	0.000320918347878054	0.000350302918171648	6.75415549416779e-06	7.31560770096737e-05	0.000140145724252107	1.9427918423617e-05	2.81296849792237e-05	2.31969737043439e-05	7.3143401569625e-05
A[Del(C):R2]T	0.00195463648967728	0.000432692007898467	0.000147697048816482	0.00338098608032566	0.000105441402438214	0.000158340854272176	0.00613334287890706	0.0111638899033256	0.00129208134204977	0.00741894648342343	0.00740177390264484	0.00608880583774904	0.00202892885234729	9.07884218204602e-05	0.00566982995468085	0.0145361009042916	0.00103065551357988	0.000360502567621525	0.00350128646976525	0.00219878471613533	0.00138228799975435	0.0136313993507036	0	0.00131970924490438	0.000326345244943622	0.00468652018539551	0.00242208104473738	0.00235350901077996	0.00546199908892307	0.0126925541583967	0.00403457866678662	0.0066825356625441	4.32551968753527e-05	5.10791627617901e-05	0.000917804158770558	0.000900839798517819	0.00237968509195547	0.00200465249513659	0	0.000427747885574209	0.00204224041530976	0.000248960975069358	0.00459742062674523	0.000109214704610213	0.000966652980169588
A[Del(C):R3]A	0.000278377287290635	0.000467338407096239	0.000319394563026682	0.00093041304878805	0.000934525663450952	0.000208942320640551	0.012518532456467	0.014500758009393	0.000725584583923155	0.00457599802547274	0.0101533323087298	0.00169467600100906	0.0016465826588813	0.000175083693961754	0.00196231115738363	0.00416455238107594	0.00221705428639446	0.000364750760574997	0.0004145594153854	0.000706335549105708	0.000371955014882537	0.0170119371392974	0	0.000642561341140621	0.000182275542955316	0.00276800767480321	0.0031347192619213	0.00135451097283267	0.00692161482699132	0.00505830285131578	0.00196164889635937	0.00399301973335419	5.67724458989004e-05	5.15561328724689e-05	0.00177329303098586	0.000407703934755177	0.00212394730498598	0.000978851103401385	1.01312332412517e-05	0.0008455216001304	0.00290859580159552	0.00011580173857464	0.00150196670079207	0.000146765959960753	0.000310214483873462
A[Del(C):R3]G	0.000221062996637562	1.00915337307755e-05	5.66968876085537e-05	0.000206775429183335	7.73244458076908e-05	4.7237795790488e-05	0.00174209554648821	0.00205876356136897	0.000278410596403089	0.000719338768776517	0.00129456880822857	0.0006634574318803	0.000288797271527266	3.26640461464689e-05	0.000600873313579644	0.00053139195170818	0.000508880408102123	6.85192411850339e-07	0.000370731256675778	0.000154255320364173	0.00010321922842942	0.00386881566320711	0	0.00022450534510461	7.92312576607814e-05	0.000641001544065931	0.000197369106066034	0.000123525627772073	0.000786873893982213	0.000465695471771048	0.000159423933471392	0.000585679941349046	4.7310371582417e-05	9.06243210289824e-06	0.000202991771194973	0.000160287341327425	0.000615001291098371	0.00081226879203293	0.00019924758707795	0.000333567641866591	0.000107241380274177	1.18836464518183e-05	4.75431295423498e-06	1.85717840912793e-05	0.000125434135329988
A[Del(C):R3]T	0.000457806741389361	0.000314357475427205	0.000222469137338266	0.00145718389796911	0.000222593511682894	8.42733841257351e-05	0.00568627672714587	0.00606040334044224	0.000935134416583494	0.00534762254389663	0.00484411846265614	0.00263641954388656	0.00120683857698502	0.000146478141778307	0.00205591837450667	0.00455832528278778	0.00105208171518054	1.37038482370068e-07	0.00197053137327122	0.000741859592250854	0.000336401319330296	0.011031746174598	0	0.000649825078040472	0.000420618172276454	0.00314183557906911	0.000604303093851362	0.000736526401817649	0.00400965876982736	0.00297243603743025	0.00162563698215099	0.00298159251030296	3.10896727541598e-05	0.000103730158842863	0.000774270183036592	0.000129008101473226	0.00123734483164067	0.000842464836370324	4.72790884591745e-05	0.000399240355465305	0.000689223151319616	0.000111093659073442	0.00175037955265085	4.87278499069264e-05	0.000322033174594197
A[Del(C):R4]A	0.000593296965134963	0.000166284316999417	0.000440805700700993	0.00050181746452151	0.00130522583535062	0.000476453281100898	0.010975652580115	0.00696506494611835	0.00165637120724568	0.00280497695512251	0.00495708917482075	0.00123767925559112	0.000735411660452265	0.000703443643915324	0.00130915315612082	0.00300734015100905	0.000561141284871387	5.02474435356915e-07	0.000469332559823387	0.000635173230532714	0.000639823489580763	0.0209985050370383	0	3.40836885300677e-06	0.000107828126119646	0.00182801105465399	0.000885982127259496	0.00038867363165946	0.00472843196402366	0.00241703646354976	0.00281528432910306	0.00189747973585521	3.78482972659336e-05	0.00015194750094058	0.000597215638697068	0.000213123739102551	0.00386352268098412	0.000533303428528003	3.37707774708389e-06	0.00250962177462114	0.00152699036992166	8.40647448286143e-05	5.94289119279373e-06	0.000255778951756146	0.00100868080218683
