MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	0.002113770472351462	0.0006185572035610676	0.016863479835446924	0.017092956473352388	0.0018269526935182814	0.008286341377533972	0.0326969033991918	0.21366176033392548	0.023937564211664722	0.022321506246516947	0.01981678022420965	0.01143372203456238	0.018931246557695056	0.11585883025079965	0.1208014854323119	0.009505639665294439
1:Del:C:1	0.00032115589274326337	0.0011776591139459924	0.004555564926413354	0.007172800598928006	0.0044128944174735805	0.0019481053200433962	0.008911783493676922	0.061606599232181904	0.0024136330919645845	0.016533974022604526	0.007913144678605022	0.02756358866347	0.008069440314502572	0.18477201476693153	0.021416674758074804	0.005335129629602306
1:Del:C:2	0.0005429901823450018	0.00039093167943065054	0.0030487800094124396	0.0047800109448144215	0.0005017850708782135	0.0022157576267636614	0.0006821199637488462	0.009499536282964982	0.004557395713491132	0.009803399455850013	0.00306258404860273	0.006277131227252578	0.005332951772143133	0.158154576420784	0.0027311295154504476	0.0032737893157809596
1:Del:C:3	0.0023483067333654618	0.0024032934178831056	0.0022234011895488947	0.0023426293404190802	0.005939211156219244	0.007725405077835603	0.005246163353949669	0.006401754665421322	0.0015786544856382534	0.00980914009604021	0.006198208641217206	0.0028303500334732235	0.0022615071682957934	0.05676277466118336	0.0029469531113863923	0.0034430451460684707
1:Del:C:4	0.004976914490107447	0.002580813040913199	0.0011961546429665759	0.0008739708887878805	0.0013408974408594078	0.016042319196130847	0.00982962451002095	0.004530960163974669	7.465044560376554e-05	0.005284251934062923	0.00434158168223803	0.002297390275489306	0.0011627149745982023	0.028420574888587	0.005468466918100603	0.0050632120903173925
1:Del:C:5	0.021733291922682838	0.0019644241154310295	0.007631194899731781	0.007653606722014956	0.004521031844633399	0.0490569771558512	0.0031600102555239575	0.009172041244455613	0.002964649878558703	0.010214304433902725	0.009506084149470552	0.0035770487948320806	0.0013810556028329302	0.017267694706097247	0.0018506124819396065	0.016972603414324113
1:Del:T:0	0.000923506364779314	0.003057292967096146	0.01264195861411281	0.010467950101592578	0.020215729694464245	0.004709408914204687	0.15251530334353447	0.05180800002999604	0.010912172254465986	0.022061868754335592	0.021211573292384857	0.027201922154054047	0.010218720489792759	0.0316935648676008	0.05068963510449976	0.01318791451107245
1:Del:T:1	0.001554165444504179	0.0005431486619636417	0.010555133315938292	0.019865734594059176	0.0027236854264862946	0.007518358099769102	0.24118830252438783	0.012717630160041153	0.007290526284559746	0.010343681936501526	0.015739437583833935	0.01414939085021615	0.004422251683427021	0.023054764253017536	0.009318655781389679	0.01725470742676407
1:Del:T:2	0.0023242766541807214	0.002457985924629611	0.00903604500075744	0.006799276676902082	0.007473751036159228	0.010441696132475045	0.08308177042752504	0.04050134269986302	0.009855713975048275	0.02463160278275609	0.018652783520519734	0.03682510217651725	0.010421060094377026	0.015563621120381867	0.011671102460222755	0.010018943639151985
1:Del:T:3	0.011447224776493386	0.005598379942239262	0.005356934477895266	0.008238144295246457	0.015474742481019347	0.017693057416472584	0.11105684321373702	0.08715729758609086	0.0066721732679882705	0.01642306277062744	0.02125156954571139	0.015416782466927544	0.007893666139570996	0.02211831772234291	0.008482306688092649	0.011444308283680584
1:Del:T:4	0.03630894140340388	0.004359952394006541	0.006398500738869189	0.009692205085302703	0.016140801887377165	0.041863862161990256	0.09903166757896542	0.052259308332577345	1.401298464324817e-47	0.02416505017550662	0.03274094661872368	0.008283120810519904	0.010812115931184963	0.007843121681507909	0.018282521999208257	0.01758115788048599
1:Del:T:5	0.7941811016201973	0.0005313236552937943	0.09176005716340362	0.5335595411062241	0.18271840869887457	0.4191507148742676	0.036538812066542053	0.02192863757120904	0.021144542479888454	0.023374642568243106	0.011325713833794023	0.016871278719045223	0.008222970937077278	0.007947857346662203	0.003953461410310411	0.27207833852618935
1:Ins:C:0	0.003777351160533726	0.0016698539824574255	0.003891197183111217	0.00432447241143141	0.4438049513101578	0.0022825167403789236	0.010556764320965613	0.003102677014836672	0.0006343287592608249	0.002613428766926587	0.004104784406517865	0.0008063386287540197	0.0035695619483385598	0.001141021029809508	0.0006599978056954115	0.004965166907350067
1:Ins:C:1	0.00033527638071973343	0.0004977093974594027	0.0037419532508647536	0.0033748473083687713	0.017301940824836493	0.0010774066943849902	0.0043268378684297205	0.003723811413437943	0.0032556125651171898	0.005893929945013952	0.005618401337706018	0.00544984012725763	0.0004271104342842591	0.002538424931426562	0.008539472486590967	0.0030397454569174444
1:Ins:C:2	0.0003122958699202627	0.0004730514348375436	0.0006943176389904693	0.0017855580339164589	0.0017253942790921427	0.0007312461421497573	0.002155654281232273	0.00569848996536166	0.0009108083609680761	0.0038077119714762376	0.00215010353087564	0.0036607285428908653	0.0005065619233209873	0.005587514971848577	0.006105075850500725	0.0011453926982358097
1:Ins:C:3	0.0005832458863005741	0.0018083792267862009	0.0015574140919125056	0.0008729472623599577	0.0005188867521792417	0.0007190717980483896	0.001535248591535492	0.00145929651640472	0.006204161249333992	0.0022140405946993267	0.003698426519695204	0.0009811670209455769	6.09466578316642e-05	0.007490598624572158	0.0019916065571305808	0.0012476247653830797
1:Ins:C:4	0.001637251376939653	0.0025062374852132053	0.0019893986010720253	0.0024405522524648406	0.0005227343070146162	0.003220280357054435	0.00739354343386367	0.004219230450980831	0.0029461717592494095	0.004549325289742115	0.004067806244347594	0.002158397856110241	0.0001235045786597766	0.002734200578124728	0.0015773500047966138	0.002065212103625527
1:Ins:C:5	0.007463471910232329	0.031271282844245435	0.024256529897912743	0.015292484644742216	0.0028531720442697404	0.026629278024265658	0.01147953989295047	0.006560962628864218	0.0014748034958029165	0.01840753547206987	0.020698607062804512	0.007144945817999542	0.001690350599710655	0.005365303747821599	0.015047228832263499	0.020023355126031674
1:Ins:T:0	0.0005746406718026265	0.004129126849584282	0.008727287824149244	0.009628359788257513	0.022950711818411948	0.003561325618211413	0.007037959859881085	0.02075252816779539	0.01649830000445945	0.003994116645899339	0.00715356057669851	0.005058794240612769	0.005206981329829432	0.02187531678006053	0.008988448370582774	0.010226112424279564
1:Ins:T:1	0.00012795556875062176	0.001995670521282591	0.0029149369370861677	0.0029225082672201096	0.004940263763346593	0.0016006624982583162	0.0012181100518500899	0.016199716152623295	0.003958762981346809	0.009799525146008818	0.01583474122802727	0.011433643932105043	0.003741056010767352	0.0378963391209254	0.16968429817352443	0.002835497458690952
