Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP1086	24	5	0	23	64	43	78	0	9	2	53	38	0	6	0	18	34	11	4	43
SP1003	80	21	0	13	140	42	63	0	0	0	56	88	50	39	0	23	0	30	3	0
SP1677	25	0	0	10	107	50	203	12	10	0	51	64	14	18	6	21	10	23	8	0
SP1305	88	50	0	0	130	480	126	0	128	22	114	83	0	495	0	58	1	33	18	0
SP963	23	0	0	3	93	78	76	22	3	0	79	27	49	6	0	12	40	10	9	0
SP1144	0	22	41	3	34	13	104	0	34	1	32	7	0	28	0	16	30	13	11	0
SP1132	34	19	0	0	95	50	291	0	4	6	174	0	138	4	0	6	0	14	5	0
SP1712	0	13	20	2	149	10	0	12	0	3	41	10	0	0	1	6	4	9	5	23
SP1114	15	12	0	20	119	0	308	0	0	2	0	12	47	18	4	12	0	0	9	0
SP1431	31	0	19	8	216	7	0	0	10	0	10	3	42	0	2	32	9	7	0	0
SP975	70	20	0	7	142	513	0	0	147	15	30	39	0	291	0	0	39	37	9	0
SP1059	54	0	41	4	141	61	262	0	38	3	137	127	68	0	0	51	10	19	87	0
SP1419	118	23	63	5	148	32	19	0	36	0	53	32	0	6	0	3	171	67	3	0
SP1009	12	26	0	20	113	23	41	0	11	9	36	34	128	0	0	35	0	10	11	0
SP1724	14	13	0	7	45	12	57	3	3	0	29	17	39	8	0	16	0	0	5	25
SP96136	37	0	145	0	112	210	101	2	68	0	125	51	30	220	0	18	0	26	7	0
SP967	54	3	0	1	147	11	29	0	0	0	0	8	13	1	0	16	6	4	0	0
SP1781	66	64	11	5	355	13	56	0	3	0	105	10	5	27	15	17	37	22	5	0
SP1174	331	113	46	5	278	28	14	0	27	0	11	16	22	0	0	0	79	33	15	0
SP953	100	26	0	35	113	0	218	0	0	3	73	75	0	37	8	5	46	4	12	137
SP1377	12	55	0	0	126	21	35	0	8	2	20	7	13	0	0	16	54	5	7	0
SP1365	44	47	0	0	179	131	56	0	4	3	52	48	114	26	0	0	38	13	3	0
SP1491	51	26	50	0	86	123	4	0	53	0	7	0	55	160	0	12	13	12	4	0
CPCT02060013T	78	0	147	0	65	653	56	0	88	62	52	78	107	0	33	2	139	96	14	0
CPCT02100026T	107	47	0	0	14	28	66	0	36	51	3	22	0	9	0	10	0	4	8	168
CPCT02070020T	231	275	12	9	28	36	34	101	91	61	142	83	0	67	0	62	41	67	24	0
CPCT02030269T	26	0	39	2	122	15	0	0	12	41	14	13	27	26	43	10	30	12	0	0
CPCT02010944TIII	10	0	129	11	54	20	122	182	25	18	33	36	5	13	0	28	0	24	9	0
CPCT02020867T	26	39	0	3	0	113	0	242	296	56	40	33	52	0	1	37	0	5	288	0
CPCT02070272T	375	311	29	5	166	434	106	386	207	120	20	50	0	334	0	49	47	21	16	0
CPCT02020648T	40	42	58	21	97	34	138	0	28	31	113	36	0	65	103	3	17	33	5	0
CPCT02020362T	98	228	0	21	258	56	61	0	0	53	57	27	0	3	212	142	0	17	24	0
CPCT02440020T	81	476	29	1	242	53	27	0	29	28	31	22	60	30	69	19	0	11	14	119
CPCT02210077T	136	236	78	5	69	0	210	134	19	22	55	43	4	31	18	55	0	18	30	13
CPCT02070445T	163	175	137	0	94	1	0	0	8	12	112	25	0	19	85	11	0	15	17	0
CPCT02020894T	104	86	55	5	0	26	44	48	1	0	22	16	0	26	62	24	0	14	18	170
CPCT02020896T	137	10	45	8	61	11	14	0	0	25	49	20	92	0	0	16	0	23	16	0
CPCT02140101T	0	279	174	24	237	75	255	0	26	37	194	74	0	9	101	444	0	37	27	0
CPCT02210040T	216	190	119	0	238	0	16	0	0	18	10	170	0	17	39	5	0	25	45	3
DRUP01010020T	47217	10627	8892	6691	621	0	26	0	0	89	0	0	0	0	0	0	0	0	0	0
CPCT02020902T	137	0	42	0	109	219	30	130	84	40	49	11	0	226	107	20	111	30	38	0
CPCT02070443T	211	137	14	0	38	9	0	14	44	8	42	13	0	0	120	6	83	33	10	81
CPCT02080295T	195	509	159	11	245	23	21	0	25	29	18	268	0	23	69	20	0	14	18	0
CPCT02020916T	93	24	0	53	40	33	208	0	23	30	56	26	6	10	15	172	132	22	24	0
CPCT02020915T	73	36	0	15	152	9	16	58	0	11	10	0	0	16	86	9	29	23	17	0
CPCT02160036T	47	83	21	13	96	0	0	0	22	80	21	12	4	58	50	4	19	31	5	0
CPCT02120184T	106	58	0	0	25	228	86	184	18	8	65	63	159	31	0	45	0	42	22	0
CPCT02050315T	9	19	0	5	94	2	16	0	7	49	16	10	97	0	101	24	0	13	9	0
CPCT02120182T	44	66	52	5	110	26	68	0	18	25	38	22	0	27	47	20	29	17	16	0
CPCT02020940T	4	0	6	0	68	38	10	0	0	18	2	34	154	9	24	60	27	35	6	0
CPCT02010712T	413	419	0	26	495	0	0	0	15	107	0	46	29	48	115	7	0	30	154	189
CPCT02070294T	59	77	0	1	21	0	0	0	7	83	21	3	21	43	67	0	151	29	18	0
CPCT02070299T	401	139	31	36	215	32	370	0	8	93	67	68	0	41	110	35	9	20	22	0
CPCT02050437T	293	559	6	14	113	7	36	51	57	45	80	43	87	13	7	68	0	0	33	82
CPCT02050436T	43	23	52	103	117	92	681	0	17	39	253	31	90	16	159	0	0	27	19	0
CPCT02020952T	254	160	54	13	147	13	0	0	19	7	125	19	66	19	112	17	0	40	25	0
CPCT02020642TII	371	301	18	27	0	785	77	0	568	125	200	137	0	447	185	38	0	0	308	0
CPCT02020958T	9	0	0	76	11	8	328	218	11	17	43	20	0	26	54	17	0	15	18	0
CPCT02020684T	4	0	0	4	18	62	22	0	0	90	5	6	0	20	11	15	36	5	1	0
