Samples	ID1	ID2	ID3	ID5	ID6	ID8	ID9	ID19
SP117655	453	464	279	0	0	0	268	0
SP117556	551	235	0	0	0	0	0	0
SP117627	259	82	0	0	0	0	116	0
SP117775	391	349	0	0	0	0	242	0
SP117332	54	22	0	0	0	35	43	0
SP117712	176	0	0	351	0	0	0	0
SP117017	385	0	0	0	0	0	0	0
SP117031	659	283	0	0	0	0	0	0
SP117759	701	554	0	0	0	0	287	0
SP117621	467	184	0	0	0	0	216	0
SP117425	240	160	0	0	0	0	190	0
SP117930	1225	425	0	0	0	0	0	0
SP99287	54	0	50	62	0	0	0	0
SP99293	62	0	89	163	0	0	0	0
SP99289	142	0	251	228	0	104	0	0
SP99297	23	0	0	0	0	0	0	0
SP99301	319	958	0	0	0	0	0	0
SP99305	99	0	0	120	0	46	0	0
SP99309	305	0	0	0	0	0	187	0
SP99313	72	0	0	171	0	301	0	0
SP99317	0	0	0	0	0	0	37	0
SP99321	102	44	0	100	0	0	0	0
SP99325	23958	102114	0	0	0	0	0	0
SP99329	0	0	0	0	337	113	70	0
SP99333	139	0	0	111	0	0	0	0
SP99337	440	0	0	0	0	0	0	0
SP99341	214	0	0	120	0	0	0	0
SP99345	11	0	27	0	0	17	0	0
SP99113	0	0	0	54	0	0	25	0
SP99185	40	0	122	208	0	63	0	0
SP99209	152	0	0	175	0	99	110	0
SP99213	386	151	0	0	0	0	0	0
SP99221	0	0	20	28	0	0	0	0
SP99225	65	0	0	132	0	0	0	0
SP99241	136	38	228	247	0	209	0	0
CPCT02020318T	249	157	0	0	0	0	0	96
CPCT02010377T	322	0	0	274	0	0	0	0
CPCT02060017T	563	114	0	0	0	0	0	0
CPCT02060166T	342	288	0	0	0	0	0	201
DRUP01080024T	149	0	0	0	0	0	0	177
CPCT02300029T	562	355	0	0	0	0	0	268
CPCT02130024T	282	125	0	0	0	0	0	183
CPCT02370015T	56	24	59	0	0	61	53	71
CPCT02080291T	315	98	0	0	0	0	0	0
CPCT02330082T	182	0	0	132	0	0	0	0
CPCT02130035T	456	324	0	0	0	0	0	204
CPCT02020667T	231	0	0	0	0	108	0	159
CPCT02190030T	227	66	95	176	0	109	0	91
CPCT02070304T	694	265	0	0	0	0	0	0
CPCT02230093T	541	574	0	0	0	0	0	0
CPCT02170024T	216	0	0	172	0	0	0	181
CPCT02050342T	472	152	0	0	0	0	0	260
CPCT02130064T	243	0	0	0	0	131	0	245
CPCT02130063T	413	1009	0	0	0	325	0	404
CPCT02080208T	50	21	0	64	0	55	0	114
CPCT02130066T	605	467	0	0	0	0	260	0
CPCT02130067T	394	122	264	0	0	0	0	185
CPCT02100172T	72	38	0	0	0	40	0	127
CPCT02130084T	380	70	0	0	0	0	0	156
CPCT02060220T	283	72	0	0	0	116	0	239
CPCT02100169T	930	1017	0	0	0	0	0	0
CPCT02080218T	904	463	0	0	0	0	0	313
CPCT02050332T	106	80	0	0	216	228	0	0
DRUP01080031T	11037	61015	0	0	0	0	0	0
CPCT02040245T	1046	464	0	0	0	0	0	0
DRUP01050048T	23395	87034	0	0	0	0	0	0
DRUP01010142T	10228	44627	0	0	0	0	0	0
CPCT02080224T	181	42	0	121	0	90	0	122
CPCT02260021T	169	0	0	134	0	0	0	114
CPCT02020762T	105	0	0	0	0	126	0	199
CPCT02130116T	294	0	0	186	0	0	0	0
CPCT02050342TII	410	124	0	260	0	0	0	0
CPCT02130138T	284	94	0	0	0	126	0	189
CPCT02130139T	513	294	0	0	0	0	0	246
CPCT02230115T	167	148	0	0	0	103	0	188
CPCT02010902T	642	0	0	0	0	0	0	202
CPCT02290056T	278	0	163	0	152	254	0	124
CPCT02130152T	67	22	0	68	0	60	0	60
DRUP01170003T	64	0	0	0	235	96	0	111
DRUP01010095T	1005	0	0	0	0	0	0	0
DRUP01030024T	320	330	0	0	0	194	0	197
CPCT02040292T	316	71	0	0	0	201	0	390
DRUP01050035T	526	1139	0	723	0	0	0	0
CPCT02020577T	259	0	0	0	0	144	0	216
CPCT02050263T	518	322	0	0	0	0	0	0
DRUP01010108T	2505	2910	0	0	0	0	0	0
DRUP01010109T	318	0	0	184	0	0	0	0
DRUP01010113T	141	0	0	439	0	399	0	0
CPCT02120059T	1469	345	0	0	0	0	0	0
CPCT02170010T	114	0	0	0	0	225	0	262
CPCT02030398T	305	174	0	0	0	0	0	187
CPCT02050250T	345	243	0	0	0	0	0	0
CPCT02050076TII	771	413	0	0	0	0	0	0
CPCT02050182T	253	0	0	195	0	0	0	0
CPCT02070187T	481	68	0	0	0	0	0	151
CPCT02030373T	934	1143	0	0	0	0	0	0
CPCT02020589T	178	45	0	0	280	154	0	175
CPCT02040154T	294	107	0	0	0	96	0	128
CPCT02050091T	123	31	0	0	0	51	0	79
CPCT02020406T	181	48	0	0	0	71	0	100
CPCT02020405T	576	159	0	0	243	0	0	0
CPCT02070052T	588	187	0	0	0	0	0	0
CPCT02060063T	212	150	0	0	867	409	0	205
CPCT02230004T	431	123	0	0	0	0	153	0
CPCT02300006T	357	143	0	0	0	0	0	148
CPCT02080066T	163	129	0	0	0	0	81	0
CPCT02010492T	0	19	35	45	0	39	0	55
CPCT02020460T	73	0	0	77	0	45	0	66
DRUP01010019T	672	179	0	359	0	0	0	0
CPCT02050133T	796	459	0	0	0	0	0	0
CPCT02050144T	1524	1755	0	0	0	0	0	0
CPCT02050286T	383	215	0	0	834	371	0	428
CPCT02130006T	536	601	0	0	0	0	0	0
CPCT02130003T	114	67	0	0	0	99	0	126
