De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID2 (100.00%), 27.08,  7.96, 0.949, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 35.82,  7.85, 1.748, 1.00, 1.00
Signature 83-ID83C, Signature ID3 (59.14%) & Signature ID5 (29.72%) & Signature ID14 (11.14%), 40.46,  31.57, 0.202, 0.95, 0.94
