Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02050325T	5.39E+00	2.04E+01	8.83E+00	2.16E+01	5.18E+00	2.06E+00	2.45E+00	4.34E+00
CPCT02050327T	7.15E+00	4.57E+01	9.94E+00	4.55E+01	2.63E+00	8.62E-01	2.03E+00	4.21E+00
CPCT02050329T	6.54E+00	4.57E+01	9.23E+00	4.49E+01	4.00E+00	1.72E+00	2.11E+00	4.85E+00
WIDE01010060T	3.64E+00	1.72E+01	5.29E+00	1.76E+01	2.86E+00	9.88E-01	1.14E+00	1.90E+00
WIDE01010100T	5.55E+00	1.93E+01	5.28E+00	2.28E+01	1.28E+00	1.02E+00	1.18E+00	1.65E+00
DRUP01340006T	1.13E+01	3.16E+01	1.43E+01	2.24E+01	9.21E+00	2.12E+00	2.54E+00	3.74E+00
CPCT02220036T	4.30E+00	2.37E+01	5.87E+00	2.41E+01	2.35E+00	1.61E+00	1.64E+00	2.45E+00
WIDE01010066T	4.96E+00	3.35E+01	6.25E+00	3.21E+01	3.04E+00	1.12E+00	2.30E+00	2.60E+00
WIDE01010077T	4.06E+00	2.06E+01	7.62E+00	2.12E+01	1.37E+00	1.03E+00	1.46E+00	3.09E+00
CPCT02040226T	8.70E+00	4.76E+01	1.16E+01	4.67E+01	1.53E+00	7.14E-01	2.11E+00	2.83E+00
CPCT02330098T	2.37E+00	6.87E+00	3.68E+00	8.16E+00	2.90E+00	6.16E-01	1.10E+00	5.10E+00
WIDE01010091T	4.28E+00	2.23E+01	6.63E+00	2.22E+01	1.89E+00	1.06E+00	2.05E+00	2.06E+00
CPCT02110064T	4.27E+00	2.16E+01	5.34E+00	1.94E+01	1.78E+00	8.11E-01	2.04E+00	2.23E+00
WIDE01010063T	2.78E+00	1.17E+01	5.12E+00	1.18E+01	3.20E+00	1.04E+00	1.42E+00	2.55E+00
WIDE01010097T	3.80E+00	1.82E+01	6.49E+00	1.94E+01	1.65E+00	6.37E-01	1.05E+00	1.67E+00
WIDE01010096T	6.51E+00	2.25E+01	7.63E+00	1.77E+01	7.38E+00	5.64E-01	3.25E+00	7.59E+00
CPCT02370022T	5.03E+00	2.79E+01	1.04E+01	3.17E+01	1.49E+00	1.63E+00	1.93E+00	3.29E+00
CPCT02020695T	3.59E+00	1.56E+01	7.85E+00	1.60E+01	6.28E+00	8.14E-01	2.36E+00	5.46E+00
CPCT02100201T	7.46E+00	3.47E+01	8.72E+00	3.27E+01	2.09E+00	9.03E-01	2.10E+00	2.12E+00
CPCT02050335T	3.10E+00	1.37E+01	5.09E+00	1.37E+01	2.71E+00	1.97E+00	1.18E+00	3.25E+00
CPCT02160040T	4.99E+00	1.81E+01	6.86E+00	1.57E+01	1.20E+01	3.31E+00	4.71E+00	1.02E+01
CPCT02240012T	5.01E+00	2.89E+01	2.87E+00	2.30E+01	4.74E+00	1.45E+00	1.84E+00	3.31E+00
WIDE01010128T	6.31E+00	3.07E+01	1.18E+01	3.31E+01	1.28E+00	1.76E+00	1.28E+00	2.51E+00
CPCT02220081T	2.92E+00	1.42E+01	4.64E+00	1.44E+01	1.40E+00	9.26E-01	1.90E+00	1.88E+00
CPCT02100165T	4.38E+00	2.40E+01	5.00E+00	2.22E+01	2.34E+00	1.51E+00	1.60E+00	2.22E+00
DRUP01230004T	3.23E+03	3.25E+03	2.86E+02	8.94E+02	3.10E+01	4.13E+00	1.01E+01	3.95E+01
DRUP01060002T	4.88E+00	1.97E+01	7.94E+00	2.12E+01	3.17E+00	1.84E+00	1.65E+00	1.25E+01
WIDE01010206T	4.18E+00	1.62E+01	6.64E+00	1.62E+01	3.64E+00	3.17E+00	1.75E+00	2.17E+00
WIDE01010001T	2.84E+00	1.62E+01	4.25E+00	1.70E+01	1.16E+00	7.30E-01	8.75E-01	1.57E+00
CPCT02120112T	6.78E+00	2.70E+01	1.40E+01	3.05E+01	3.77E+00	1.88E+00	2.20E+00	4.29E+00
CPCT02120119T	5.21E+00	2.84E+01	6.38E+00	2.87E+01	2.55E+00	4.10E-01	1.57E+00	5.02E+00
WIDE01010154T	9.52E+00	3.13E+01	1.04E+01	2.85E+01	5.53E+00	6.55E-01	2.36E+00	4.91E+00
CPCT02370020T	4.26E+00	2.79E+01	7.12E+00	2.64E+01	1.81E+00	7.77E-01	1.64E+00	5.53E+00
CPCT02230090T	7.23E+00	4.77E+01	7.59E+00	4.51E+01	4.02E+00	1.44E+00	2.22E+00	3.82E+00
CPCT02210048T	1.88E+00	7.97E+00	4.04E+00	8.10E+00	2.10E+00	1.49E+00	1.47E+00	4.30E+00
WIDE01010159T	6.45E+00	4.36E+01	1.08E+01	4.70E+01	1.78E+00	7.29E-01	1.83E+00	3.66E+00
WIDE01010179T	6.15E+00	3.52E+01	1.07E+01	3.75E+01	1.79E+00	1.02E+00	1.54E+00	3.22E+00
WIDE01010177T	5.64E+00	2.00E+01	6.95E+00	1.92E+01	2.73E+00	1.34E+00	1.28E+00	2.33E+00
WIDE01010166T	5.32E+00	8.73E+00	1.17E+01	1.38E+01	1.43E+01	1.13E+00	3.31E+00	1.47E+01
CPCT02130069T	5.06E+00	2.56E+01	7.20E+00	2.48E+01	1.20E+00	1.10E+00	1.20E+00	2.76E+00
WIDE01010168T	5.98E+00	2.93E+01	9.32E+00	3.19E+01	2.61E+00	1.40E+00	1.49E+00	2.92E+00
CPCT02340074T	5.73E+00	3.18E+01	6.68E+00	3.10E+01	2.63E+00	2.17E+00	2.18E+00	6.54E+00
CPCT02290032T	3.88E+00	1.84E+01	4.13E+00	1.88E+01	1.60E+00	3.39E-01	9.39E-01	4.64E+00
WIDE01010200T	9.72E+00	4.34E+01	7.08E+00	3.82E+01	5.90E+00	1.10E+00	2.38E+00	2.73E+00
DRUP01340016T	2.36E+03	2.29E+03	3.44E+02	6.92E+02	1.40E+01	6.20E+00	5.78E+00	3.95E+01
WIDE01010228T	6.80E+00	4.65E+01	9.91E+00	4.95E+01	3.34E+00	7.06E-01	1.58E+00	5.08E+00
WIDE01010227T	7.42E+00	4.46E+01	1.13E+01	4.48E+01	1.81E+00	9.36E-01	2.42E+00	3.13E+00
WIDE01010232T	5.73E+00	3.13E+01	6.47E+00	3.07E+01	1.11E+00	6.11E-01	1.50E+00	2.06E+00
WIDE01010196T	4.61E+00	2.52E+01	8.03E+00	2.65E+01	1.24E+00	1.09E+00	1.43E+00	2.67E+00
CPCT02050352T	4.56E+00	2.82E+01	7.38E+00	2.91E+01	1.59E+00	2.38E+00	1.56E+00	2.93E+00
CPCT02100173T	3.63E+00	2.28E+01	6.00E+00	2.19E+01	1.80E+00	2.65E+00	1.35E+00	6.05E+00
CPCT02210049T	4.55E+00	2.73E+01	5.21E+00	2.66E+01	2.03E+00	1.65E+00	1.63E+00	3.46E+00
WIDE01010236T	4.60E+00	2.24E+01	7.66E+00	2.42E+01	1.54E+00	1.09E+00	1.31E+00	2.40E+00
CPCT02210050T	8.27E+00	4.15E+01	1.53E+01	4.59E+01	1.46E+00	1.13E+00	1.62E+00	3.73E+00
WIDE01010218T	9.51E+00	6.16E+01	1.52E+01	6.34E+01	2.01E+00	1.47E+00	2.37E+00	3.50E+00
WIDE01010261T	5.90E+00	3.59E+01	1.03E+01	3.89E+01	1.26E+00	8.75E-01	1.46E+00	2.60E+00
CPCT02350002T	7.16E+00	3.21E+01	7.87E+00	3.41E+01	3.79E+00	2.05E+00	1.45E+00	5.20E+00
CPCT02130089T	6.25E+00	1.18E+01	7.78E+00	1.25E+01	5.98E+00	1.11E+00	1.88E+00	7.59E+00
WIDE01010251T	3.33E+00	1.99E+01	4.10E+00	1.90E+01	2.06E+00	1.21E+00	1.15E+00	1.92E+00
WIDE01010273T	3.43E+00	1.47E+01	4.81E+00	1.49E+01	1.52E+00	6.91E-01	1.02E+00	1.55E+00
WIDE01010252T	4.35E+00	2.90E+01	9.49E+00	3.18E+01	1.21E+00	1.07E+00	1.38E+00	2.57E+00
WIDE01010258T	4.66E+00	1.71E+01	5.59E+00	1.66E+01	1.74E+00	1.27E+00	1.86E+00	1.97E+00
WIDE01010291T	6.33E+00	4.41E+01	3.61E+00	3.82E+01	3.02E+00	8.48E-01	2.78E+00	2.41E+00
CPCT02120124T	3.18E+00	2.14E+01	5.64E+00	1.96E+01	2.33E+00	2.04E+00	1.13E+00	4.31E+00
WIDE01010269T	4.63E+00	1.88E+01	6.26E+00	1.72E+01	7.89E+00	2.27E+00	2.86E+00	6.59E+00
CPCT02060231T	5.29E+00	1.98E+01	7.26E+00	1.97E+01	2.68E+00	3.52E+00	1.89E+00	4.00E+00
WIDE01010300T	5.44E+00	2.87E+01	6.56E+00	2.80E+01	3.00E+00	1.51E+00	2.00E+00	2.27E+00
WIDE01010319T	7.54E+00	1.79E+01	1.14E+01	2.13E+01	2.53E+00	4.28E+00	1.94E+00	2.99E+00
WIDE01010327T	5.76E+00	2.35E+01	7.59E+00	2.27E+01	1.25E+00	7.06E-01	1.37E+00	1.83E+00
CPCT02230100T	9.38E+00	4.50E+01	1.44E+01	5.11E+01	2.14E+00	2.61E+00	2.35E+00	5.20E+00
WIDE01010338T	7.90E+00	3.76E+01	1.24E+01	4.04E+01	2.39E+00	1.52E+00	2.07E+00	3.96E+00
CPCT02380040T	4.87E+00	2.25E+01	6.50E+00	2.22E+01	2.42E+00	2.11E+00	2.03E+00	2.25E+00
WIDE01010299T	3.81E+00	1.85E+01	4.47E+00	2.02E+01	2.11E+00	2.56E+00	1.55E+00	2.65E+00
WIDE01010353T	3.04E+00	1.83E+01	3.59E+00	1.64E+01	2.28E+00	5.15E-01	1.10E+00	1.75E+00
CPCT02190017T	2.18E+00	1.14E+01	3.22E+00	1.11E+01	2.06E+00	2.25E+00	1.51E+00	3.08E+00
WIDE01010366T	6.32E+00	3.28E+01	1.56E+01	3.91E+01	1.19E+00	1.03E+00	1.56E+00	2.54E+00
CPCT02190037T	3.58E+00	1.89E+01	6.69E+00	1.93E+01	2.25E+00	3.39E+00	1.67E+00	4.37E+00
WIDE01010389T	1.90E+00	9.58E+00	2.85E+00	9.71E+00	1.21E+00	5.39E-01	9.04E-01	1.35E+00
CPCT02050354T	4.88E+00	3.08E+01	5.37E+00	2.94E+01	2.00E+00	9.35E-01	1.49E+00	2.66E+00
CPCT02040122T	4.15E+00	2.62E+01	6.04E+00	2.50E+01	1.93E+00	1.67E+00	1.95E+00	2.10E+00
DRUP01070080T	2.49E+03	2.69E+03	1.89E+02	7.55E+02	7.26E+01	2.94E+00	1.18E+01	1.03E+01
WIDE01010027T	2.97E+00	1.36E+01	4.98E+00	1.36E+01	1.34E+00	9.82E-01	1.13E+00	1.25E+00
CPCT02050358T	1.33E+01	6.89E+01	2.59E+01	7.79E+01	9.48E-01	9.89E-01	2.28E+00	5.85E+00
WIDE01010407T	4.34E+00	2.06E+01	8.10E+00	1.92E+01	1.97E+00	3.12E+00	3.24E+00	3.30E+00
DRUP01050026T	5.53E+00	2.12E+01	5.79E+00	2.13E+01	3.14E+00	2.11E+00	2.18E+00	1.22E+01
CPCT02060136T	5.26E+00	2.47E+01	7.33E+00	2.33E+01	3.06E+00	6.18E+00	3.13E+00	6.28E+00
CPCT02290036T	4.35E+00	1.97E+01	9.47E+00	2.20E+01	3.43E-02	3.77E-01	1.23E+00	2.66E+00
WIDE01010426T	3.54E+00	1.92E+01	5.42E+00	1.97E+01	1.08E+00	6.94E-01	1.14E+00	1.60E+00
WIDE01010379T	2.58E+00	1.21E+01	4.25E+00	1.20E+01	1.87E+00	1.06E+00	1.58E+00	1.77E+00
CPCT02390022T	3.39E+00	1.32E+01	4.70E+00	1.41E+01	2.32E+00	8.43E-01	1.11E+00	7.00E+00
WIDE01010429T	6.11E+00	3.75E+01	7.32E+00	3.62E+01	2.36E+00	1.80E+00	1.46E+00	2.34E+00
WIDE01010434T	4.52E+00	1.71E+01	5.31E+00	1.53E+01	2.78E+00	1.27E+00	1.09E+00	1.47E+00
CPCT02050355T	4.82E+00	3.17E+01	9.06E+00	3.32E+01	2.20E+00	9.92E-01	1.70E+00	5.05E+00
CPCT02010835T	9.09E+00	2.64E+01	7.21E+00	2.80E+01	4.44E+00	1.25E+00	2.82E+00	5.92E+00
DRUP01020053T	3.60E+03	3.55E+03	4.04E+02	1.03E+03	3.57E+01	5.24E+00	1.28E+01	5.36E+01
DRUP01040016T	2.57E+03	2.77E+03	2.80E+02	7.42E+02	3.54E+01	4.74E+00	7.23E+00	1.97E+01
CPCT02010841T	5.32E+00	2.08E+01	6.27E+00	2.18E+01	2.61E+00	1.43E+00	1.85E+00	4.25E+00
WIDE01010441T	4.89E+00	1.68E+01	5.42E+00	1.03E+01	5.73E+00	9.61E-01	2.28E+00	5.23E+00
CPCT02010786T	1.60E+03	1.65E+03	1.44E+02	4.41E+02	3.04E+01	2.99E+00	4.73E+00	1.22E+01
WIDE01010439T	2.61E+00	1.74E+01	5.14E+00	1.79E+01	1.52E+00	3.89E-01	9.37E-01	1.34E+00
CPCT02010839T	4.03E+00	2.25E+01	8.65E+00	2.37E+01	2.73E+00	7.23E-01	1.59E+00	3.80E+00
DRUP01050025T	9.88E+00	3.22E+01	3.18E-01	2.88E+01	7.21E+00	1.05E+00	3.71E+00	1.41E+01
WIDE01010446T	3.55E+00	2.28E+01	4.16E+00	2.08E+01	3.15E+00	1.58E+00	1.42E+00	2.54E+00
WIDE01010447T	6.15E+00	2.86E+01	1.02E+01	2.98E+01	8.39E-01	8.85E-01	1.69E+00	1.72E+00
WIDE01010425T	8.19E+00	4.55E+01	1.06E+01	4.70E+01	2.20E+00	2.04E+00	2.06E+00	3.65E+00
WIDE01010442T	7.58E+00	5.05E+01	1.26E+01	5.38E+01	1.82E+00	1.37E+00	2.17E+00	4.68E+00
WIDE01010451T	1.91E+01	1.50E+02	5.69E+00	1.43E+02	7.21E+00	2.01E+00	7.51E+00	6.85E+00
CPCT02160049T	5.99E+00	3.35E+01	7.77E+00	3.10E+01	6.93E+00	1.90E+00	2.93E+00	5.52E+00
WIDE01010456T	5.00E+00	3.20E+01	6.45E+00	3.14E+01	2.20E+00	2.42E+00	2.47E+00	3.05E+00
CPCT02330111T	5.71E+00	2.74E+01	8.86E+00	2.84E+01	3.48E+00	6.17E-01	1.20E+00	3.13E+00
CPCT02120136T	1.08E+00	9.88E+00	4.35E+00	1.03E+01	1.13E+00	2.71E-01	9.23E-01	2.08E+00
CPCT02030493T	2.01E+00	8.45E+00	4.23E+00	8.52E+00	1.94E+00	1.06E+00	1.13E+00	1.86E+00
CPCT02020757T	6.83E+00	4.36E+01	1.26E+01	4.59E+01	2.44E+00	1.92E+00	2.11E+00	5.82E+00
DRUP01030018T	3.89E+03	3.93E+03	3.80E+02	1.12E+03	3.41E+01	4.68E+00	1.26E+01	3.95E+01
CPCT02060239T	4.44E+00	2.26E+01	7.18E+00	2.04E+01	6.87E+00	6.07E-01	2.43E+00	6.13E+00
CPCT02330112T	8.85E+00	1.12E+01	1.52E+01	1.63E+01	2.14E+01	1.01E+00	4.81E+00	2.10E+01
DRUP01330008T	7.75E+00	4.08E+01	6.40E+00	3.60E+01	2.68E+00	2.55E+00	4.36E+00	3.92E+00
CPCT02330043T	1.71E+01	5.50E+01	2.04E+01	4.09E+01	1.40E+01	2.74E+00	3.37E+00	6.09E+00
CPCT02010873T	4.50E+00	2.44E+01	4.89E+00	2.20E+01	1.34E+00	6.41E-01	1.22E+00	2.45E+00
CPCT02010860T	3.21E+00	1.82E+01	4.06E+00	1.80E+01	1.71E+00	2.59E-01	1.15E+00	1.48E+00
CPCT02090050T	2.47E+00	1.47E+01	5.11E+00	1.46E+01	1.62E+00	5.69E-01	1.38E+00	2.63E+00
CPCT02380047T	4.57E+00	2.51E+01	8.01E+00	2.50E+01	1.95E+00	1.57E+00	2.33E+00	2.95E+00
CPCT02050375T	7.46E+00	4.12E+01	1.10E+01	4.21E+01	1.91E+00	2.80E+00	2.12E+00	3.07E+00
CPCT02390027T	2.77E+00	1.49E+01	4.03E+00	1.45E+01	1.96E+00	4.94E-01	9.43E-01	1.42E+00
DRUP01050028T	9.11E+02	9.21E+02	7.95E+01	2.26E+02	1.71E+01	1.91E+00	3.43E+00	1.59E+01
CPCT02310013T	6.40E+00	4.10E+01	1.02E+01	4.06E+01	2.53E+00	1.91E+00	1.65E+00	3.83E+00
CPCT02120145T	1.59E+00	1.18E+01	3.80E+00	1.21E+01	1.15E+00	4.99E-01	1.13E+00	2.39E+00
WIDE01010606T	1.97E+03	2.05E+03	7.50E+02	7.86E+02	0.00E+00	1.36E+01	0.00E+00	7.21E+01
CPCT02110071T	7.32E+00	4.15E+01	1.23E+01	4.21E+01	2.76E+00	1.85E+00	3.60E+00	4.24E+00
CPCT02320005T	7.10E+00	4.14E+01	7.47E+00	3.81E+01	2.58E+00	2.80E+00	2.33E+00	3.35E+00
CPCT02290044T	4.11E+00	2.70E+01	7.10E+00	2.57E+01	2.46E+00	2.23E+00	1.62E+00	3.41E+00
CPCT02020758T	2.53E+00	1.26E+01	4.16E+00	1.27E+01	1.08E+00	4.17E-01	8.99E-01	1.67E+00
DRUP01010047TII	1.81E+03	1.78E+03	1.36E+02	4.82E+02	3.52E+01	3.38E+00	7.28E+00	1.56E+01
CPCT02010880T	4.47E+00	2.06E+01	4.33E+00	1.67E+01	2.32E+00	8.86E-01	2.05E+00	2.85E+00
CPCT02010884T	3.19E+00	1.59E+01	4.17E+00	1.43E+01	2.48E+00	2.91E+00	1.62E+00	2.57E+00
WIDE01010460T	3.01E+03	2.88E+03	3.51E+02	8.46E+02	4.94E+01	5.61E+00	1.23E+01	5.15E+01
CPCT02010882T	3.00E+03	2.97E+03	2.82E+02	7.87E+02	3.18E+01	4.12E+00	8.12E+00	4.72E+01
CPCT02080244T	4.58E+00	2.41E+01	6.20E+00	2.23E+01	2.21E+00	1.52E+00	2.16E+00	2.85E+00
CPCT02010881T	4.81E+00	2.62E+01	4.68E+00	2.50E+01	2.09E+00	6.92E-01	1.74E+00	2.81E+00
CPCT02170033T	3.39E+00	1.77E+01	4.19E+00	1.55E+01	5.45E+00	1.21E+00	1.67E+00	4.29E+00
CPCT02120079T	3.84E+00	1.93E+01	7.64E+00	2.22E+01	1.78E+00	4.57E-01	1.13E+00	3.17E+00
CPCT02040258T	5.76E+00	3.17E+01	5.38E+00	2.76E+01	3.43E+00	4.83E+00	3.00E+00	3.73E+00
CPCT02040269T	4.08E+00	2.68E+01	5.31E+00	2.44E+01	4.99E+00	1.49E+00	2.22E+00	4.75E+00
