Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02210042T	341	0	175	371	32	39	94	88
DRUP01070039T	320	0	0	227	28	17	102	426
CPCT02220067T	370	115	639	284	138	196	444	90
CPCT02340057T	578	0	633	319	24	27	174	114
CPCT02010743T	475	0	243	516	29	174	173	89
CPCT02030454T	566	41	415	379	125	75	116	128
CPCT02320001T	907	142	624	706	105	973	197	142
CPCT02390017T	444	215	409	415	89	180	101	180
CPCT02370012T	301	1667	466	427	125	89	412	410
CPCT02240007TII	301	0	431	513	111	123	34	207
CPCT02010747T	151	104	538	364	19	47	23	107
CPCT02010750T	419	181	591	279	25	88	58	92
CPCT02330092T	175	35	74	336	74	12	83	74
DRUP01340017T	144752	47482	0	0	1176	1093	570	0
CPCT02060259T	504	430	629	249	149	135	63	124
CPCT02080197T	430	131	622	473	88	37	139	152
CPCT02110059T	644	0	216	282	216	47	41	130
CPCT02220076T	170	324	535	248	26	17	88	49
CPCT02010751T	57	0	277	358	85	18	23	52
CPCT02220077T	284	0	198	205	157	290	48	37
DRUP01060010T	1039	0	430	498	55	348	108	213
CPCT02140061T	715	150	95	332	34	32	68	124
CPCT02270018T	246	165	449	240	20	48	64	50
CPCT02310007T	264	257	654	360	14	161	54	97
CPCT02230087T	460	419	812	367	30	76	107	106
CPCT02150048T	619	523	787	259	31	260	1305	219
DRUP01010122T	108862	46309	3140	80	1684	268	0	0
CPCT02330095T	459	272	584	403	87	31	185	97
CPCT02340075T	717	500	987	531	0	33	102	92
DRUP01010072T	229	216	552	386	45	181	77	204
CPCT02330087T	126	0	225	266	256	401	72	168
CPCT02240010T	560	111	749	476	90	192	111	130
CPCT02110062T	175	623	1155	33	136	177	326	800
WIDE01010038T	151	51	281	104	121	273	53	92
CPCT02050325T	423	299	733	224	83	276	216	353
CPCT02050327T	356	420	649	414	34	53	74	205
CPCT02050329T	487	389	687	594	225	226	94	195
WIDE01010060T	153	237	347	226	224	78	35	56
WIDE01010100T	285	405	367	135	32	70	31	33
DRUP01340006T	433	154	347	319	852	235	360	246
CPCT02220036T	412	167	437	250	93	216	118	84
WIDE01010066T	559	324	421	180	54	69	131	167
WIDE01010077T	301	199	482	241	0	77	47	168
CPCT02040226T	362	485	762	307	0	22	75	70
CPCT02330098T	262	0	0	367	57	23	24	185
WIDE01010091T	163	292	492	169	55	69	239	102
CPCT02110064T	194	143	322	253	58	49	227	99
WIDE01010063T	115	229	316	36	81	58	90	166
WIDE01010097T	148	255	501	162	50	22	31	63
WIDE01010096T	262	314	452	0	134	23	215	481
CPCT02370022T	313	369	710	387	31	158	163	82
CPCT02020695T	193	209	533	212	68	32	135	455
CPCT02100201T	494	199	752	192	2	41	145	106
CPCT02050335T	140	0	232	402	183	273	30	114
CPCT02160040T	328	137	281	251	377	595	687	860
CPCT02240012T	258	240	174	216	265	146	80	226
WIDE01010128T	403	373	767	247	0	229	13	57
CPCT02220081T	218	89	320	184	15	57	173	59
CPCT02100165T	324	139	338	242	121	163	98	98
DRUP01230004T	130587	45188	0	0	1232	289	875	273
DRUP01060002T	188	0	169	1089	48	237	15	328
WIDE01010206T	212	259	445	256	267	730	64	52
WIDE01010001T	240	184	213	158	22	39	16	34
CPCT02120112T	616	241	1024	514	0	223	107	265
CPCT02120119T	393	79	320	584	51	7	83	152
WIDE01010154T	288	485	990	177	343	15	150	325
CPCT02370020T	551	0	419	623	34	37	75	143
CPCT02230090T	243	555	345	420	178	84	136	196
CPCT02210048T	89	0	60	398	112	143	51	125
WIDE01010159T	920	328	768	416	0	34	107	80
WIDE01010179T	387	294	815	382	36	74	44	57
WIDE01010177T	144	198	668	219	142	132	101	99
WIDE01010166T	488	192	600	0	52	73	69	819
CPCT02130069T	180	232	517	309	0	74	47	69
WIDE01010168T	526	362	834	353	150	102	47	57
CPCT02340074T	432	0	246	809	81	308	268	174
CPCT02290032T	323	0	119	527	17	6	18	104
WIDE01010200T	561	489	640	231	445	74	119	135
DRUP01340016T	100856	46977	11147	3166	0	86	0	0
WIDE01010228T	239	532	464	629	73	23	109	154
WIDE01010227T	516	366	794	377	0	82	71	101
WIDE01010232T	380	374	398	182	0	21	53	48
WIDE01010196T	223	283	498	273	6	70	76	48
CPCT02050352T	388	211	550	393	36	540	22	43
CPCT02100173T	393	0	292	641	53	464	43	110
CPCT02210049T	327	166	283	422	79	163	107	108
WIDE01010236T	276	201	541	267	41	80	55	56
CPCT02210050T	344	363	1096	447	0	96	40	85
WIDE01010218T	790	647	958	412	0	112	68	74
WIDE01010261T	204	488	724	290	0	43	53	69
CPCT02350002T	673	338	420	451	84	210	51	249
CPCT02130089T	421	0	237	567	0	77	89	409
WIDE01010251T	140	150	280	178	62	124	61	77
WIDE01010273T	120	252	309	117	31	29	28	49
WIDE01010252T	120	310	637	315	0	69	55	49
WIDE01010258T	251	167	484	151	61	115	209	104
WIDE01010291T	775	331	315	191	127	41	185	126
CPCT02120124T	210	67	370	391	52	302	31	180
WIDE01010269T	232	325	473	101	201	377	132	530
CPCT02060231T	538	50	802	437	118	741	76	117
WIDE01010300T	259	268	477	235	68	161	157	155
WIDE01010319T	254	287	1258	357	61	1073	40	47
WIDE01010327T	235	218	594	193	12	27	59	47
CPCT02230100T	923	478	922	534	0	444	110	137
WIDE01010338T	569	441	934	434	73	139	96	165
CPCT02380040T	185	323	532	229	101	285	199	63
WIDE01010299T	176	309	216	318	111	435	95	83
WIDE01010353T	127	145	199	166	83	15	77	89
CPCT02190017T	109	0	175	324	53	342	83	100
WIDE01010366T	109	557	1005	253	0	78	64	92
CPCT02190037T	200	77	483	447	105	884	19	132
WIDE01010389T	72	119	150	120	34	21	25	35
CPCT02050354T	251	375	356	232	62	73	100	97
CPCT02040122T	118	221	455	221	41	191	193	78
DRUP01070080T	105130	20187	0	0	7523	68	477	0
WIDE01010027T	135	219	329	42	26	87	19	67
CPCT02050358T	545	1126	1569	651	0	37	27	110
WIDE01010407T	630	0	681	404	51	550	639	68
DRUP01050026T	486	0	0	939	66	222	149	296
CPCT02060136T	817	0	791	663	80	1478	209	231
CPCT02290036T	153	147	673	280	0	4	55	47
WIDE01010426T	176	214	297	169	4	25	34	38
WIDE01010379T	78	157	215	118	12	73	100	101
CPCT02390022T	103	0	0	608	104	32	20	183
WIDE01010429T	142	345	555	269	120	227	66	95
WIDE01010434T	340	86	456	152	176	92	32	55
