Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP18310	2.62E+03	2.57E+03	2.56E+02	8.69E+02	4.72E+01	3.43E+02	4.06E+00	4.48E+01	4.40E+01	0.00E+00	8.19E+00	9.03E-02	9.66E-01
SP17172	9.78E+02	9.30E+02	1.21E+02	1.22E+02	6.29E+00	1.12E+02	2.92E+00	5.47E+00	1.09E+01	5.60E+00	4.81E+00	1.21E+00	6.69E-01
SP96133	1.59E+03	1.54E+03	1.82E+02	4.87E+02	2.77E+01	2.19E+02	2.88E+00	2.71E+01	4.55E+01	3.93E+00	7.13E+00	8.10E-01	5.57E-01
SP110242	2.22E+03	2.15E+03	4.15E+02	7.41E+02	1.06E+02	6.02E+02	5.63E+00	9.94E+01	4.99E+01	5.73E+00	1.59E+01	2.17E+00	2.21E+00
SP114330	5.59E+00	5.02E+00	1.04E+01	2.44E+00	2.94E+00	1.24E+01	6.36E-01	3.39E+00	3.28E+00	1.82E+00	3.82E+00	9.24E-01	6.25E-01
SP21017	2.10E+03	2.04E+03	2.37E+02	6.29E+02	5.07E+01	3.33E+02	4.10E+00	4.34E+01	4.48E+01	1.22E+00	9.17E+00	1.39E-01	6.61E-01
SP22383	1.70E+03	1.64E+03	2.14E+02	5.29E+02	9.18E-01	2.37E+02	2.68E+00	2.64E+01	6.01E+01	1.63E+00	7.48E+00	3.80E-01	3.98E-01
SP81312	9.12E+01	9.54E+01	1.59E+02	2.96E+01	1.70E+00	1.82E+02	7.90E+00	1.60E+00	2.08E+01	3.67E+00	1.63E+01	9.35E-01	7.98E-01
SP22031	1.40E+01	1.24E+01	5.74E+01	5.66E+00	1.86E+00	6.02E+01	2.59E+00	2.72E+00	3.71E+00	1.09E+00	4.25E+00	6.84E-01	5.86E-01
SP96112	3.65E+00	3.14E+00	4.99E+00	1.81E+00	1.53E+00	4.81E+00	2.78E-01	3.09E+00	1.32E+00	1.38E+00	2.53E+00	9.60E-01	3.63E-01
SP19215	1.60E+03	1.56E+03	1.98E+02	6.00E+02	5.08E+00	2.60E+02	2.27E+00	2.50E+01	6.50E+01	4.22E-01	5.18E+00	0.00E+00	1.82E-01
SP96120	1.02E+01	9.59E+00	1.43E+01	1.99E+00	4.30E+00	1.69E+01	1.62E+00	4.77E+00	2.20E+00	1.87E+00	5.34E+00	1.41E+00	5.83E-01
SP16886	2.84E+01	2.70E+01	1.36E+02	1.99E+01	2.31E+00	1.53E+02	7.18E+00	3.05E+00	1.10E+01	2.80E+00	1.44E+01	3.15E-01	1.07E+00
SP96124	1.20E+01	1.19E+01	1.19E+01	1.13E+00	4.03E+00	1.53E+01	5.11E-01	3.82E+00	1.27E+00	1.44E+00	3.36E+00	8.72E-01	3.06E-01
SP19295	2.12E+01	2.17E+01	5.70E+01	7.79E+00	3.26E+00	6.09E+01	2.91E+00	3.19E+00	4.23E+00	1.47E+00	5.95E+00	1.06E+00	5.38E-01
