MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	0.004305537461768836	0.0027201144353603012	0.054846372772008184	0.044447536347433925	0.03909664657898247	0.003236158152576536	0.03003122001886368	0.1633889815211296
1:Del:C:1	0.00163892447570106	0.0012425643634378502	0.017366023301146925	0.020088787395507096	0.007056675126077608	0.004343935808356037	0.012179196735378355	0.13852693840861321
1:Del:C:2	0.0017390125311794692	0.0003920360877236817	0.0019342281766876112	0.007310225448218261	0.004158645299321506	0.0020917884297523416	0.004940740947349695	0.09475174568593502
1:Del:C:3	0.003007117947563529	0.0017668037631665356	0.0037482014077249914	0.004610874342324678	0.0003594980273010151	0.005410588457016275	0.001988152829508181	0.03674966476857662
1:Del:C:4	0.004851690563373268	0.0008315438928548247	0.004988340850686655	0.0008803915156022412	3.538265824317932e-05	0.0025737171235959977	0.0015385446905477806	0.022275388492271304
1:Del:C:5	0.019085272531956434	0.0013369314578812919	0.001787467745016329	0.0015689286377164535	0.005539131421828642	0.007696101700421423	0.0032504818847519344	0.017095788018777966
1:Del:T:0	0.0005425318045052218	0.00283538256684551	0.09944136871024967	0.02293706512078643	0.032655049515888095	0.015866534202359617	0.013307340368628502	0.039065969120711086
1:Del:T:1	0.0009483220609399723	0.00033528787520481273	0.13977049699053168	0.0026484899409115314	0.03261125528719276	0.005549344942119205	0.004599189724722237	0.022129528485238553
1:Del:T:2	0.002851475088391453	0.003525315180886537	0.05919965256936848	0.024301347485743464	0.01671656308695674	0.005310950039420277	0.01294597345404327	0.01878748252056539
1:Del:T:3	0.011134187337011098	0.004333357110735961	0.0822724039806053	0.015798070796299725	0.009749454656266608	0.01346974154934287	0.014296943475492298	0.03231100015342236
1:Del:T:4	0.02959005694836378	0.005359487808309495	0.07651710350066424	0.015658192848786712	3.5439510829746725e-05	0.017656265264376997	0.015283651773352176	0.014814384384080767
1:Del:T:5	0.7271137464046479	0.03826376280281693	0.08971021598670631	0.046079725897119485	0.0008157639810815454	0.34666293375194074	0.07594771603922709	0.011351464957154991
1:Ins:C:0	0.001722323476985822	0.00017786150914616883	0.004243904529503631	0.0005761126901427361	0.0053791469619307005	0.2771780548989773	0.002438025793593397	0.002018014369332617
1:Ins:C:1	0.0002475208141913754	0.0015561782197619323	0.004460203128692228	0.005144491047831252	0.007044120318023488	0.011407120004296303	0.0006295608621076098	0.002748788422322832
1:Ins:C:2	0.00031619911875168326	0.0005509814064043894	0.0027356868801871313	0.0048137162090279165	0.0017435069245402702	0.0014633378567668843	0.0008836464218438777	0.0056393362861126665
1:Ins:C:3	0.0006186003422772046	0.0020626600668765603	0.0021622237421979663	0.0006613706134339736	0.0032593691401416438	0.0007711373283382272	0.00010660128053132212	0.005810248793568462
1:Ins:C:4	0.0016413002804620191	0.00263822229928337	0.006172590997884982	0.0019567149551585317	0.002594358969217865	0.0006838048552435794	0.00032627407133986705	0.002805510818725452
1:Ins:C:5	0.009966961573809385	0.029343501441180708	0.009698324322234839	0.007615921507140229	0.01298933888087049	0.00610023297893349	0.0035190367538598367	0.00567453105119057
1:Ins:T:0	0.0011918636891641654	0.005269584183115512	0.007558083551703021	0.0030298796986471645	0.024361671349033713	0.01650216702371836	0.006009039168711752	0.020616450756788255
1:Ins:T:1	0.0	0.0036378907912876456	0.0056244502571644265	0.016487142061814664	0.015635809481609614	0.006785496398806572	0.006883642968023196	0.06486154057085514
1:Ins:T:2	0.0008528143128205556	0.004985090282279998	0.006459443176281638	0.00278294962925429	0.007226528505561873	0.00427272126195021	0.004359785202541389	0.045644092988222834
1:Ins:T:3	0.0008575927556375973	0.005175022166222334	0.009501357993576676	0.00701547333272174	0.007276024422608316	0.00314304037601687	0.002287341051323892	0.02161116753704846
1:Ins:T:4	0.0020940157212316988	0.014896394982933998	0.016000030236318706	0.007302411521377508	0.000973848099783936	0.0013569588055179337	0.002708741981041385	0.010844725873321295
1:Ins:T:5	0.10056052051484585	0.7394550466537475	0.15349618572746984	0.21168654303997755	0.09522811447735888	0.13647592294961214	0.10479520458728075	0.02522415350773372
2:Del:R:0	0.002641331914346665	0.001546934793695982	0.007448934902786277	0.027208530865609645	0.010761687736958266	0.002174161467337399	0.00778329154709354	0.016080821873620154
2:Del:R:1	0.004796026663389057	0.008340010808315129	0.009807915443961973	0.054729851454030726	0.00432935612865549	0.00712882585823536	0.00707032041857019	0.00929893549066037
2:Del:R:2	0.0018154488084837794	0.002332815866684541	0.004104857154306956	0.01257602526107803	0.0031816928059561177	0.0008554376347956349	0.001640488782140892	0.00945715928915888
2:Del:R:3	0.003338870988227427	3.731989875177533e-05	0.00018400308811795441	0.0005143667162701604	0.003239167079445906	0.0003642375832714606	6.373433985572774e-05	0.005097558465786278
2:Del:R:4	0.0019938888144679368	1.1766594179789535e-05	2.585861482657492e-05	0.00019468373395284288	0.0025365524226799606	0.0003969109952595318	0.00022854180021568028	0.0022727663823752663
2:Del:R:5	0.005019935984164476	0.0	8.561291731894016e-05	0.0004408377410072717	0.008657481393311173	0.0	0.000977686860205722	0.0017969969784462593
3:Del:R:0	0.00037604336022923235	1.2408301518007648e-05	0.0036796391822281295	0.007803873268421739	0.005033104212488979	0.0005136646807500256	0.007373617431148886	0.0027701931519550273
3:Del:R:1	0.004605763689614833	0.008159332973882556	0.005207770422635747	0.049919380089268085	0.0015362012926198076	0.005652054339880124	0.0033738124211959075	0.0030899088166188447
3:Del:R:2	0.0018499262182740494	0.00167238611204084	0.0007090148107181449	0.01260626214556396	0.002013473372790031	0.001367295954714791	0.0002703455986920744	0.0001963709688394033
3:Del:R:3	0.0004037329406128265	0.0001025076064206587	0.000502510138536465	0.0034217391117999795	0.0011776601750170812	0.00018114257043635006	0.0	0.00025754251101458794
3:Del:R:4	0.0002644207523553632	5.1368694125812906e-05	6.493898306899837e-05	0.0007237167008679535	0.001647045679274015	0.00017584810655534965	0.00038862638026330385	1.33680633224742e-05
3:Del:R:5	0.0003336160742037464	7.890715264693427e-06	8.000751674252626e-05	0.0005479199928595335	0.0010189932189419437	0.0001745720168605658	0.0004248347581778944	1.1626659029460029e-05
4:Del:R:0	0.00020139506801001517	4.557432330329902e-06	0.0031239192391512914	0.006474458069133107	0.006943804640322924	0.00016620018873254595	0.005440720178885385	0.00070117254550496
4:Del:R:1	0.003020578814903274	0.002353422306186985	0.0019828368777234573	0.035875151446089146	0.005946545393089764	0.004466128725325689	0.0037997646676376463	0.0008978244307218119
4:Del:R:2	0.0007952422130620107	0.0001692592983954455	0.000374263111698383	0.008949079422745854	0.0060920760040608	0.0008003345465112943	8.319672684592661e-05	0.0006128237831580918
4:Del:R:3	0.0007321477579534985	0.0005776951768348226	5.357965528673958e-05	0.0019207449561508838	0.00318772319908021	2.0483499247347937e-06	0.00036168911150525674	0.000247441738892995
4:Del:R:4	0.0003129409319080878	2.8911811486977968e-05	0.00010893246468768325	0.0007446018837435986	0.0007995459316589403	4.3328259089321363e-05	0.0003251218074001372	0.00011216428102493125
4:Del:R:5	0.0003636897490650881	1.1635348378149502e-05	1.503007658492983e-05	0.00021197736411076917	0.0010047976240739498	0.0	5.888077534272895e-06	1.541958295570467e-05
5:Del:R:0	4.642212006729096e-06	0.0002394372597347072	0.01130587558960542	0.0268774749757722	0.07309979431331158	0.002837262693647062	0.07237747676670551	0.013811069692274032
