Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP127630	1.27E+01	9.10E+00	1.93E+01	3.73E+00	2.75E+00	1.72E+00	9.93E-01
SP127634	9.10E+00	7.96E+00	1.68E+01	6.52E+00	8.31E+00	5.78E+00	9.03E-01
SP127636	9.30E+00	7.10E+00	1.45E+01	3.40E+00	3.98E+00	1.94E+00	7.43E-01
SP127628	5.86E+00	4.58E+00	8.15E+00	2.30E+00	1.96E+00	6.43E-01	3.34E-01
SP127640	1.10E+01	5.13E+00	1.40E+01	3.65E+00	3.30E+00	1.67E+00	4.84E-01
SP127638	1.15E+01	1.29E+01	2.22E+01	3.71E+00	2.32E+00	1.86E+00	5.11E-01
SP127632	1.92E+01	7.62E+00	2.50E+01	8.64E+00	2.81E+00	3.09E+00	7.74E-01
SP59388	4.21E+00	4.20E+00	7.24E+00	1.72E+00	1.27E+00	5.29E-01	2.40E-01
SP116649	7.71E+00	5.33E+00	1.13E+01	3.90E+00	4.48E+00	1.27E+00	0.00E+00
SP59416	5.32E+00	3.15E+00	7.12E+00	2.42E+00	2.31E+00	1.14E+00	2.55E-01
SP124977	8.98E+00	4.97E+00	1.20E+01	2.26E+00	2.00E+00	1.07E+00	6.76E-01
SP59356	3.43E+00	2.82E+00	4.76E+00	2.26E+00	1.92E+00	8.31E-01	0.00E+00
SP116612	6.78E+00	3.16E+00	8.20E+00	2.90E+00	2.17E+00	1.88E+00	0.00E+00
SP116659	5.50E+00	6.77E+00	1.02E+01	4.31E+00	4.31E+00	1.21E+00	4.00E-01
SP116668	1.59E+01	8.45E+00	2.42E+01	1.06E+01	1.20E+01	1.63E+00	3.72E-01
SP116630	1.99E+01	8.70E+00	2.41E+01	3.14E+00	1.74E+00	2.43E+00	0.00E+00
SP59412	8.75E+00	5.03E+00	1.08E+01	3.03E+00	2.80E+00	1.55E+00	3.14E-01
SP116686	3.31E+00	2.43E+00	4.84E+00	3.23E+00	2.68E+00	1.73E+00	0.00E+00
SP116694	8.27E+00	4.97E+00	1.14E+01	3.71E+00	4.50E+00	1.78E+00	5.98E-01
SP116712	1.72E+00	1.46E+00	1.91E+00	9.23E-01	8.51E-01	6.59E-01	2.61E-01
SP116726	8.99E+00	7.73E+00	1.47E+01	3.84E+00	2.66E+00	1.32E+00	5.73E-01
SP116723	2.18E+00	1.41E+00	2.88E+00	2.04E+00	1.97E+00	7.54E-01	2.88E-01
SP59276	1.61E+00	2.45E+00	3.26E+00	1.26E+00	1.01E+00	6.22E-01	3.00E-02
SP116703	2.60E+00	1.55E+00	3.28E+00	2.39E+00	2.42E+00	7.21E-01	8.04E-02
SP59312	9.20E+00	7.52E+00	1.42E+01	3.45E+00	2.75E+00	1.44E+00	6.18E-01
SP116701	4.94E+00	3.41E+00	6.65E+00	4.03E+00	3.87E+00	1.95E+00	3.72E-01
SP59296	2.73E+00	2.28E+00	4.20E+00	1.20E+00	1.35E+00	0.00E+00	3.72E-01
SP59280	4.17E+00	3.51E+00	5.87E+00	1.89E+00	1.99E+00	2.29E-01	2.55E-01
SP59344	2.05E+00	2.62E+00	4.06E+00	1.18E+00	1.25E+00	4.40E-01	2.07E-01
SP59460	6.01E+00	6.00E+00	1.04E+01	4.05E+00	3.20E+00	1.00E+00	2.52E-01
SP59404	3.20E+00	3.11E+00	5.51E+00	1.02E+00	7.81E-01	5.44E-01	0.00E+00
SP116709	3.61E+00	4.07E+00	6.72E+00	2.36E+00	1.90E+00	1.33E+00	5.97E-01
