Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
CPCT02080162T	277	2658	1730	13	2827	2662	65	171	0	410	166	553	0	16
DRUP01010044T	2218	267	125	0	646	305	0	0	0	0	162	389	0	636
CPCT02050252T	1303	0	4	0	768	647	4	0	0	0	166	293	0	1151
CPCT02210016T	59418	34402	31763	51582	4364	7734	3775	844	1102	136	2454	1011	0	0
CPCT02050170T	5374	7557	1495	0	0	2970	800	87	378	0	675	427	0	0
CPCT02010569T	1343	339	62	0	576	521	0	37	0	95	360	308	143	92
CPCT02100019T	60822	22715	0	2141	9293	5362	7660	548	0	0	299	2643	0	163
CPCT02020514T	6563	21429	2836	1188	0	1279	890	246	504	0	398	424	0	36
CPCT02070140T	12450	12470	4987	0	912	5605	3111	961	138	229	731	650	101	0
CPCT02030347T	69758	0	27224	46790	4908	7386	0	8674	22	193	1436	0	927	0
CPCT02180033T	3704	7399	911	0	689	1309	481	148	110	129	888	122	0	0
CPCT02070164T	13693	8759	0	0	2945	2369	1441	53	17	4	50	889	0	48
DRUP01070015T	30632	14442	6871	0	2697	6064	5980	1347	24	164	1084	0	26	0
DRUP01010022T	24148	11764	5953	2235	1878	2299	4210	337	41	53	491	0	0	0
CPCT02030349T	25678	12169	5574	0	3930	1853	5670	354	0	118	618	0	0	0
CPCT02120032T	6362	1647	294	0	1136	863	719	454	171	139	0	47	0	70
DRUP01010025T	57090	20823	15682	34532	8518	4382	3592	2617	1036	0	744	0	0	0
CPCT02220023T	0	0	0	0	46	0	370	202	0	5143	194	275	0	131
CPCT02100101T	729	0	1582	0	3357	8381	0	0	215	33	57	767	0	8
CPCT02030357T	49726	22207	47051	55823	10242	10901	6578	84	1247	0	2308	2139	209	68
CPCT02070192T	23759	9047	4639	0	3031	4345	2782	1092	0	258	346	0	582	0
CPCT02050211T	41957	19268	14355	10931	3394	9622	4072	2298	156	0	374	254	0	152
CPCT02380016T	3816	0	1204	0	384	133	263	0	0	0	64	0	0	1858
DRUP01090003T	38033	24857	28623	14372	5619	7246	4364	0	963	0	711	1120	0	265
CPCT02230039T	638	1039	0	0	398	265	0	330	0	199	152	428	371	463
DRUP01010037T	7242	8558	13316	603	1093	2786	2228	0	258	0	1259	1555	0	0
CPCT02120042T	72591	23275	29157	48021	3158	9231	2627	1892	1580	0	2522	770	0	36
DRUP01070020T	12306	10990	0	0	3095	1983	1154	0	0	0	0	2222	0	0
CPCT02340022T	1372	0	0	0	5416	423	0	528	0	0	0	1599	0	1031
CPCT02070041T	3701	6986	1003	0	875	902	0	0	160	0	44	650	0	0
DRUP01140001T	3507	5735	0	0	1800	1775	369	61	56	171	64	686	311	44
CPCT02210004T	14118	12118	4326	0	3582	3227	6105	864	0	354	1097	136	0	0
CPCT02050089T	1718	509	202	0	831	462	0	184	18	76	62	158	64	136
CPCT02050104T	78	0	0	75	0	81	0	0	0	0	0	0	0	4931
CPCT02050041T	478	1237	0	0	504	376	0	133	0	64	447	516	808	375
DRUP01050001T	39104	23588	24129	21316	3577	9121	3889	1792	486	167	1416	63	0	0
DRUP01050003T	0	0	0	154	81266	20221	0	301	833	0	0	2166	0	0
DRUP01070008T	52941	21160	10193	0	5665	10587	9882	1776	1	782	860	743	785	0
CPCT02370001T	1574	0	271	0	682	240	80	0	0	0	227	132	0	1483
CPCT02020491T	0	0	0	32	535	500	483	286	27	4731	163	183	0	62
CPCT02020486T	908	841	117	0	737	317	0	230	0	150	190	334	59	166
DRUP01010018T	49580	24046	34370	29705	6198	12770	6537	664	578	260	1334	1203	0	474
DRUP01050002T	66272	23373	27646	32564	3746	16365	7263	3102	630	209	1751	1793	0	262
CPCT02040104T	0	0	0	180	0	0	34	111	0	2645	2838	461	456	217
CPCT02070131T	8695	3540	1703	0	1543	1626	1463	540	38	101	332	0	456	0
DRUP01070026T	24617	11327	5438	0	2994	5957	3632	1008	0	276	351	0	425	0
CPCT02380029T	36879	0	32375	5583	2557	0	4718	2520	0	86	1361	0	206	7
CPCT02360007T	12024	16543	4000	0	1627	3631	2075	887	115	308	954	316	0	0
CPCT02340041T	1419	416	2	0	404	425	0	58	0	112	395	415	217	398
CPCT02040196T	1001	486	0	0	561	434	0	35	0	35	294	494	368	188
DRUP01110002T	26167	18305	15538	2139	2325	9385	5853	904	532	47	985	1316	0	0
CPCT02220030T	35083	20793	12225	66	5688	15240	7700	1186	0	315	1008	1201	0	0
DRUP01050017T	31287	21460	4771	4398	3116	2183	620	0	302	0	446	1702	0	0
CPCT02030430T	2411	4857	1524	0	1779	2920	193	0	0	11	427	908	0	31
CPCT02070023TII	67697	20802	13647	0	5737	12208	11669	2137	23	816	928	1491	935	0
WIDE01010443T	503	410	101	0	1341	1074	0	17	0	61	93	212	0	318
WIDE01010470T	8723	0	98	0	11284	0	0	4427	333	309	0	2067	0	1814
DRUP01010167T	19772	5019	6460	0	2354	2137	5020	1271	432	58	130	0	31	0
CPCT02080048T	11073	5407	764	0	3808	1442	1878	220	372	689	24	3086	617	61
DRUP01070119T	3856	3106	16	0	753	449	212	0	0	0	70	438	0	0
WIDE01010539T	872	508	0	0	595	1127	0	79	2	65	215	329	113	200
WIDE01010557T	143	0	0	0	392	16	507	123	98	6389	0	507	0	136
WIDE01010578T	9370	6490	2335	0	0	2505	1207	498	228	0	1441	74	0	0
WIDE01010648T	0	130	112	39	425	166	46	203	0	3182	93	297	554	88
