Samples	ID83A	ID83B	ID83C	ID83D
SP117956	8	72	24	23
SP117975	7	42	31	8
SP2149	32	139	28	409
SP117113	7	39	147	16
SP117245	7	96	33	23
SP117402	16	72	29	3
SP117136	14	39	89	10
SP117378	8	58	50	25
SP116947	10	90	43	11
SP117369	1	118	38	0
SP117244	6	36	62	0
SP117162	13	88	20	5
SP117079	2	75	32	19
SP117344	15	32	88	441
SP118074	129	83	231	37
SP117598	6	348	56	131
SP117312	9	65	44	2
SP118038	3	44	78	15
SP117552	9	45	32	5
SP118073	4	68	65	15
SP117933	7	33	29	15
SP118012	9	95	33	16
SP117108	7	48	60	9
SP117812	14	59	22	14
SP117354	25	89	76	52
SP117370	10	41	85	8
SP116991	20	68	57	28
SP117629	8	26	22	550
SP124199	27	62	80	17
SP124195	15	47	112	18
SP117850	14	61	37	14
SP117127	14	35	73	15
SP117614	18	131	20	10
SP116948	15	104	147	26
SP117409	23	85	54	566
SP117593	14	60	54	19
SP117372	11	92	29	11
SP118077	21	71	34	42
SP117840	14	61	109	17
SP117363	31	248	110	115
SP117887	13	114	37	737
SP116946	18	96	54	23
SP117901	12	115	35	202
SP117454	15	76	53	14
SP124197	38	255	54	748
SP117919	38	10	52	786
SP117250	4	83	57	9
SP117983	23	66	93	31
SP117676	6	53	21	4
SP117011	11	93	54	28
SP117057	13	51	33	3
SP117126	10	87	81	16
SP117728	7	40	86	26
SP117618	11	23	56	11
SP117257	7	47	25	11
SP116963	14	39	38	10
SP117078	21	91	182	27
SP117944	14	100	47	311
SP117639	81	155	99	54
SP117834	37	125	71	28
SP117105	32	73	94	26
SP117785	16	116	12	8
SP117882	9	41	58	0
SP117778	22	143	111	28
SP117032	8	58	70	30
SP117710	11	278	38	80
SP117538	40	72	77	937
SP124207	356	104	347	42
SP117800	21	76	64	11
SP117724	27	69	93	25
SP124193	10	47	22	3
SP2293	8	251	66	8
SP2357	50	158	40	280
SP2144	4	49	25	303
SP2145	24	0	59	696
SP2147	40	4	142	1010
SP2146	8	56	14	238
SP2148	7	52	23	243
SP2150	14	64	49	14
SP2152	4	35	57	7
SP2349	59	130	75	50
SP2155	37	41	47	665
SP2154	37	95	40	1046
SP2158	35	69	126	19
SP2156	3	50	20	19
SP2159	19	88	47	6
SP2153	128	140	380	55
SP2160	20	54	65	35
SP2151	6	42	22	19
SP116341	17	41	27	505
SP116331	39	89	245	49
SP116351	53	103	77	32
SP116371	10	295	129	62
SP116361	19	55	14	299
SP116343	69	167	134	36
SP116333	54	107	110	92
SP116373	28	106	10	439
SP116363	9	47	7	248
SP116353	107	234	443	60
SP116345	28	100	166	19
SP116365	5	103	10	550
SP116375	126	147	189	35
SP116335	103	232	53	121
SP116355	9	120	12	232
SP116347	8	68	65	15
SP116367	55	182	69	88
SP116339	37	89	240	27
SP116349	15	93	67	25
SP116357	14	77	1	240
SP116359	16	130	26	458
SP116369	70	70	154	1049
SP116377	68	235	212	52
SP116379	36	73	142	41
SP7692	198	278	270	95
SP5052	25	340	17	1134
SP7785	66	147	319	716
SP3415	18	126	31	286
SP2799	14	75	78	28
SP9979	11	103	14	30
SP5393	141	242	134	68
SP11292	1	37	8	111
SP13036	259	239	390	67
SP7421	69	157	128	90
SP4875	38	311	33	756
SP8795	129	166	453	58
SP4820	55	126	110	1061
SP4593	20	88	34	22
SP8085	64	126	99	33
SP11235	47	64	100	31
SP6730	72	108	271	49
SP10635	8	76	47	14
SP5381	12	51	31	15
SP10084	119	430	54	75
SP9251	22	120	48	42
SP3016	128	230	102	253
SP11045	7	43	47	21
SP2826	20	118	34	155
SP11171	16	123	46	343
SP5784	81	198	116	60
SP8564	44	213	118	61
SP5844	127	278	122	56
SP6519	13	59	79	41
SP6766	11	69	61	45
SP5448	52	171	180	26
SP12049	40	230	13	1108
SP2714	47	210	42	815
SP2801	43	216	147	68
SP8891	42	85	52	487
SP9481	15	66	41	22
SP5808	72	191	196	416
SP6429	82	196	61	478
SP5017	61	58	381	32
SP8229	28	102	85	34
SP8157	16	83	43	71
SP5279	271	236	295	65
SP8660	18	7	40	746
SP11878	23	192	61	54
SP9433	29	102	68	15
SP2881	131	332	246	75
SP7378	33	67	47	52
SP9816	19	224	26	467
SP4265	14	87	36	136
SP2793	166	87	214	1456
SP6825	233	156	461	129
SP4523	29	99	149	36
SP9930	41	118	50	613
SP5820	22	115	193	11
SP10470	24	117	9	644
SP9648	45	266	45	673
SP4535	11	106	27	33
SP11808	58	115	152	15
SP96163	15	54	32	644
SP11948	5	73	62	767
SP4557	18	115	125	52
SP96147	22	151	59	24
SP10150	134	136	158	30
SP4472	21	45	69	683
SP6813	53	207	130	50
SP96511	47	56	24	1084
SP5636	53	64	126	23
SP5559	52	1026	114	81
SP3631	10	242	60	11
SP5473	116	210	80	76
SP8394	46	164	71	15
SP6115	23	94	102	25
SP7291	53	101	136	29
SP2997	13	107	82	42
SP8831	84	0	193	1769
SP2731	16	75	77	23
SP6223	21	173	47	310
SP7171	46	154	118	37
SP10563	25	101	140	34
SP8987	57	46	116	901
SP5980	34	178	11	888
SP12186	57	121	80	17
SP10944	61	244	136	66
SP2766	31	117	37	601
SP6673	73	412	203	1710
SP117698	20	79	77	35
SP124201	14	260	38	64
SP2143	7	71	23	11
SP124191	6	71	76	19
SP117247	5	76	88	32
SP117362	13	36	80	43
