MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
5:Ins:R:4	2.91E-05	2.42E-05	1.02E-05	7.59E-05	2.79E-05	3.98E-05	1.22E-05	4.95E-05	1.22E-04	4.41E-05
5:Ins:R:5	1.92E-05	3.06E-05	4.23E-07	5.30E-05	3.29E-05	2.44E-06	4.32E-05	4.05E-05	7.82E-05	1.33E-04
2:Del:M:1	5.35E-04	4.99E-04	2.07E-04	1.68E-03	6.81E-04	8.40E-04	2.40E-04	1.48E-03	2.52E-03	8.26E-04
3:Del:M:1	3.10E-05	9.00E-05	1.01E-04	4.33E-04	3.99E-04	2.91E-04	1.61E-04	4.00E-04	7.03E-04	2.14E-04
3:Del:M:2	2.15E-04	2.16E-04	1.84E-04	1.06E-03	4.13E-04	2.33E-04	1.89E-04	5.96E-04	1.87E-03	7.30E-04
4:Del:M:1	1.20E-04	1.74E-04	5.70E-05	4.44E-04	4.15E-04	2.68E-04	1.32E-04	4.63E-04	7.42E-04	2.69E-04
4:Del:M:2	1.50E-04	1.31E-04	9.93E-05	6.68E-04	3.26E-04	3.09E-04	1.92E-04	4.00E-04	1.17E-03	3.96E-04
4:Del:M:3	2.37E-04	1.44E-04	1.74E-04	1.18E-03	4.05E-04	4.91E-04	1.95E-04	6.88E-04	1.84E-03	4.95E-04
5:Del:M:1	1.90E-04	3.67E-04	1.13E-04	2.15E-03	3.31E-03	1.06E-03	8.77E-04	2.43E-03	3.47E-03	1.15E-03
5:Del:M:2	1.64E-04	2.21E-04	1.83E-04	9.62E-04	1.58E-03	4.85E-04	9.14E-04	8.25E-04	1.63E-03	9.16E-04
5:Del:M:3	1.70E-04	2.90E-04	1.08E-04	5.29E-04	6.07E-04	2.95E-04	8.02E-04	4.77E-04	6.36E-04	8.88E-04
5:Del:M:4	9.42E-05	1.28E-04	1.24E-04	1.81E-04	1.68E-04	3.30E-04	6.50E-04	3.78E-04	3.06E-04	5.22E-04
5:Del:M:5	3.51E-04	3.57E-04	1.97E-04	4.61E-04	1.80E-04	4.84E-04	6.28E-04	1.02E-03	4.69E-04	2.30E-04
