Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.99,0.98,NO,N/A,3487.0%,38.78%,112.37%,24.41%,94.25,0.2285,1.2721,0.054,0.634,0.934,0.244
3,0.97,0.97,YES,6.05e-03,568.0%,30.43%,109.83%,14.27%,92.86,0.2036,1.2055,0.03,0.608,0.963,0.279
4*,0.97,0.91,YES,2.01e-01,471.0%,27.38%,87.62%,12.89%,79.48,0.1861,0.7793,0.025,0.365,0.97,0.528
5,0.91,0.65,YES,6.21e-01,395.0%,26.32%,87.9%,11.87%,79.69,4.563,1000.0,0.023,0.367,0.971,0.526
6,0.82,0.57,YES,Most Stab Sigs,371.0%,26.27%,85.19%,12.08%,64.47,0.1748,0.7726,0.022,0.236,0.973,0.697
7,0.6,-0.41,NO,N/A,342.0%,26.46%,83.46%,11.87%,68.19,0.1713,0.7761,0.021,0.266,0.974,0.656
8,0.6,-0.3,NO,N/A,300.0%,25.61%,82.84%,11.41%,69.32,0.1681,0.7468,0.02,0.275,0.975,0.646
9,0.5,-0.53,NO,N/A,291.0%,25.63%,80.34%,11.5%,56.13,0.1662,0.7371,0.019,0.167,0.977,0.791
10,0.44,-0.41,NO,N/A,371.0%,25.91%,80.21%,11.27%,53.76,0.1648,0.7222,0.019,0.151,0.977,0.813
11,0.33,-0.5,NO,N/A,392.0%,26.23%,80.17%,11.17%,53.21,0.1659,0.7227,0.018,0.149,0.978,0.815
12,0.31,-0.54,NO,N/A,624.0%,25.62%,78.87%,11.16%,50.53,0.1629,0.701,0.017,0.137,0.979,0.831
13,0.29,-0.51,NO,N/A,293.0%,25.2%,77.36%,10.57%,51.0,0.1591,0.6862,0.017,0.138,0.98,0.83
14,0.25,-0.49,NO,N/A,297.0%,24.81%,78.47%,10.44%,50.14,0.157,0.6861,0.016,0.135,0.98,0.833
15,0.23,-0.48,NO,N/A,498.0%,24.05%,77.89%,10.2%,49.61,0.1546,0.681,0.015,0.131,0.981,0.838
16,0.23,-0.51,NO,N/A,348.0%,23.8%,75.51%,10.0%,48.98,0.1529,0.6714,0.015,0.127,0.982,0.843
17,0.18,-0.5,NO,N/A,403.0%,24.06%,76.6%,10.07%,49.4,0.1511,0.6604,0.015,0.13,0.982,0.839
18,0.19,-0.45,NO,N/A,1125.0%,25.03%,74.78%,10.44%,48.06,0.1522,0.648,0.014,0.123,0.983,0.848
19,0.16,-0.52,NO,N/A,472.0%,24.13%,72.7%,10.21%,47.08,0.1518,0.636,0.014,0.117,0.983,0.856
20,0.15,-0.46,NO,N/A,679.0%,23.49%,74.98%,9.97%,47.66,0.1486,0.6589,0.014,0.12,0.983,0.852
