Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02040045T	3856	0.999	245.457	6.366%	41.707	4.287%	0.00926	0.999
CPCT02040051T	1864	0.998	161.961	8.689%	26.248	6.072%	0.01476	0.998
CPCT02040054T	1018	0.997	116.798	11.473%	20.617	8.091%	0.0315	0.996
CPCT02140028T	2036	0.998	168.217	8.262%	29.172	6.313%	0.01583	0.997
CPCT02011006T	4688	0.999	277.96	5.929%	49.157	4.381%	0.00881	0.999
CPCT02040302T	788	0.999	79.766	10.123%	11.601	3.5%	0.03195	0.999
CPCT02011015T	9890	0.999	589.092	5.956%	125.418	5.463%	0.0053	0.998
DRUP01040009T	2154	0.999	210.809	9.787%	35.344	5.42%	0.01661	0.998
CPCT02011018T	2236	0.998	185.57	8.299%	34.687	6.829%	0.01317	0.997
CPCT02270045T	871	0.996	130.817	15.019%	20.049	9.301%	0.04515	0.995
CPCT02120088T	438	0.995	75.788	17.303%	12.314	9.991%	0.06754	0.994
CPCT02011022T	462	0.982	124.95	27.045%	19.144	18.733%	0.09769	0.976
CPCT02010722T	1874	0.998	139.412	7.439%	24.281	6.235%	0.01045	0.997
CPCT02011021T	1218	0.999	134.403	11.035%	20.235	4.536%	0.03179	0.999
CPCT02011019T	1317	0.995	176.883	13.431%	28.34	10.178%	0.02509	0.993
CPCT02011008T	562	0.991	113.357	20.17%	17.874	13.334%	0.07164	0.989
CPCT02011017T	2181	0.999	152.147	6.976%	26.941	4.77%	0.0172	0.999
DRUP01010116T	3996	0.999	285.922	7.155%	42.912	4.967%	0.00949	0.998
CPCT02011029T	947	0.998	136.447	14.408%	21.021	6.847%	0.04325	0.997
CPCT02020887T	317	0.975	74.249	23.422%	12.577	22.223%	0.08809	0.959
CPCT02040214T	1758	0.998	142.28	8.093%	24.271	5.692%	0.01568	0.998
CPCT02190052T	2575	0.997	268.564	10.43%	47.994	8.264%	0.01754	0.996
CPCT02010699T	2346	0.999	139.767	5.958%	25.383	4.367%	0.0117	0.999
CPCT02040213T	1533	0.998	146.287	9.543%	24.597	6.912%	0.02026	0.997
CPCT02070276T	2015	0.996	220.287	10.932%	42.006	8.963%	0.02401	0.995
CPCT02040208T	387	0.995	71.077	18.366%	11.462	9.713%	0.08887	0.995
DRUP01040010T	3892	0.999	248.839	6.394%	42.465	4.214%	0.00885	0.999
CPCT02040315T	1754	0.998	152.275	8.682%	25.851	6.001%	0.01622	0.998
CPCT02040313T	923	0.995	123.423	13.372%	19.231	9.742%	0.0421	0.994
