MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	0.01710748986166436	0.0007232590876083123	0.01689040522353025	0.007794691673479974	0.013924983899341896	0.23992845125496387	0.06849709107340309	0.004890879374725046	0.23554154314100742	0.020158745295157134	0.029761918678705115	0.03251464061031584	0.11698220274411142	0.03323942911112681	0.03695429644430988	0.016187069062725642	0.039933915715664625
1:Del:C:1	0.010522333130938932	0.0002460221671026375	0.00580098151229341	0.008396376422606409	0.0013629175200185273	0.07680869314121082	0.031202599005773664	0.0024363304983126	0.09888898784294725	0.040992738241911866	0.054301720612784266	0.01715066526507144	0.06211063657188788	0.0228130487666931	0.03561072725686245	0.012863249843940138	0.02600446352385916
1:Del:C:2	0.004182897574501112	0.0002795767013505923	0.003117905251128832	0.0037648027495015414	0.001860698882737779	0.03862187212333083	0.01824296222999692	0.0013512532383902	0.024372709174640475	0.02631050562718883	0.03013364553800784	0.008448474098695442	0.031324764270102605	0.025742119933711366	0.022132738337968475	0.013424323611252476	0.010842217775061726
1:Del:C:3	0.003392591528245248	0.00025315299375506584	0.002785500936297467	0.007110919687984278	0.0015009058399664355	0.00845145877889081	0.008601889408746502	0.0012870739825302734	0.016303510172874666	0.01779965132474899	0.015555745233432389	0.0019434650021139532	0.021070633943081396	0.010814390645828098	0.016795241479703692	0.0018413260887609794	0.018565458867815323
1:Del:C:4	0.001224816392204957	0.0009884320638957433	0.0023923310648933695	0.004219309177715331	0.0035183892743953036	0.013571680222230497	0.006731957400625106	0.0008407714572967962	0.023937029463704674	0.009986756576690823	0.007977047057356685	0.001523799808055628	0.007488947679521516	0.005643867135513574	0.008833279663231225	0.00450046458907309	0.0029101074161008
1:Del:C:5	0.0006689953060867993	0.005439015416195616	0.0010175069926481228	0.008587776922504418	0.012147774840705096	0.004704103325493634	0.005932723084115423	0.004270501853898168	0.007372852715780027	0.004482452745432966	0.0033718677838623988	0.00445150044048205	0.008837603745341767	0.011647034065899788	0.009377766078105197	0.0031652064225636423	0.007663488758262247
1:Del:T:0	0.007490282845246839	0.0010974629308475414	0.022921538869850336	0.021832594266161322	0.0006922986700374168	0.08160711790202185	0.03617787020630203	0.015476774557319004	0.046586096507089676	0.04990972369909286	0.11359695361927152	0.03462127744453028	0.023844057810492814	0.018530436409637332	0.029113314130809156	0.028319804975762964	0.05789882370387204
1:Del:T:1	0.0015335317715835118	0.00021930738246737748	0.01184930651637842	0.011265549213858321	0.005189079355332069	0.04375931054368266	0.02245723798056133	0.005582163797514568	0.02391862921300344	0.04630013402202167	0.0481370735692326	0.010018830856424757	0.043714822186157104	0.022630260514561087	0.027364916971419007	0.009080930874333717	0.006413516722677742
1:Del:T:2	0.006584533206478227	0.0013335006500710734	0.009108498212881386	0.011581238520739135	0.009200741251697763	0.08044792274013161	0.020410738012287766	0.000871432220992574	0.028708428845275195	0.040210477071814237	0.04521637591300532	0.01193952604142396	0.035274349229875955	0.027392057975926035	0.023585886800428852	0.008119602582592051	0.023166789159877226
1:Del:T:3	0.016575441935565323	0.0023871602566941873	0.005368248482700438	0.006322544971917523	0.022739643020613584	0.1184151511453092	0.023857493253890426	0.0006818895216565579	0.019164705360017253	0.030432379003614188	0.04177789956564084	0.012923568099504337	0.01270046874293712	0.008322964351682458	0.012928226831718348	0.01916459132145974	0.006659153083746787
1:Del:T:4	0.004454053469671635	0.005820905574946664	0.003015599400096107	0.006756265285075642	0.027215566406957804	0.0989167227037251	0.023573341469164007	0.00011379064177162946	0.030951534445630386	0.010131695958261844	0.037210164116695525	0.02142226976226084	0.021083861817605794	0.005378110737947282	0.014442425753222778	0.004762270034989342	0.0085258064269874
1:Del:T:5	0.0038339288199495058	0.1008393073733896	0.0032947172119203953	0.02131087831221521	0.7649352711439132	0.025530871650873907	0.022774956727807875	0.004052748695248738	0.019575019581226906	0.015719176037528086	0.01766499378241889	0.02436579153407365	0.047655298086010184	0.01863106873817742	0.021458872804868433	0.016088405968621374	0.027981404608581215
1:Ins:C:0	0.00012285156957993592	0.0028686222162474452	0.001788992891180783	0.0008108409681273087	0.005621029658573775	0.0037584803178140193	0.0014765866665133842	0.00035771791621291626	0.0017204451619697637	0.003555611940006429	0.004077111819791526	0.0018045327610082041	0.0034080468561342057	0.00332675146852921	0.0025371609141240014	0.23156961306929588	0.0018068442662098505
1:Ins:C:1	0.00038582934095757085	0.0005112351362419076	0.0013700833036880767	0.0014892493644219939	0.00014211502450052648	0.004883680851186227	0.004778349182161037	0.0004031253539869795	0.0038832050538621845	0.003648727497013624	0.007147076950641349	0.0031752821837922342	0.0038385559839662162	0.0045683954711421395	0.0035421854877677105	0.06490565964952111	0.0032719329893006943
1:Ins:C:2	0.00019721861921425442	0.0004530487099509628	0.0003912466573092388	0.001638293994765263	0.0015280567712761695	0.001613979896719684	0.0026436906098388138	0.0006974516106129158	0.0036412510497029872	0.0032007888810539954	0.0024002792849205433	0.0039556848123902455	0.00736626028482739	0.0037897769652772695	0.0037431719986489045	0.01029131317161955	0.003920348389074207
