Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,0.99,NO,N/A,369500.0%,43.7%,184.92%,35.37%,102.01,0.2589,3.7285,0.094,0.859,0.889,0.037
3,0.99,0.98,YES,5.67e-26,266600.0%,40.4%,174.4%,32.46%,101.1,0.2391,3.9221,0.078,0.797,0.909,0.125
4,0.83,0.5,NO,N/A,75800.0%,32.54%,172.16%,21.35%,100.69,0.207,3.8935,0.053,0.783,0.936,0.142
5,0.89,0.58,NO,N/A,35300.0%,28.45%,170.42%,18.54%,100.5,0.1853,3.9404,0.044,0.774,0.948,0.154
6,0.88,0.64,NO,N/A,31500.0%,26.49%,172.8%,16.95%,99.18,0.1586,3.6281,0.032,0.768,0.962,0.154
7,0.89,0.4,NO,N/A,27000.0%,24.55%,171.86%,15.52%,99.1,0.144,3.4886,0.025,0.763,0.97,0.161
8*,0.93,0.54,YES,Most Stab Sigs,24100.0%,22.92%,170.2%,13.5%,99.06,0.1345,3.4384,0.021,0.756,0.975,0.17
9,0.85,0.02,NO,N/A,23900.0%,21.56%,170.56%,12.26%,99.1,0.13,3.4068,0.02,0.758,0.977,0.168
10,0.82,-0.08,NO,N/A,23200.0%,20.41%,170.92%,11.6%,99.25,0.1243,3.3877,0.018,0.76,0.979,0.165
11,0.81,-0.03,NO,N/A,22000.0%,19.69%,170.92%,11.11%,99.44,0.12,3.3868,0.017,0.763,0.98,0.163
12,0.77,-0.16,NO,N/A,21300.0%,18.43%,166.38%,10.52%,100.95,0.1201,4.0479,0.016,0.762,0.982,0.172
13,0.74,-0.6,NO,N/A,18800.0%,17.84%,166.06%,10.38%,101.03,0.1176,4.1044,0.015,0.762,0.983,0.173
14,0.68,-0.42,NO,N/A,18400.0%,16.82%,173.76%,9.63%,97.06,0.1035,2.6809,0.014,0.736,0.983,0.183
15,0.62,-0.54,NO,N/A,15800.0%,16.83%,172.5%,9.55%,93.36,0.099,2.2691,0.013,0.636,0.985,0.313
16,0.55,-0.53,NO,N/A,16200.0%,17.04%,172.84%,9.33%,93.4,0.0994,2.3119,0.013,0.636,0.985,0.314
17,0.48,-0.51,NO,N/A,18700.0%,16.92%,170.0%,9.26%,92.38,0.0983,2.2269,0.013,0.604,0.985,0.358
18,0.45,-0.55,NO,N/A,20700.0%,16.7%,168.0%,9.19%,91.28,0.0964,2.117,0.012,0.572,0.986,0.401
19,0.4,-0.53,NO,N/A,16700.0%,15.98%,167.4%,8.85%,88.63,0.0932,1.8779,0.011,0.494,0.987,0.512
20,0.34,-0.5,NO,N/A,157300.0%,16.68%,166.68%,8.85%,91.39,0.0957,2.1232,0.012,0.582,0.986,0.381
