Samples	ID83A	ID83B	ID83C
CPCT02010401T	35	225	72
CPCT02030265T	30	295	5
CPCT02080031T	2	183	76
CPCT02030264T	9	151	34
CPCT02100028T	39	234	37
CPCT02100029T	91	337	227
CPCT02020371T	41	270	114
CPCT02020369T	61	391	1228
CPCT02040036T	25	518	146
CPCT02080036T	233	428	998
CPCT02030271T	208	817	33
CPCT02020377T	49	179	166
CPCT02030274T	55	357	21
CPCT02010419T	144	261	1515
CPCT02050053T	204	696	51
CPCT02050060T	127	590	22
CPCT02030276T	43	482	124
CPCT02020382T	61	231	1451
CPCT02020385T	355	877	359
CPCT02190002T	52	241	98
CPCT02080039T	32	526	115
CPCT02040047T	112	963	45
CPCT02080047T	75	686	89
CPCT02010422T	75	779	1009
CPCT02060011T	157	416	36
CPCT02010434T	61	610	115
CPCT02080049T	327	523	38
CPCT02020401T	185	934	107
CPCT02160008T	16	92	19
CPCT02040055T	131	497	307
CPCT02160012T	218	356	214
CPCT02030289T	211	1529	0
CPCT02050071T	62	342	64
CPCT02050074T	49	318	26
CPCT02050082T	24	259	32
CPCT02080053T	6	322	31
CPCT02300001T	24	351	3
CPCT02010382TII	15	146	5
CPCT02340049T	178	500	207
CPCT02160058T	104	611	110
CPCT02010720T	6	197	31
CPCT02470003T	36	189	28
CPCT02210076T	107	511	31
CPCT02120087T	186	370	117
CPCT02030447T	52	478	498
CPCT02011013T	93	374	160
DRUP01120002T	231	787	57
CPCT02230120T	29	301	10
CPCT02070424T	133	504	0
CPCT02011030T	52	307	7
CPCT02180050T	71	387	47
CPCT02460005T	37	128	771
CPCT02030448T	66	257	71
CPCT02010726T	16	269	25
CPCT02380034T	21	270	108
CPCT02080285T	25	334	80
CPCT02030337TII	121	541	199
CPCT02380035T	34009	20	263
CPCT02010721T	28	299	8
CPCT02440021T	44	366	19
CPCT02080288T	9	220	9
CPCT02120179T	19	246	31
CPCT02060279T	140	140	180
CPCT02020898T	24	252	33
CPCT02040307T	132	377	195
DRUP01110007T	97	628	183
CPCT02080290T	81	445	140
CPCT02020664T	80	375	114
CPCT02210039T	161	796	219
CPCT02390038T	57	521	0
CPCT02150040T	6	415	0
CPCT02010708T	108	195	578
CPCT02140044T	280	474	103
CPCT02110050T	38	448	89
CPCT02080183T	47	229	103
CPCT02100195T	34	308	15
DRUP01010065T	52	499	866
CPCT02080184T	45	180	736
CPCT02090034T	75	766	1
CPCT02230124T	62	526	5
CPCT02030451T	51	280	401
CPCT02310006T	27	364	113
DRUP01050018T	301	1091	121
CPCT02340066TIII	109	1097	365
CPCT02390010T	20	248	116
CPCT02120099T	29	281	32
CPCT02390040T	67	368	0
CPCT02460001T	131	669	2122
CPCT02200005T	12501	0	0
CPCT02320008T	54	682	0
DRUP01220006T	56	594	75
CPCT02300032T	96	650	0
CPCT02380037T	13	358	73
CPCT02330076T	160618	0	0
CPCT02011058T	141	1280	198
CPCT02080296T	106	349	1160
CPCT02150046T	93	835	0
CPCT02230126T	33	153	273
CPCT02180052T	20	303	59
CPCT02180053T	612	453	794
CPCT02340110T	94	289	1199
CPCT02230125T	20	324	20
CPCT02390015T	148	849	0
CPCT02380036T	105	537	95
CPCT02050309T	31	335	52
CPCT02110056T	70	508	85
CPCT02390001TII	109	685	0
CPCT02160037T	110	423	1169
CPCT02120183T	95	681	220
CPCT02110057T	31	350	72
CPCT02040321T	67	382	808
CPCT02040323T	53	211	48
DRUP01050019T	21	298	196
CPCT02050431T	29	371	94
CPCT02110079T	48	303	22
CPCT02380052T	291	570	50
CPCT02340066T	75	895	307
CPCT02340060T	122	284	173
CPCT02180057T	134	552	98
CPCT02340058T	184	266	274
CPCT02011073T	20	208	2
CPCT02210082T	41	308	22
CPCT02410017T	638	1268	4
CPCT02110080T	28	462	112
CPCT02080196T	8	222	30
CPCT02020666T	18	324	54
CPCT02310004T	824	965	204
CPCT02060197T	50	512	0
CPCT02380039T	168	574	23
DRUP01220001T	126	724	191
CPCT02260028T	87	294	74
CPCT02010731T	291	931	99
WIDE01010011T	84	232	92
CPCT02060285T	8	85	22
CPCT02350021T	223	947	542
CPCT02080300T	49	273	45
CPCT02040219T	37	333	38
DRUP01060008T	61	537	88
CPCT02320009T	20	101	42
CPCT02210051T	25	355	34
CPCT02340112T	24	572	320
CPCT02390043T	34	335	42
CPCT02200007T	54	409	13
CPCT02120108T	36	812	0
CPCT02020946T	127	573	245
CPCT02030463T	20	140	93
WIDE01010018T	64	271	217
CPCT02040331T	40	242	92
CPCT02010765T	324	369	796
CPCT02040325T	74	559	46
CPCT02240011T	32	348	5
CPCT02050434T	28	209	55
CPCT02160039T	18	279	58
CPCT02150051T	78	333	31
CPCT02390021T	57	433	130
CPCT02080200T	211	1324	0
CPCT02010772T	95	435	132
CPCT02210044T	43	382	68
CPCT02320010T	40	331	15
CPCT02040337T	21	250	51
CPCT02270021T	58	245	54
CPCT02010768T	104	182	814
CPCT02020966T	25	180	760
CPCT02110049T	92	591	7
CPCT02040329T	194	1614	363
CPCT02340066TIV	72	828	371
CPCT02340071T	21	220	69
CPCT02030464T	257	1059	469
CPCT02360012T	84	349	98
CPCT02080312T	21	275	60
CPCT02260029T	285	582	362
WIDE01010072T	174	604	506
CPCT02110063T	85	355	20
CPCT02020969T	32	329	55
WIDE01010069T	98298	4029	0
WIDE01010067T	105	302	28
WIDE01010076T	58	289	174
WIDE01010074T	136	640	7
CPCT02040071TII	79	456	126
CPCT02020680T	40106	841	944
CPCT02020685T	150	923	35
CPCT02020693T	65	202	659
CPCT02010773T	220	886	124
CPCT02290030T	23	202	50
CPCT02020688T	159	497	62
CPCT02050337T	178	463	95
CPCT02050338T	14	256	114
WIDE01010124T	71	528	353
CPCT02230089T	76	335	858
CPCT02230120TII	41	460	0
CPCT02050333T	31	213	156
CPCT02020692T	170	372	128
WIDE01010135T	30	157	67
CPCT02230095T	26	264	46
CPCT02060289T	245	710	100
CPCT02140085TII	141	701	90
CPCT02160042T	20	160	95
CPCT02230128T	24	613	35
WIDE01010142T	65	232	43
WIDE01010185T	227	182	1108
CPCT02180049T	46	533	422
CPCT02010791T	92	440	99
CPCT02120114T	140	396	83
CPCT02120117T	90	516	1833
CPCT02220041T	75	484	299
CPCT02120121T	26	400	27
CPCT02160041T	50	334	46
WIDE01010093TII	77	130	487
WIDE01010173T	15	194	174
CPCT02250007T	49	332	268
CPCT02020597TIII	64	853	116
WIDE01010171T	82	263	66
WIDE01010162T	73	487	1638
CPCT02050299T	15	229	107
CPCT02080029TII	118	394	35
WIDE01010207T	56	473	62
CPCT02030472T	54	949	349
CPCT02100164T	129	334	139
CPCT02100170T	118	426	331
WIDE01010174T	88	427	145
WIDE01010183T	70	357	505
WIDE01010212T	205	469	335
WIDE01010274T	230	246	107
CPCT02410004T	63	327	167
WIDE01010235T	174	357	73
WIDE01010231T	38	290	132
CPCT02370024T	41	507	294
CPCT02140091TII	3027	3773	188
CPCT02360015T	58	395	88
WIDE01010240T	9	267	37
CPCT02040230T	90	371	104
CPCT02320003T	64	513	108
WIDE01010248T	51	258	41
CPCT02010790T	80	247	1471
CPCT02040235T	331	599	203
CPCT02080216T	74	450	1098
CPCT02160047T	178	399	101
CPCT02270006T	352	420	658
CPCT02210053T	42	346	97
CPCT02360016T	38	234	52
WIDE01010270T	36	433	512
CPCT02060221T	40	398	103
WIDE01010288T	65	463	0
CPCT02270030T	37	298	128
CPCT02310011T	37	593	119
WIDE01010311T	93	676	422
CPCT02120001T	109	417	197
WIDE01010322T	36	435	4
CPCT02290035T	246	459	1449
WIDE01010326T	9	357	35
CPCT02270028T	242	500	221
CPCT02030478T	173	509	3
WIDE01010308T	81	307	179
WIDE01010268T	35	359	76
CPCT02060214T	69	1032	411
WIDE01010335T	152	465	358
CPCT02360017T	15	315	95
WIDE01010303T	51	533	94
CPCT02220044T	48	468	66
CPCT02120047TII	147	784	60
WIDE01010339T	116	417	0
WIDE01010352T	252	1192	782
WIDE01010346T	52	333	126
CPCT02010824T	108	333	64
WIDE01010341T	282	510	953
WIDE01010332T	129	604	235
CPCT02360018T	32	473	0
CPCT02330104T	27	285	232
CPCT02050359T	27	354	69
CPCT02370025T	42	62	966
WIDE01010131T	107	642	207
WIDE01010371T	206	806	0
CPCT02020719T	194	230	2258
WIDE01010400T	35	330	71
CPCT02010825T	13	139	19
CPCT02010359TII	258	357	1628
WIDE01010405T	70	293	10
WIDE01010388T	122	564	0
DRUP01330020T	217961	0	0
CPCT02230099T	222	452	2213
CPCT02110069T	88	286	154
WIDE01010410T	21	289	0
CPCT02020721T	76	325	58
CPCT02230101T	114	327	66
WIDE01010418T	4	137	71
CPCT02300040T	107	334	642
WIDE01010048T	49	367	9
CPCT02290037T	75	677	98
WIDE01010249T	33	340	0
DRUP01010148T	108225	5410	0
WIDE01010372T	620	440	1204
WIDE01010406T	76	691	182
WIDE01010432T	48	275	533
CPCT02010846T	57	247	1381
CPCT02010746T	64	1029	0
CPCT02250009T	87	366	287
CPCT02010838T	19	214	15
CPCT02170027T	359	791	126
CPCT02030484T	43	284	46
CPCT02050364T	188	730	61
CPCT02290040T	64	378	130
CPCT02080228T	270	760	246
CPCT02040257T	119	382	69
CPCT02160051T	19	182	39
CPCT02120137T	16	396	22
CPCT02150014T	38	303	33
CPCT02210059T	351	481	2468
CPCT02040254T	89	440	113
CPCT02070344T	19	273	78
CPCT02300043T	56	175	682
CPCT02220047T	43	326	1187
CPCT02360011T	109	511	26
CPCT02020711T	41	284	572
CPCT02150016T	239	456	98
CPCT02030258T	211	721	168
CPCT02250010T	698	541	71
DRUP01110005T	44	547	104
DRUP01180001T	705	507	1259
CPCT02010863T	26	307	114
CPCT02070352T	42	375	52
CPCT02060179T	41	395	68
CPCT02120148T	26	424	40
CPCT02030500T	70	1022	427
CPCT02150017T	33	175	771
CPCT02170029T	29	288	85
CPCT02010886T	311	542	356
CPCT02390029T	50	191	101
CPCT02080243T	208	657	1925
CPCT02010890T	32	180	67
CPCT02150018T	36	298	54
CPCT02010896T	471	731	230
CPCT02360022T	17	301	62
CPCT02220053T	33	384	39
CPCT02040267T	38	453	8
CPCT02040266T	50	229	1001
CPCT02010891T	16	273	44
CPCT02350007T	136	926	0
CPCT02020830T	37	302	36
CPCT02030383T	136	277	86
CPCT02350008T	96	696	294
CPCT02030289TIII	60	1264	103
CPCT02160055T	23	272	12
CPCT02050383T	19	410	53
CPCT02290046T	34	333	55
CPCT02030522T	85	395	129
CPCT02110076T	268	461	204
CPCT02080250T	563	504	180
CPCT02230110T	766	1168	637
CPCT02010900T	73	479	221
CPCT02120158T	77	535	146
CPCT02180070T	11	264	122
CPCT02210069T	195	435	155
CPCT02070360T	18	184	962
CPCT02180069T	142	788	5
CPCT02410009T	54	374	98
CPCT02080254T	53	382	6
CPCT02110077T	162	514	149
CPCT02010915T	26	374	296
CPCT02120154T	40	429	0
CPCT02080253T	730	1084	229
CPCT02140083T	208	464	339
CPCT02020791T	41	618	201
DRUP01010091T	194	279	1267
CPCT02100187T	27	308	65
CPCT02040282T	118	352	159
CPCT02290052T	150	1137	149
CPCT02310018T	76	452	144
CPCT02310019T	119	1949	0
CPCT02470001T	36	368	0
DRUP01220002T	410	488	809
CPCT02030521T	39	298	127
CPCT02010901T	61	527	1553
CPCT02290048T	115	348	54
CPCT02210071T	32	425	140
CPCT02120165T	31	308	304
CPCT02020773T	14	429	447
CPCT02040290T	104	709	237
CPCT02020829T	145	338	33
CPCT02150027T	58	443	729
CPCT02010933T	97	432	439
CPCT02210073T	157	318	942
CPCT02190049T	370	646	190
CPCT02020824T	147	367	49
CPCT02010934T	82	319	102
CPCT02290057T	59	500	6
CPCT02020801T	92	325	65
CPCT02340066TII	74	803	283
CPCT02020795T	113	841	0
CPCT02010939T	518	463	151
CPCT02010936T	52	200	122
CPCT02020807T	105	606	0
CPCT02020597TII	56	809	136
CPCT02050409T	59	503	1258
DRUP01020034T	60	251	1737
CPCT02010940T	40	450	33
DRUP01210004T	117	691	73
CPCT02060272T	38	273	25
CPCT02130163T	289	1397	111
DRUP01220003T	185	923	224
DRUP01210005T	310	435	2273
CPCT02450016T	96	334	52
DRUP01120001T	130	481	196
CPCT02220026T	327	531	837
CPCT02010969T	69	271	413
CPCT02010643T	166	457	63
CPCT02040160T	65	510	35
CPCT02140085T	68	460	113
DRUP01080004T	451	963	552
CPCT02080070TII	82	896	166
CPCT02060128T	143	691	251
CPCT02060129T	18	308	32
CPCT02220060T	58	148	1051
CPCT02090062T	38	285	76
CPCT02440018T	47	468	67
CPCT02030549T	167	1078	0
CPCT02230022T	91	316	73
CPCT02030550T	196	601	47
CPCT02140091T	2915	1915	0
CPCT02020597T	37	571	140
CPCT02100110T	136	283	1393
CPCT02230047T	20	482	72
CPCT02310003T	39	699	331
CPCT02390035T	316	720	60
CPCT02060150T	61	556	98
CPCT02460004T	73	334	35
CPCT02190051T	37	365	51
CPCT02020857T	15	484	119
CPCT02080153T	52	604	131
CPCT02040175T	3	140	68
CPCT02370006T	84	669	0
CPCT02220063T	49	232	289
CPCT02310021T	252	1138	0
CPCT02160030T	10	117	76
CPCT02060278T	62	204	46
CPCT02060277T	30	217	802
CPCT02150004T	24	293	80
CPCT02010687T	34	209	176
CPCT02080143T	40	394	202
CPCT02160029T	38	345	128
CPCT02230118T	57	458	220
CPCT02010658T	69	398	558
CPCT02320007T	51	470	17
CPCT02040306T	34	356	234
CPCT02340025T	62	535	1344
CPCT02120073T	122	274	1556
CPCT02030394T	53	490	74
CPCT02180077T	99	730	152
CPCT02020617T	68	333	505
CPCT02310022T	39	388	4
CPCT02080261T	194	297	166
CPCT02380020T	71	146	1734
CPCT02120063T	97	321	397
CPCT02010504T	33	448	141
CPCT02100115T	73	548	24
CPCT02100117T	56	254	595
CPCT02190019T	33	784	256
CPCT02210035T	37	398	129
CPCT02120061T	62	350	114
CPCT02210034T	87	556	48
CPCT02370008T	82	582	70
CPCT02330061T	21	253	44
CPCT02100125T	58	321	100
CPCT02340037T	28	512	52
CPCT02170014T	69	383	89
CPCT02170018T	221	388	881
CPCT02080029T	124	451	90
CPCT02240008T	43	132	1210
CPCT02010661T	215	540	119
CPCT02010678T	58	253	58
CPCT02290018T	22	347	30
CPCT02080128T	89	764	914
CPCT02230058T	12	430	0
CPCT02240001T	106	1377	0
CPCT02080127T	57	321	121
CPCT02270007T	71	294	998
CPCT02270009T	6	258	162
CPCT02020635T	42	350	106
CPCT02270008T	37	354	90
CPCT02050157T	108	497	0
CPCT02080103T	214	972	0
CPCT02050164T	102	825	64
CPCT02050160T	159	347	168
CPCT02300011T	48	471	0
CPCT02080100T	18	301	14
CPCT02180028T	30	201	263
CPCT02330032T	14	134	30
