MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Del:R:1	1.01E-05	1.18E-04	9.95E-04	2.76E-04	5.42E-05	1.89E-04	5.95E-04	5.46E-05	7.75E-04
5:Del:R:2	9.14E-06	9.89E-06	2.50E-04	7.56E-05	1.95E-05	7.12E-05	1.64E-04	2.42E-09	2.85E-04
5:Del:R:3	4.22E-06	7.31E-06	1.50E-04	4.54E-05	7.44E-06	9.70E-06	1.07E-04	1.53E-05	1.87E-04
5:Del:R:4	3.30E-06	1.28E-06	3.47E-05	6.81E-06	2.75E-07	1.07E-05	3.04E-05	1.32E-09	6.32E-05
5:Del:R:5	3.90E-06	2.54E-07	2.97E-05	1.49E-05	1.94E-06	4.82E-06	1.63E-05	1.03E-06	9.64E-05
2:Ins:R:0	1.92E-04	9.66E-05	1.66E-03	3.28E-05	9.98E-05	2.91E-04	2.86E-03	1.82E-04	1.92E-04
2:Ins:R:1	2.64E-05	4.31E-05	3.61E-04	9.46E-05	0.00E+00	1.35E-04	3.81E-04	1.09E-04	2.88E-04
2:Ins:R:2	1.04E-05	3.88E-05	1.58E-04	5.74E-05	1.62E-05	1.21E-04	2.04E-04	6.77E-05	1.07E-04
2:Ins:R:3	5.22E-05	4.43E-05	1.18E-04	2.02E-05	1.99E-05	1.16E-04	1.70E-04	3.72E-05	3.01E-05
2:Ins:R:4	3.41E-04	1.75E-04	5.96E-04	7.52E-06	2.76E-05	1.54E-04	3.50E-04	1.39E-05	7.25E-06
2:Ins:R:5	1.57E-03	1.25E-03	3.39E-03	5.66E-05	7.49E-05	4.25E-04	1.88E-03	2.35E-05	4.86E-04
3:Ins:R:0	4.01E-05	3.58E-06	5.60E-04	4.06E-10	4.87E-05	2.46E-04	1.33E-03	1.47E-04	5.15E-04
3:Ins:R:1	5.86E-07	5.02E-05	2.47E-04	6.87E-05	5.49E-06	1.29E-04	3.35E-04	4.48E-05	1.38E-04
3:Ins:R:2	6.04E-06	1.58E-05	9.17E-05	1.90E-05	2.21E-05	2.73E-05	1.09E-04	1.39E-05	5.27E-05
3:Ins:R:3	5.33E-06	8.46E-06	1.74E-05	8.52E-06	8.25E-06	8.44E-06	2.05E-05	1.61E-10	1.41E-05
3:Ins:R:4	1.29E-05	1.19E-05	3.31E-05	7.12E-06	8.41E-06	1.14E-05	1.49E-05	3.42E-06	3.86E-05
3:Ins:R:5	8.44E-05	7.03E-05	2.25E-04	6.73E-06	1.06E-05	1.25E-05	1.35E-04	8.34E-06	6.43E-05
4:Ins:R:0	1.29E-04	1.48E-05	9.04E-04	3.23E-10	5.64E-05	3.09E-04	1.73E-03	8.64E-05	1.09E-04
4:Ins:R:1	1.97E-06	7.29E-05	3.80E-04	1.10E-04	2.44E-05	1.15E-04	3.04E-04	3.47E-05	2.10E-04
4:Ins:R:2	6.26E-06	1.73E-05	5.11E-05	5.40E-06	1.76E-05	4.23E-05	7.91E-05	8.14E-06	4.37E-05
4:Ins:R:3	1.20E-05	7.42E-06	4.28E-05	2.19E-06	8.18E-06	4.50E-05	9.87E-05	7.43E-10	3.12E-05
4:Ins:R:4	3.28E-05	2.97E-05	9.40E-05	1.38E-05	5.59E-06	4.22E-05	8.84E-05	1.38E-05	8.03E-05
4:Ins:R:5	1.29E-05	2.58E-05	9.16E-05	2.97E-05	1.29E-05	3.90E-05	9.19E-05	1.03E-05	1.20E-04
5:Ins:R:0	2.50E-04	8.96E-11	4.97E-04	1.45E-09	1.37E-08	3.36E-03	6.49E-08	5.82E-09	1.60E-08
5:Ins:R:1	2.29E-06	5.14E-04	2.05E-03	4.72E-04	1.10E-04	3.36E-04	1.74E-03	1.14E-04	4.38E-04
5:Ins:R:2	5.77E-06	2.63E-05	9.17E-05	1.43E-05	2.18E-05	7.33E-05	1.45E-04	3.21E-05	1.05E-04
5:Ins:R:3	3.64E-06	1.39E-05	3.46E-05	4.79E-06	1.05E-05	3.48E-05	6.25E-05	1.53E-05	7.92E-05
5:Ins:R:4	1.22E-06	1.28E-05	4.87E-05	1.03E-05	1.71E-06	3.29E-05	4.78E-05	1.22E-10	3.65E-05
5:Ins:R:5	3.37E-07	5.07E-06	2.47E-05	9.29E-06	2.31E-07	1.92E-05	5.34E-05	5.21E-06	4.34E-05
2:Del:M:1	6.25E-05	2.55E-04	3.38E-03	8.37E-04	1.04E-04	3.27E-04	1.83E-03	1.40E-04	3.98E-03
3:Del:M:1	2.31E-05	5.84E-05	2.83E-04	1.90E-04	4.87E-05	1.30E-04	1.74E-04	2.12E-05	2.80E-04
3:Del:M:2	6.19E-05	2.44E-04	1.46E-03	2.47E-04	5.44E-05	9.66E-05	8.83E-04	5.31E-05	1.19E-03
4:Del:M:1	1.86E-05	1.64E-05	3.58E-04	1.76E-04	4.83E-05	1.74E-04	2.82E-04	5.30E-05	3.82E-04
4:Del:M:2	1.70E-05	1.17E-04	1.03E-03	2.38E-04	5.90E-05	1.32E-04	6.14E-04	4.80E-05	8.87E-04
4:Del:M:3	2.85E-05	2.29E-04	1.46E-03	3.20E-04	5.26E-05	1.72E-04	9.16E-04	4.63E-05	1.13E-03
5:Del:M:1	2.40E-05	8.26E-05	6.56E-04	1.53E-03	3.60E-04	8.32E-04	8.35E-04	1.42E-04	3.07E-04
5:Del:M:2	3.94E-06	1.03E-04	2.00E-04	7.93E-04	5.85E-04	3.97E-04	3.62E-04	1.31E-04	2.82E-05
5:Del:M:3	1.56E-05	9.74E-05	2.52E-04	3.20E-04	4.78E-04	2.99E-04	3.77E-04	8.86E-05	3.76E-04
5:Del:M:4	5.83E-06	6.65E-05	1.62E-04	1.49E-04	2.94E-04	2.66E-05	1.87E-04	1.98E-05	1.20E-04
5:Del:M:5	1.12E-05	8.07E-05	3.92E-04	3.81E-05	2.34E-04	2.49E-04	5.22E-04	7.15E-05	2.18E-04
