MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	7.82E-04	6.43E-05	1.33E-03	4.37E-04	6.11E-04	9.36E-04
1:Del:C:1	1.17E-03	4.95E-05	2.95E-03	3.28E-04	5.88E-04	8.88E-04
1:Del:C:2	6.21E-04	3.71E-05	1.36E-03	2.11E-04	3.74E-04	4.97E-04
1:Del:C:3	4.59E-04	4.83E-05	8.64E-04	3.10E-04	3.08E-04	2.08E-04
1:Del:C:4	2.08E-04	6.31E-05	3.50E-04	2.66E-04	1.25E-04	2.46E-04
1:Del:C:5	1.02E-04	1.58E-04	3.38E-04	1.89E-04	1.83E-04	1.62E-04
1:Del:T:0	1.84E-03	6.85E-05	4.74E-03	4.15E-04	8.01E-04	1.02E-03
1:Del:T:1	1.69E-03	4.77E-05	2.13E-03	4.00E-04	5.95E-04	5.77E-04
1:Del:T:2	1.91E-03	5.49E-05	2.29E-03	4.55E-04	6.35E-04	6.47E-04
1:Del:T:3	1.45E-03	6.80E-05	2.19E-03	3.37E-04	1.08E-04	6.86E-04
1:Del:T:4	1.03E-03	1.09E-04	1.37E-03	3.40E-04	1.17E-04	4.90E-04
1:Del:T:5	9.94E-04	2.15E-03	8.03E-04	6.92E-04	6.03E-04	2.33E-04
1:Ins:C:0	1.06E-03	2.71E-05	2.59E-03	5.84E-05	1.34E-03	3.44E-04
1:Ins:C:1	3.28E-04	1.57E-05	8.84E-04	1.03E-04	4.11E-04	2.37E-04
1:Ins:C:2	2.85E-04	1.34E-05	3.57E-04	4.63E-05	1.92E-04	6.44E-05
1:Ins:C:3	1.03E-04	1.67E-05	2.66E-04	1.39E-04	1.90E-04	6.19E-05
1:Ins:C:4	9.51E-05	2.82E-05	2.16E-04	1.22E-04	1.58E-04	1.08E-04
1:Ins:C:5	3.48E-04	8.62E-05	7.29E-04	2.97E-04	3.90E-04	2.73E-04
1:Ins:T:0	7.29E-04	3.50E-05	1.58E-03	2.66E-04	7.80E-04	3.88E-04
1:Ins:T:1	6.79E-04	3.44E-05	1.05E-03	2.90E-04	4.24E-04	7.24E-04
1:Ins:T:2	1.49E-03	5.24E-05	1.56E-03	3.13E-04	3.40E-04	1.92E-04
1:Ins:T:3	8.15E-04	5.01E-05	9.01E-04	2.98E-04	2.37E-04	3.88E-04
1:Ins:T:4	4.07E-04	6.55E-05	5.96E-04	2.98E-04	2.41E-04	1.30E-04
1:Ins:T:5	1.20E-03	2.06E-03	5.98E-04	2.01E-03	1.52E-03	1.09E-03
2:Del:R:0	3.13E-04	2.82E-05	1.05E-03	6.34E-05	3.24E-04	6.09E-04
2:Del:R:1	6.37E-04	8.02E-05	3.09E-03	4.35E-04	1.89E-04	1.57E-03
2:Del:R:2	1.72E-04	4.09E-05	1.10E-03	2.28E-04	2.06E-04	5.46E-04
2:Del:R:3	2.50E-05	2.90E-05	4.14E-04	1.31E-04	1.48E-04	2.51E-04
2:Del:R:4	3.01E-05	2.80E-05	1.27E-04	9.97E-05	1.22E-04	6.47E-05
2:Del:R:5	3.35E-05	4.42E-05	2.77E-04	1.24E-04	2.26E-04	8.79E-05
3:Del:R:0	2.67E-04	1.30E-05	4.33E-04	6.76E-05	1.91E-04	2.46E-04
3:Del:R:1	3.12E-04	6.51E-05	3.19E-04	2.50E-04	2.46E-04	6.28E-04
3:Del:R:2	7.06E-05	3.22E-05	1.93E-04	1.09E-04	3.24E-05	2.45E-04
3:Del:R:3	1.54E-05	1.90E-05	1.29E-04	8.94E-05	7.35E-05	1.40E-04
3:Del:R:4	4.10E-05	7.36E-06	7.30E-05	3.23E-05	1.77E-05	7.23E-05
3:Del:R:5	1.84E-05	1.16E-05	4.58E-05	3.65E-05	4.82E-05	6.23E-05
4:Del:R:0	1.95E-04	1.68E-05	3.10E-04	4.95E-05	2.15E-04	2.39E-04
4:Del:R:1	2.91E-04	5.09E-05	1.74E-04	2.00E-04	2.53E-04	7.46E-04
4:Del:R:2	9.35E-05	2.01E-05	1.24E-04	1.31E-04	1.28E-04	2.47E-04
4:Del:R:3	4.15E-05	1.36E-05	1.07E-04	8.64E-05	1.09E-04	1.60E-04
4:Del:R:4	3.72E-05	1.16E-05	3.55E-05	6.13E-05	6.21E-05	1.10E-04
4:Del:R:5	6.08E-06	7.48E-06	1.94E-05	2.84E-05	4.35E-05	2.02E-05
