Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2*,0.97,0.95,YES,Most Stab Sigs,143600.0%,77.9%,198.4%,53.02%,101.6,0.9538,4.8239,0.229,0.963,0.735,-0.021
3,0.52,-0.05,NO,N/A,132200.0%,76.23%,197.4%,50.01%,100.7,0.9026,4.3388,0.218,0.934,0.748,0.006
4,0.31,-0.27,NO,N/A,127000.0%,74.73%,197.7%,49.08%,100.6,0.8845,4.4467,0.209,0.937,0.758,-0.002
5,0.21,-0.33,NO,N/A,109000.0%,74.46%,196.8%,48.52%,100.3,0.8627,4.1225,0.203,0.914,0.766,0.027
6,0.17,-0.32,NO,N/A,109300.0%,69.6%,197.5%,45.72%,100.7,0.8318,4.3789,0.192,0.937,0.78,0.003
7,0.12,-0.23,NO,N/A,85200.0%,68.68%,197.1%,44.17%,101.0,0.8067,4.241,0.184,0.934,0.789,0.012
8,0.12,-0.23,NO,N/A,80200.0%,66.88%,196.2%,42.56%,100.8,0.7752,3.9743,0.173,0.919,0.802,0.033
9,0.1,-0.12,NO,N/A,75800.0%,65.52%,195.7%,42.77%,101.0,0.7616,3.8412,0.166,0.915,0.811,0.042
10,0.08,-0.22,NO,N/A,74200.0%,64.05%,196.6%,42.17%,100.7,0.7531,4.0628,0.158,0.921,0.82,0.028
11,0.07,-0.12,NO,N/A,87400.0%,65.21%,195.1%,41.88%,101.4,0.7226,3.7144,0.152,0.912,0.829,0.049
12,0.05,-0.28,NO,N/A,71200.0%,62.76%,196.4%,41.02%,100.1,0.7286,4.0155,0.15,0.909,0.83,0.037
13,0.06,-0.22,NO,N/A,85100.0%,64.22%,196.2%,40.89%,100.3,0.7106,3.9588,0.142,0.909,0.84,0.04
14,0.05,-0.23,NO,N/A,73000.0%,62.12%,195.8%,40.58%,100.9,0.7108,3.8596,0.139,0.914,0.845,0.042
15,0.06,-0.2,NO,N/A,124300.0%,62.63%,195.6%,39.12%,100.0,0.6924,3.8188,0.137,0.894,0.847,0.057
16,0.05,-0.2,NO,N/A,74400.0%,58.61%,196.1%,38.56%,101.1,0.6719,3.9269,0.126,0.921,0.859,0.034
17,0.05,-0.24,NO,N/A,76100.0%,58.35%,195.7%,38.25%,100.8,0.6667,3.8361,0.123,0.912,0.863,0.044
18,0.06,-0.3,NO,N/A,78900.0%,61.56%,194.6%,37.84%,100.6,0.6586,3.6187,0.119,0.895,0.868,0.064
19,0.06,-0.24,NO,N/A,81200.0%,59.17%,191.4%,37.07%,99.0,0.6306,3.1512,0.109,0.825,0.88,0.144
20,0.07,-0.27,NO,N/A,66500.0%,55.78%,189.7%,36.49%,98.1,0.5903,2.9673,0.1,0.799,0.889,0.171
