Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP117956	1	3	8	7	11	18	1	16	0	15	3	34	7	3
SP117975	4	13	2	0	9	9	0	16	0	6	1	25	3	0
SP2149	21	21	13	164	218	64	0	0	28	29	34	0	8	8
SP117113	6	101	0	5	9	12	0	12	0	7	11	40	4	2
SP117245	3	10	0	3	17	21	0	29	0	15	8	38	12	3
SP117402	9	13	5	0	4	15	2	18	0	12	6	17	19	0
SP117136	10	54	2	9	0	0	0	19	0	24	2	16	13	3
SP117378	3	29	5	11	12	21	0	0	0	14	16	19	11	0
SP116947	7	26	0	6	6	17	2	17	1	21	10	7	29	5
SP117369	1	16	0	0	5	1	0	12	1	2	69	40	8	2
SP117244	4	46	3	0	2	8	3	15	0	0	8	10	3	2
SP117162	8	4	4	4	3	5	1	12	0	18	23	25	16	3
SP117079	0	15	1	5	12	10	1	23	0	19	10	20	10	2
SP117344	11	64	0	247	108	34	6	37	31	5	14	0	9	10
SP118074	105	178	18	16	19	41	4	7	0	25	11	1	38	17
SP117598	4	37	0	20	106	21	0	229	0	14	25	0	78	7
SP117312	5	29	0	1	4	15	1	10	0	38	8	2	2	5
SP118038	2	51	0	12	1	15	2	8	0	8	14	18	4	5
SP117552	7	16	0	0	7	5	2	4	0	13	5	18	9	5
SP118073	0	38	8	3	11	9	0	29	0	13	10	25	4	2
SP117933	4	14	0	6	7	9	0	2	0	11	4	18	8	1
SP118012	2	16	7	9	6	27	3	9	0	21	13	13	21	6
SP117108	7	43	0	0	10	1	0	26	0	15	3	4	14	1
SP117812	10	11	1	7	6	9	0	14	0	7	13	10	18	3
SP117354	19	40	0	17	29	25	6	0	0	18	12	49	18	9
SP117370	4	56	11	5	3	11	1	9	0	16	9	8	7	4
SP116991	12	31	13	1	26	11	2	17	0	13	7	27	6	7
SP117629	0	13	18	316	129	18	11	55	0	11	19	4	2	10
SP124199	21	56	0	4	13	22	1	16	0	15	2	10	26	0
SP124195	11	80	6	6	11	11	1	7	0	13	8	21	15	2
SP117850	9	21	6	1	12	15	2	25	0	5	4	16	10	0
SP117127	11	42	0	5	8	7	0	5	0	10	0	26	15	8
SP117614	6	7	11	0	10	43	0	26	7	17	17	7	22	6
SP116948	6	99	12	8	17	34	1	33	0	30	10	19	17	6
SP117409	4	25	26	309	132	86	8	31	0	16	23	28	30	10
SP117593	3	26	16	8	6	14	0	14	0	21	0	14	21	4
SP117372	7	20	3	4	9	28	1	12	10	10	33	0	5	1
SP118077	13	19	5	21	12	20	0	16	2	31	6	7	12	4
SP117840	11	77	0	0	18	21	0	15	0	9	0	15	28	7
SP117363	23	80	3	58	54	62	11	44	0	17	60	0	85	7
SP117887	8	7	0	417	190	47	27	59	0	39	30	63	7	7
SP116946	13	37	2	12	9	20	0	54	0	9	10	0	25	0
