MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	5.19E-05	5.84E-04	1.39E-03	2.94E-04	4.18E-03	2.38E-03
1:Del:C:1	3.15E-05	1.90E-04	5.72E-04	3.13E-04	8.50E-04	6.03E-04
1:Del:C:2	3.76E-05	1.36E-04	4.49E-04	2.16E-04	3.23E-04	3.79E-04
1:Del:C:3	2.96E-05	1.03E-04	3.25E-04	1.17E-04	1.54E-04	2.60E-04
1:Del:C:4	3.12E-05	2.63E-05	2.32E-04	6.40E-05	1.17E-04	6.33E-05
1:Del:C:5	6.36E-05	1.08E-04	1.53E-04	6.11E-05	1.17E-04	1.39E-04
1:Del:T:0	4.52E-05	2.97E-04	1.04E-03	3.18E-04	2.95E-03	1.34E-03
1:Del:T:1	3.93E-05	3.18E-04	1.49E-03	3.22E-04	4.10E-03	1.70E-03
1:Del:T:2	4.66E-05	3.62E-04	1.39E-03	3.92E-04	4.23E-03	1.65E-03
1:Del:T:3	7.54E-05	6.62E-04	2.27E-03	5.28E-04	6.61E-03	2.53E-03
1:Del:T:4	7.50E-05	2.69E-04	9.10E-04	2.54E-04	2.62E-03	9.53E-04
1:Del:T:5	4.14E-04	1.51E-03	8.46E-04	4.79E-04	2.01E-03	8.15E-04
1:Ins:C:0	2.79E-05	2.40E-04	3.08E-04	1.89E-04	2.40E-03	2.76E-03
1:Ins:C:1	5.08E-06	8.72E-05	2.18E-04	5.50E-05	6.42E-04	5.61E-04
1:Ins:C:2	3.88E-06	6.30E-05	1.44E-04	5.14E-05	3.35E-04	1.77E-04
1:Ins:C:3	7.88E-06	5.97E-05	1.09E-04	4.96E-05	2.22E-04	1.84E-04
1:Ins:C:4	1.80E-05	6.83E-05	9.07E-05	4.49E-05	1.45E-04	1.81E-04
1:Ins:C:5	4.57E-05	1.70E-04	2.09E-04	9.25E-05	4.09E-04	3.75E-04
1:Ins:T:0	1.99E-05	1.50E-04	3.06E-04	1.12E-04	9.90E-04	8.75E-04
1:Ins:T:1	5.31E-06	2.41E-04	9.02E-04	1.24E-04	2.03E-03	1.05E-03
1:Ins:T:2	2.13E-05	1.76E-04	4.52E-04	1.03E-04	9.86E-04	4.80E-04
1:Ins:T:3	1.53E-05	1.36E-04	2.79E-04	7.68E-05	6.27E-04	3.63E-04
1:Ins:T:4	1.69E-05	9.41E-05	1.36E-04	2.52E-05	2.14E-04	1.45E-04
1:Ins:T:5	4.97E-04	2.49E-03	2.38E-03	3.59E-04	3.46E-03	4.82E-03
2:Del:R:0	3.42E-05	1.75E-04	2.71E-04	2.05E-04	9.82E-04	6.24E-04
2:Del:R:1	6.46E-05	3.06E-04	5.40E-04	2.69E-04	2.05E-03	1.15E-03
2:Del:R:2	1.85E-05	8.48E-05	1.69E-04	3.93E-05	5.00E-04	3.10E-04
2:Del:R:3	2.42E-05	1.57E-05	8.60E-05	5.15E-06	1.23E-04	1.24E-04
2:Del:R:4	1.68E-05	0.00E+00	6.68E-05	1.96E-06	7.83E-05	6.98E-05
2:Del:R:5	3.25E-05	1.65E-05	9.38E-05	4.18E-06	1.63E-04	1.93E-04
3:Del:R:0	1.18E-05	4.48E-05	1.17E-04	1.15E-04	3.46E-04	1.58E-04
3:Del:R:1	2.73E-05	1.94E-04	2.36E-04	1.28E-04	7.85E-04	5.75E-04
3:Del:R:2	1.22E-05	6.19E-05	4.81E-05	5.01E-05	1.83E-04	1.69E-04
3:Del:R:3	6.80E-06	2.70E-05	1.46E-05	1.19E-05	5.40E-05	7.04E-05
3:Del:R:4	4.86E-06	2.05E-05	2.66E-05	3.56E-06	5.05E-05	3.16E-05
3:Del:R:5	7.14E-06	2.52E-05	7.19E-06	3.48E-06	5.57E-05	4.39E-05
4:Del:R:0	9.09E-06	3.36E-05	1.47E-04	1.01E-04	3.92E-04	2.13E-04
4:Del:R:1	2.88E-05	1.76E-04	2.02E-04	1.05E-04	6.96E-04	6.08E-04
4:Del:R:2	1.22E-05	7.30E-05	6.81E-05	3.35E-05	2.45E-04	1.83E-04
