MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	0.0006497766415122896	0.025561964893713592	0.009110868175048381	0.03310902777782758	0.2982130320370197	0.03991650785348611	0.24069179277867078	0.06060331921034958	0.03891362673835829	0.03387938640313223	0.034603461410442835	0.025102595030330122	0.010448649961035698	0.01949515450745821	0.023837666815306875	0.02753639449831098	0.03983221826376394	0.0272802058479283	0.10540782207623124
1:Del:C:1	0.001613396625907626	0.023257852233946323	0.008508660154438985	0.009016748491703766	0.0975904440227896	0.0017479490756522865	0.09617804111447185	0.08747456300072372	0.09784946205094457	0.018328162812977097	0.017526792392600327	0.028419809874612838	0.007817234710673802	0.015881529066246004	0.04999212987488136	0.006391910659585847	0.03539401936577633	0.007681891768006608	0.03962045139516704
1:Del:C:2	0.002953544988122303	0.013769483146024868	0.0008129181450938852	7.239541089802515e-05	0.02281299560446314	0.011119756168627646	0.044155243705026805	0.0332385443180101	0.062297855222132055	0.011735664573843679	0.008075779038463224	0.012106731536332517	0.01198265664774226	0.006943611262831837	0.0039642064622603355	0.007870788905129301	0.015152849141741172	0.02166886975406669	0.03287616136600263
1:Del:C:3	0.0036348538656602613	0.006085536788668832	0.001009713474122691	0.0022186751656863633	0.01465365470976394	0.009383436165517196	0.01376899848548419	0.012838780051679351	0.03926135439309292	0.00534570403629914	0.003437764483533101	0.011569459871388972	0.001072006889844488	0.007977103555749637	0.006796526719735994	0.008126947478594958	0.009912611780455336	0.0052605379194005765	0.032176686622551645
1:Del:C:4	0.0008458164385012879	0.0006561578484252095	0.0002599039702909067	0.005688768927866477	0.012110114113602322	0.0006314743185794213	0.011080151847327215	0.007634279027115554	0.02581068924104329	0.0010189260842162185	0.004607825362779749	0.006016095792005274	0.006293690692018572	0.003999469802947715	0.0022025751759326795	0.0004561533103697002	0.010300908963421307	0.006921141911408881	0.014362427991468394
1:Del:C:5	6.288368866080418e-05	0.00019555353850591928	0.003929934221077929	0.01607788455672562	0.002079433054459514	0.0007069667185623984	0.010975374710192227	0.00880885093822144	0.02328628479037434	0.009006286709982304	0.012157317948192485	0.006626877162489109	0.0005647442386998591	0.004710340396134711	0.0008948745081943343	0.0016217176142356493	0.011542741453849885	0.0018587615446904238	0.007848381085850634
1:Del:T:0	0.00543283223079925	0.03253033325541765	0.005065883361094165	0.013021818158449605	0.04125376575393602	0.003450948509271257	0.05129893578706654	0.05748089058215555	0.24064789414405824	0.017702304878039286	0.0629340519476682	0.03539137659934568	0.004628712932171766	0.024219729379401544	0.024195529429998714	0.006490595815703273	0.021778470313875004	0.03497302950941958	0.024565870793121575
1:Del:T:1	1.1899135643034243e-06	0.034764910075505216	2.0220667616399623e-06	9.512271066588695e-05	0.0013763855672711146	0.0014369350627983356	0.007774734374801255	0.03434388467326983	0.02724772895677006	0.0024069094642732124	0.501315045952797	0.0010223583383245228	0.0029811105271750193	0.002760706182716035	0.0029729530399450256	0.0018494968648928988	0.0030608755552759704	0.0009082403301420072	0.010515110380097501
1:Del:T:2	0.0012157596583710984	0.020521020288579165	0.0011500649683875964	0.00452409846970113	0.10293754952959716	0.01854252975026611	0.030762803663965315	0.05102288662121282	0.08622753017116339	0.007653601646907191	0.02354848030372523	0.015510094368801219	0.002991781445743982	0.033399822749197484	0.004129467764869332	0.0061309806103236044	0.019892496795218904	0.02720598932075518	0.029325901560951023
1:Del:T:3	0.0026319225049367388	0.01431384914147202	0.0021680979640223085	0.01188890601391904	0.19421614008955657	0.020447261067599812	0.023925158840138464	0.02068711892468855	0.029681578525382973	0.007831483476329594	0.025189434674057338	0.022321401017350695	0.0140995428938254	0.024848811987321823	0.020621090975473634	0.004260836515459232	0.011830324579786975	0.029562766282151643	0.004365170993842185
1:Del:T:4	0.003045623587386217	0.004783479770703707	0.0005248389951884746	0.0365434556233231	0.10149119074223563	0.01742843694752082	0.035178311686613596	0.00804471674549859	0.005871877649333328	0.002571004980709404	0.012789872239663965	0.02316779971596577	0.00872672658180818	0.017848011014284567	0.00485263334136107	0.0033060887118335812	0.007233821780537255	0.027229876979254185	0.10280124577693642
1:Del:T:5	0.015735649380255835	0.011140982223264474	0.0016069490500558458	0.7168010783195495	0.02096177506715776	0.014838486714237957	0.019082641900026828	0.023402441804464616	0.011607745011197039	0.006745987463387451	0.0033502374788804447	0.04711294711221626	0.034484872923048894	0.034925201209507574	0.0052498828868090186	0.004806021136219109	0.016397517135605996	0.009571938433597523	0.008102186127081268
1:Ins:C:0	5.2682963200822996e-08	0.00014203693032186493	1.7943277489393948e-05	0.0010809952585781701	0.0002294628276070654	0.0027464132279447994	0.0011500533556562686	0.0038172445581766113	0.007548481154285866	0.0010640583059056041	0.0031515049143658303	0.0011489321732865677	2.2664305182829025e-07	0.0015976301124780434	0.0018256018413640618	0.2524725868180394	0.0022877959371774637	0.003349162303173898	0.0020111409558937155
1:Ins:C:1	0.0006486237838680608	0.003765922696202324	0.001091115968520171	0.0008754256180236552	0.0026489482337768776	0.001454184961394276	0.0077801491623228	0.006693391986004826	0.0006371690112678152	0.00490695097869093	0.0011959120013938218	0.004986320781563691	0.0017866894385070965	0.010008033671734893	0.006325421822978115	0.06457957660779357	0.009408897279306529	0.0020749291722802353	0.001006601881178142
1:Ins:C:2	6.473274028394371e-05	0.0025579453601431725	0.0014147784201230707	0.0	0.00011025238946075432	0.001247824593708131	0.007639944465765325	0.01523352442032774	0.012913559491838882	0.004718598531908356	0.0006287754731721406	0.003667864309737752	0.00011087434410143259	0.0043863861067592325	0.0011621195211500889	0.009849979293409205	0.00917570434657506	0.0025688482593270124	0.006006423096767435
1:Ins:C:3	0.0006540099034086211	0.0015682258851302323	0.002766088440872636	1.8487077113604754e-08	5.5628661783373446e-05	5.0230778024342724e-05	0.004604284561189438	0.005067075895572089	0.0018587971079485044	0.005591158036080515	0.0005360448721023659	0.003504286440850706	0.0013014453269973103	0.014074987874383816	0.003748521599221988	0.012636827076030387	0.006165243635541629	0.0060913745937982355	0.0007511728325994227
1:Ins:C:4	1.2659391491638417e-05	0.0005328766639890148	0.0003464827602989118	0.00038722545162670483	0.0011664808419496353	7.827473367342463e-05	0.003743066222278628	0.0026265089404554944	0.00017313372874411926	0.005048835031071803	0.0	0.00336231228136171	0.0001718149655540202	0.027915250529457012	0.0013626500756062398	0.009804018519809575	0.003635518641576425	0.003999035620956945	0.0002786523507184313
1:Ins:C:5	0.018963187677964583	0.0009562076710318479	0.0004287702710083252	0.002165567320369064	0.004492825090979409	0.00011306196373936928	0.009360633137797407	0.0033539710923031407	0.0028349069102400646	0.009073790183465462	0.000172628184604946	0.02301067928022462	0.0014669237773665556	0.07984953781741297	0.0027014660815999035	0.02012054629649981	0.011553902185114566	0.0088612301330204	0.0017998989846027768
1:Ins:T:0	0.005953840334091183	0.001534542493560025	0.0026481249827480726	0.00734429307740811	0.003085098901990477	0.0009722233765933197	0.019302860635240508	0.002073100885267678	0.0004334301874041557	0.03492130607864951	0.04517182633549965	0.007182602935153	0.00483000228980984	0.00987452330994529	2.5339509759305655e-05	0.139952295050025	0.009804807985201478	0.007906862723921222	0.0076763212712631914
1:Ins:T:1	0.0016329871389825711	0.0014843408123124391	0.003035635170417663	4.203895392974451e-47	0.002505473168566823	0.0009341950707312208	0.026287449421433847	0.02540934369317256	0.03254796595511436	0.014502234588144347	0.005455658726277761	0.03151067804730474	0.008791741576860659	0.013014999181789904	0.012399671246530488	0.06080015534069389	0.11182760176248849	0.026671095440906355	0.0023672866309061647
1:Ins:T:2	0.0014808009454864645	0.005137632246613748	0.0030955969625484415	0.0009150126612928488	0.002590879906962016	0.0003305402596981821	0.008757612250662135	0.010166605513753098	0.008317721880179079	0.006971439454816277	0.012724478719835303	0.01546846133515885	0.0	0.004239318023588794	0.00017815862824832607	0.015819032592393114	0.08656745666129866	0.005223347010034445	0.002110595995772542
1:Ins:T:3	0.0025694543514471493	0.00022734792320989073	0.00410053215852713	0.001142905001629515	0.0013044170453213155	0.0006176776151482954	0.00874563186080195	0.011748935629730112	0.006649862359272447	0.008309006256412203	0.02678473369337098	0.010803438226877233	0.001089296549980645	0.011288832352130384	0.012877461969719315	0.0043746460234206095	0.04418090221152624	0.006017536049011483	0.012435566743970412
1:Ins:T:4	0.011257519870117676	0.0004133144974548486	0.00013344639155548065	0.005153473677928559	0.0018734100243003127	0.0030805402235599645	0.005673626532386038	0.005027764645783464	0.005227768155019703	0.0020463175994945002	0.015389970365893077	0.008780282998297934	0.0011496705952276898	0.019701574244741095	0.0024188351881383597	0.00673696244323196	0.00468429499771446	0.0031195733277127147	0.003108226288365472
1:Ins:T:5	0.8676245814561844	0.0028905404310771133	0.002456246475289845	0.0754899672018064	0.018799502150055436	0.007669468238934769	0.010874686644363012	0.004341333719094109	0.004081643750355398	0.010485829444074852	0.008128796553819484	0.3230706688016653	0.03661991237513575	0.08093736695222105	0.031945025889369844	0.016595705016313786	0.03387526124421129	0.011037049027263492	0.01703405395134041
2:Del:R:0	0.0013158487586770206	0.01717247931868769	0.006882110044825822	0.0010607977012114134	0.003920938957544422	0.0031654230354251924	0.014370240167031624	0.03994863411411643	0.037682392728165724	0.011890313632320612	0.0031325666929478756	0.01113008281103248	0.11120779067277908	0.014394866519141942	0.00750153289437236	0.009458065484795952	0.019200013142544776	0.0068384492673794735	0.0018702858124743215
2:Del:R:1	0.0019961288964259437	0.0167147288344313	0.001269362025996088	0.0038973045127931984	0.001247589500853792	0.003065855772105124	0.006402028971351683	0.016601394402896402	0.008784174997126684	0.002882016532284979	0.01078684336738661	0.01332163917424623	0.2331079426407814	0.010472390405138867	0.019312977348963613	0.011402853246545419	0.023412426528320793	0.007664865590631962	0.0052979227187825014
2:Del:R:2	0.00014271721825934947	0.0028872040624719373	0.002633062336826697	0.00786341241982882	0.004113929024421736	0.0005243820527232402	0.004437726294640925	0.002330226292833686	0.002905190382734872	0.004830638766288757	0.005817235007780255	0.0046117323834914715	0.06221963634714484	0.00511756980617065	0.004588947229510722	0.0005330519986455329	0.0017426112841349094	0.0014760218444698125	0.001127216280256107
