MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	0.0014747151208575815	0.001392615046352148	0.03274220068007708	0.045188431674614546
1:Del:C:1	0.0007660878467140719	0.0005757921814802103	0.015975579218938947	0.02291702498216182
1:Del:C:2	0.0014714307303074748	0.0002849528095248388	0.008429649947211147	0.012648664296139032
1:Del:C:3	0.005260900668799877	0.00018618944903835198	0.00399725602939725	0.007695912539493293
1:Del:C:4	0.013713767109438777	6.85015174531145e-05	0.0008839834819809767	0.003783142970642075
1:Del:C:5	0.03656988926231861	0.0034417317085899415	0.0015246262482833117	0.00014758061962474755
1:Del:T:0	0.001050386299029924	0.0008817310046288185	0.02678455589339137	0.02205656183185056
1:Del:T:1	0.0016460649261716754	0.0004447327682282776	0.0243122697994113	0.01278369719570037
1:Del:T:2	0.003341195962857455	0.0006017925745982211	0.01741437735967338	0.01967234053183347
1:Del:T:3	0.016274695293977858	0.0007668814571729854	0.019605041202157735	0.02728078103158623
1:Del:T:4	0.04718631893396377	0.0026577614212874323	0.018817508164793252	0.019097485360689462
1:Del:T:5	0.697231650352478	0.14295110411942005	0.16007096841931343	0.02596412974409759
1:Ins:C:0	0.00047631092740630266	0.019701297874271405	0.05800761127844453	0.008625109941931441
1:Ins:C:1	0.0001276600523124216	0.0017418805742636322	0.005864212126471102	0.0014403892174595966
1:Ins:C:2	0.0001347771263681352	0.0008284052350791171	0.002227092356188223	0.0009663989453110844
1:Ins:C:3	0.0005118402405059896	0.0015853211155626922	0.0017738331848522648	0.00016235226265720826
1:Ins:C:4	0.0018513223889749498	0.039279617518186566	1.6285095316703746e-09	0.0006700751675087347
1:Ins:C:5	0.01101071959361434	0.07146345816552639	0.004570410789456219	0.00300994379693293
1:Ins:T:0	0.000549138969508931	0.002776154710445553	0.011791328359395266	0.004016297427006066
1:Ins:T:1	0.000329251116636442	0.0016782244481146336	0.01435679841786623	0.005630570999346674
1:Ins:T:2	0.002033917383523658	0.0021187633578665555	0.008013808173127473	0.003362577728694305
1:Ins:T:3	0.0013846238376572727	0.0019215274567250162	0.007419633427634836	0.0030953730270266533
1:Ins:T:4	0.0027702111401595175	0.03135976516176015	0.0038094334583729504	0.003736123393755406
1:Ins:T:5	0.09585626810789108	0.5145413580536843	0.2772406284511089	0.061840935721993444
2:Del:R:0	0.0012084326229523867	0.0007052311539882794	0.01142841241788119	0.006644730239640921
2:Del:R:1	0.0026869176072068512	0.00022285301193221584	0.01849733025766909	0.010471904617734253
2:Del:R:2	0.0018983361206483095	0.00017176034409203568	0.005368149765999987	0.0037654179331002525
2:Del:R:3	0.01166736795566976	0.0004797196871243159	4.241847141173149e-06	0.0005636918523650536
2:Del:R:4	0.004616638263687491	0.0005643055166001432	0.00013707096835757326	0.0003775190308144261
2:Del:R:5	0.009183050747960806	0.0010322666319552809	0.0012513255112571642	0.0007303490908088861
3:Del:R:0	0.00029426463253912516	0.0002334346776478924	0.0032701753522269427	0.002943890765309334
3:Del:R:1	0.0026528883539140226	0.00018761126324534416	0.017737504211254418	0.011228620037436486
3:Del:R:2	0.0010416909487685189	7.962806156001534e-05	0.004770970506360755	0.0018432470405241475
3:Del:R:3	0.0004017717481474392	4.73835834011993e-05	0.0013217821471334901	0.00034950305553650197
3:Del:R:4	0.0002328453517111484	4.5069128648265175e-05	0.0007344669444137253	0.00037922918686316364
