Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP95454	17328	5228	1150	1334	2327	412	543	0	0	0	0	0	0	0	0	0	0	0
SP94741	35198	8752	1601	2914	3125	2359	1183	0	0	0	0	0	0	0	0	0	0	0
SP90209	56246	12130	29704	28662	0	0	470	0	0	0	0	0	0	0	0	0	0	0
SP90989	37465	4403	2189	2029	0	3782	760	0	0	0	0	0	0	0	0	0	0	0
SP93540	60808	14528	1640	4334	0	12899	1831	0	0	0	0	0	0	0	0	0	0	0
SP93227	57709	7987	46976	16380	0	0	287	0	0	0	0	0	0	0	0	0	0	0
SP94348	33519	9610	1023	2126	904	2315	869	0	0	0	0	0	0	0	0	0	0	0
SP94588	15	0	38	111	0	24	1	36	4	40	127	43	32	38	0	24	0	0
SP90725	11	0	11	91	74	0	0	5	1	27	0	0	6	56	0	54	0	71
SP94236	32	7	2	19	0	0	15	22	7	40	244	0	98	0	0	25	0	0
SP93772	31	0	18	40	0	0	0	32	4	31	53	39	8	27	77	25	0	0
SP92195	28	0	53	109	12	0	0	45	5	32	0	29	41	17	135	6	2	0
SP89957	141	0	14	83	17	0	5	3	5	32	44	0	10	0	90	35	0	0
SP92268	90	16	22	61	61	0	1	4	4	44	62	7	21	45	0	0	0	0
SP92707	32	0	3	65	0	0	0	0	2	35	81	12	1	48	53	0	1	0
SP89687	93	0	15	75	0	0	0	49	0	29	0	0	72	89	66	5	7	0
SP90269	9	25	5	197	0	0	8	21	4	25	0	16	11	56	61	18	32	0
SP94933	22273	1436	1101	8570	27124	378	119	0	0	0	0	3180	0	0	0	0	105	0
SP95126	161	22	53	34	0	0	0	85	0	0	0	0	109	228	121	3	0	0
SP95646	38	9	42	80	5	0	7	20	4	30	93	5	80	0	80	2	10	0
SP89443	28	0	16	85	0	0	19	5	2	63	0	0	50	34	25	35	9	0
SP89651	25	11	2	34	0	0	1	39	0	18	42	2	35	0	59	4	11	0
SP94060	27	13	0	78	0	0	0	0	3	35	128	3	37	0	37	16	0	0
SP92787	10	0	17	40	0	0	2	19	0	53	0	8	19	61	55	0	8	0
SP92723	32	17	0	106	0	25	0	9	1	15	152	6	24	0	47	0	0	0
SP92364	35382	5939	3789	2751	8425	2204	431	0	0	0	0	763	0	0	0	0	0	0
SP95406	14	29	31	23	17	0	0	8	0	41	0	0	1	101	25	9	5	0
SP91746	20	2	25	2	39	0	0	20	0	15	154	0	22	0	0	17	7	0
SP92332	42	21	115	63	0	0	0	116	0	28	0	8	181	130	4	11	1	0
SP91730	23	25	22	48	0	0	1	513	0	20	0	28	101	74	84	17	0	33
SP92947	57	17	13	67	124	0	2	7	0	20	95	0	12	60	6	18	9	0
SP91666	93	0	24	186	0	0	25	7	0	20	0	29	77	36	43	0	6	0
SP90245	25	6	34	81	0	0	10	33	2	76	0	26	80	49	99	9	0	0
SP90893	20	11	16	66	2	0	0	23	1	49	25	9	76	0	129	11	3	0
SP89519	57	9	0	56	0	0	4	5	0	0	216	12	4	10	12	23	0	0
SP94917	10085	3641	963	2251	0	273	550	0	0	0	0	89	0	0	0	21	0	0
SP92659	408	0	455	2094	213	0	0	0	24	30	0	0	56	0	96	19	307	0
SP94332	72	0	7	10	0	0	0	725	9	243	0	0	0	0	0	0	10	0
SP94661	49	0	5	69	49	12	0	21	0	21	84	0	51	75	9	25	8	0
SP93652	20	0	37	71	92	0	1	15	5	77	1	0	0	62	51	7	2	0
SP90125	25	14	50	50	0	0	3	3	17	59	84	1	72	23	0	39	12	0
SP94540	42	0	12	288	0	0	6	29	8	50	26	6	0	42	40	14	4	0
SP95222	154	0	97	72	0	0	4	54	0	28	0	0	102	77	154	0	0	0
SP89389	85	10	21	70	0	13	0	36	5	38	0	13	43	192	12	9	0	0
SP90503	25	1	33	19	0	0	10	3	0	67	134	0	15	16	12	4	4	0
SP92460	8091	2971	690	535	1476	55	328	0	0	0	0	40	0	0	0	0	0	0
SP92931	70	25	15	89	0	0	0	27	1	38	0	0	0	123	119	0	8	0
SP91265	120	34	82	66	0	0	0	15	3	80	85	0	111	103	0	20	5	34
SP89909	7773	3141	1144	139	0	355	110	0	0	0	0	0	0	0	0	0	0	0
SP90629	96	6	81	36	0	0	10	40	7	62	0	1	260	129	104	29	23	48
SP95550	115	0	56	57	19	0	4	87	1	13	0	10	57	202	0	2	4	14
CPCT02020389T	132	0	5	81	12	4	5	14	22	23	108	3	34	6	0	6	26	0
CPCT02080033T	0	0	19	277	117	0	0	0	81	64	158	18	9	41	0	20	13	125
CPCT02060156T	267	78	0	23	166	0	30	14	109	108	171	8	4	98	43	0	31	0
DRUP01340014T	18	3	11	34	0	0	1	0	15	27	0	37	0	0	0	20	275	0
DRUP01010121T	279	0	20	61	70	0	22	56	46	21	0	11	41	75	50	51	3	259
CPCT02130034T	85	27	60	17	92	4	0	35	114	43	174	0	124	0	0	61	10	13
CPCT02260015T	244	0	75	63	75	0	8	115	209	305	0	0	53	111	17	0	23	111
CPCT02220071T	10447	1802	307	358	409	215	730	22	160	0	0	0	25	0	0	0	65	0
CPCT02010710T	129	21	12	89	35	0	12	103	99	17	0	22	0	0	99	19	7	46
CPCT02340068T	8	26	6	44	23	2	0	0	39	47	37	13	21	0	73	16	11	49
CPCT02130050T	97	15	38	157	19	0	16	24	214	103	109	33	109	0	0	48	1	0
DRUP01060016T	32	21	40	39	0	0	2	26	94	348	0	22	24	30	0	49	2	0
CPCT02260017T	197	14	14	315	0	0	8	33	64	51	111	28	25	61	109	30	57	0
CPCT02020682T	733	0	72	359	120	0	13	7	124	65	0	0	47	40	90	61	34	73
DRUP01030013T	33126	10115	894	2181	0	4582	1362	0	534	0	0	0	0	0	0	0	0	0
CPCT02130059T	99	0	10	17	225	17	5	22	128	39	0	0	130	96	0	36	1	45
WIDE01010296T	166	24	56	167	205	0	0	20	33	422	263	6	93	0	12	202	21	0
CPCT02380044T	32	47	0	153	0	0	0	36	76	103	0	58	78	18	35	298	20	8
CPCT02060117T	40	0	14	60	208	0	8	6	60	45	0	11	9	47	9	13	1	47
CPCT02080220T	54	17	0	241	209	0	2	23	112	66	121	45	44	0	0	9	6	0
CPCT02210056T	72	16	0	81	77	0	2	8	130	20	93	30	0	20	60	2	2	0
CPCT02020734T	71	11	0	84	155	0	6	20	227	19	71	18	0	49	0	0	0	0
CPCT02020716T	26	0	0	21	110	8	3	15	74	14	86	0	13	9	28	9	5	0
CPCT02080226T	36	7	9	124	0	0	6	53	111	0	0	23	1	129	149	77	13	0
DRUP01080014T	16289	2971	820	271	931	486	879	0	205	0	0	0	0	0	0	0	0	0
DRUP01270003T	77	15	8	73	72	15	4	2	42	14	0	0	59	98	11	56	6	7
CPCT02190044T	24	14	48	21	0	0	6	22	109	35	0	2	48	0	136	20	4	0
CPCT02130131T	58	40	0	123	22	0	0	0	65	0	0	5	265	0	0	0	49	0
CPCT02220054T	133	0	40	128	19	0	14	58	101	9	86	20	44	274	0	14	13	0
CPCT02330075T	237	0	40	141	326	0	13	33	94	56	226	0	47	98	14	52	31	97
CPCT02130134T	15	10	41	15	119	22	0	34	172	76	55	0	91	2	0	18	8	0
CPCT02130148T	26	0	34	108	62	31	0	29	83	16	0	0	68	300	38	30	17	22
CPCT02070381T	0	11	8	8	0	0	3	7	89	28	64	15	22	0	28	4	0	0
DRUP01070053T	68	0	19	5	56	10	8	0	133	56	122	0	54	78	0	0	18	0
DRUP01060025T	25	0	35	108	5	22	42	1969	257	0	123	0	31	12	104	83	61	108
DRUP01100007T	154	0	0	192	183	0	7	26	79	49	131	0	45	88	0	11	30	117
CPCT02380019T	35	21	32	108	49	0	22	103	191	0	0	0	89	0	192	61	28	0
CPCT02020598T	17	19	19	38	30	0	6	8	129	61	0	6	48	49	0	14	0	0
DRUP01070059T	0	0	2	1	0	5	3	14	54	29	42	120	21	0	39	0	19	0
CPCT02080152T	14536	3860	8	70	1578	597	999	0	233	0	0	0	0	0	0	0	0	0
CPCT02070406T	22	7	18	0	0	0	22	1	63	23	59	0	50	0	270	50	124	0
CPCT02450002T	312	0	0	196	330	0	9	52	147	32	0	0	77	154	0	75	12	91
DRUP01070024T	16	0	17	111	0	11	3	25	70	89	91	21	74	0	0	62	16	0
DRUP01060027T	33	60	47	0	36	0	0	464	50	176	0	0	59	67	38	12	18	0
CPCT02030381T	5	0	10	54	88	15	0	99	94	170	0	13	0	24	104	19	5	0
DRUP01220005T	134	0	36	157	0	6	7	31	95	0	0	61	50	198	0	16	348	18
CPCT02370010T	4	0	33	99	0	13	18	1966	254	0	148	7	56	0	68	72	70	154
CPCT02020623T	199	0	22	35	216	0	5	38	73	0	100	0	185	0	0	14	21	31
CPCT02290023T	115	0	15	87	309	0	17	28	70	160	93	0	43	0	70	28	14	3
DRUP01010022T	35253	8601	921	1070	414	5762	1341	0	47	0	0	0	0	0	0	0	0	0
CPCT02070159T	0	25	0	220	44	0	10	23	103	44	42	33	82	0	0	65	31	29
CPCT02030354T	57	0	8	32	16	0	5	36	32	1	0	0	0	48	70	16	22	21
CPCT02020565T	46	0	11	33	63	0	9	29	44	36	182	1	11	0	0	7	21	0
CPCT02060114T	20	17	27	28	0	0	4	12	60	250	0	31	26	21	0	24	0	0
CPCT02060118T	55	51	3	55	22	9	1	107	140	47	0	0	60	17	52	6	16	0
CPCT02220002T	20	0	9	62	0	0	6	7	45	53	0	13	25	55	0	14	9	43
DRUP01030002T	35	17	19	5	139	0	4	31	75	14	153	19	32	0	20	96	30	0
CPCT02070060T	100	10	21	80	91	59	0	274	81	193	80	0	74	119	85	75	19	0
CPCT02030320T	126	4	0	172	378	0	0	21	70	13	348	2	0	0	0	0	9	0
CPCT02060035T	77	0	0	90	72	0	0	24	31	22	108	23	13	0	0	22	18	40
CPCT02070110T	21	0	13	114	0	9	1	39	36	74	132	0	73	0	3	69	17	0
CPCT02020492T	24	38	0	0	37	15	1	83	44	176	59	15	171	44	20	5	34	0
CPCT02030327T	42	0	27	0	113	13	0	12	6	22	0	0	30	30	51	16	18	54
CPCT02020503T	90	0	16	90	0	0	10	80	33	396	0	26	101	182	0	121	15	100
CPCT02380029T	59873	7416	1392	0	0	10360	7239	0	12	0	0	0	0	0	0	0	0	0
CPCT02020636T	54	22	13	45	69	8	15	89	98	272	0	12	23	18	214	68	14	0
CPCT02130013T	76	7	54	73	0	0	17	92	102	360	0	15	0	0	0	431	14	0
DRUP01110002T	49894	12885	846	0	8905	6335	3831	0	800	0	0	0	0	0	0	0	0	0
WIDE01010639T	155	23	0	115	118	0	7	8	33	7	56	18	23	30	0	13	20	0
DRUP01010167T	26833	8069	1749	707	814	2408	1981	0	123	0	0	0	0	0	0	0	0	0
WIDE01010570T	203	50	46	71	72	0	0	30	42	0	106	20	85	0	43	220	54	0
