Samples	ID83A	ID83B	ID83C	ID83D
SP99325	84239	14499	24847	2487
SP18310	100435	11151	22396	0
SP17172	30467	5523	3890	0
SP96133	51909	2227	23252	0
SP110242	82322	17841	24332	0
SP21017	79598	11133	21648	0
SP22383	53135	565	25588	0
SP81312	956	4543	5369	721
SP19215	47946	0	25785	0
SP16886	0	5021	1800	842
SP17905	0	8076	13093	4497
SP18121	54744	17506	27780	0
SP96118	3778	0	5413	274
SP21400	0	6073	3992	486
SP18946	415	4184	11299	903
SP80615	0	9971	6725	2643
SP102897	7488	2666	2205	1115
SP98845	5357	776	2524	557
SP107012	17516	5253	6336	668
SP55142	0	88	449	5291
SP53810	26	0	0	5416
SP116697	808	4253	3156	1167
SP102133	3695	16309	0	95
SP125732	4415	0	3328	0
SP125746	33802	7353	6220	82
SP125770	5835	11722	3590	585
SP77956	85	520	0	4868
SP124384	13472	2743	4644	1141
SP135287	44920	3219	16140	0
SP85122	75328	9334	15778	0
SP84384	73790	1946	24076	1826
SP84982	40586	0	12390	0
SP84392	73381	4828	23831	135
SP84439	60365	0	32485	3029
SP95454	18400	5592	4288	42
SP94741	39144	9911	6071	6
SP90209	8748	8805	109659	0
SP90989	39964	3583	7081	0
SP93540	75647	11773	8620	0
SP93227	14081	0	113585	1673
SP94348	38117	7836	4327	86
SP94933	26126	36072	2088	0
SP92364	36023	11571	12090	0
SP94917	9709	3471	4113	580
SP92460	8370	2996	2517	303
SP89909	7349	701	4313	299
CPCT02020308T	55072	13052	2423	1369
CPCT02020323T	10566	1191	2786	78
CPCT02010373T	228	64	0	5678
CPCT02140022T	9020	4594	776	740
CPCT02070024T	19897	7073	378	755
CPCT02070023T	85561	22595	13663	5154
CPCT02020387T	73449	14529	10857	1709
CPCT02140024T	3807	1567	379	347
CPCT02010441T	61439	8010	7111	359
DRUP01010007T	2483	1077	296	430
DRUP01070001T	77064	6068	21262	788
CPCT02011015T	293	2	851	8744
CPCT02230072T	23536	10097	0	5633
CPCT02380035T	28380	4322	776	814
CPCT02020704TII	48208	8482	7771	1664
DRUP01010020T	59912	12916	0	1335
CPCT02011050T	33148	6374	2834	671
CPCT02080188T	10	162	441	5578
CPCT02250005T	33399	3537	0	919
DRUP01070038T	18899	3430	708	473
DRUP01010123T	160087	32747	2843	1113
CPCT02200005T	11191	1103	0	207
CPCT02120105T	3438	213	446	513
CPCT02330076T	131904	0	27982	732
CPCT02220071T	11714	1862	707	257
CPCT02020671T	645	0	121	8843
CPCT02050424T	0	88	487	4951
DRUP01340017T	164940	19401	6788	3944
CPCT02230088T	143	0	140	8372
DRUP01010122T	126530	19930	12632	1251
CPCT02230086T	22140	6174	4772	998
WIDE01010064T	1848	1769	39	990
CPCT02150052T	1135	0	1354	3632
WIDE01010069T	79656	12327	7006	3338
DRUP01010078T	147	0	202	8253
WIDE01010075T	16927	503	5436	89
CPCT02020680T	33897	5337	1436	1221
WIDE01010127T	271	298	24	5103
DRUP01030013T	40055	7505	4103	1131
DRUP01230004T	151083	19008	4955	3398
DRUP01230001T	23342	9983	0	5958
WIDE01010139T	483	422	0	5720
CPCT02130049T	2015	1139	391	1308
CPCT02050443T	55045	8306	5171	1676
DRUP01340016T	126837	34879	0	516
CPCT02140091TII	3414	2635	0	939
DRUP01070026TII	70636	12333	11850	2069
CPCT02270029T	236	122	369	6307
CPCT02010780T	125	95	0	4940
CPCT02270026T	510	911	675	3989
CPCT02020986T	61116	3989	0	1245
CPCT02020704T	45518	8139	7184	1602
DRUP01080031T	58375	10421	2325	931
DRUP01070080T	102625	0	27751	3009
CPCT02050358T	1230	2479	9	347
DRUP01050049T	54470	7913	5915	1283
DRUP01330020T	185190	0	29518	3253
DRUP01070085T	71073	19125	0	903
DRUP01050048T	82775	23425	2106	2123
DRUP01020053T	164172	31364	8863	4038
DRUP01040016T	119502	20307	12837	1000
DRUP01010142T	42349	9868	1857	781
CPCT02010786T	85739	10957	9919	189
DRUP01010148T	89765	15211	4489	4170
WIDE01010451T	3651	2022	71	883
DRUP01070042T	29613	7424	3980	1388
CPCT02450014T	82091	182831	0	2564
DRUP01030018T	175292	27914	5139	3460
DRUP01080014T	17828	2549	2308	167
CPCT02180068T	2357	1972	1280	562
CPCT02010870T	124	449	674	3396
CPCT02010847T	228	0	141	4711
DRUP01050028T	55248	6749	2445	0
WIDE01010606T	100265	59704	659	241
CPCT02010867T	102	0	0	10801
DRUP01010047TII	107192	6647	8247	236
WIDE01010460T	153113	26524	23045	1615
CPCT02010882T	152943	22855	3599	1752
CPCT02310017T	1857	1672	302	460
CPCT02050380T	2144	1279	300	719
CPCT02130140T	58453	5682	9231	1342
CPCT02210064T	2381	1296	198	297
CPCT02170035T	115104	15529	10558	1184
CPCT02010911T	314	53	123	6431
CPCT02130146T	10444	20560	0	2016
CPCT02020815T	70	0	150	7133
CPCT02330125T	59645	9108	9190	2047
DRUP01010096T	385	165	7	5463
CPCT02030532T	0	104716	5880	0
DRUP01070020TII	18666	5014	3509	336
CPCT02030546T	58223	25131	10404	9406
CPCT02010654T	37447	10349	3922	1031
CPCT02140091T	2809	1319	413	289
CPCT02230056T	2317	1871	1535	1597
CPCT02040169T	10028	984	1296	752
CPCT02080152T	17558	3969	0	354
CPCT02010986T	1646	92	124	2865
DRUP01010047T	125857	11067	3056	1283
CPCT02080273T	74942	19655	0	2466
CPCT02080157T	26235	11734	0	1033
DRUP01010108T	2230	2172	203	810
CPCT02030392T	13350	11759	0	1274
CPCT02050279T	117406	16710	7106	179
CPCT02160034T	2623	1068	694	368
CPCT02040280TII	202	212	0	6108
CPCT02190020T	297	162	149	6930
CPCT02100120T	2162	2068	221	821
DRUP01010051T	103081	15995	11652	617
CPCT02020622T	1496	1608	299	913
CPCT02020630T	786	214	40	5170
CPCT02340029T	1423	1516	2	1164
CPCT02080162T	4295	6144	244	865
DRUP01010044T	2791	1186	239	532
CPCT02050252T	1495	1718	281	842
CPCT02210016T	170740	16967	8915	1963
CPCT02050170T	14785	4417	0	561
CPCT02010569T	1876	1324	191	485
CPCT02100019T	81391	16712	12041	1502
CPCT02020514T	30220	4694	0	879
CPCT02070140T	29800	8378	2635	1532
CPCT02030347T	129311	1574	36433	0
CPCT02180033T	11736	3333	169	652
CPCT02070164T	21087	6436	2270	475
DRUP01070015T	50873	10247	7010	1201
DRUP01010022T	43186	6052	3567	604
CPCT02030349T	42370	7946	4650	998
CPCT02120032T	7569	1760	2326	247
DRUP01010025T	118303	12247	18466	0
CPCT02220023T	120	0	13	6228
CPCT02100101T	2794	12130	0	205
CPCT02030357T	172547	28332	4477	3227
CPCT02070192T	35682	8077	5484	638
CPCT02050211T	82665	14223	9447	498
CPCT02380016T	5567	854	354	947
DRUP01090003T	104938	19977	0	1258
CPCT02230039T	1367	705	1107	1104
DRUP01010037T	30614	6679	0	1605
CPCT02120042T	167154	14095	12823	788
DRUP01070020T	22286	6898	1690	876
CPCT02340022T	89	6092	3208	980
CPCT02070041T	11039	3015	0	267
DRUP01140001T	8599	4575	606	799
CPCT02210004T	29659	8540	5645	2083
CPCT02050089T	2135	1260	772	253
CPCT02050104T	437	606	164	3958
CPCT02050041T	1808	1478	428	1224
DRUP01050001T	104789	16270	6348	1241
DRUP01050003T	0	102568	2373	0
DRUP01070008T	82529	18734	11092	3020
CPCT02370001T	2113	1253	247	1076
CPCT02020491T	0	767	434	5801
CPCT02020486T	1592	1094	790	573
DRUP01010018T	136401	25118	3578	2622
DRUP01050002T	146253	21488	14697	2538
CPCT02040104T	661	334	0	5947
CPCT02070131T	13271	3458	2804	504
DRUP01070026T	39962	10193	5029	841
CPCT02380029T	75600	4250	5453	989
CPCT02360007T	31161	7603	2406	1310
CPCT02340041T	2061	1106	237	857
CPCT02040196T	1642	1364	204	686
DRUP01110002T	63895	16422	1127	2052
CPCT02220030T	68439	24902	4848	2316
DRUP01050017T	60102	9614	109	460
CPCT02030430T	8645	5822	0	594
CPCT02070023TII	101115	20423	13018	3534
WIDE01010443T	923	2592	260	355
WIDE01010470T	2426	7519	17115	1995
DRUP01010167T	30791	4811	6279	803
CPCT02080048T	17478	6966	1985	3012
DRUP01070119T	6665	1722	326	187
WIDE01010539T	1461	1924	239	481
WIDE01010557T	237	359	0	7715
WIDE01010578T	18789	3556	1361	442
WIDE01010648T	215	612	275	4233
