Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP24708	0	83	70	0	24	64	0	89	85	10	0
SP24301	33	126	93	0	41	93	3	136	82	9	25
SP27201	0	80	122	5	23	69	0	74	97	25	2
SP28791	8	12	23	16	5	10	0	26	54	5	8
SP23739	32	9	26	5	27	40	0	50	64	0	0
SP24702	67	74	67	0	32	50	0	90	59	43	1
SP25332	18	7	17	8	16	16	2	42	11	8	9
SP28335	26	2	34	5	30	13	0	97	73	0	32
SP26709	28	65	26	1	23	15	0	35	22	0	17
SP25350	1	45	56	18	10	100	2	115	72	0	24
SP25380	14	68	105	10	28	73	4	53	106	33	10
SP24565	2	9	16	0	22	37	1	96	54	0	0
SP25833	34	77	37	0	29	45	0	80	84	25	0
SP25905	14	0	22	2	33	22	0	25	75	0	15
SP26439	0	26	18	4	22	2	0	20	18	40	11
SP24236	16	69	130	5	23	85	0	86	166	11	12
SP23925	0	50	130	0	57	1305	0	173	37	0	5
SP24815	16	75	107	0	41	49	4	128	110	0	46
SP27957	57	0	68	0	32	50	0	53	70	36	9
SP27603	0	44	44	0	34	34	0	86	83	18	36
SP27825	22	59	100	0	41	57	0	127	86	10	16
SP24135	0	55	90	2	417	89	2	180	133	81	15
SP26499	0	47	33	5	19	23	0	30	46	27	19
SP25518	25	61	106	3	40	81	9	30	163	39	0
SP28659	104	0	116	7	479	143	0	129	182	31	0
SP23622	8	41	58	0	3	58	8	125	76	7	8
SP27939	0	54	30	0	20	20	0	80	54	37	21
SP23754	4	9	20	6	14	11	0	17	33	9	6
SP29697	17	58	47	9	17	40	0	53	40	8	24
SP27339	22	36	41	0	20	14	3	98	59	13	6
SP29559	3	61	14	15	534	20	5	3	136	0	23
SP29331	35	15	86	1	41	46	1	61	114	20	33
SP26475	11	96	63	0	22	21	0	74	64	37	19
SP23775	18	53	92	0	470	91	0	116	158	5	17
SP28275	42	7	19	0	29	56	0	58	35	0	42
SP28581	15	55	76	0	30	57	0	72	64	39	13
SP23639	14	62	71	0	36	67	2	106	87	6	22
SP24391	26	56	56	0	32	54	1	83	92	12	14
SP28041	76	26	119	1	22	80	0	93	91	29	0
SP25494	157	4	185	0	762	181	6	144	418	72	27
SP26649	31	33	52	0	28	65	1	181	45	0	0
SP78927	9	38	4	0	0	1	0	0	8	0	3
SP78913	0	27	2	0	11	4	0	0	7	0	0
SP107375	11	57	10	9	32	4	0	9	27	18	18
SP107408	41	152	48	10	18	22	4	0	25	0	0
SP107439	25	0	0	0	0	0	1	0	16	245	0
SP78816	10	23	2	0	2	4	0	0	2	1	0
SP78663	65	67	3	6	31	6	0	5	5	0	23
SP78709	7	86	4	9	10	4	0	9	1	1	0
SP107462	82	92	6	19	8	0	0	0	16	0	0
SP78951	6	59	8	7	3	3	0	3	24	0	0
SP107435	40	53	18	13	10	17	0	8	15	11	14
SP78679	5	63	47	8	8	22	0	0	28	0	38
SP107360	11	136	36	34	27	26	5	18	0	5	0
SP78819	8	2	3	2	1	2	0	3	2	0	12
SP78821	0	71	8	0	3	2	2	9	29	14	3
SP107552	11	37	0	0	6	5	0	0	5	7	0
SP78865	15	11	0	0	4	0	0	0	3	0	32
SP107470	8	82	31	1	1	7	4	1	8	1	0
SP78673	3	0	4	0	3	9	0	0	8	10	10
SP78824	6	19	3	2	10	3	1	0	7	0	0
SP107550	10	19	7	7	0	0	0	0	7	0	12
SP78718	90	128	32	7	0	2	0	0	14	1	0
SP107451	20	33	5	9	5	1	0	8	0	9	0
