MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
3:Ins:R:3	1.97E-06	2.44E-06	4.02E-06	3.81E-06	1.35E-05	1.59E-05	1.52E-05
3:Ins:R:4	4.51E-07	3.17E-06	8.52E-06	4.48E-06	9.12E-06	6.69E-06	2.40E-06
3:Ins:R:5	4.73E-07	1.10E-05	2.46E-05	5.42E-06	1.14E-05	3.34E-05	2.88E-05
4:Ins:R:0	4.06E-05	1.05E-05	4.02E-05	2.12E-04	3.60E-05	2.57E-04	9.82E-05
4:Ins:R:1	1.92E-05	3.56E-06	4.43E-05	2.16E-04	1.30E-04	1.01E-04	6.69E-05
4:Ins:R:2	4.32E-06	4.12E-06	1.80E-05	1.20E-05	2.26E-05	3.57E-05	1.46E-05
4:Ins:R:3	2.41E-06	4.98E-06	1.38E-05	8.87E-06	9.96E-06	2.64E-05	2.59E-05
4:Ins:R:4	1.87E-06	5.17E-06	1.54E-05	4.87E-06	2.03E-05	2.80E-05	2.76E-05
4:Ins:R:5	2.97E-06	5.25E-06	2.13E-05	7.33E-06	1.56E-05	3.59E-05	5.49E-05
5:Ins:R:0	0.00E+00	2.52E-05	4.67E-05	1.57E-05	4.25E-05	1.45E-03	8.55E-05
5:Ins:R:1	4.32E-05	7.77E-08	9.27E-05	4.31E-04	1.83E-04	1.61E-04	1.68E-04
5:Ins:R:2	1.59E-06	3.47E-06	1.65E-05	1.58E-05	1.70E-05	3.78E-05	9.05E-06
5:Ins:R:3	2.55E-06	1.53E-06	1.06E-05	8.89E-06	1.28E-05	1.99E-05	7.52E-06
5:Ins:R:4	1.88E-06	2.42E-06	9.56E-06	6.32E-06	1.01E-05	1.95E-05	2.24E-05
5:Ins:R:5	0.00E+00	1.55E-06	8.28E-06	1.18E-06	8.03E-06	1.12E-05	1.19E-05
2:Del:M:1	8.18E-05	1.85E-05	5.77E-05	2.82E-04	2.38E-04	1.19E-04	7.05E-04
3:Del:M:1	2.03E-05	5.45E-06	3.66E-05	2.12E-04	1.31E-04	8.71E-05	1.29E-04
3:Del:M:2	1.85E-05	1.73E-05	5.66E-05	1.00E-04	1.08E-04	1.19E-04	3.41E-04
4:Del:M:1	1.64E-05	9.67E-06	3.86E-05	1.46E-04	1.03E-04	9.66E-05	1.37E-04
4:Del:M:2	1.28E-05	7.87E-06	3.59E-05	1.26E-04	8.65E-05	9.49E-05	1.99E-04
4:Del:M:3	2.81E-06	8.68E-06	5.82E-05	5.63E-05	9.48E-05	9.84E-05	3.11E-04
5:Del:M:1	9.60E-05	1.49E-05	9.68E-05	1.06E-03	3.76E-04	4.03E-04	2.83E-04
5:Del:M:2	9.94E-05	1.03E-05	5.04E-05	4.21E-04	1.12E-03	4.11E-04	2.52E-04
5:Del:M:3	6.32E-05	1.09E-05	5.03E-05	1.54E-04	1.01E-03	2.50E-04	1.93E-04
5:Del:M:4	3.87E-05	8.28E-06	3.63E-05	9.68E-05	5.74E-04	1.31E-04	1.51E-04
5:Del:M:5	4.24E-05	8.58E-06	6.48E-05	1.15E-04	5.06E-04	1.65E-04	1.05E-04
