De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID8 (60.98%) & Signature ID23 (39.02%), 32.99,  25.79, 0.115, 0.97, 0.96
Signature 83-ID83B, Signature ID1 (100.00%), 50.88,  8.35, 2.169, 1.00, 1.00
Signature 83-ID83C, Signature ID1 (29.10%) & Signature ID2 (57.36%) & Signature ID9 (13.54%), 20.81,  5.73, 0.223, 1.00, 1.00
Signature 83-ID83D, Signature ID8 (21.42%) & Signature ID19 (78.58%), 66.51,  34.96, 0.351, 0.94, 0.94
Signature 83-ID83E, Signature ID9 (79.96%) & Signature ID15 (20.04%), 24.53,  12.86, 0.960, 0.99, 0.99
Signature 83-ID83F, Signature ID6 (100.00%), 40.19,  22.26, 0.155, 0.97, 0.98
Signature 83-ID83G, Signature ID3 (16.66%) & Signature ID4 (58.24%) & Signature ID24 (25.10%), 38.61,  26.92, 0.189, 0.96, 0.96
Signature 83-ID83H, Signature ID13 (44.78%) & Signature ID14 (19.10%) & Signature ID16 (36.12%), 76.98,  58.33, 0.675, 0.81, 0.78
