hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8
A[Del(C):R1]A	0.000268234129275977	0.00286256087522477	0.00149787040837577	0.00306992440923234	0.00687695110628295	0.0168132485281782	0.00132559080960299	0.0161224765743499
A[Del(C):R1]G	1.16647213234586e-05	0.000123227577596757	0.0013332529060432	0.000164760937641575	0.00214901107572856	0.000896490191605407	0.000380478411120691	0.000716911815431541
A[Del(C):R1]T	0.000202159839169649	0.00149227242320468	0.000499496890084478	0.000778392411118197	0.00645286671343849	0.0151080425412922	0.00193294742692212	0.0149949915514049
A[Del(C):R2]A	3.3393292399138e-05	0.000462676856722337	0.000926981376171927	0.000666684635084311	0.00737161565391897	0.00380131144918491	0.00366719345712528	0.00425330884145248
A[Del(C):R2]G	4.58620324795029e-08	3.0951981813942e-06	0.000467677455760209	2.32648869556628e-05	0.000497883022809987	0.000215271047128799	0.000529138526069266	0.00022644258496656
A[Del(C):R2]T	7.49772571614123e-05	0.000465219340942768	0.000568625076350361	0.000450337250413458	0.00518297710261097	0.00659575771737387	0.00145494798039516	0.00657270344925278
A[Del(C):R3]A	2.18231615176684e-05	0.000407101467947482	0.000427050302773082	0.000395691655834921	0.00338736968758614	0.00181046836854282	0.000670937404943292	0.00177653212995659
A[Del(C):R3]G	1.45884258940269e-05	2.68342628047658e-05	9.73811147935714e-05	9.07267732074633e-06	0.000987091249252647	0.000191619263687968	0.000442138052643977	0.00023746209170106
A[Del(C):R3]T	1.38188036614802e-05	0.000429071847895771	0.000399541688498593	0.000130272191983495	0.00346961681488332	0.00290531499851328	0.000675420079178664	0.00287581531012369
A[Del(C):R4]A	3.75065434371434e-05	0.000321513711092322	0.00058608544820666	0.000907372497401663	0.0015229170770432	0.00117983377908849	0.00103101507413566	0.00124623446530097
A[Del(C):R4]G	1.47360443110703e-05	6.47228048287966e-05	0.000526726386514018	9.24938150566926e-05	0.000813469600219621	0.000148918636479304	0.000271247532813862	0.00013203171925461
A[Del(C):R4]T	3.9852673036173e-05	0.000328477907000459	0.00055904203034042	0.000165508263641051	0.00126254746433691	0.00095722032646055	0.000689142551327764	0.000955735248532189
A[Del(C):R5]A	5.18169307592633e-05	0.000278125665156707	0.000390516878178551	0.0012645384503103	0.00074165737290053	0.0011701819401894	0.00139228202424761	0.00133306597078819
A[Del(C):R5]G	1.27869079306914e-05	2.26612723994932e-05	9.03721555759449e-05	0.000257883344660444	0.000377843956556016	3.0596010767566e-05	2.67130791169132e-05	2.11743777152092e-05
A[Del(C):R5]T	3.31969455725852e-05	0.000103523324888417	0.000765775314166518	0.00124202787370925	0.00075030702493056	0.000586564229332598	0.000838260082014642	0.000616080569335049
A[Del(C):R6]A	6.36378696308552e-05	0.000254828771702106	0.00097781183704666	0.00303613409908779	0.000207465927034251	0.000446373658392402	0.000743483541038197	0.000435371696792477
A[Del(C):R6]G	1.0882200394277e-05	3.52631507094554e-05	0.000656795302260591	0.000214510499270271	2.08446556188818e-05	3.53104403288359e-05	1.17098429005647e-05	1.37053965228765e-05
A[Del(C):R6]T	3.63399279859461e-05	0.000196738534404869	0.000325172289366432	0.00107540909760169	0.000129342471053713	0.000271302679549567	0.00068173241636725	0.000314230708734569
A[Del(C):R7]A	0.000102146211839973	0.000120298193603651	0.000509886276535385	0.00483473126481831	4.74725088159818e-05	0.00027221052578265	0.000276370589082859	0.000166929889998096
A[Del(C):R7]G	2.90220674284354e-06	0.000156169329670166	0.000700957947950414	0.000855269208092373	4.43043223166102e-05	5.5426401598714e-06	4.84860682601506e-06	5.64772715774911e-06
