hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21
A[Del(C):R1]A	0.00119263931753995	0.000717356885120214	0.0121244221692525	0.00188861895303854	0.00131733368498254	0.00541454752780339	0.026502751677842	0.00575630616482995	0.00328830927188343	0.00336065068071755	0.00137974584070156	0.0031132000907524	0.0225579159959473	0.00364266063595908	0.0061434236307487	0.001205486265238	0.00098196421263652	0.00628255865079288	0.0101563678415204	0.00573708204914597	0.00123782345859644
A[Del(C):R1]G	0.000139078931568612	3.45294236419146e-05	0.000704974910522494	8.11370578471371e-05	0.000107400266702904	0.000332013118600803	0.00216226855582894	0.000132933666923062	0.000149035370796698	0.00027911054568215	0.000170646302878418	0.000373221201669223	0.00165940702153775	0.000465560862496743	0.001253303858669	0.000411640674318204	0.000119004245916625	0.000726077342531691	0.000189454016456069	0.000324076834546943	0.000294653977954531
A[Del(C):R1]T	0.00113886164071035	4.00171581802535e-05	0.000353964614092276	0.0112852212394396	0.00123111726236821	0.00817410535860836	0.0043846918915198	0.00044820316878456	0.000172250056221313	0.00288314023220996	0.00209276125288257	0.00186693491172757	0.0164176706209041	0.000376098765820549	0.0123713206272724	0.000143104646019017	0.000395090876468652	0.00596299725202008	0.000918067347283428	0.00344420253698284	0.000442149455349003
A[Del(C):R2]A	0.000626827119816081	3.0262215376786e-05	0.00234586144952828	0.00431179329013717	0.00295992140390217	0.00206516753545004	0.025084927332565	0.00144796647057015	0.00018829042704559	0.000654932443451709	0.000848324359744255	0.000837424985287561	0.0108990039623625	0.000313687160638503	0.00194520061990645	0.000269802399843688	0.000289169231942149	0.00317889318325989	0.00214894007421991	0.00152460775731568	0.000678778890305602
A[Del(C):R2]G	2.47579932095792e-05	3.27078414365071e-06	6.91071350460659e-05	0.000145270501663748	4.32758462135207e-05	0.00044499874819623	0.00480450772109263	9.7504683727728e-05	2.34349859308823e-05	0.00012933306795613	0.000272878691374954	0.000134240604460676	0.000617607052904804	3.34684897136278e-05	9.45523394908978e-05	3.88643988602103e-05	1.73219112482451e-05	0.000847353538794451	0.000104188432459097	7.89149872104915e-05	0.00011001935157584
A[Del(C):R2]T	0.00034402474906608	9.88398809191405e-05	0.000474940557370607	0.00206329865058909	0.000424425542518312	0.00247107936313758	0.0111721178062604	0.000542947052649661	0.000151716386391842	0.0014039193337137	0.00100489180226401	0.00169121335819185	0.013028082922349	0.000320687834263756	0.00180979539105055	0.00011129929737558	0.000152956549783776	0.00329227020429833	0.00111492753818565	0.00129596992524495	0.000521568442472207
A[Del(C):R3]A	0.000419354150605022	0.000110178222169542	0.000746262564283123	0.00308738512345842	0.000504922848036204	0.00134274990001568	0.0201805457751754	0.000649626205001663	0.000184462186172524	0.00031489514321145	0.000383365615011238	0.000535394061084979	0.00515842661397344	0.000890268038730576	0.000599244556135629	0.00116570355277926	0.000112637037218712	0.00282941034491256	0.000937295755005612	0.000841120684233327	0.000725683197767911
A[Del(C):R3]G	7.14989037731716e-05	2.74455329616455e-05	0.000209664532024051	0.000119582980333829	1.05789018573856e-05	0.000228228316421314	0.00172731799875573	0.000130249769563572	4.57726259437523e-05	0.000109072842058041	0.000139485870864674	0.000274241789255812	0.000500130268427797	0.000211812149849235	0.000745885362248642	0.000173377918168124	3.32268397230476e-05	0.000548298186845585	0.000118426038933677	6.82385410605084e-05	0.000209370159968567
A[Del(C):R3]T	0.000239220283541278	0.000178062037601941	0.00020836523657621	0.000607987323635021	0.000399039433107312	0.000573637733525265	0.00577873858115541	0.0005526060070437	7.36094653866609e-05	0.000347072277320651	0.000736207559742797	0.000776837515103186	0.00302151123563853	0.00031312269383916	0.000775048294393934	0.00037327660875533	0.00026433081385326	0.00190175029182416	0.000675889808026502	0.000661618842435278	0.000426153810294216
A[Del(C):R4]A	0.000797059371100839	0.000684103592044796	0.00120799316011321	0.00167230657802905	0.000261149143728059	0.000533236409100014	0.00599834578196681	0.000944770321792141	0.000232408720885672	0.000626784066906151	0.000244750179911478	0.000961617372498171	0.00249637498833357	0.000931362721255066	0.00177522120662334	0.00210615923045967	0.000410419701064314	0.000846717363608599	0.000938758074321601	0.000872221676143856	0.000441253240363862
A[Del(C):R4]G	9.63722538067837e-05	0.000164838446026763	0.000660260468027866	2.33771239750343e-05	8.95137849471093e-06	0.000554572238331489	0.00218573890735872	0.000185181227554514	0.000357942599938275	5.93410796158243e-05	5.6993096124126e-05	0.000206862082010412	0.000244495183382346	0.00018359844973253	0.000459006376768395	0.000588224144015539	5.28454075130533e-05	0.000268264472953669	0.000257739235858421	0.000129302908566128	0.000732530280254384
A[Del(C):R4]T	0.000287054293042279	0.00037320783236043	0.000648423968905778	0.00061779797644246	0.000208238359207504	0.00053719289765694	0.00286057873661441	0.000459800066257659	0.00025310449863485	0.000255291548651909	0.000175290574241546	0.00130575539581216	0.00117186526962464	0.000727056801633153	0.000670458288456427	0.00152417216052956	0.000182303902105201	0.00084677037820742	0.000638953513661944	0.000457067316258735	0.000499578911596802
A[Del(C):R5]A	0.00106268659922749	0.00189253268186358	0.0018726885382902	0.00158834696577792	0.000251234271402645	0.00154135765948901	0.00796885657210561	0.000566310033102759	0.00128034913290739	0.000241100922299256	0.000412750124390528	0.000747038736706402	0.00166827511024173	0.00115823553081126	0.000454999571643617	0.00489286808276456	0.000395702865606258	0.00133451529027974	0.00378998973168107	0.000764158267003465	0.00118659581004581
A[Del(C):R5]G	0.000128866596602312	0.000512007341476726	0.000956407808153627	6.02296689755996e-05	3.72116941641947e-05	0.000337921297821715	0.00138601836971788	0.000117222485532121	0.000726152034791286	5.21494403916018e-05	9.33352497719517e-05	0.00010187759258168	7.93584357439888e-05	0.000221522692549134	9.79808428450894e-05	0.00104642999924861	8.95919121812231e-05	0.000211231367542113	0.00105839907507503	2.66832792820232e-05	0.000752999830514992
A[Del(C):R5]T	0.000274939965924887	0.00218220228489713	0.00199567797747396	0.000194141665416814	7.85247472023297e-05	0.000162720549508995	0.00363917211657704	0.000408829087178285	0.000435421872331259	0.000385365586207238	0.000558480933729648	0.000529484397408531	0.000540092794739401	0.00153738584485065	0.000502379009562385	0.00405942779283005	0.000152365897826879	0.000673136964149111	0.00216997273662053	0.000370979999279928	0.00150176952630012
A[Del(C):R6]A	0.00152325057977282	0.00460577185459219	0.00490866952882317	0.000718362858352588	0.000358767995021289	0.000295780711648286	0.0019410480084312	0.000533395761760013	0.001993071150043	0.000119120389823175	0.000165563892707447	0.000238962707207508	0.000182942415795654	0.00133098058001676	0.00158909065103313	0.00529845192729078	0.00103115029365799	0.000476643655079216	0.00342345684880125	0.000490384539629807	0.00098719873043189
A[Del(C):R6]G	0.000128667513051158	0.000878742087893752	0.0030724642727539	0.000121256026694263	2.6277992213746e-05	2.61951406805848e-05	0.000351363838695457	0.000118414474330748	0.00077532061382222	1.84776647480169e-05	6.14153771579475e-05	0.000114639126655948	9.45769098490094e-05	0.00039925154444409	0.000487343163527135	0.00155659593355915	4.18577293198076e-05	9.52778370009752e-05	0.000673343480859357	3.07414535288262e-05	0.00123129184378474
A[Del(C):R6]T	0.000387270533920869	0.00210767640424043	0.00370297417133601	0.000289015913447917	8.24828840203546e-05	0.000201687978752541	0.000974384512118614	0.000337563537520989	0.000640359535746694	0.000228521375560861	0.000275238799086531	0.000233339283547679	0.000219291423141681	0.000608180307910341	0.00131129926480496	0.00309188264090812	0.000515005832052808	0.000221601023071487	0.00128247586578379	0.000387893975405801	0.000713336940132617
A[Del(C):R7]A	0.0011415674094418	0.00495726717326897	0.0060464526635683	0.000338615478337498	0.000153677265997197	0.000163543711557751	0.000847928870161093	0.000778145668244647	0.00468895495105291	3.99424955088033e-05	0.00019966277565912	0.000281362009669212	7.8267965523608e-05	0.0014391707639539	0.000839900707238281	0.00321322278849299	0.00138437762157574	0.000209428871182201	0.00922868992798616	0.000527728592875945	0.00383916990474518
A[Del(C):R7]G	0.000170391797214771	0.000893227367361846	0.00330624405792087	1.85514664456212e-05	1.41431780216433e-05	0.000219863927861371	0.000322861382336866	7.10348421478841e-05	0.000487791043623062	3.99721342927713e-05	2.83680273450959e-05	0.000195567528021317	6.20766209278555e-05	0.000483454567145377	0.000585943615412139	0.000791839596240103	6.72363660293725e-05	8.06988223252195e-05	0.00133481380189934	1.7675459980453e-05	0.00137683715737154
A[Del(C):R7]T	0.000117091362729759	0.000864329503216015	0.00113465850774319	0.000116009262257802	0.000108829232215333	9.25526232561362e-05	0.000183883097828266	0.000203422501298672	0.000452306035660675	6.45702079301691e-05	0.000180735179160333	0.000160628355992749	0.000224508574784287	0.00048887430529467	0.000737541293844465	0.000809304646743412	0.000378295605635177	7.26830149834949e-05	0.000733873315232633	8.46611480647221e-05	0.00108554577804126
A[Del(C):R8]A	0.0008682503465776	0.00183380516041471	0.00674772197248586	0.000181724702292781	7.48628196363115e-05	0.000321524440882779	0.000138517328341076	0.00193370575113601	0.00493629422700487	0.000313394150509073	0.000239036849857215	0.000248271471081308	0.000452518414246758	0.00127083005531557	0.000577764776085272	0.000681332752223659	0.00148401837599901	0.00024995323052092	0.012961045363044	0.00109983344098681	0.00389814085076742
A[Del(C):R8]G	4.83749771878973e-05	8.20346266514798e-05	0.0016229862033063	7.71649953995778e-06	4.21203046260216e-06	3.4028456951008e-05	0.000151347275003837	0.000276264552270281	0.000704911740696428	2.93445131842647e-05	3.16044126723577e-05	0.000104954672760335	9.76184664931108e-05	0.000204117406990634	0.000284772314744539	4.95702883591248e-05	4.36936967326255e-05	4.93035769034648e-05	0.00163354162992832	4.25158745829306e-05	0.000913257409297863
A[Del(C):R8]T	0.000205418408357215	0.0003798240211279	0.00166319019521878	4.18944466173814e-05	9.69027410136525e-06	0.000165442294992786	1.68249001146398e-05	0.000218303135655731	0.00131540600969722	0.00014819603689573	5.2763596165755e-05	0.00026399081866064	0.000139777969572246	0.000502927065080979	0.00068355269283328	0.000195782594610047	0.000165747219746926	0.000136417165686017	0.001915994789749	0.000245781359624924	0.00121969123701708
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0.000269823797749331	8.80798483900464e-06	0.00022536595439162	0.000120709725841876	0.0001162084231417	0.00201978740831054	0.0152514262367953	0.000275864659253968	5.73196977628355e-05	0.00146571196417487	0.000596885260699718	0.00111414155802039	0.0262971276907486	6.62054218865506e-05	0.00121410326007709	3.27407543732405e-05	0.000109980558220451	0.00294124994258519	0.000326344564961786	0.000979582602599998	0.000123785213747597
G[Del(C):R1]G	0.00011871798697832	1.65295195578763e-05	0.00146228972688678	1.00155156270838e-05	7.00486055295197e-06	0.000272798558319299	0.00414134544808089	0.000530758005902406	0.000378991689820146	0.000102141600721537	0.000371296351317876	0.000617986232546947	0.000698446176153918	0.000318270373986492	0.00158161403528483	4.60555246368396e-05	9.8968633230945e-05	0.000807073046610308	0.00088723496289954	0.000439128194798367	0.00107154331511343
G[Del(C):R1]T	0.000597442294636117	1.67550659769667e-05	0.000337061412108574	0.00321163442357305	0.000622788089961106	0.00668375719252776	0.0033539939009353	0.000390203300918441	8.98451970372508e-05	0.00395789123117565	0.000916282609765981	0.00135006296505132	0.0686842503920615	0.000413392133979063	0.00236273449826993	7.67421155967906e-05	0.00030626516304925	0.0017767736765637	0.000905706747692058	0.00212493083703045	0.000309065114915589
G[Del(C):R2]A	0.000262647952086606	1.3849681474916e-05	0.000175413126233074	6.54422896087864e-05	3.83444504246163e-05	0.00213812359122288	0.0288822074146029	0.0002281466560573	0.000107573152871804	0.0013670253988416	0.00033538065277635	0.00135145242179866	0.0304341685800677	0.000322133811833232	0.00278043360571071	0.000202230989591251	0.000119497910688482	0.0027538433357532	0.000266585903959131	0.0013027661225524	0.000381880790028279
G[Del(C):R2]G	7.38804640112704e-05	5.40805912241688e-06	7.05657521344457e-05	2.08846263360214e-05	3.46857779053235e-05	0.000266053940242392	0.00530349277243777	7.91557464791785e-05	3.61500660945163e-05	0.000112142573254721	0.000172667583245264	0.000487079131613148	0.00299188144920926	4.42704777048569e-05	0.00195292507927072	4.04228904665109e-05	2.83726311117672e-05	0.000671376879468256	9.1675053237699e-05	0.000183137788919674	0.000161920953795292
G[Del(C):R2]T	0.000318847191923929	5.45880104893157e-05	0.00016149033769738	0.000302411665599142	8.76909587809137e-05	0.000880916160241663	0.0194872676992187	0.000438921036655893	0.000125483999692693	0.0010736268422309	0.00135730729188927	0.00249856525173337	0.0235689689807193	0.000352103035828729	0.00135413490309769	0.00016536326243004	0.000141269593986388	0.0029756776230595	0.000316173806734161	0.0009194668632861	0.000491362412613034
G[Del(C):R3]A	0.000302003700169673	2.16233301742926e-05	0.000166227409578569	6.16523274453559e-05	6.5644527310122e-05	0.00239562726760399	0.0185812583519496	0.000447118843490325	7.58290969026401e-05	0.000478861130234125	0.000968987787424023	0.00065259145788946	0.0135995748449047	0.000568024975258761	0.000813794513023232	0.000480161474771488	0.000125717698865133	0.00300844064513084	0.000137756299742547	0.000684589657452904	0.000309287376231904
G[Del(C):R3]G	8.54021919600412e-05	1.22086326892715e-05	9.48993858018905e-05	1.22462441076616e-05	3.55451102408158e-06	0.00034001903336532	0.00571566441223249	9.38441245783945e-05	3.73139178257414e-05	0.000114126254724576	4.21840044190563e-05	0.00040119519996006	0.00149571888875098	0.000119281367442265	0.00138325652797365	6.69825086384913e-05	4.07443164355419e-05	0.000250504582348658	0.000115654179931728	0.000106251888832584	0.000280264350153116
G[Del(C):R3]T	0.000171338839528203	2.98219545437909e-05	8.98944887491068e-05	1.70036140305264e-05	1.05268211097801e-05	0.00054697790459135	0.0101889367139449	0.000193786617655574	6.39536526308185e-05	0.000300463172475058	0.000362370003339436	0.000680159949490087	0.00826901964482102	0.000467305675430577	0.000406174379298383	0.000403946107584006	0.000135605542380019	0.00193926342194985	0.00032686838083617	0.000314695648464375	0.000240508253412287
G[Del(C):R4]A	0.000655437937918663	0.000126940990905752	0.000486083457971385	7.94867740222199e-05	0.000176127323261932	0.000730569595078489	0.00681792584782516	0.000157857768189847	0.000401237884339848	0.000284123734284728	0.000343810443439236	0.000381134545462005	0.00357571065249355	0.00533459363452975	0.00108596811062285	0.00185646960763687	0.000126733154692508	0.000659151712980149	0.000151368237256056	0.000294181679055047	0.00218987622217106
G[Del(C):R4]G	0.000113340870503237	8.49261702580152e-05	0.000464154756998623	3.25959508590547e-05	8.68771970995763e-06	0.00011256077176381	0.00166320667845588	0.000117768493304395	0.000186050012462982	3.93899438934009e-05	7.56753348905215e-05	0.000410319100489794	0.000452454268939677	0.0023189892047824	0.000244291190803482	0.000610378653808793	4.05745888617209e-05	0.000411425095609708	0.000186100139815915	8.17636374655167e-05	0.000981943325759026
G[Del(C):R4]T	0.000114692591997752	9.31032509727552e-05	0.000612940567325463	0.000250569990961225	3.20068744503609e-05	0.000558010931406132	0.00447150530307023	0.000668921043038801	0.000263013864803566	5.82952539529553e-05	0.000321780824180925	0.000261098601826051	0.00340692296779382	0.00164585772664021	0.000803591617499312	0.00149420343908318	5.91437553095877e-05	0.000870128610447922	0.000181094788127355	0.000360143143698108	0.00169409009239138
G[Del(C):R5]A	0.000641689544176966	0.000990416932113128	0.0015975977505015	0.000192286518772252	8.79057918647867e-05	0.000606803198005802	0.00748281670646511	0.000227654480037221	0.000615515457898364	0.000302372756984992	0.000126020404836987	0.000877892167637086	0.00151360473854212	0.00840307371516209	0.00210976878090765	0.00390454356070199	0.000320571742714584	0.000452214527942532	0.000340953207680721	0.000207933030751117	0.00219673047437742
G[Del(C):R5]G	8.32978602184086e-05	0.000418327587116862	0.00056791434886185	1.32022705993378e-05	1.3824183442559e-05	0.000146350246184534	0.000142819585904636	7.10732933994528e-05	0.00060411802415901	2.44350603255742e-05	0.000113723308963547	8.94201885250695e-05	0.000274969549688184	0.00185451978757698	0.00054393412250596	0.00112558055152513	3.33374051139938e-05	0.000103208820984586	0.000289262766187677	1.62142591214837e-05	0.00297265189935236
