hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12
A[Del(C):R1]A	0.00192833631777115	0.00105220420014209	0.0314838286251854	0.0027947448888442	0.00369603455569657	0.00423963713839824	0.0073316361762558	0.00916435367643839	0.0035238834923753	0.0051842393964148	0.00204026074913535	0.0035057227921399
A[Del(C):R1]G	6.58572103348244e-05	0.000229179279219273	0.00275267844115568	0.000619272870587411	0.00106474724537125	0.000809221127409851	0.00197517099352787	0.000752678862531011	0.00156214541026854	0.00191010626781819	0.000479073995426417	0.0029040406408361
A[Del(C):R1]T	0.00013019555663531	0.000989499927779629	0.00726211998420833	0.00419382756060534	0.00422759844409994	0.00152778324515226	0.00477878340546907	0.00690547942103023	0.0011261045365639	0.00582774825388566	0.00241923625464147	0.000815762927657704
A[Del(C):R2]A	0.000196211842357417	0.00091323978225284	0.0282341430650342	0.0027844655696673	0.00284031512414516	0.000713926145657146	0.00252492398355741	0.00273736109721054	0.00127958824901055	0.00201939783389036	0.00298162366569587	0.0320474706302017
A[Del(C):R2]G	3.52596714195089e-05	9.3209763540744e-05	0.00463269157761013	0.000296232921292734	0.000430671966576341	0.00049404280298138	0.000732070046471409	0.000177808726017901	0.000982986826482929	0.00023762073614252	0.000351787182043048	0.00732473830622856
A[Del(C):R2]T	0.000131873496056931	0.000303416552200222	0.0115983174187324	0.00299129085804934	0.00244526176857139	0.00147301913046081	0.00303055988895729	0.00186602521544224	0.00240714179665782	0.00792738638658489	0.00115038954485697	0.0130079201376422
A[Del(C):R3]A	0.000285043209586265	0.00094339897293626	0.0155362988499072	0.000765777857179409	0.00329191411564487	0.000640740141890026	0.000931790847356556	0.000924308071880014	0.00404965159085812	0.00204240888275973	0.00106340439422754	0.020051913562407
A[Del(C):R3]G	4.98624860578071e-05	0.000144543438275415	0.00239658693040311	0.000647022543579376	0.000205788876690832	0.000272044806371984	0.000349419497855706	0.00020629629786152	0.000615495323260997	0.00144684334911917	0.000719922327068712	0.00279510507349008
A[Del(C):R3]T	0.000221123965748426	0.00052767358783393	0.00659574573778675	0.00111334453135731	0.00065424590522707	0.0009746792422425	0.00185998171941153	0.00112089566244173	0.000440053519781676	0.00142081946842439	0.00123125513715067	0.00794060010600663
A[Del(C):R4]A	0.00106459520410467	0.00089262654383119	0.00686889573783358	0.00166252950254379	0.000931175029757492	0.00146849160216701	0.000925392363195871	0.0017385246212388	0.00257968557797039	0.00319172417306317	0.0013178031764704	0.0112421663559338
A[Del(C):R4]G	0.000255826873312447	0.000100166821068524	0.00160513287540519	0.000294859352878703	0.000191853689102842	0.000352469433219608	0.000325113868841593	0.000269492154995447	0.000552630534720758	0.000406921508089708	0.000331592639535109	0.00275684585905373
A[Del(C):R4]T	0.000716137509120985	0.000120517348769935	0.00313267723508093	0.000654590636213548	0.000255061450201322	0.000250112049547535	0.000694156047159027	0.000771375333519243	0.00111729900767263	0.00135929656926511	0.0021089746470195	0.00512334256133103
A[Del(C):R5]A	0.00238505399122655	0.000145983570678179	0.00684084572203471	0.000917893825854867	0.000934093952140224	0.00043176895573075	0.000834823343349986	0.000667284808296476	0.00059119652201672	0.000984657481410864	0.000561600610696953	0.0109130404530842
A[Del(C):R5]G	0.000650641277549609	6.94654909897018e-05	0.000896811304069394	0.000534587440198153	0.000155051993280699	0.000276775666774785	0.0001422404224727	0.000102054717786846	0.000234071021160466	0.000251171201985267	0.00114549389818838	0.00110065075893293
A[Del(C):R5]T	0.00260495888886283	0.000210440840028419	0.00280530759679307	0.000642749219624612	0.00080744569194597	0.000571512336511496	0.000448082666401754	0.000394998138540761	0.000559875590137629	0.000539427889434894	0.00110379347924342	0.00548296458704072
A[Del(C):R6]A	0.00414659976543233	0.000193971266148718	0.00275170516934181	0.000354784641530065	0.000823213691262651	0.000276016560234508	0.000457673768953174	0.00017383323696091	9.77525169322518e-05	0.000372586869074628	0.00209830913106293	0.00408213386146835
A[Del(C):R6]G	0.00107995515640359	3.00039525305516e-05	0.000383771085033629	0.000138703477103153	7.14311703362079e-05	8.7947914880733e-05	0.00010374022663007	3.71560605041558e-05	1.89486064748949e-06	0.000184583252220963	0.000130871126122873	0.000515288121596616
A[Del(C):R6]T	0.00177224053485844	0.000113734635629223	0.00104081009016245	0.000677555263684736	0.000358561977081358	0.000566944141795896	0.00013770650693648	0.000268702550087755	0.00330341088292035	0.000247867275297508	0.000747460339579537	0.00255870768854067
A[Del(C):R7]A	0.00467975316247682	0.000156315266821391	0.000706921486468792	0.000187729994155601	0.000628770791939911	0.00037552729438054	0.000352118651370695	0.000134483448039295	0.000461788686032291	0.000269655725744975	0.000251601269860808	0.00146913620478216
A[Del(C):R7]G	0.00101515946836467	6.46674379264304e-05	5.85056005845116e-05	6.63442521548416e-05	7.89078784992837e-05	0.00012523902367187	0.000103458719821758	5.77853469838261e-05	2.11778542954707e-06	0.000112187959952624	0.000133056682671352	0.000252777690550227
A[Del(C):R7]T	0.000719690702627298	4.80736735244347e-05	0.00018368779827603	0.000343436991364474	0.000277743707520952	0.000177549597581356	6.90585878460674e-05	6.37623128285767e-05	0.000202638626890346	0.000102931143329652	0.000227035614255913	0.000396802188654426
A[Del(C):R8]A	0.00368968936602695	0.00036132515977869	8.27263785199362e-05	0.000139206221097831	0.000434434564199264	0.000396456946133908	0.00119763262974692	0.000143138204440568	0.000477393420776322	0.0002231969857127	0.00105300114505679	0.000364047656616125
A[Del(C):R8]G	0.000443493002316541	1.85473768488628e-05	5.69064896846498e-06	1.85656175177554e-05	5.22496803925452e-05	0.000196093485922423	3.6595885080522e-05	3.10211736778667e-05	2.78655977571984e-06	0.000181876070001037	0.000272757457250077	2.60431357186497e-05
A[Del(C):R8]T	0.000654274008749562	8.26416277493175e-05	1.60319496007366e-05	0.000142931913201249	0.000139827049291037	0.000218948014974352	0.000247441172661187	7.13871497850333e-05	0.000279993526264329	8.38644298452285e-05	0.000927987310483835	9.89748582248683e-05
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	2.06369723578003e-05	0.00037274352299198	0.0177595686188738	0.00180721204215508	0.00191419244841227	0.00065677626755339	0.00164680158124428	0.00372013082984314	0.00396538602324035	0.00620333340004257	0.0010954883643592	0.00648766183192529
G[Del(C):R1]G	0.000279345557493706	0.00015716310596398	0.0040877237864532	0.000421281512397577	0.000436538903591465	0.000720229441036237	0.00106265839477346	0.000383555733508852	0.00121081595374578	0.00104271635170809	0.00205083884282998	0.00541258611313437
G[Del(C):R1]T	4.18337677131514e-05	0.000457775818295471	0.01040055114243	0.00462063925694438	0.00257778666319732	0.00203694040156953	0.00427431326944008	0.00491620031256201	0.000832846985767144	0.00366725674021057	0.00191236197991841	0.00425960591623081
G[Del(C):R2]A	4.62006930082537e-05	0.00046028589981339	0.0340401517787712	0.00112251960926019	0.0013953612679442	0.00136057647418219	0.00100630073174946	0.00417396826626625	0.00204745266080791	0.00291652309019029	0.00181086473380708	0.0403166069602146
G[Del(C):R2]G	1.2950877924214e-05	0.00011379195433182	0.00678723696716621	0.000360611085325531	0.000700725622770031	0.00028036786736717	0.000597165360238831	0.000154618373185454	0.00127000248338207	0.000369443044561165	0.00120826308226068	0.00741352448670729
G[Del(C):R2]T	5.8373019277404e-05	0.000196020409766581	0.0205738715020884	0.000937303335077975	0.00136668600719424	0.0012456396106998	0.000813538116796817	0.00178861303690503	0.00333116501828652	0.00499347037836874	0.00573192802630081	0.0228761439074256
G[Del(C):R3]A	0.000122916328096119	0.000290531785512144	0.0235625913668982	0.00288389217218623	0.00201944820768856	0.000710049280112157	0.00266226949941029	0.00114785552044221	0.00134356766146108	0.00159978458980186	0.00212689621071703	0.0239301796419209
