hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26
A[Del(C):R1]A	0.000564214420223886	0.00167285410199589	0.000562992905767614	0.0101302887052265	0.00298023352020779	0.00116492430382089	7.62790722512793e-05	0.0145223640031863	0.00971018436801893	0.00363453456032313	0.00754344344313251	0.00216351479433064	0.00191165871658566	0.000529624408360057	0.001347811239478	0.0248616983447333	0.0265608658566289	0.0117674912479524	0.000533078776024011	0.000985890764381518	0.00165690009599123	0.00236468348144077	0.00724823539032448	0.0115401245628388	0.00697742860738165	0.011899586976896
A[Del(C):R1]G	3.53796913369684e-05	0.00019778899389979	8.34463866022566e-05	0.00110663973677964	0.000192321320287344	0.000408143908177963	2.62995957090462e-05	0.00155138661853819	0.00197720111076032	7.00206764433712e-05	0.000998129894979969	0.000418000067695865	0.000162119600468074	5.7056199837948e-05	0.000583320948613037	0.0029720349084622	0.00215479555228378	0.0016366496256041	8.53921568290897e-06	0.000130223938605443	0.000492800715079295	0.001835346934408	0.000899825367385874	0.00273574432454291	0.00170550961298288	0.000656793464476828
A[Del(C):R1]T	4.5021284094146e-05	0.00150635529339104	0.00389425167024707	0.0103641266173745	0.00626294805700141	0.000126331968760615	4.48376153147549e-05	0.00514442709701526	0.00961478869080232	0.00465365533591781	0.00159821927430417	0.00191700674662495	0.00339260430734089	0.000205934390031982	0.00204403301685485	0.007425776856292	0.038199995916682	0.00571119815023824	0.000178250763551778	0.000969746378901789	0.000210265914368868	0.000479772781261773	0.00512032120128913	0.00854892764487602	0.00756813812391025	0.00933445847625556
A[Del(C):R2]A	3.64350203257921e-05	0.000601195927104748	0.00215751582932112	0.00592578895626223	0.00111571039600613	0.000306329918527328	0.00010670256425156	0.0021216405161262	0.0027078580869466	0.000722411814935126	0.00140853468553888	0.0015717703488483	0.00356601068890034	8.98178027956149e-05	0.000340620281088444	0.0283309569780297	0.00605318754783471	0.0173363257971522	9.78362399850877e-06	0.000703594344092737	0.000530164090698211	0.000521520193270482	0.00162273082136129	0.00352698138117506	0.00285515903150438	0.00554337287085777
A[Del(C):R2]G	3.51776329607922e-06	8.55393928993005e-05	9.97107917443847e-05	0.000544930071283754	0.000123647311167711	3.87378573106977e-05	2.72183659789783e-05	0.000315249347432965	0.0004947045690458	3.74179452348859e-05	0.000203028011599054	0.000176716238767695	6.40730269830375e-05	1.89079996287146e-05	0.000108405218882528	0.00473192454290161	0.000822440343047015	0.00188345606351604	8.88250073548823e-06	6.23678556316795e-05	9.60170785185068e-06	0.000221265583070669	0.000110352760075245	0.00069889207542809	0.000152796717528847	0.000697543080484632
A[Del(C):R2]T	4.40533514391141e-05	0.000505629835242077	0.00131269849916363	0.00756668469077539	0.00201810652518224	9.04334359256178e-05	9.37600995110485e-05	0.00180610312810308	0.00181660064038384	0.00121138670388644	0.00283214149646487	0.000501775264619194	0.000690455835856997	0.00019268204297117	0.000642324271653292	0.012460650222711	0.0138565149577358	0.00666094615972319	0.000378643412994918	0.000278909914105895	0.000370316715540445	0.000569493171972148	0.00364309850706455	0.00554780890021542	0.00133589067924354	0.00513437095129676
A[Del(C):R3]A	0.000202472717569251	0.000336158322226249	0.00243344422049954	0.00454132156034606	0.00178753627611556	0.000809404092980735	6.56701213821878e-05	0.000494078239978049	0.000549841938023798	0.000621135688259906	0.0015499033884866	0.000185131297756633	0.00069504266294242	6.48093856883168e-05	0.000343061110830084	0.0161241039824821	0.0029029554544549	0.0109597070001537	0.000369503448469996	0.00104759283505695	0.000598036581894244	0.000626615326034733	0.000331092572568828	0.00203192141366808	0.0052977453136982	0.00275486763977538
A[Del(C):R3]G	5.72881750786537e-05	0.00010257595481752	0.000197528293430978	0.000734705887787913	0.000199660664350561	8.52960133820935e-05	2.89306935794003e-05	0.000406957039942456	0.000170371793847123	7.06117179617324e-05	0.000189387468013938	0.000200272147387287	9.47972215735165e-06	5.34376803794543e-05	0.000229612340695698	0.00266040864081358	0.000574082495436387	0.00128435117235849	7.12316484101954e-06	6.19683846579279e-05	0.000136955965486044	0.000782521057678379	0.000118165698910073	0.000429201961475862	0.000125295469571922	0.000572726374771516
A[Del(C):R3]T	0.000194194897129349	0.000450294990337978	0.000942783909801396	0.00566927944600327	0.000878906639252512	0.000203940875818324	6.14697964136311e-05	0.00103293571323991	0.00120302302426743	0.000248748939481233	0.00159610566532292	0.00060363188940723	0.00036622921305728	8.00055201365433e-05	0.000471366564034757	0.00677118310151854	0.00408793489899278	0.00443319162872086	8.96832199863304e-06	0.000259998022510715	0.000415438998650812	0.000643219703498959	0.000658613026065404	0.00284199499910051	1.78839156655051e-05	0.00367627144482153
A[Del(C):R4]A	0.00101564058519771	0.000537448717075659	0.00215101603038256	0.00276585556248118	0.000473118522979797	0.00125895393552698	0.000320941903636938	0.000505356136930774	0.00120350134080096	0.00103984638676753	0.000874527662414644	0.000228113792369275	0.000231039402689457	0.000170081396398849	0.000660306711178435	0.00782947101204316	0.00230842266902009	0.00490637751171824	1.42892403136115e-05	0.000504135967712208	0.00148146550168115	0.00190942601874477	0.00114586721369203	0.00163405674523803	3.61460410278637e-05	0.00243809348854612
