hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16
A[Del(C):R1]A	0.00218907559539806	0.0048854122077775	0.00928922746385945	0.00164400483066195	0.00654697529720009	0.00401386799721444	0.00110368608645577	0.00213759665534626	0.00280537779817346	0.00800215403859798	0.00831615001421607	0.00284295811221748	0.0233207897720821	0.00643329499358404	0.0014407886377246	0.00730398393839272
A[Del(C):R1]G	9.5520407027081e-05	0.000799398314344147	0.00126209313395267	0.000272811221296532	0.000447521809224778	0.000144237498697185	0.000176983037685622	0.00040313259175535	0.000468423023179627	0.00143667957668855	0.00253603228135116	2.74817414674801e-05	0.00335881028573815	0.000197626219462636	0.00102122318879311	0.00014514594888392
A[Del(C):R1]T	0.000192655359634889	0.00707332148935955	0.00797208315343584	0.00308673208003012	0.00368862219517535	0.00490293428064713	0.000129559412626202	0.00148222247724441	0.00152550249536969	0.00409801579882438	0.0041764335010753	0.00755803975542372	0.000754119225039662	0.00111278043638352	0.00260493876825508	0.00521871441744338
A[Del(C):R2]A	0.000335195224444015	0.000581193225033512	0.00576298739733179	0.000730933165586155	0.00169315577412273	0.001051431399993	0.000302065307274921	0.00160706745746527	0.00113573313652951	0.00320643237231956	0.00319055016714901	0.00118844510550184	0.0301500719661846	0.001021011331982	0.00150733428759736	0.000601837958263364
A[Del(C):R2]G	1.04365782526697e-05	0.000310441572121345	0.000718679152145649	0.000215658327842743	0.000344371566803991	0.000192261643166564	1.11451776877109e-05	0.000109141545366907	0.000168337872016779	0.000483279466101043	0.000742243077955864	2.07515190672809e-05	0.00450159440430093	0.000134895165004593	0.000320234325752564	1.59860369233855e-05
A[Del(C):R2]T	0.000125992912365879	0.00207771325943975	0.006792473521482	0.000950186680066139	0.00408754539310501	0.00220547674557128	0.000213554716470291	0.000305735815910135	0.00130124666586598	0.00277048023410168	0.00266791530852626	2.18732228006474e-05	0.0123900937321356	0.00037948962979565	0.00155474030981032	0.00121966195345011
A[Del(C):R3]A	0.000527073267917388	0.000244998601309751	0.00374462860389559	0.00186875686588125	0.00197539269644549	0.00187971916580093	0.000244878029762021	0.0009382717271043	0.000371685510519926	0.00148983006126322	0.00136650206951347	2.2994926534014e-05	0.0146893732278982	0.0014942896760989	0.00285277922457216	0.00015895207168139
A[Del(C):R3]G	8.00736798614954e-05	0.000200994416379222	0.000532081744743549	0.000215975550193088	0.000166454230083012	0.000332015278788067	6.22222754329957e-05	0.000169787617823635	0.000119891081263498	0.000516850058959343	0.000172147011582385	3.08468526675797e-05	0.00140056474254692	0.0008163164778003	0.000280448710848607	1.52593988814134e-05
A[Del(C):R3]T	0.000331973136130863	0.000431227758046621	0.00303328611807864	0.000815684403519942	0.00169335066465289	0.0014073417271168	8.27973462423623e-05	0.000379555568395229	0.000412152652167528	0.00133169259906538	0.00200839281303693	2.01906672005976e-05	0.00728031987201391	0.000189202968333994	0.00106526205428814	0.00150177917324577
A[Del(C):R4]A	0.000873285528928879	0.000190059641509437	0.0019336108074501	0.000579829586038579	0.00296655278090892	0.00073347130738447	0.000536751757440158	0.00138337734993324	0.000760488249405348	0.000994819203191143	0.00138267207904469	2.24340746673307e-05	0.010223759675511	0.00203438755329184	0.000373754395690181	0.000618913952249708
A[Del(C):R4]G	0.000235987428738831	8.92343900737321e-05	0.000184084222861312	0.000222002774849639	0.00106773434549789	3.63094362689017e-05	0.000138959505807516	0.000133797541966761	0.000211971700911998	0.000328835832599966	0.000346618771726076	2.97251489342132e-05	0.00200981959120196	0.000637925811353656	0.000555315030296436	0.0003173591648313
A[Del(C):R4]T	0.000524544461586129	0.000181205787433053	0.00120746082157187	0.00258747697097912	0.000947221128571373	0.000391345163726844	0.000233704244131582	0.000433341412347976	0.000410023067579704	0.000864124312219672	0.000863443823553517	1.34604448003984e-05	0.00340366312853463	0.000801440326684219	0.000651456215532056	0.000678134952670431
A[Del(C):R5]A	0.00235830253699165	0.000506565043331299	0.000617791809186673	0.000323884019702046	0.00224916073936648	0.000579327427683265	0.000273847147766773	0.000885098273368699	0.000455207515985679	0.000888444971924338	0.000670601181794809	2.24340746673307e-05	0.00514736780128676	0.00197655774729754	0.00533446233507356	0.000384391524203223
A[Del(C):R5]G	0.000672251650347837	8.91548644383155e-05	0.000130420533688939	0.00072268538447719	0.000212554699127822	0.000153439272646456	0.000100901405998614	0.000159031907105031	0.000227734654445046	7.57790256952768e-05	0.00010847863135718	2.57991858674303e-05	0.000700842471707983	0.000637039153340115	0.000524744791673128	1.34428037764832e-05
A[Del(C):R5]T	0.00335160521440208	0.000271798740445152	0.000764927637972416	0.000640419054954437	0.000633057593943171	0.000358420797713979	0.000483124976799256	0.000291300903648837	0.000339157742146555	0.000295619733858437	0.000334573848896001	3.58945194677291e-05	0.00300944203870106	0.00058339634352087	0.00209224485325665	0.00125290564387034
A[Del(C):R6]A	0.00486997056417298	0.000134776070622316	0.000451888905737624	0.000570312915528235	0.00184132572901195	0.000112572063470954	0.000715763575064227	0.000761298244708837	0.000142702305299985	0.000507063658042327	0.000401520826559355	1.40212966670817e-05	0.00235708186060525	0.00170920572682559	0.000761686293350592	0.000177481341751677
A[Del(C):R6]G	0.001375518915825	0.000111554585080663	7.88969782270814e-05	6.87315092413744e-05	0.000254899096136699	2.70436071328358e-05	0.000121835268089692	9.34867129111357e-05	7.60558732110382e-05	5.6033703391081e-05	3.98386751678303e-05	1.06561854669821e-05	0.000313252971019149	0.000670609010908357	0.000623544258528166	0.000134791356785818
A[Del(C):R6]T	0.00234945015864373	0.000149932331305467	0.000180383165939917	9.60126313710276e-05	0.00017270844436926	0.000201000248842082	0.00050149366002574	0.000576091516060633	0.000138372653419301	0.000151243733273683	0.000106463573989653	0.00203196631299348	0.00207048967026932	0.000771761912619853	0.00406132265814693	1.83476105597947e-05
A[Del(C):R7]A	0.00647359481392584	0.000252831876398288	0.000251567154632315	0.000481543527823414	0.00080849450573476	5.27075640885386e-05	0.000410268890654809	0.000616336731878708	0.000163731323794889	0.000203427630556621	0.000232177552584656	1.28995929337152e-05	0.000723873801575504	0.00328127501422347	0.000123521485915627	0.000614190804976889
A[Del(C):R7]G	0.00126783300510893	1.5573770269088e-05	4.06985366325264e-05	0.00017034840213516	2.73909781488383e-05	1.07070708389637e-05	0.000356648070001977	6.71490733340396e-05	8.89038634430213e-05	2.48949401738358e-05	5.78048936229744e-05	9.53448173361555e-06	0.000157589858256951	0.000564062272947818	0.000111293390466303	1.25345062240181e-05
A[Del(C):R7]T	0.00104819489287238	4.38583879322658e-05	0.00012332602316234	0.00098703734309786	0.000173895504871182	1.66124663292987e-05	7.87576663296723e-05	0.0001563612053247	9.73517190892861e-05	8.88480421336015e-05	0.000249545034731826	1.6825556000498e-05	0.000856684816609227	0.00058388893130617	0.000673874390522482	0.000536622193996371
A[Del(C):R8]A	0.00372627238234715	5.40244149930237e-05	0.00015618394760772	0.00098523974977924	0.000411024128120893	3.11702393590815e-05	4.03932231340599e-05	0.000609226201024068	0.000480687013855611	0.000834337353234384	0.000308510238027495	1.40212966670817e-05	0.000584789661675141	0.0102016161805236	0.000457135829152595	1.94375676227528e-05
A[Del(C):R8]G	0.000375307539517573	4.53163579149038e-05	1.61917149841393e-05	5.01740017462033e-05	4.08207074093942e-05	1.08277902294628e-05	6.27431783901646e-05	3.65198419971029e-05	4.30095535077712e-05	1.83249825429963e-05	1.76771733409496e-05	1.51430004004482e-05	1.12468167251904e-05	0.000978673411835407	0.000308803714789066	8.35633748267876e-06
A[Del(C):R8]T	0.000913445307752038	2.03121727126616e-05	7.32652196402374e-05	7.89354948441323e-05	0.000247351517422983	1.45774823180276e-05	3.49314900682747e-05	0.00033116216052124	5.13969954068636e-05	0.000179459101674615	0.000165222316489469	1.96298153339144e-05	0.000116187234137127	0.00169218681884345	0.000209029544673575	1.87109295807807e-05
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	9.41431801943645e-05	0.00321850849949116	0.00689026192464914	0.000689112685732364	0.00453871697044017	0.00204971424057298	0.00014740480890029	0.000251517410613531	0.0009889377998586	0.00205897036574054	0.00205507772819525	1.90689634672311e-05	0.0117824967807667	0.000130264839822767	0.00115236508201774	0.00195483799241535
G[Del(C):R1]G	0.000191597929541295	0.00100706625696208	0.00089536780591558	0.000981010118441309	0.000839907315733396	0.000192645974287336	0.000197430564750327	0.000173243248334673	0.000871015199857134	0.000973315590067758	0.000882107879498645	1.6825556000498e-05	0.00512881727489541	0.00137996005113061	0.00230836314891534	0.000501925227492205
G[Del(C):R1]T	5.18778783150858e-05	0.00740003268105987	0.00574366074642307	0.00172986634682194	0.00392902852279604	0.00700894317576919	0.000299186633037935	0.000373091449436466	0.000524129532551451	0.00207381185276272	0.00215581820892386	1.40212966670817e-05	0.00488255231584503	0.0012926981249646	0.000769661138208846	0.00127942793240232
G[Del(C):R2]A	3.71687845039722e-05	0.00251025319047074	0.00502942875285936	0.00212983086021502	0.0062318727445629	0.00154538311832204	0.000375883335493591	0.00181881109552313	0.00102935963119582	0.00386334305681548	0.00291393812208083	2.01906672005976e-05	0.036371802016953	0.000303212411241838	0.00498383498947232	0.00171050595080224
G[Del(C):R2]G	1.49876515546801e-05	0.000507552486637722	0.000992583543334499	0.000571740416104787	0.000972645484097624	0.000288213849325127	9.07861142491044e-05	0.000114738111518047	0.000404465002839849	0.00103842670614231	0.000709989772427679	2.63600377341136e-05	0.00996597905152682	0.000183587467581566	0.00108395863501138	0.000238700596787824
G[Del(C):R2]T	7.21534584319923e-05	0.00270532294701143	0.00651200147225492	0.000955685200805449	0.00253836056881246	0.000780625779510049	0.000217114021344677	0.000304817230584416	0.000853016937678709	0.00227117054404021	0.0022632727947336	2.2994926534014e-05	0.0159023267288979	0.000226122422842281	0.00178113729439742	0.00285496086690825
G[Del(C):R3]A	0.000170767568220023	0.000684304838487444	0.00373672254419436	0.000886953691564074	0.000975179060989787	0.00169001973010618	0.000441440820249604	0.000414267401179806	0.00131798630831165	0.00188980577321698	0.00132889317094085	0.00133146233150608	0.0281027928579219	0.000426482504513336	0.0028867166199134	0.000497020420708894
G[Del(C):R3]G	2.43029959847823e-05	0.000363776764940758	0.000782474116498074	0.000453204997859278	0.000802559203225148	0.000206489285618247	0.000205935467723784	0.000210341458870191	0.000198287987177464	0.000654644285442699	0.000578276043105182	1.73864078671813e-05	0.00521556563019409	0.000209793137759563	0.00140561071096096	0.000588758473507867
G[Del(C):R3]T	9.23753500452506e-05	0.000596230197263537	0.00258321665323253	0.000818169311930976	0.00168670666930631	0.000903899986497906	0.000338729961873456	0.000383545825286315	0.000677585484848111	0.00138176134811825	0.000910203064598346	0.00154739030017914	0.00875974675574145	0.000784766230151791	0.000597404489270555	0.00141785247939799
G[Del(C):R4]A	0.000480989857525036	0.000152848271270743	0.00120537304587262	0.000753191600502015	0.000673045587269127	0.000521916734687321	0.00447638731041585	0.000380158238132738	0.000283798611820973	0.00136859307332723	0.000911710228408074	1.62647041338148e-05	0.00721920171259894	0.000702824252067021	0.00080350992416277	0.000360049149797159
G[Del(C):R4]G	0.000170847711928367	0.000252507146720337	0.000426148398448772	0.000206564620466192	0.000960225642129748	0.000100004928553892	0.00235616208303891	0.000111824397746785	0.000190177441619578	0.0001408239695347	0.000342890089752968	1.34604448003984e-05	0.000819673379896051	0.00106682199601496	0.000362146565952056	0.000950805877920449
G[Del(C):R4]T	0.000410079793713767	0.000728507837506515	0.00162707755811516	0.000633651644813748	0.000489529577136095	0.000244387783251882	0.00115302763567557	0.000294887760634977	0.000203624534844354	0.000663483005420879	0.000510106817530378	2.63600377341136e-05	0.00445589020884398	0.000541846563830757	0.00121377138742629	0.000204548608815137
G[Del(C):R5]A	0.00140380264202231	0.000650188340893714	0.000441528564258282	0.000911062590190279	0.00126136694587865	0.00064636118066471	0.004258647490324	0.000732248591312951	0.000131691899877827	0.000597346219701798	0.000537091243548389	2.13123709339642e-05	0.00515718076089958	0.00163218962659383	0.000783750030791762	0.00139914154981721
G[Del(C):R5]G	0.000517323746892565	4.39180321588283e-05	0.000321710527850792	0.000151526542681368	0.000195103138017469	0.000102882484637626	0.00114163094649138	0.00015794321338566	0.000109424399565891	0.000153800817502664	8.63295171780502e-05	2.18732228006474e-05	7.13791993754118e-05	0.00158265992478185	0.000336715671792956	0.000144055991820962
G[Del(C):R5]T	0.00175930768273049	0.00024832542372468	0.000582181816774102	0.000259435012190326	0.000296995450652637	0.000326407986282434	0.0033352474669413	8.59630616719136e-05	0.000359728623058735	0.00033590680858251	0.000369804319100389	3.42119638676793e-05	0.00281533363211331	0.00207093756696115	0.000571353329400258	0.00191832443080626
G[Del(C):R6]A	0.00243672665703091	0.000125796300956523	0.000241560229729021	0.00124536207706198	0.00105726340883168	0.000204575020997475	0.00575604562058086	0.000190516540650045	0.000138674722155163	0.000346766145026289	0.000259079394284326	2.63600377341136e-05	0.00323177950718869	0.00365071585319899	0.000328829436322016	0.000301009808886929
