nohup: 忽略输入
         used (Mb) gc trigger (Mb) max used (Mb)
Ncells 283150 15.2     664200 35.5   450933 24.1
Vcells 486987  3.8    8388608 64.0  1815728 13.9

载入程辑包：‘dplyr’

The following objects are masked from ‘package:data.table’:

    between, first, last

The following objects are masked from ‘package:stats’:

    filter, lag

The following objects are masked from ‘package:base’:

    intersect, setdiff, setequal, union


载入程辑包：‘reshape2’

The following objects are masked from ‘package:data.table’:

    dcast, melt

[1] "Mutation Data Start!"
[1] "dna.region Inf"
[1] "Raw data: 21764283"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "group Inf"
[1] "Raw data: 21764283"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 210"
[1] "--------------"
[1] "new.repli.strand Inf"
[1] "Raw data: 19422989"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "new.trans.strand Inf"
[1] "Raw data: 8483015"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "dna.region Inf"
[1] "Raw data: 21764283"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "group Inf"
[1] "Raw data: 21764283"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 210"
[1] "--------------"
[1] "new.repli.strand Inf"
[1] "Raw data: 19422989"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "new.trans.strand Inf"
[1] "Raw data: 8483015"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "dna.region Inf"
[1] "Raw data: 21764283"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "group Inf"
[1] "Raw data: 21764283"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 210"
[1] "--------------"
[1] "new.repli.strand Inf"
[1] "Raw data: 19422989"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "new.trans.strand Inf"
[1] "Raw data: 8483015"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "Mutation Data Done!"
[1] "Simulated Data Start!"
[1] "dna.region Inf"
[1] "Raw data: 193062487"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "group Inf"
[1] "Raw data: 193062487"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 210"
[1] "--------------"
[1] "new.repli.strand Inf"
[1] "Raw data: 172216311"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "new.trans.strand Inf"
[1] "Raw data: 78525793"
[1] "cut value = 0,no need to filter."
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "dna.region Inf"
[1] "Raw data: 193062487"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "group Inf"
[1] "Raw data: 193062487"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 210"
[1] "--------------"
[1] "new.repli.strand Inf"
[1] "Raw data: 172216311"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "new.trans.strand Inf"
[1] "Raw data: 78525793"
[1] "cut value =  0.75 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "dna.region Inf"
[1] "Raw data: 193062487"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "group Inf"
[1] "Raw data: 193062487"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 210"
[1] "--------------"
[1] "new.repli.strand Inf"
[1] "Raw data: 172216311"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
[1] "new.trans.strand Inf"
[1] "Raw data: 78525793"
[1] "cut value =  0.5 Filter Start"
[1] "sum_result col: 35"
[1] "sum_result row: 42"
[1] "--------------"
