Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02070053T	1510	0.984	223.318	14.789%	89.801	17.787%	0.03299	0.982
CPCT02070065T	188	0.957	74.627	39.695%	11.976	30.034%	0.21069	0.942
DRUP01070003T	228	0.979	75.523	33.124%	12.353	20.715%	0.1509	0.975
CPCT02070099T	154	0.94	73.784	47.912%	12.424	34.379%	0.25861	0.923
CPCT02020473T	183	0.976	63.681	34.798%	10.514	21.712%	0.19526	0.971
DRUP01070009T	908	0.999	122.174	13.455%	18.552	4.495%	0.03929	0.999
CPCT02030324T	1240	0.998	164.507	13.267%	26.376	6.235%	0.03132	0.998
CPCT02030330T	1514	0.992	302.511	19.981%	56.008	13.498%	0.04658	0.991
CPCT02050151T	296	0.993	74.106	25.036%	11.829	12.11%	0.11953	0.992
CPCT02070128T	692	0.965	202.326	29.238%	37.694	26.325%	0.07998	0.951
CPCT02080099T	985	0.997	136.93	13.902%	22.03	8.085%	0.03607	0.996
DRUP01030004T	1106	0.992	177.42	16.042%	28.775	13.466%	0.03359	0.989
CPCT02070265T	909	0.991	213.645	23.503%	38.438	14.217%	0.0666	0.99
CPCT02080040T	1001	0.994	207.256	20.705%	35.048	11.323%	0.06736	0.993
WIDE01010705T	253	0.953	103.463	40.894%	17.519	33.293%	0.1939	0.938
