Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
CPCT02170016T	1.12E+01	7.59E+00	1.62E+00	1.18E+01	1.07E+01	3.34E+00	1.68E+00	4.00E+00	1.09E+01	2.20E+00	5.22E+00	1.51E+00	1.86E+00	1.28E+00	1.60E+00
CPCT02330055T	1.14E+01	7.95E+00	1.80E+00	7.04E+00	6.12E+00	1.99E+00	1.10E+00	2.42E+00	8.01E+00	2.67E+00	3.28E+00	1.27E+00	1.26E+00	1.26E+00	1.75E+00
CPCT02180042T	8.09E+00	6.06E+00	2.71E+00	6.49E+00	5.59E+00	4.18E+00	2.01E+00	3.27E+00	6.53E+00	1.92E+00	3.84E+00	1.71E+00	1.51E+00	1.32E+00	1.67E+00
CPCT02010666T	7.19E+00	4.78E+00	2.02E+00	1.14E+01	1.10E+01	2.15E+00	7.17E-01	4.30E+00	8.90E+00	2.09E+00	3.90E+00	1.87E+00	1.43E+00	1.17E+00	1.70E+00
CPCT02340029T	2.62E+01	1.95E+01	3.99E+00	3.20E+01	2.51E+01	8.08E+00	1.94E+00	5.13E+00	2.39E+01	2.67E+00	1.34E+01	5.71E+00	2.25E+00	1.59E+00	4.31E+00
CPCT02070232T	5.78E+00	4.02E+00	1.81E+00	8.02E+00	7.37E+00	2.67E+00	1.04E+00	3.67E+00	6.15E+00	1.89E+00	3.50E+00	4.61E+00	1.60E+00	1.10E+00	3.84E+00
CPCT02080042T	1.36E+01	1.08E+01	2.41E+00	1.77E+01	1.51E+01	3.55E+00	1.02E+00	4.06E+00	1.20E+01	2.08E+00	5.89E+00	2.22E+00	2.70E+00	1.19E+00	2.07E+00
CPCT02240009T	8.10E+00	5.65E+00	3.24E+00	9.43E+00	9.61E+00	4.33E+00	1.82E+00	3.60E+00	7.75E+00	2.74E+00	9.89E+00	1.56E+00	2.47E+00	1.55E+00	3.66E+00
CPCT02230057T	4.71E+00	3.96E+00	1.79E+00	7.69E+00	6.48E+00	4.07E+00	1.51E+00	3.18E+00	6.04E+00	1.93E+00	3.55E+00	4.74E+00	2.58E+00	3.36E+00	4.66E+00
CPCT02040183T	5.57E-01	8.35E-01	1.23E+00	4.91E+00	4.39E+00	2.14E+00	0.00E+00	1.64E+00	1.86E+00	1.59E+00	2.73E+00	1.24E+00	1.41E+00	1.28E+00	1.48E+00
CPCT02050256T	4.71E+00	4.62E+00	1.48E+00	5.90E+00	4.92E+00	2.10E+00	1.25E+00	2.95E+00	4.75E+00	1.21E+00	3.89E+00	1.34E+00	2.19E+00	1.16E+00	8.71E-01
CPCT02050258T	1.15E+01	6.98E+00	2.82E+00	2.40E+01	2.11E+01	4.32E+00	1.30E+00	3.86E+00	1.48E+01	1.85E+00	8.28E+00	1.32E+00	2.23E+00	1.36E+00	2.10E+00
CPCT02330053T	7.44E+00	6.75E+00	3.94E+00	8.31E+00	8.42E+00	6.20E+00	2.02E+00	3.60E+00	7.30E+00	3.78E+00	1.06E+01	1.27E+00	1.43E+00	1.95E+00	3.57E+00
DRUP01010041T	1.64E+01	1.35E+01	3.53E+00	1.00E+01	8.52E+00	8.78E+00	3.11E+00	4.01E+00	1.25E+01	4.23E+00	6.32E+00	1.99E+00	2.52E+00	1.67E+00	2.49E+00
