Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP97249	1158	0.993	189.376	16.354%	30.91	12.047%	0.044	0.991
SP106638	1541	0.992	230.23	14.94%	41.179	12.829%	0.0314	0.989
SP97161	1284	0.997	126.423	9.846%	20.96	8.182%	0.01997	0.995
SP43696	1357	0.99	199.862	14.728%	38.593	14.164%	0.02871	0.986
SP97113	828	0.987	149.854	18.098%	26.823	16.104%	0.04785	0.981
SP97124	1653	0.993	199.781	12.086%	38.689	11.443%	0.01676	0.991
SP43808	681	0.983	145.615	21.383%	24.089	18.378%	0.06631	0.975
SP43822	458	0.999	79.417	17.34%	16.831	5.881%	0.0684	0.999
SP43514	649	0.985	136.806	21.08%	23.53	17.504%	0.06428	0.979
SP97258	963	0.988	171.932	17.854%	32.074	15.903%	0.04066	0.983
SP97194	2176	0.996	227.975	10.477%	37.34	8.824%	0.01707	0.994
SP109470	1528	0.992	213.896	13.998%	38.118	12.509%	0.02444	0.989
SP97278	944	0.989	159.015	16.845%	28.07	15.021%	0.03555	0.984
SP109544	1045	0.992	160.423	15.351%	29.065	13.103%	0.04171	0.989
SP97104	504	0.931	178.65	35.446%	41.186	36.489%	0.12724	0.908
SP106577	1504	0.994	190.047	12.636%	31.526	10.892%	0.02128	0.991
SP109457	434	0.995	98.018	22.585%	16.458	9.715%	0.07812	0.995
SP109478	197	0.957	67.912	34.473%	11.506	29.141%	0.1666	0.938
SP43688	900	0.989	147.855	16.428%	27.735	15.159%	0.04074	0.984
SP97243	727	0.988	133.27	18.331%	22.206	15.926%	0.04067	0.982
SP97269	1301	0.99	198.872	15.286%	37.046	14.204%	0.02784	0.986
SP113926	316	0.963	94.902	30.032%	16.41	27.207%	0.10392	0.944
SP106560	647	0.977	147.894	22.858%	28.212	21.476%	0.06638	0.968
SP43792	1293	0.991	196.504	15.198%	35.396	13.468%	0.03636	0.987
SP106602	734	0.988	130.927	17.837%	21.533	15.331%	0.04696	0.982
SP97145	360	0.97	102.654	28.515%	17.629	24.906%	0.1182	0.957
SP43664	1723	0.988	261.952	15.203%	52.23	15.278%	0.02654	0.983
SP43532	1113	0.991	177.537	15.951%	30.078	13.188%	0.03329	0.988
SP102816	710	0.982	153.226	21.581%	25.106	18.842%	0.0562	0.973
SP102795	1493	0.994	190.745	12.776%	35.429	11.527%	0.02519	0.991
SP103197	883	0.991	131.294	14.869%	23.939	13.357%	0.03642	0.988
SP102827	1374	0.992	193.336	14.071%	35.503	12.801%	0.0259	0.988
SP103233	859	0.991	135.151	15.734%	23.197	13.765%	0.0393	0.986
SP103507	824	0.978	174.513	21.179%	40.688	20.88%	0.05126	0.972
SP103100	509	0.982	121.512	23.873%	21.3	19.481%	0.07945	0.977
SP103416	486	0.983	108.982	22.424%	18.702	18.95%	0.07559	0.976
SP103005	458	0.986	99.702	21.769%	16.116	16.963%	0.06779	0.982
SP102759	1302	0.987	201.292	15.46%	40.992	15.815%	0.02495	0.982
SP102741	723	0.979	160.774	22.237%	29.939	20.22%	0.06241	0.971
SP102945	621	0.981	143.978	23.185%	23.782	19.38%	0.05863	0.972
SP103826	603	0.986	116.499	19.32%	21.598	16.924%	0.04632	0.981
