Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP109953	48	207	10	13	15	3	6	19	4	9	2	0	9	33	16
SP107650	46	163	3	0	21	0	19	14	16	5	11	0	7	42	4
SP13206	139	71	22	3	18	0	14	17	5	15	1	0	6	37	10
SP13078	65	139	16	24	40	0	18	11	35	15	7	0	6	35	9
SP107607	39	92	15	6	4	0	13	15	37	38	2	0	6	36	12
SP109941	38	71	6	3	15	1	15	21	1	13	1	9	7	7	2
SP109801	140	108	29	1	4	1	26	20	0	17	8	0	6	21	14
SP13072	14	74	10	5	41	2	11	23	21	16	12	0	0	62	20
SP107595	113	216	2	10	50	5	19	9	9	179	0	0	7	80	13
SP107640	47	143	15	2	20	0	2	10	32	2	2	0	2	22	2
SP13084	49	186	4	7	45	0	21	10	16	23	10	0	5	41	0
SP107603	26	92	6	5	25	1	13	18	29	9	16	0	5	20	13
SP109957	36	124	4	19	47	11	17	10	62	4	23	0	8	127	54
SP114020	108	203	0	8	45	10	17	41	27	19	25	0	7	113	29
SP96540	42	77	6	19	0	0	5	38	10	0	0	11	0	13	7
SP114032	20	132	14	32	25	4	7	8	10	2	2	0	2	38	13
SP107624	16	50	6	0	18	2	12	19	8	18	0	0	0	16	0
SP107575	70	63	0	11	40	0	21	22	19	8	14	0	0	34	12
SP13242	39	83	5	17	8	2	27	15	16	11	9	0	2	32	4
SP114016	19	148	1	3	28	1	10	11	33	11	11	0	1	21	14
CPCT02070011T	47	412	27	89	84	29	1042	20	33	156	135	168	8	202	32
CPCT02020317T	10	31	29	12	21	47	27	7	24	6	20	19	7	47	0
CPCT02010352T	0	8	12	9	16	26	6	2	8	0	3	1	5	4	8
CPCT02010362T	8	2	15	12	7	14	1	7	9	13	8	25	5	14	2
CPCT02010366T	1	0	2	0	8	13	3	0	5	2	0	11	4	0	2
CPCT02010383T	5	0	19	0	0	59	19	15	9	0	0	10	2	8	1
CPCT02050049T	9	24	15	7	16	38	2	37	35	16	4	1	5	1	12
CPCT02020350T	3	30	22	12	51	30	5	26	18	25	4	0	3	47	6
CPCT02060023T	41	231	45	6	206	18	34	45	18	91	23	30	15	71	33
CPCT02080030T	49	166	1778	3	142	228	19	4	96	60	237	0	49	15	27
CPCT02060010T	189	64	139	34	93	14	46	57	57	67	67	104	19	51	34
CPCT02040037T	167	349	4	27	36	107	0	118	17	17	46	4	1242	24	8
CPCT02070018T	37	124	20	1	245	34	37	22	36	69	12	16	9	56	19
CPCT02080041T	10	23	77	0	407	46	45	104	62	79	36	0	4	5	13
CPCT02070029T	386	40	17	8	33	20	101	52	47	59	28	7	19	127	11
CPCT02060033T	94	87	35	0	36	61	63	40	32	41	27	108	28	58	40
CPCT02020399T	730	417	52	34	0	61	36	292	182	59	13	65	49	54	29
CPCT02140024T	3792	833	62	924	77	70	85	10	1	35	21	0	15	173	2
CPCT02080050T	23	21	40	6	83	60	18	57	17	0	13	31	0	7	6
CPCT02030293T	38	77	15	16	26	40	35	21	42	12	19	30	9	29	10
CPCT02010441T	65985	541	229	9145	0	18	46	817	41	51	5	0	26	0	15
CPCT02090030T	293	254	27	13	31	72	40	25	13	34	7	62	8	35	7
