Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,YES,4.53e-03,84200.0%,13.47%,165.32%,5.55%,220.63,0.2282,2.673,0.084,0.821,0.909,0.122
3*,1.0,1.0,YES,7.09e-01,73700.0%,10.63%,153.67%,4.19%,97.18,0.0775,1.8608,0.017,0.683,0.98,0.206
4,0.96,0.84,YES,1.20e-01,69400.0%,9.51%,153.55%,3.81%,97.38,0.0717,1.8574,0.016,0.684,0.981,0.205
5,0.81,0.38,YES,Most Stab Sigs,70100.0%,9.82%,144.18%,4.16%,98.05,0.0524,1.6259,0.013,0.656,0.985,0.254
6,0.78,0.39,NO,N/A,71500.0%,9.87%,142.07%,4.6%,99.1,0.0499,1.5762,0.012,0.656,0.986,0.259
7,0.6,-0.14,NO,N/A,42300.0%,8.83%,142.12%,3.47%,99.17,0.0436,1.5789,0.011,0.657,0.987,0.257
8,0.72,-0.04,NO,N/A,17400.0%,6.51%,142.96%,2.3%,99.24,0.0378,1.5927,0.01,0.663,0.988,0.249
9,0.68,-0.09,NO,N/A,16300.0%,5.88%,144.2%,2.12%,99.01,0.0351,1.6231,0.009,0.667,0.989,0.242
10,0.75,-0.21,NO,N/A,14000.0%,4.86%,144.76%,1.76%,99.0,0.0305,1.6355,0.008,0.668,0.99,0.24
11,0.7,0.02,NO,N/A,12200.0%,4.52%,144.42%,1.59%,98.89,0.0294,1.6312,0.008,0.667,0.991,0.242
12,0.62,-0.81,NO,N/A,11000.0%,4.1%,144.45%,1.32%,98.71,0.0287,1.6269,0.008,0.666,0.991,0.242
13,0.58,-0.65,NO,N/A,10200.0%,4.07%,144.84%,1.37%,98.6,0.0271,1.645,0.007,0.668,0.991,0.239
14,0.44,-0.74,NO,N/A,13300.0%,5.6%,134.76%,2.08%,91.98,0.028,1.3939,0.007,0.563,0.992,0.362
15,0.5,-0.48,NO,N/A,8200.0%,3.33%,96.99%,1.14%,81.11,0.0153,0.769,0.004,0.389,0.995,0.57
16,0.44,-0.66,NO,N/A,8000.0%,3.17%,79.84%,1.09%,72.57,0.0128,0.4469,0.004,0.312,0.996,0.621
17,0.4,-0.66,NO,N/A,9800.0%,3.98%,62.99%,1.43%,71.39,0.0126,0.2787,0.003,0.3,0.996,0.637
18,0.32,-0.62,NO,N/A,13000.0%,5.65%,45.79%,2.15%,66.06,0.0133,0.1987,0.002,0.249,0.997,0.701
19,0.27,-0.63,NO,N/A,9700.0%,4.16%,40.39%,1.4%,51.01,0.0102,0.1366,0.002,0.139,0.998,0.836
20,0.25,-0.64,NO,N/A,14500.0%,5.16%,37.29%,2.13%,38.86,0.0112,0.1258,0.001,0.077,0.998,0.895
