MutationType	ID83A	ID83B
1:Del:C:0	6.41E-05	4.43E-05
1:Del:C:1	8.13E-05	2.08E-05
1:Del:C:2	6.36E-05	1.48E-05
1:Del:C:3	2.97E-05	1.23E-05
1:Del:C:4	2.38E-05	1.37E-05
1:Del:C:5	1.57E-05	1.82E-05
1:Del:T:0	2.83E-05	3.91E-05
1:Del:T:1	3.02E-05	3.19E-05
1:Del:T:2	2.36E-05	2.94E-05
1:Del:T:3	2.63E-05	2.98E-05
1:Del:T:4	2.04E-05	2.74E-05
1:Del:T:5	8.95E-05	8.59E-05
1:Ins:C:0	1.63E-05	2.43E-05
1:Ins:C:1	1.20E-05	1.47E-05
1:Ins:C:2	1.06E-05	1.06E-05
1:Ins:C:3	1.10E-05	8.15E-06
1:Ins:C:4	1.16E-05	9.68E-06
1:Ins:C:5	1.61E-05	2.39E-05
1:Ins:T:0	2.08E-05	2.05E-05
1:Ins:T:1	3.29E-05	2.70E-05
1:Ins:T:2	3.33E-05	1.22E-05
1:Ins:T:3	2.46E-05	1.68E-05
1:Ins:T:4	1.47E-05	1.85E-05
1:Ins:T:5	1.12E-04	1.10E-04
2:Del:R:0	1.71E-05	2.46E-05
2:Del:R:1	1.78E-05	2.63E-05
2:Del:R:2	1.69E-05	1.48E-05
2:Del:R:3	1.03E-05	1.10E-05
2:Del:R:4	8.46E-06	8.07E-06
2:Del:R:5	8.56E-06	1.41E-05
3:Del:R:0	8.59E-06	1.51E-05
3:Del:R:1	9.25E-06	2.10E-05
3:Del:R:2	5.90E-06	1.33E-05
3:Del:R:3	2.87E-06	6.61E-06
3:Del:R:4	1.91E-06	4.71E-06
3:Del:R:5	1.97E-06	4.07E-06
4:Del:R:0	7.42E-06	1.38E-05
4:Del:R:1	8.90E-06	2.08E-05
4:Del:R:2	5.24E-06	1.10E-05
4:Del:R:3	3.38E-06	8.46E-06
4:Del:R:4	1.70E-06	4.22E-06
4:Del:R:5	8.50E-07	3.44E-06
5:Del:R:0	2.76E-05	4.42E-05
5:Del:R:1	7.83E-06	1.70E-05
5:Del:R:2	2.77E-06	7.24E-06
5:Del:R:3	1.66E-06	4.45E-06
5:Del:R:4	1.09E-06	2.04E-06
5:Del:R:5	5.48E-07	1.45E-06
2:Ins:R:0	1.44E-05	1.84E-05
2:Ins:R:1	1.03E-05	1.58E-05
2:Ins:R:2	7.64E-06	1.20E-05
2:Ins:R:3	4.91E-06	7.93E-06
2:Ins:R:4	4.99E-06	1.05E-05
2:Ins:R:5	8.09E-06	2.00E-05
3:Ins:R:0	7.33E-06	1.22E-05
3:Ins:R:1	6.66E-06	1.11E-05
3:Ins:R:2	3.15E-06	5.74E-06
3:Ins:R:3	1.17E-06	2.49E-06
3:Ins:R:4	6.51E-07	2.36E-06
3:Ins:R:5	1.78E-06	5.19E-06
4:Ins:R:0	1.09E-05	1.90E-05
4:Ins:R:1	7.47E-06	1.45E-05
4:Ins:R:2	2.20E-06	4.29E-06
4:Ins:R:3	1.71E-06	3.80E-06
4:Ins:R:4	1.85E-06	4.76E-06
4:Ins:R:5	2.51E-06	6.31E-06
5:Ins:R:0	2.35E-05	4.20E-05
5:Ins:R:1	1.13E-05	2.06E-05
5:Ins:R:2	2.60E-06	5.97E-06
5:Ins:R:3	1.71E-06	3.59E-06
5:Ins:R:4	1.52E-06	3.31E-06
5:Ins:R:5	5.09E-07	2.53E-06
2:Del:M:1	1.67E-05	2.97E-05
3:Del:M:1	8.29E-06	1.60E-05
3:Del:M:2	8.17E-06	1.93E-05
4:Del:M:1	8.11E-06	1.41E-05
4:Del:M:2	8.34E-06	1.66E-05
4:Del:M:3	7.82E-06	1.82E-05
5:Del:M:1	2.33E-05	4.05E-05
5:Del:M:2	2.32E-05	3.73E-05
5:Del:M:3	1.44E-05	2.63E-05
5:Del:M:4	1.27E-05	1.99E-05
5:Del:M:5	1.21E-05	2.42E-05
