MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.77E-05	6.10E-04	1.87E-03	1.01E-03
1:Del:C:1	1.31E-05	3.61E-04	1.38E-03	9.50E-04
1:Del:C:2	8.52E-06	1.87E-04	8.07E-04	6.02E-04
1:Del:C:3	1.42E-05	1.37E-04	4.64E-04	2.91E-04
1:Del:C:4	2.51E-05	7.23E-05	2.33E-04	1.52E-04
1:Del:C:5	4.47E-05	6.80E-05	9.22E-05	1.17E-04
1:Del:T:0	1.27E-05	3.14E-04	1.10E-03	7.49E-04
1:Del:T:1	1.00E-05	2.35E-04	8.34E-04	5.64E-04
1:Del:T:2	1.24E-05	2.64E-04	9.96E-04	6.84E-04
1:Del:T:3	2.64E-05	2.38E-04	8.47E-04	5.39E-04
1:Del:T:4	5.53E-05	2.00E-04	5.80E-04	3.82E-04
1:Del:T:5	3.86E-04	8.62E-04	8.22E-04	6.14E-04
1:Ins:C:0	1.23E-05	1.63E-04	4.16E-04	2.93E-04
1:Ins:C:1	3.98E-06	6.48E-05	1.42E-04	1.41E-04
1:Ins:C:2	3.03E-06	3.90E-05	6.91E-05	8.56E-05
1:Ins:C:3	5.70E-06	4.30E-05	7.81E-05	7.67E-05
1:Ins:C:4	1.37E-05	4.85E-05	7.71E-05	7.76E-05
1:Ins:C:5	2.85E-05	1.46E-04	2.82E-04	1.63E-04
1:Ins:T:0	9.47E-06	1.10E-04	2.38E-04	1.70E-04
1:Ins:T:1	7.86E-06	1.82E-04	5.53E-04	3.60E-04
1:Ins:T:2	1.52E-05	1.38E-04	3.54E-04	2.06E-04
1:Ins:T:3	1.04E-05	1.01E-04	2.79E-04	1.68E-04
1:Ins:T:4	1.52E-05	9.93E-05	1.83E-04	1.06E-04
1:Ins:T:5	2.80E-04	1.56E-03	3.81E-03	2.17E-03
2:Del:R:0	1.12E-05	8.99E-05	2.12E-04	1.69E-04
2:Del:R:1	1.57E-05	1.11E-04	2.83E-04	2.48E-04
2:Del:R:2	1.25E-05	6.64E-05	1.38E-04	1.07E-04
2:Del:R:3	2.11E-05	4.67E-05	6.85E-05	7.72E-05
2:Del:R:4	1.38E-05	1.57E-05	5.06E-05	7.71E-05
2:Del:R:5	2.92E-05	1.37E-05	8.47E-05	8.79E-05
3:Del:R:0	6.71E-06	4.98E-05	9.46E-05	1.10E-04
3:Del:R:1	1.97E-05	1.32E-04	3.29E-04	2.04E-04
3:Del:R:2	1.09E-05	5.08E-05	9.71E-05	8.74E-05
3:Del:R:3	7.19E-06	3.05E-05	5.87E-05	3.45E-05
3:Del:R:4	6.27E-06	1.47E-05	2.61E-05	3.52E-05
3:Del:R:5	4.12E-06	1.14E-05	1.19E-05	1.46E-05
4:Del:R:0	3.97E-06	4.73E-05	1.01E-04	1.22E-04
4:Del:R:1	1.32E-05	9.21E-05	1.46E-04	1.52E-04
4:Del:R:2	8.72E-06	5.33E-05	1.03E-04	7.95E-05
4:Del:R:3	5.48E-06	3.68E-05	5.52E-05	4.47E-05
4:Del:R:4	5.43E-06	1.83E-05	2.91E-05	4.40E-05
4:Del:R:5	5.19E-06	1.51E-05	1.50E-05	1.21E-05
