C.PH.Other.10	C.H.All.2	C.H.All.4	C.H.Lung.2	C.H.Skin.3	C.H.All.7	C.PH.Other.3	C.H.All.9	C.H.MSI.7	C.H.All.11	C.P.Kidney.2	C.H.Ovary.4	C.H.Breast.13	C.H.Colon.7	C.H.Pancreas.3	C.PH.Breast.5	C.H.All.19	C.H.All.20	C.PH.MSI.7	C.H.All.22	C.PH.Lung.6	C.PH.Ovary.3	C.H.All.28	C.PH.Other.4	C.H.All.31	C.PH.Colon.15	C.H.Prostate.3	C.PH.Bladder.1	C.H.Bladder.9	C.PH.Lung.5	C.H.MSI.13	C.H.Bone.SoftTissue.5	C.H.Lung.11	C.PH.All.9	C.H.Prostate.7	C.PH.Ovary.8	C.P.All.2	C.PH.CNS.4	C.PH.CNS.1	C.PH.Colon.3	C.H.Colon.15	C.PH.All.6	C.P.All.6	C.H.Prostate.4	C.PH.Thymus.3	C.P.All.8	C.PH.Uterus.2	C.PH.All.32	C.PH.MSI.8	C.P.Kidney.3	C.P.All.20	C.P.All.21	C.PH.MSI.4	C.P.Lymphoid.1	C.P.Prostate.4	C.P.Biliary.1	C.P.Breast.1	C.P.Biliary.4	C.PH.Esophagus.8	C.P.Pancreas.1	C.P.Colon.3	C.PH.Esophagus.9	C.P.Head.3	C.P.Lymphoid.3	C.PH.Bone.SoftTissue.4	C.PH.MSI.18
[Del(C):R1]A	0.00131284903344572	0.0619077763402686	0.00110875061804255	0.00682569204743507	0.0165990394788955	0.0182754978558009	0.00531009013671003	0.00138722488783421	0.00742544643745421	0.00185139584741838	0.0234299557635261	0.0202281223536188	0.00716783087799571	0.0747298931400952	0.0109662113241539	0.195745470058747	0.00537587744650033	0.000915031190559267	0.00431954284387207	0.0266590035114253	0.0110180173297107	0.000841331686020314	0.000452642468624063	0.0221582168662102	0.00863024852427967	0.00682799395049597	0.00545443765961558	0.0101107116451714	0.00124892355857726	0.0128362855683634	0.00780415638445909	0.00734672637467906	0.0209649995371166	0.0421574980727736	0.0148967894399199	0.00712382066218514	0.00314507145546422	0.030136218117135	0.00269165965939664	0.00117178435000015	0.00115638931137085	0.00375740197830616	0.0374400878279875	0.00316241968979272	0.00727230129008505	0.00159294983803358	0.000166759528370988	0.0101090691829896	0.00136115806124963	0.0199825515659899	0.0235884712353079	0.0151725901748407	0.000468686659931679	0.00433717992465618	0.115455836511871	0.00920306122371774	0.00930042484210857	0.0395157526806232	0.0211865533224919	0.00566673804228404	0.00415009483507652	0.00699590465599484	0.0128568330209057	0.0336816987695803	0.0170962587250223	0.00362002775006863
[Del(C):R1]T	0.000662016170821577	0.03370680901705	0.000966162570053837	0.0085146044072903	0.0278206453899263	0.0396065447206059	0.00382426215178196	0.000991915243567833	0.0146230206840643	0.000507772537564012	0.0301369526568095	0.0322749599301833	0.0166506368169778	0.152926749268912	0.0233132924671522	0.18377708092839	0.0178784865281928	0.00216251372892939	0.00291253376314273	0.0249118959672524	0.0131749255678151	0.00105300897182337	0.000423408127615993	0.0240967192497793	0.0155995902550423	0.00870763324082784	0.0061370658334483	0.0118258752254785	0.0021473675765905	0.0181285236968472	0.00676704235463518	0.00781902883728191	0.0114141716996508	0.127019579321656	0.0169142024485484	0.0242845427697679	0.00930687878971905	0.0399489610276232	0.00172447551177393	0.00515798890075616	0.000601186118637867	0.00757077347872155	0.0217950102943568	0.00253742539532683	0.00641807085984596	0.00681827076065804	0.000377696632267215	0.0192724522252828	0.000383811443052857	0.0166070357570529	0.0142022021969724	0.0130508821541837	0.000263414159493521	0.0081339799826659	0.017676307054888	0.0147937502480505	0.0278741582847045	0.0225625390713724	0.036837517052457	0.00637137286474128	0.0206002461824674	0.0120670820753564	0.017810383095757	0.0492459373176632	0.0190395198791486	0.00292549793032996
[Del(C):R2]A	0.000271106833926615	0.0941492727191335	0.0013762408081006	0.00352032318480621	0.00844803659781655	0.0157089500141164	0.00285585872713672	0.000537989073199095	0.00748205361441212	0.00053669758590896	0.0172800470841865	0.0138898811116559	0.00310147635255748	0.0716151974545685	0.00390905220957282	0.031944563511087	0.00449493778033243	0.00043343221946195	0.00488189818097301	0.0195581305991889	0.00855295692657593	0.000355359364452086	0.000225625178573744	0.0131449967428177	0.00774010205801643	0.00369679959339389	0.00461021116450912	0.00673268300028901	0.000750589037931173	0.00169135838849224	0.001745297316148	0.00351470206357765	0.00527563278829922	0.0181238212369589	0.0112233736008238	0.002085805466353	0.00115811398160132	0.0116433260033552	0.000574248342418956	0.00599155923491131	0.000226232853924025	0.000565536739497603	0.0614676345408519	0.00139438799315191	0.00551939962141638	0.00751726832308211	0.000374597067132402	0.0054422054807984	1.3886552749726e-05	0.0157947783655106	0.0105105065579517	0.0053814826408916	0.000431659332331319	0.00143227313027938	0.00785812701339057	0.00637227600977799	0.00497221615047549	0.0287016812498319	0.0135590606467831	0.00361197721440998	0.0131641732453676	0.00543288227744485	0.00896215642830076	0.0156866092982671	0.0134691263603209	0.00164021430250733
[Del(C):R2]T	0.000284825577420305	0.0532529854794756	0.000490421410560543	0.00273960208045112	0.0194826198892404	0.0147282719295597	0.00212802279643924	0.000342352197046478	0.00554215396365293	0.00133302187605864	0.0233412649640604	0.017850806108933	0.00477436789622181	0.0707528367585263	0.00721786611920842	0.0438490588150173	0.0104974849412088	0.00128883589152455	0.0055219944645749	0.0229677671417794	0.00632891294261144	0.00017699771780046	0.00037996909357843	0.016645115362392	0.00539173103133096	0.00416252951055273	0.00413397409428993	0.0149287471500985	0.000627501769625144	0.00611513018411376	0.00161381220324067	0.00623716384119822	0.0138038311507967	0.0492311037021353	0.0119954093327822	0.00635815317855905	0.00242441116941387	0.0243064779635736	0.000791131193270383	0.00122401501140856	0.000199801179833678	0.00193226975098236	0.0275497517275892	0.000745459539884139	0.0038002469346999	0.001288957448802	0.000190396636641988	0.00774937302103421	0.000586040115216084	0.0143834664400033	0.014299641339958	0.00438631065649319	0.000259902907034263	0.00249262286936482	0.00636223278296586	0.0053603330607443	0.0105925065401043	0.0237516477692972	0.0202642108776285	0.0049518114419418	0.00515982636515634	0.0042834643096785	0.00964479839071164	0.023981919008084	0.0163302526270406	0.00192825685637821
[Del(C):R3]A	0.000334293640069191	0.0924541879639085	0.000461501665072239	0.00100320320668799	0.00431499650476239	0.010337964423355	0.000924333458804009	0.00085979302237132	0.00238791715279259	0.00062677363192111	0.0135196616108595	0.00936904544345195	0.00376286789839331	0.03187755239028	0.00508865017297883	0.00917258687703226	0.00127082758763568	0.000632439662215557	0.00322194856169864	0.0134594038486126	0.00423074125568885	0.000298745137384025	0.000136040227071943	0.00861836787960169	0.00233958722858233	0.00237562133342653	0.0032936074128446	0.00537788873985251	0.000918823396766687	0.00109054651252492	0.0011605890674733	0.00377733232660114	0.0176255718896044	0.0121368225415697	0.00679724397737922	0.0029280318568695	0.000985301786195804	0.00477583545827134	0.00022394104754308	0.00167831106242782	0.000324379424049347	0.000866712372044579	0.038523803886745	0.00116871767713392	0.003947236302376	0.00105760569770069	0.000376355924140506	0.00325428714942562	0.000386064559227481	0.0101412551294584	0.00390361422056874	0.00510983944309292	0.000662250303835698	0.00245739801693066	0.00479590041920868	0.0021734900249127	0.00444907733806612	0.0235260487895721	0.00933481784835362	0.00200473204762252	0.00529430036058441	0.00315879864925496	0.00364034479206599	0.0091801140000443	0.00759562189511617	0.00177240551757544
[Del(C):R3]T	0.000322172284516547	0.0385439700098	0.00055608433200707	0.00144058903081457	0.00503136627991344	0.00518378802788899	0.00211302992146232	0.000611310374258988	0.00189353837283066	0.00026636102411778	0.0150504272169907	0.00797674120074361	0.000934843461859397	0.0207676030153168	0.00385170345487662	0.010679469001273	0.00151425561379176	0.000671921729871699	0.00177289813929614	0.0112301183424963	0.00112538472255201	0.000200687596780953	0.000252126856312982	0.00800974273030875	0.00144798735849635	0.00159611475111457	0.00172145084503978	0.00537840876623901	0.000770122592859403	0.00194235332334123	0.000831780927166211	0.00251825583764198	0.00396270112093982	0.0124650811439935	0.00532858388459738	0.00183009505798533	0.000697672817931152	0.00759975204482471	0.000495388664131425	0.000538042734800684	0.000223845768644661	0.000579978943291605	0.0160208342290783	0.00172423206026268	0.00188845543088989	0.00101104139314714	0.000232385509805523	0.00223336273297751	1.16334365751016e-05	0.0093623351972503	0.00433183202568825	0.00238598290726168	0.000576374432022143	0.000441127463599378	0.00164206353601058	0.00256111947633191	0.00328071759204416	0.0110342039500766	0.00733441148217434	0.00229320788289532	0.00288779415372211	0.00098026335735147	0.00453273273422926	0.00709899139325218	0.00485566936457963	0.00127655157241263
[Del(C):R(4,5)]A	0.00500240746907386	0.0530994430200437	0.00238634703397621	0.00308898994503428	0.00462703877440401	0.010665675582888	0.000530145787535969	0.008711065053579	0.00358385698038241	0.00130104891549742	0.0100989512250309	0.00888616322536654	0.00174598996055773	0.012043262391671	0.00390390004604774	0.0129966549819589	0.00240862515996134	0.000459554816655971	0.00535712752997714	0.00898663382951027	0.00292870916344789	0.000887481672066316	0.000302706906628531	0.00878731222307045	0.005348103566582	0.00276463776115128	0.00298151424652842	0.00439282427424355	0.0149116899474948	0.00217741521678845	0.00982915245093999	0.00425064869219445	0.00834409267421275	0.0143053910519942	0.00633753602254114	0.00244852583197889	0.00313160766799569	0.00592157127170978	0.00341910357209407	0.00448466931580548	0.00166463618051276	0.00241934096533548	0.0277711497116753	0.00964684737836957	0.00315966708442266	0.00210400236752758	0.00439921864407611	0.00644729744162118	1.08517432083951e-05	0.00492978660417736	0.00374183188603016	0.00544602567215239	0.0123965704408086	0.00463930705751972	0.00318030207780279	0.00506734971440056	0.00232028182840029	0.0137660214892088	0.00723354600067825	0.00304957147919364	0.00506934391207839	0.00609258387370564	0.0073592581767665	0.0096106434495446	0.00525220484211486	0.00215119804664785
[Del(C):R(4,5)]T	0.00593788435156569	0.0277297161682705	0.000767139124661905	0.00242456798404428	0.00400410404608435	0.00627654330801976	0.0010364392739723	0.00489561486184231	0.00192481383809991	0.00119080605110566	0.00962515856961205	0.00428279979980495	0.00448223585505081	0.00821523293012781	0.00195930704255532	0.00393618505127023	0.00176845227838029	0.000646477730715519	0.0015361217403541	0.00687447592632718	0.00137735230410516	0.00085516103019156	0.00061825217465214	0.00486516369922835	0.00322843239142288	0.0021689989675597	0.0020891442719469	0.00366909996576612	0.00857700186809148	0.00215013091532066	0.0100760616585079	0.00285221197190789	0.00330085402942872	0.0107866938210092	0.0043430814473614	0.00269811989203234	0.00151761419719516	0.00515499303274994	0.00361019947846876	0.0011521392167845	0.000923585428078609	0.00149859979104959	0.015163280412537	0.00775859149676438	0.000600043882973778	0.000593295137467179	0.00318986190024975	0.0037348002172216	1.45762821909375e-05	0.00304571028477093	0.00240864979871653	0.00363384296829548	0.0111670375079853	0.00181590750864492	7.12524470126088e-05	0.00190513117393017	0.00237735449853726	0.00981954415616339	0.0068076589082894	0.00181164505068708	0.00336912198411986	0.00410610046086637	0.00519248978268115	0.00572314030734158	0.00452291069954819	0.00170946555382816
[Del(C):R(1,5)]G	0.00135804093794734	0.0506275748012529	0.000548582741167415	0.00400784231214047	0.00933651899489589	0.00727503873908758	0.00210246675954677	0.00298836243800546	0.00223971956351678	0.000613943487611502	0.00943634834202111	0.0130472781828791	0.00168246707000039	0.0139705630271298	0.00312493341841078	0.0154639146375587	0.00502897705020848	0.000460980557987998	0.00391343478180607	0.00981484452430735	0.00213708712971909	0.000258509236274636	0.000379427716893095	0.0118459613070647	0.00765757491595354	0.00221553533584461	0.00279256571188903	0.00512312064032965	0.00427300245630722	0.00197484269351565	0.00855881990340231	0.00496853609218394	0.0099851382040352	0.0135920247706915	0.00713870981294382	0.00385810887424114	0.000398848608547649	0.00488942133632774	0.00144043078545309	0.000342954866203946	0.000744049483692375	0.000267240728699775	0.0208234286478487	0.00267742911457521	0.00195623231200051	0.000722207033684372	0.000939184318497605	0.00315018816555921	0.000196021107192324	0.00909571396365762	0.0100075164181138	0.00375634817272773	0.00277547184725531	0.00156649513320676	0.00152276658186947	0.00467029692257777	0.00314672374012392	0.0132363890355825	0.0104979203444587	0.00186441440980229	0.00262205014041398	0.00171704596439793	0.00627251634755996	0.00941893433508115	0.0117845266503299	0.000852830745042599
Del(C):R(6,9)	0.0327105872117517	0.0197296919761269	0.00199021481624697	0.00987819133116718	0.0024115642373761	0.00731172274580294	7.04210794370221e-06	0.0217935490889837	0.00185563986785734	0.00181103811649145	0.00186564182985948	0.00572750019387594	0.0050901509641901	0.00222885851642057	0.00212451375331806	0.0105444153460933	0.00394267289908983	0.00107792213774339	0.0040232306567869	0.00206177131403381	0.00162257245001214	0.00648936105869767	0.0034649912450367	0.0074379559581481	0.00333638987537265	0.00864879022778526	0.00549706373674068	0.00258130339090737	0.0748333972104462	0.0101503669224645	0.075888924231908	0.00306661571877611	0.00864372872974504	0.00705537722817113	0.00668963243834313	0.0107075302859874	0.00760907084227778	0.0147031906252321	0.0384424342164316	0.00456598303020745	0.0159280395316744	0.00955169727575796	0.00784105469379535	0.0180614733713461	0.0118006151054121	0.00153894784279432	0.0221924302028446	0.00440007074935505	0.000314148769490489	0.00419440147180569	0.00844642037746063	0.00505153979001944	0.0242916638053861	0.00458406019475995	0.00153823854179221	0.00209366676550857	0.00145990853837318	0.00431359007516813	0.00451662340454431	0.00570519796272323	0.002769645819825	0.0103249100271625	0.00824941947865268	0.00691261132758706	0.00645119346416815	0.00685878456589898
