cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
1	45	TRUE	C.PH.Other.10	0.9054	0.9748	1	C.H.All.1; C.H.All.3; C.H.Biliary.1; C.H.Bladder.2; C.H.Breast.2; C.H.Colon.1; C.H.Colon.3; C.H.Esophagus.1; C.H.Kidney.2; C.H.Lung.8; C.H.MSI.1; C.H.Other.4; C.H.Pancreas.1; C.H.Prostate.1; C.H.Skin.1; C.H.Stomach.1; C.H.Uterus.1; C.P.All.4; C.P.Biliary.2; C.P.Colon.2; C.P.Esophagus.1; C.P.Kidney.1; C.P.Liver.2; C.P.MSI.1; C.P.Pancreas.6; C.P.Skin.1; C.P.Stomach.1; C.P.Uterus.1; C.PH.All.1; C.PH.Biliary.1; C.PH.Bladder.2; C.PH.Breast.3; C.PH.Colon.1; C.PH.Colon.18; C.PH.Esophagus.1; C.PH.Kidney.2; C.PH.Liver.4; C.PH.Lung.4; C.PH.MSI.1; C.PH.Other.10; C.PH.Pancreas.2; C.PH.Prostate.1; C.PH.Skin.1; C.PH.Stomach.1; C.PH.Uterus.1
2	23	TRUE	C.H.All.2	0.9629	0.9887	1	C.H.All.2; C.H.Breast.7; C.H.Colon.9; C.H.Esophagus.2; C.H.Lung.1; C.H.MSI.5; C.H.Other.6; C.H.Prostate.9; C.H.Skin.4; C.P.All.17; C.P.Head.2; C.P.Lung.1; C.P.MSI.2; C.PH.All.3; C.PH.Breast.6; C.PH.Colon.5; C.PH.Esophagus.3; C.PH.Head.2; C.PH.Lung.1; C.PH.MSI.12; C.PH.Other.8; C.PH.Prostate.5; C.PH.Skin.7
3	12	TRUE	C.H.All.4	0.9324	0.9732	0.9999	C.H.All.4; C.H.Breast.10; C.H.CNS.5; C.H.Esophagus.5; C.H.Lung.6; C.H.MSI.4; C.PH.Breast.11; C.PH.CNS.2; C.PH.Esophagus.6; C.PH.Lung.7; C.PH.MSI.11; C.PH.Prostate.2
4	10	TRUE	C.H.Lung.2	0.9188	0.9641	0.9988	C.H.All.5; C.H.Breast.20; C.H.Esophagus.8; C.H.Head.6; C.H.Lung.2; C.H.Ovary.3; C.H.Thymus.3; C.H.Uterus.3; C.PH.Lung.3; C.PH.Thymus.4
5	12	TRUE	C.H.Skin.3	0.916	0.9645	0.999	C.H.All.6; C.H.Bone.SoftTissue.7; C.H.Lymphoid.3; C.H.MSI.3; C.H.Skin.3; C.P.All.18; C.P.Skin.3; C.PH.All.14; C.PH.Bone.SoftTissue.9; C.PH.Lymphoid.6; C.PH.MSI.9; C.PH.Skin.2
6	8	TRUE	C.H.All.7	0.9242	0.9653	1	C.H.All.7; C.H.Lung.15; C.H.Other.12; C.H.Skin.10; C.PH.All.26; C.PH.Lung.14; C.PH.Other.12; C.PH.Skin.12
7	4	TRUE	C.PH.Other.3	0.9969	0.9982	1	C.H.All.8; C.H.Other.7; C.PH.All.24; C.PH.Other.3
8	9	TRUE	C.H.All.9	0.9414	0.967	0.9995	C.H.All.9; C.H.Bladder.12; C.H.Breast.1; C.P.All.24; C.P.MSI.7; C.PH.All.19; C.PH.Bladder.12; C.PH.Breast.1; C.PH.Colon.21
9	15	TRUE	C.H.MSI.7	0.9485	0.9836	0.9997	C.H.All.10; C.H.Colon.10; C.H.Esophagus.7; C.H.MSI.7; C.H.Other.11; C.P.All.12; C.P.Colon.4; C.P.Esophagus.3; C.P.Stomach.3; C.PH.All.27; C.PH.Colon.13; C.PH.Esophagus.5; C.PH.MSI.5; C.PH.Other.11; C.PH.Stomach.4
10	16	TRUE	C.H.All.11	0.9419	0.9787	1	C.H.All.11; C.H.Bladder.6; C.H.Head.1; C.H.Kidney.4; C.H.Other.8; C.H.Prostate.10; C.H.Skin.5; C.P.All.19; C.P.Skin.2; C.PH.All.18; C.PH.Bladder.8; C.PH.Head.4; C.PH.Kidney.7; C.PH.Other.2; C.PH.Prostate.10; C.PH.Skin.4
