signature	cluster_id	retained
C.P.MSI.2	2	TRUE
C.P.MSI.3	78	TRUE
C.P.MSI.4	86	TRUE
C.P.MSI.5	81	TRUE
C.P.MSI.6	79	TRUE
C.P.MSI.7	8	TRUE
C.P.MSI.8	99	TRUE
C.P.MSI.9	26	TRUE
C.P.MSI.10	98	TRUE
C.P.Myeloid.1	105	TRUE
C.P.Myeloid.2	106	FALSE
C.P.Ovary.1	95	TRUE
C.P.Ovary.2	91	TRUE
C.P.Ovary.3	26	TRUE
C.P.Ovary.4	107	FALSE
C.P.Ovary.5	18	TRUE
C.P.Pancreas.1	98	TRUE
C.P.Pancreas.2	105	TRUE
C.P.Pancreas.3	81	TRUE
C.P.Pancreas.4	16	TRUE
C.P.Pancreas.5	54	TRUE
C.P.Pancreas.6	1	TRUE
C.P.Pancreas.7	108	FALSE
C.P.Pancreas.8	36	TRUE
C.P.Prostate.1	90	TRUE
C.P.Prostate.2	92	TRUE
C.P.Prostate.3	91	TRUE
C.P.Prostate.4	89	TRUE
C.P.Prostate.5	109	FALSE
C.P.Prostate.6	83	TRUE
C.P.Prostate.7	110	FALSE
C.P.Prostate.8	84	TRUE
C.P.Prostate.9	111	FALSE
C.P.Prostate.10	112	FALSE
C.P.Prostate.11	87	TRUE
C.P.Prostate.12	18	TRUE
C.P.Prostate.13	107	FALSE
C.P.Skin.1	1	TRUE
C.P.Skin.2	10	TRUE
C.P.Skin.3	5	TRUE
C.P.Skin.4	36	TRUE
C.P.Skin.5	113	FALSE
C.P.Skin.6	114	FALSE
C.P.Skin.7	94	FALSE
C.P.Stomach.1	1	TRUE
C.P.Stomach.2	16	TRUE
C.P.Stomach.3	9	TRUE
C.P.Stomach.4	115	FALSE
C.P.Stomach.5	116	FALSE
C.P.Stomach.6	62	TRUE
C.P.Stomach.7	117	FALSE
C.P.Stomach.8	98	TRUE
C.P.Stomach.9	95	TRUE
C.P.Thymus.1	118	FALSE
C.P.Thymus.2	119	FALSE
C.P.Uterus.1	1	TRUE
C.P.Uterus.2	95	TRUE
C.P.Uterus.3	26	TRUE
C.P.Uterus.4	91	TRUE
C.P.Uterus.5	78	TRUE
C.P.Uterus.6	120	FALSE
C.P.Uterus.7	79	TRUE
C.P.Uterus.8	79	TRUE
C.P.Uterus.9	121	FALSE
C.PH.All.1	1	TRUE
C.PH.All.2	34	TRUE
C.PH.All.3	2	TRUE
C.PH.All.4	15	FALSE
C.PH.All.5	122	TRUE
C.PH.All.6	62	TRUE
C.PH.All.7	16	TRUE
C.PH.All.8	82	TRUE
C.PH.All.9	43	TRUE
C.PH.All.10	27	TRUE
C.PH.All.11	81	TRUE
C.PH.All.12	23	TRUE
C.PH.All.13	21	TRUE
C.PH.All.14	5	TRUE
C.PH.All.15	11	TRUE
C.PH.All.16	78	TRUE
C.PH.All.17	64	TRUE
C.PH.All.18	10	TRUE
C.PH.All.19	8	TRUE
C.PH.All.20	26	TRUE
C.PH.All.21	19	TRUE
C.PH.All.22	14	TRUE
C.PH.All.23	20	TRUE
C.PH.All.24	7	TRUE
C.PH.All.25	86	TRUE
C.PH.All.26	6	TRUE
C.PH.All.27	9	TRUE
C.PH.All.28	18	TRUE
C.PH.All.29	83	TRUE
C.PH.All.30	25	FALSE
C.PH.All.31	123	TRUE
C.PH.All.32	80	TRUE
C.PH.All.33	124	FALSE
C.PH.All.34	125	FALSE
C.PH.All.35	31	TRUE
C.PH.Biliary.1	1	TRUE
C.PH.Biliary.2	34	TRUE
C.PH.Biliary.3	16	TRUE
C.PH.Biliary.4	23	TRUE
C.PH.Biliary.5	92	TRUE
C.PH.Biliary.6	35	FALSE
C.PH.Bladder.1	36	TRUE
C.PH.Bladder.2	1	TRUE
C.PH.Bladder.3	37	FALSE
C.PH.Bladder.4	34	TRUE
C.PH.Bladder.5	23	TRUE
C.PH.Bladder.6	19	TRUE
C.PH.Bladder.7	16	TRUE
C.PH.Bladder.8	10	TRUE
C.PH.Bladder.9	28	TRUE
C.PH.Bladder.10	39	TRUE
C.PH.Bladder.11	38	TRUE
C.PH.Bladder.12	8	TRUE
C.PH.Bladder.13	40	TRUE
C.PH.Bone.SoftTissue.1	16	TRUE
C.PH.Bone.SoftTissue.2	23	TRUE
C.PH.Bone.SoftTissue.3	21	TRUE
C.PH.Bone.SoftTissue.4	122	TRUE
C.PH.Bone.SoftTissue.5	43	TRUE
C.PH.Bone.SoftTissue.6	42	TRUE
C.PH.Bone.SoftTissue.7	34	TRUE
C.PH.Bone.SoftTissue.8	13	TRUE
C.PH.Bone.SoftTissue.9	5	TRUE
C.PH.Bone.SoftTissue.10	126	FALSE
C.PH.Breast.1	8	TRUE
C.PH.Breast.2	20	TRUE
C.PH.Breast.3	1	TRUE
C.PH.Breast.4	21	TRUE
C.PH.Breast.5	17	TRUE
C.PH.Breast.6	2	TRUE
C.PH.Breast.7	16	TRUE
C.PH.Breast.8	95	TRUE
C.PH.Breast.9	23	TRUE
C.PH.Breast.10	42	TRUE
C.PH.Breast.11	3	TRUE
C.PH.Breast.12	77	FALSE
C.PH.Breast.13	13	TRUE
C.PH.Breast.14	28	TRUE
C.PH.Breast.15	43	TRUE
C.PH.Breast.16	46	FALSE
C.PH.Breast.17	127	FALSE
C.PH.Breast.18	49	TRUE
C.PH.Breast.19	48	FALSE
C.PH.Breast.20	50	FALSE
C.PH.Breast.21	61	FALSE
C.PH.CNS.1	54	TRUE
C.PH.CNS.2	3	TRUE
C.PH.CNS.3	21	TRUE
C.PH.CNS.4	53	TRUE
C.PH.CNS.5	23	TRUE
C.PH.CNS.6	20	TRUE
C.PH.CNS.7	34	TRUE
C.PH.CNS.8	52	FALSE
C.PH.CNS.9	96	FALSE
C.PH.CNS.10	55	FALSE
C.PH.Colon.1	1	TRUE
C.PH.Colon.2	98	TRUE
C.PH.Colon.3	58	TRUE
C.PH.Colon.4	19	TRUE
C.PH.Colon.5	2	TRUE
C.PH.Colon.6	99	TRUE
C.PH.Colon.7	14	TRUE
C.PH.Colon.8	78	TRUE
C.PH.Colon.9	86	TRUE
C.PH.Colon.10	16	TRUE
C.PH.Colon.11	21	TRUE
C.PH.Colon.12	23	TRUE
C.PH.Colon.13	9	TRUE
C.PH.Colon.14	47	TRUE
C.PH.Colon.15	31	TRUE
C.PH.Colon.16	123	TRUE
C.PH.Colon.17	59	FALSE
C.PH.Colon.18	1	TRUE
C.PH.Colon.19	60	TRUE
C.PH.Colon.20	98	TRUE
C.PH.Colon.21	8	TRUE
C.PH.Esophagus.1	1	TRUE
C.PH.Esophagus.2	49	TRUE
C.PH.Esophagus.3	2	TRUE
C.PH.Esophagus.4	16	TRUE
C.PH.Esophagus.5	9	TRUE
C.PH.Esophagus.6	3	TRUE
C.PH.Esophagus.7	23	TRUE
C.PH.Esophagus.8	95	TRUE
C.PH.Esophagus.9	101	TRUE
C.PH.Esophagus.10	127	FALSE
C.PH.Esophagus.11	128	FALSE
C.PH.Head.1	23	TRUE
C.PH.Head.2	2	TRUE
C.PH.Head.3	21	TRUE
C.PH.Head.4	10	TRUE
C.PH.Head.5	19	TRUE
C.PH.Head.6	16	TRUE
C.PH.Head.7	20	TRUE
C.PH.Head.8	54	TRUE
C.PH.Head.9	34	TRUE
C.PH.Head.10	102	TRUE
C.PH.Kidney.1	23	TRUE
C.PH.Kidney.2	1	TRUE
C.PH.Kidney.3	11	TRUE
C.PH.Kidney.4	82	TRUE
C.PH.Kidney.5	103	FALSE
C.PH.Kidney.6	34	TRUE
C.PH.Kidney.7	10	TRUE
C.PH.Kidney.8	122	TRUE
C.PH.Liver.1	16	TRUE
C.PH.Liver.2	64	TRUE
C.PH.Liver.3	36	TRUE
C.PH.Liver.4	1	TRUE
C.PH.Liver.5	23	TRUE
C.PH.Liver.6	21	TRUE
C.PH.Liver.7	87	TRUE
C.PH.Liver.8	92	TRUE
C.PH.Liver.9	90	TRUE
C.PH.Liver.10	129	FALSE
C.PH.Lung.1	2	TRUE
C.PH.Lung.2	28	TRUE
C.PH.Lung.3	4	TRUE
C.PH.Lung.4	1	TRUE
C.PH.Lung.5	39	TRUE
C.PH.Lung.6	23	TRUE
C.PH.Lung.7	3	TRUE
C.PH.Lung.8	20	TRUE
C.PH.Lung.9	16	TRUE
C.PH.Lung.10	21	TRUE
C.PH.Lung.11	42	TRUE
C.PH.Lung.12	85	FALSE
C.PH.Lung.13	13	TRUE
C.PH.Lung.14	6	TRUE
C.PH.Lung.15	65	FALSE
C.PH.Lung.16	130	FALSE
C.PH.Lymphoid.1	87	TRUE
C.PH.Lymphoid.2	62	TRUE
C.PH.Lymphoid.3	105	TRUE
C.PH.Lymphoid.4	66	TRUE
C.PH.Lymphoid.5	23	TRUE
C.PH.Lymphoid.6	5	TRUE
C.PH.MSI.1	1	TRUE
C.PH.MSI.2	66	TRUE
C.PH.MSI.3	26	TRUE
C.PH.MSI.4	86	TRUE
C.PH.MSI.5	9	TRUE
C.PH.MSI.6	16	TRUE
C.PH.MSI.7	20	TRUE
C.PH.MSI.8	81	TRUE
C.PH.MSI.9	5	TRUE
C.PH.MSI.10	78	TRUE
C.PH.MSI.11	3	TRUE
C.PH.MSI.12	2	TRUE
C.PH.MSI.13	27	TRUE
C.PH.MSI.14	79	TRUE
C.PH.MSI.15	42	TRUE
C.PH.MSI.16	67	FALSE
C.PH.MSI.17	99	TRUE
C.PH.MSI.18	123	TRUE
C.PH.MSI.19	87	TRUE
