Samples	ID83A	ID83B
SP10470	6.38E-01	6.38E-01
SP9648	8.95E-01	8.96E-01
SP4535	5.35E-01	5.35E-01
SP11808	1.39E+00	1.39E+00
SP96163	6.16E-01	6.16E-01
SP11948	5.70E-01	5.70E-01
SP4557	8.51E-01	8.51E-01
SP96147	7.57E-01	7.56E-01
SP10150	1.50E+00	1.50E+00
SP4472	6.77E-01	6.77E-01
SP6813	1.27E+00	1.27E+00
SP96511	8.19E-01	8.19E-01
SP5636	1.13E+00	1.13E+00
SP5559	9.05E-01	9.05E-01
SP3631	7.14E-01	7.14E-01
SP5473	1.22E+00	1.22E+00
SP8394	8.84E-01	8.85E-01
SP6115	1.05E+00	1.05E+00
SP7291	1.13E+00	1.13E+00
SP2997	6.43E-01	6.43E-01
SP8831	1.35E+00	1.35E+00
SP2731	8.78E-01	8.76E-01
SP6223	7.51E-01	7.51E-01
SP7171	9.08E-01	9.08E-01
SP10563	1.02E+00	1.02E+00
SP8987	1.04E+00	1.04E+00
SP5980	7.98E-01	7.98E-01
SP12186	1.06E+00	1.06E+00
SP10944	1.26E+00	1.26E+00
SP2766	7.46E-01	7.46E-01
SP6673	1.18E+00	1.18E+00
SP117698	8.81E-01	8.81E-01
SP124201	5.74E-01	5.74E-01
SP2143	3.60E-01	3.60E-01
SP124191	6.98E-01	6.98E-01
SP117247	5.38E-01	5.37E-01
SP117362	7.86E-01	7.86E-01
SP117470	6.54E-01	6.54E-01
SP117586	3.75E-01	3.75E-01
SP117709	6.29E-01	6.28E-01
SP2157	4.45E-01	4.45E-01
SP3368	1.42E+00	1.42E+00
SP5666	7.83E-01	7.84E-01
SP2781	7.46E-01	7.47E-01
SP8532	7.56E-01	7.56E-01
SP12856	6.40E-01	6.40E-01
SP7456	9.88E-01	9.88E-01
CPCT02100011T	7.28E-01	7.28E-01
CPCT02020314T	1.19E+00	1.19E+00
CPCT02080016T	1.21E+00	1.21E+00
CPCT02010359T	1.54E+00	1.54E+00
CPCT02020322T	1.05E+00	1.05E+00
CPCT02010351T	1.47E+00	1.47E+00
CPCT02110004T	8.58E-01	8.57E-01
CPCT02040031T	1.81E+00	1.81E+00
CPCT02020341T	8.43E-01	8.43E-01
CPCT02080025T	1.21E+00	1.21E+00
CPCT02080022T	5.35E-01	5.35E-01
CPCT02100017T	1.88E+00	1.88E+00
CPCT02100021T	1.44E+00	1.44E+00
CPCT02020345T	7.87E-01	7.87E-01
CPCT02020344T	1.06E+00	1.07E+00
CPCT02020347T	1.48E+00	1.48E+00
CPCT02100020T	9.95E-01	9.95E-01
CPCT02100024T	1.42E+00	1.42E+00
CPCT02100023T	1.09E+00	1.09E+00
CPCT02080027T	1.18E+00	1.18E+00
CPCT02160001T	1.15E+00	1.15E+00
CPCT02160003T	2.60E+00	2.60E+00
CPCT02160004T	3.33E+00	3.33E+00
CPCT02030261T	1.38E+00	1.38E+00
CPCT02040035T	1.11E+00	1.11E+00
CPCT02160005T	9.19E-01	9.19E-01
CPCT02100027T	1.15E+00	1.15E+00
CPCT02010401T	8.67E-01	8.67E-01
CPCT02030265T	1.03E+00	1.03E+00
CPCT02080031T	3.83E-01	3.83E-01
CPCT02030264T	4.64E-01	4.63E-01
CPCT02100028T	1.06E+00	1.06E+00
CPCT02100029T	1.11E+00	1.11E+00
CPCT02020371T	9.67E-01	9.67E-01
CPCT02020369T	1.24E+00	1.24E+00
CPCT02040036T	1.02E+00	1.02E+00
CPCT02080036T	1.52E+00	1.52E+00
CPCT02030271T	2.51E+00	2.51E+00
CPCT02020377T	7.20E-01	7.20E-01
CPCT02030274T	1.31E+00	1.31E+00
CPCT02010419T	1.40E+00	1.40E+00
CPCT02050053T	2.37E+00	2.37E+00
CPCT02050060T	1.92E+00	1.92E+00
CPCT02030276T	1.09E+00	1.09E+00
CPCT02020382T	1.05E+00	1.05E+00
CPCT02020385T	2.50E+00	2.50E+00
CPCT02190002T	1.04E+00	1.04E+00
CPCT02080039T	1.27E+00	1.27E+00
CPCT02040047T	2.87E+00	2.86E+00
CPCT02080047T	1.57E+00	1.57E+00
CPCT02010422T	1.32E+00	1.32E+00
CPCT02060011T	1.49E+00	1.49E+00
CPCT02010434T	1.36E+00	1.36E+00
CPCT02080049T	2.23E+00	2.23E+00
CPCT02020401T	2.55E+00	2.55E+00
CPCT02160008T	5.61E-01	5.61E-01
CPCT02040055T	1.36E+00	1.36E+00
CPCT02160012T	1.45E+00	1.45E+00
CPCT02030289T	3.98E+00	3.98E+00
CPCT02050071T	1.22E+00	1.22E+00
CPCT02050074T	1.04E+00	1.04E+00
CPCT02050082T	9.56E-01	9.56E-01
CPCT02080053T	6.57E-01	6.59E-01
CPCT02300001T	1.25E+00	1.25E+00
CPCT02010382TII	7.18E-01	7.18E-01
CPCT02340049T	1.83E+00	1.83E+00
CPCT02160058T	1.49E+00	1.49E+00
CPCT02010720T	5.01E-01	5.00E-01
CPCT02470003T	1.04E+00	1.04E+00
CPCT02210076T	1.93E+00	1.93E+00
CPCT02120087T	1.36E+00	1.36E+00
CPCT02030447T	8.76E-01	8.76E-01
CPCT02011013T	1.13E+00	1.13E+00
DRUP01120002T	2.20E+00	2.20E+00
CPCT02230120T	1.19E+00	1.19E+00
CPCT02070424T	2.15E+00	2.15E+00
CPCT02011030T	1.35E+00	1.35E+00
CPCT02180050T	1.40E+00	1.40E+00
CPCT02460005T	7.36E-01	7.36E-01
CPCT02030448T	1.03E+00	1.03E+00
CPCT02010726T	7.57E-01	7.57E-01
CPCT02380034T	7.14E-01	7.15E-01
CPCT02080285T	9.47E-01	9.47E-01
CPCT02030337TII	1.39E+00	1.39E+00
CPCT02380035T	4.17E+00	4.17E+00
CPCT02010721T	1.06E+00	1.06E+00
CPCT02440021T	1.28E+00	1.28E+00
CPCT02080288T	9.01E-01	9.01E-01
CPCT02120179T	7.75E-01	7.74E-01
CPCT02060279T	1.06E+00	1.06E+00
CPCT02020898T	7.71E-01	7.71E-01
CPCT02040307T	1.62E+00	1.62E+00
DRUP01110007T	1.18E+00	1.18E+00
CPCT02080290T	1.09E+00	1.09E+00
CPCT02020664T	1.15E+00	1.15E+00
CPCT02210039T	1.59E+00	1.59E+00
CPCT02390038T	1.91E+00	1.91E+00
CPCT02150040T	3.04E+00	3.04E+00
CPCT02010708T	1.20E+00	1.20E+00
CPCT02140044T	1.92E+00	1.92E+00
CPCT02110050T	9.57E-01	9.59E-01
CPCT02080183T	8.51E-01	8.51E-01
CPCT02100195T	1.09E+00	1.09E+00
DRUP01010065T	1.17E+00	1.17E+00
CPCT02080184T	9.26E-01	9.26E-01
CPCT02090034T	1.94E+00	1.94E+00
CPCT02230124T	1.74E+00	1.74E+00
CPCT02030451T	8.48E-01	8.48E-01
CPCT02310006T	9.62E-01	9.63E-01
DRUP01050018T	2.63E+00	2.63E+00
CPCT02340066TIII	1.62E+00	1.62E+00
CPCT02390010T	7.77E-01	7.79E-01
CPCT02120099T	1.06E+00	1.06E+00
CPCT02390040T	1.66E+00	1.66E+00
CPCT02460001T	1.62E+00	1.62E+00
CPCT02200005T	9.75E-01	9.75E-01
CPCT02320008T	1.50E+00	1.50E+00
DRUP01220006T	1.15E+00	1.15E+00
CPCT02300032T	1.92E+00	1.92E+00
CPCT02380037T	8.12E-01	8.14E-01
CPCT02330076T	6.38E+00	6.38E+00
CPCT02011058T	2.34E+00	2.34E+00
CPCT02080296T	1.33E+00	1.33E+00
CPCT02150046T	3.20E+00	3.20E+00
CPCT02230126T	7.05E-01	7.05E-01
CPCT02180052T	7.31E-01	7.29E-01
CPCT02180053T	2.37E+00	2.37E+00
CPCT02340110T	1.20E+00	1.20E+00
CPCT02230125T	8.91E-01	8.91E-01
CPCT02390015T	1.96E+00	1.96E+00
CPCT02380036T	1.56E+00	1.56E+00
CPCT02050309T	8.96E-01	8.96E-01
CPCT02110056T	1.16E+00	1.16E+00
CPCT02390001TII	1.98E+00	1.98E+00
CPCT02160037T	1.55E+00	1.55E+00
CPCT02120183T	1.59E+00	1.59E+00
CPCT02110057T	9.31E-01	9.32E-01
CPCT02040321T	1.08E+00	1.08E+00
CPCT02040323T	9.59E-01	9.59E-01
DRUP01050019T	7.18E-01	7.18E-01
CPCT02050431T	1.04E+00	1.05E+00
CPCT02110079T	1.25E+00	1.25E+00
CPCT02380052T	1.92E+00	1.92E+00
CPCT02340066T	1.51E+00	1.51E+00
CPCT02340060T	1.14E+00	1.14E+00
CPCT02180057T	1.75E+00	1.75E+00
CPCT02340058T	1.23E+00	1.23E+00
CPCT02011073T	9.04E-01	9.04E-01
CPCT02210082T	1.00E+00	1.00E+00
CPCT02410017T	3.66E+00	3.66E+00
CPCT02110080T	9.27E-01	9.27E-01
CPCT02080196T	7.50E-01	7.52E-01
CPCT02020666T	8.93E-01	8.93E-01
CPCT02310004T	2.79E+00	2.79E+00
CPCT02060197T	2.20E+00	2.20E+00
CPCT02380039T	2.00E+00	2.00E+00
DRUP01220001T	1.82E+00	1.82E+00
CPCT02260028T	1.22E+00	1.22E+00
CPCT02010731T	2.07E+00	2.07E+00
WIDE01010011T	1.18E+00	1.18E+00
CPCT02060285T	3.94E-01	3.94E-01
CPCT02350021T	2.11E+00	2.11E+00
CPCT02080300T	8.62E-01	8.65E-01
CPCT02040219T	1.06E+00	1.06E+00
DRUP01060008T	1.15E+00	1.15E+00
CPCT02320009T	6.11E-01	6.11E-01
CPCT02210051T	1.05E+00	1.05E+00
CPCT02340112T	1.00E+00	1.00E+00
CPCT02390043T	1.15E+00	1.15E+00
CPCT02200007T	1.53E+00	1.53E+00
CPCT02120108T	2.36E+00	2.36E+00
CPCT02020946T	1.04E+00	1.04E+00
CPCT02030463T	5.69E-01	5.69E-01
WIDE01010018T	8.51E-01	8.51E-01
CPCT02040331T	8.09E-01	8.06E-01
CPCT02010765T	1.56E+00	1.56E+00
CPCT02040325T	1.36E+00	1.36E+00
CPCT02240011T	1.37E+00	1.37E+00
CPCT02050434T	8.11E-01	8.11E-01
CPCT02160039T	9.05E-01	9.05E-01
CPCT02150051T	1.07E+00	1.07E+00
CPCT02390021T	1.16E+00	1.16E+00
CPCT02080200T	4.43E+00	4.43E+00
CPCT02010772T	1.18E+00	1.18E+00
CPCT02210044T	1.19E+00	1.19E+00
CPCT02320010T	1.22E+00	1.22E+00
CPCT02040337T	6.88E-01	6.88E-01
CPCT02270021T	9.17E-01	9.15E-01
CPCT02010768T	1.14E+00	1.14E+00
CPCT02020966T	6.90E-01	6.90E-01
CPCT02110049T	1.93E+00	1.93E+00
CPCT02040329T	1.90E+00	1.90E+00
CPCT02340066TIV	1.48E+00	1.48E+00
CPCT02340071T	6.59E-01	6.59E-01
CPCT02030464T	2.55E+00	2.55E+00
CPCT02360012T	1.27E+00	1.27E+00
CPCT02080312T	8.39E-01	8.39E-01
CPCT02260029T	1.66E+00	1.66E+00
WIDE01010072T	1.58E+00	1.58E+00
CPCT02110063T	1.31E+00	1.31E+00
CPCT02020969T	9.22E-01	9.22E-01
WIDE01010069T	5.09E+00	5.09E+00
WIDE01010067T	1.39E+00	1.39E+00
WIDE01010076T	1.06E+00	1.06E+00
WIDE01010074T	1.79E+00	1.79E+00
CPCT02040071TII	1.37E+00	1.37E+00
CPCT02020680T	6.32E+00	6.32E+00
CPCT02020685T	2.58E+00	2.58E+00
CPCT02020693T	1.07E+00	1.07E+00
CPCT02010773T	2.43E+00	2.43E+00
CPCT02290030T	7.33E-01	7.33E-01
CPCT02020688T	1.56E+00	1.56E+00
CPCT02050337T	1.75E+00	1.75E+00
CPCT02050338T	6.99E-01	6.99E-01
WIDE01010124T	1.15E+00	1.15E+00
CPCT02230089T	1.05E+00	1.05E+00
CPCT02230120TII	1.58E+00	1.58E+00
CPCT02050333T	8.70E-01	8.68E-01
CPCT02020692T	1.49E+00	1.49E+00
WIDE01010135T	7.95E-01	7.94E-01
CPCT02230095T	9.52E-01	9.52E-01
CPCT02060289T	2.17E+00	2.17E+00
CPCT02140085TII	1.65E+00	1.65E+00
CPCT02160042T	6.17E-01	6.17E-01
CPCT02230128T	1.16E+00	1.16E+00
WIDE01010142T	9.50E-01	9.51E-01
WIDE01010185T	1.39E+00	1.39E+00
CPCT02180049T	9.62E-01	9.61E-01
CPCT02010791T	1.50E+00	1.50E+00
CPCT02120114T	1.41E+00	1.41E+00
CPCT02120117T	1.39E+00	1.39E+00
CPCT02220041T	1.01E+00	1.01E+00
CPCT02120121T	1.21E+00	1.21E+00
CPCT02160041T	1.22E+00	1.22E+00
WIDE01010093TII	9.37E-01	9.37E-01
WIDE01010173T	4.91E-01	4.91E-01
CPCT02250007T	8.33E-01	8.33E-01
CPCT02020597TIII	1.53E+00	1.53E+00
WIDE01010171T	1.08E+00	1.08E+00
WIDE01010162T	1.21E+00	1.21E+00
CPCT02050299T	5.79E-01	5.79E-01
CPCT02080029TII	1.44E+00	1.44E+00
WIDE01010207T	1.41E+00	1.41E+00
CPCT02030472T	1.18E+00	1.18E+00
CPCT02100164T	1.20E+00	1.21E+00
CPCT02100170T	1.30E+00	1.30E+00
WIDE01010174T	1.09E+00	1.09E+00
WIDE01010183T	1.01E+00	1.01E+00
WIDE01010212T	1.58E+00	1.58E+00
WIDE01010274T	1.50E+00	1.50E+00
CPCT02410004T	9.86E-01	9.86E-01
WIDE01010235T	1.52E+00	1.52E+00
WIDE01010231T	9.29E-01	9.29E-01
CPCT02370024T	1.03E+00	1.03E+00
CPCT02140091TII	5.67E+00	5.67E+00
CPCT02360015T	1.07E+00	1.07E+00
WIDE01010240T	8.06E-01	8.06E-01
CPCT02040230T	1.15E+00	1.15E+00
CPCT02320003T	1.19E+00	1.19E+00
WIDE01010248T	9.68E-01	9.70E-01
CPCT02010790T	1.19E+00	1.19E+00
CPCT02040235T	1.77E+00	1.77E+00
CPCT02080216T	1.09E+00	1.09E+00
CPCT02160047T	1.50E+00	1.50E+00
CPCT02270006T	1.80E+00	1.80E+00
CPCT02210053T	8.65E-01	8.65E-01
CPCT02360016T	1.01E+00	1.01E+00
WIDE01010270T	8.31E-01	8.31E-01
CPCT02060221T	9.68E-01	9.68E-01
WIDE01010288T	1.86E+00	1.86E+00
CPCT02270030T	7.67E-01	7.67E-01
CPCT02310011T	1.21E+00	1.22E+00
WIDE01010311T	1.54E+00	1.54E+00
CPCT02120001T	1.28E+00	1.28E+00
WIDE01010322T	1.35E+00	1.35E+00
CPCT02290035T	1.84E+00	1.84E+00
WIDE01010326T	8.52E-01	8.51E-01
CPCT02270028T	1.84E+00	1.84E+00
CPCT02030478T	1.63E+00	1.63E+00
WIDE01010308T	1.11E+00	1.11E+00
WIDE01010268T	1.19E+00	1.19E+00
CPCT02060214T	1.43E+00	1.43E+00
WIDE01010335T	1.65E+00	1.65E+00
CPCT02360017T	7.36E-01	7.36E-01
WIDE01010303T	1.24E+00	1.24E+00
CPCT02220044T	1.27E+00	1.27E+00
CPCT02120047TII	1.82E+00	1.82E+00
WIDE01010339T	1.62E+00	1.62E+00
WIDE01010352T	2.50E+00	2.50E+00
WIDE01010346T	9.82E-01	9.82E-01
CPCT02010824T	1.52E+00	1.52E+00
WIDE01010341T	2.10E+00	2.10E+00
WIDE01010332T	1.65E+00	1.65E+00
CPCT02360018T	1.56E+00	1.56E+00
CPCT02330104T	6.39E-01	6.38E-01
CPCT02050359T	1.10E+00	1.10E+00
CPCT02370025T	6.94E-01	6.94E-01
WIDE01010131T	1.78E+00	1.78E+00
WIDE01010371T	2.81E+00	2.81E+00
CPCT02020719T	1.74E+00	1.74E+00
WIDE01010400T	8.41E-01	8.41E-01
CPCT02010825T	5.61E-01	5.60E-01
CPCT02010359TII	1.85E+00	1.85E+00
WIDE01010405T	1.51E+00	1.51E+00
WIDE01010388T	2.23E+00	2.23E+00
DRUP01330020T	9.04E+00	9.03E+00
CPCT02230099T	1.77E+00	1.77E+00
CPCT02110069T	1.11E+00	1.11E+00
WIDE01010410T	1.19E+00	1.19E+00
CPCT02020721T	1.32E+00	1.32E+00
CPCT02230101T	1.39E+00	1.39E+00
WIDE01010418T	4.69E-01	4.69E-01
CPCT02300040T	1.20E+00	1.20E+00
