Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP135192	2.00E-02	8.47E-02	0.00E+00	2.00E-02	3.43E-02	9.10E-02	0.00E+00	2.00E-02
SP135335	3.96E-01	4.70E-01	0.00E+00	5.14E-01	6.45E-01	8.62E-01	3.01E-01	2.76E-01
SP135278	2.26E-01	1.83E-01	1.80E-01	2.36E-01	1.00E-02	3.62E-01	0.00E+00	3.11E-01
SP135287	7.64E+02	7.68E+02	1.43E+01	6.24E+01	3.00E-02	5.50E-01	1.38E+00	4.06E-01
SP135345	1.48E+00	2.54E+00	9.10E-01	1.84E+00	1.67E+00	2.85E+00	6.73E-01	6.90E-01
SP85122	1.22E+03	1.22E+03	2.28E+01	8.96E+01	2.49E+00	2.40E+00	3.67E+00	2.13E+00
SP84384	1.66E+03	1.67E+03	3.50E+01	2.58E+01	2.61E+00	1.99E+01	1.51E+00	2.14E+00
SP135184	5.00E-02	9.17E-02	0.00E+00	0.00E+00	8.65E-02	2.40E-01	8.57E-02	1.91E-01
SP135226	1.16E+00	1.38E+00	1.28E-01	1.44E+00	6.38E-01	1.50E+00	0.00E+00	4.89E-01
SP135436	5.44E+00	7.32E+00	1.64E+00	5.54E+00	2.19E+00	4.05E+00	1.10E+00	9.94E-01
SP135262	6.15E-01	6.38E-01	2.76E-01	1.15E+00	2.85E-01	1.13E+00	5.97E-01	3.21E-01
SP135431	6.96E+00	1.01E+01	1.24E+00	8.16E+00	1.46E+00	4.08E+00	2.24E+00	1.14E+00
SP135425	3.47E+00	5.10E+00	8.82E-01	3.18E+00	2.76E+00	5.16E+00	1.80E+00	1.28E+00
SP135222	2.45E+00	2.80E+00	1.16E+00	3.36E+00	4.40E-01	1.77E+00	5.43E-01	6.49E-01
SP135230	1.76E+00	1.90E+00	8.72E-01	1.64E+00	7.30E-01	1.79E+00	5.05E-01	5.02E-01
SP135205	1.12E+00	1.36E+00	5.60E-01	9.04E-01	1.87E-01	7.51E-01	0.00E+00	2.56E-01
SP135180	5.00E-02	2.23E-02	9.02E-02	0.00E+00	1.65E-01	1.87E-01	1.19E-01	0.00E+00
SP135213	1.53E+00	1.67E+00	6.11E-01	1.56E+00	4.70E-01	1.59E+00	4.51E-01	1.28E+00
SP135217	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00	1.00E-02
SP135405	3.20E+00	4.74E+00	1.50E+00	3.68E+00	1.56E+00	3.37E+00	7.57E-01	1.35E+00
SP135238	1.63E-01	1.56E-01	1.72E-01	0.00E+00	4.08E-02	1.74E-01	1.34E-01	0.00E+00
SP135270	2.72E+00	3.69E+00	1.39E+00	3.70E+00	8.97E-01	2.80E+00	7.26E-01	1.97E+00
SP135411	2.22E+00	3.00E+00	9.59E-01	1.75E+00	9.71E-01	2.16E+00	0.00E+00	5.19E-01
SP135188	1.17E+00	1.62E+00	3.83E-01	1.09E+00	1.12E+00	1.84E+00	1.53E+00	6.27E-01
SP135194	1.73E+00	2.37E+00	1.01E-01	2.03E+00	1.06E+00	2.03E+00	3.92E-01	5.03E-01
SP135186	1.84E+00	3.06E+00	9.00E-02	2.21E+00	1.09E+00	3.20E+00	6.41E-01	1.00E+00
SP135420	2.89E+00	4.30E+00	1.18E+00	2.73E+00	1.43E+00	3.99E+00	1.10E+00	9.26E-01
SP135258	5.88E-01	8.53E-01	2.66E-01	7.74E-01	1.90E-01	6.16E-01	1.45E-01	3.64E-01
SP135234	4.26E+00	5.81E+00	1.55E+00	4.04E+00	2.56E+00	4.70E+00	1.91E+00	1.30E+00
SP135293	0.00E+00	4.00E-02	3.00E-02	0.00E+00	1.47E-01	1.26E-01	0.00E+00	1.38E-01
SP135393	2.13E+00	2.04E+00	1.25E+00	2.53E+00	1.25E+00	2.88E+00	2.85E+00	7.30E-01
SP135299	2.44E+00	3.61E+00	1.12E+00	3.01E+00	2.16E+00	4.10E+00	2.26E+00	1.18E+00
SP135415	9.20E-01	1.45E+00	4.15E-01	1.43E+00	9.00E-01	1.64E+00	4.65E-01	5.97E-01
SP135310	0.00E+00	1.00E-02	0.00E+00	0.00E+00	1.97E-02	2.73E-02	0.00E+00	1.71E-02
SP135323	5.16E-01	9.91E-01	2.64E-01	3.63E-01	1.65E+00	2.05E+00	0.00E+00	6.76E-01
SP135390	3.24E-01	3.21E-01	0.00E+00	4.50E-01	1.93E-01	5.05E-01	2.79E-01	3.32E-01
SP135209	5.56E-01	7.12E-01	1.21E-01	6.25E-01	3.81E-01	7.26E-01	6.27E-01	0.00E+00
SP135240	3.19E+00	3.83E+00	6.47E-01	3.47E+00	1.68E+00	3.16E+00	6.76E-01	1.09E+00
SP135182	1.09E+01	1.32E+01	2.78E+00	9.10E+00	3.80E+00	8.56E+00	1.88E+00	1.46E+00
SP85251	1.10E+00	1.68E+00	9.71E-01	2.72E+00	1.24E+00	2.51E+00	0.00E+00	7.25E-01
SP84408	1.22E+00	1.55E+00	7.71E-01	1.75E+00	1.37E+00	2.25E+00	1.14E+00	5.26E-01
SP84491	1.12E+01	1.85E+01	3.23E+00	8.96E+00	7.26E+00	1.36E+01	6.62E+00	2.81E+00
SP84743	1.32E+01	9.08E+00	3.12E+00	8.32E+00	2.46E+00	7.21E+00	1.84E+01	2.21E+00
SP83967	2.34E+00	2.72E+00	1.02E+00	2.23E+00	7.54E-01	2.36E+00	4.69E-01	8.15E-01
SP105253	7.50E+00	1.15E+01	2.46E+00	9.11E+00	2.61E+00	5.27E+00	3.78E+00	1.14E+00
SP84998	4.25E+00	5.94E+00	7.12E-01	4.31E+00	1.25E+00	3.09E+00	2.43E-01	7.06E-01
SP84062	3.22E-01	1.15E+00	7.49E-01	1.56E+00	1.43E+00	1.90E+00	3.08E-01	5.65E-01
SP84982	7.15E+02	7.17E+02	1.54E+00	1.14E+01	1.84E+00	6.46E+00	3.62E+00	1.40E+00
SP84790	3.89E+00	5.66E+00	1.50E+00	4.58E+00	2.71E+00	6.01E+00	4.03E+00	8.90E-01
SP105673	2.60E+00	3.33E+00	1.23E+00	2.94E+00	1.29E+00	3.65E+00	8.93E-01	4.84E+00
SP85339	7.90E+00	1.16E+01	1.22E+00	8.52E+00	1.73E+00	3.81E+00	1.24E+00	1.04E+00
SP84719	1.08E+01	1.11E+01	1.79E+00	3.03E+00	1.41E+00	2.42E+00	1.12E+00	9.25E-01
SP105425	6.89E+00	9.10E+00	1.84E+00	6.93E+00	2.27E+00	4.50E+00	2.11E+00	1.10E+00
SP84056	3.99E+00	5.39E+00	2.28E+00	4.69E+00	2.27E+00	4.37E+00	1.65E+00	2.34E+00
SP105261	2.03E+00	2.78E+00	1.05E+00	2.08E+00	1.18E+00	2.50E+00	1.03E+00	1.12E+00
SP85379	6.10E+00	1.11E+01	1.81E+00	7.28E+00	2.96E+00	5.98E+00	4.28E+00	1.28E+00
SP105086	4.05E+00	7.22E+00	2.22E+00	5.74E+00	3.32E+00	7.23E+00	8.51E-01	2.19E+00
SP84392	1.47E+03	1.48E+03	2.03E+01	6.49E+01	1.97E+00	1.80E-01	3.07E+00	1.89E+00
SP105018	7.03E+00	6.02E+00	1.95E+00	8.37E+00	2.99E+00	7.32E+00	4.90E+00	1.42E+01
SP84858	6.21E+00	8.82E+00	1.73E+00	6.55E+00	2.15E+00	6.08E+00	1.90E+00	2.36E+00
SP84086	6.82E-01	2.64E+00	1.08E+00	2.92E+00	2.09E+00	2.65E+00	7.32E-01	1.31E+00
SP105213	2.83E+00	3.71E+00	9.08E-01	3.36E+00	1.99E+00	4.31E+00	9.20E-01	1.45E+00
SP105577	2.97E+00	3.79E+00	1.26E+00	2.83E+00	1.39E+00	3.07E+00	8.54E-01	1.09E+00
SP85431	1.49E+00	2.57E+00	7.11E-01	2.26E+00	1.72E+00	3.16E+00	0.00E+00	1.16E+00
