MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.18E-05	3.53E-04	3.17E-04	1.29E-05	8.47E-04	4.36E-05	2.56E-05	1.56E-04	4.08E-04
1:Del:C:1	1.12E-05	3.90E-05	1.24E-04	4.77E-06	4.71E-04	3.99E-05	1.38E-05	2.04E-04	2.15E-04
1:Del:C:2	1.21E-05	3.22E-05	7.75E-05	2.79E-06	2.12E-04	3.51E-05	1.08E-05	1.87E-04	1.44E-04
1:Del:C:3	3.00E-05	1.17E-04	2.60E-04	3.73E-06	6.03E-04	7.91E-05	8.12E-06	9.20E-05	8.26E-05
1:Del:C:4	8.91E-05	3.84E-04	7.88E-04	5.32E-06	1.85E-03	8.15E-05	1.46E-05	1.01E-04	3.57E-05
1:Del:C:5	1.65E-04	1.47E-03	1.32E-03	2.72E-05	5.27E-03	8.57E-05	1.14E-04	1.63E-04	5.62E-05
1:Del:T:0	6.43E-06	1.59E-04	1.63E-04	6.62E-06	5.46E-04	8.66E-06	1.67E-05	6.90E-05	3.16E-04
1:Del:T:1	9.24E-06	4.36E-05	3.61E-05	2.88E-07	4.35E-04	4.87E-05	8.54E-06	8.08E-05	3.91E-04
1:Del:T:2	3.02E-05	7.52E-05	1.39E-04	3.01E-05	4.91E-04	4.51E-04	1.14E-05	7.15E-05	4.36E-04
1:Del:T:3	9.19E-05	3.93E-04	2.17E-04	7.47E-05	5.07E-04	1.16E-03	1.84E-05	1.24E-04	3.49E-04
1:Del:T:4	1.76E-04	1.29E-03	9.84E-04	1.14E-04	4.61E-04	1.83E-03	1.03E-04	1.97E-04	5.47E-04
1:Del:T:5	7.61E-04	9.30E-03	5.47E-03	5.42E-04	1.10E-02	4.09E-03	3.37E-03	1.79E-04	2.53E-03
1:Ins:C:0	1.99E-05	2.03E-05	3.51E-05	8.19E-05	6.85E-05	1.89E-04	4.04E-05	7.26E-05	2.63E-03
1:Ins:C:1	2.16E-06	1.34E-05	2.34E-05	4.93E-06	3.79E-05	4.26E-06	2.51E-05	3.07E-05	7.03E-05
1:Ins:C:2	2.34E-06	3.05E-06	1.22E-05	3.68E-06	2.15E-05	1.10E-05	1.57E-05	2.79E-05	3.67E-05
1:Ins:C:3	4.66E-06	2.29E-06	1.22E-05	6.34E-06	8.77E-05	1.66E-05	2.71E-05	3.10E-05	4.64E-05
1:Ins:C:4	2.07E-05	3.04E-05	4.12E-05	0.00E+00	1.41E-04	3.68E-05	1.40E-03	3.08E-05	1.85E-05
1:Ins:C:5	9.58E-05	2.12E-04	4.13E-04	1.46E-04	3.25E-04	3.16E-05	1.55E-03	3.28E-05	1.42E-04
