MutationType	ID83A	ID83B	ID83C
1:Del:C:0	3.76E-05	8.55E-05	2.04E-04
1:Del:C:1	3.83E-06	5.40E-05	2.61E-04
1:Del:C:2	1.16E-05	3.00E-05	2.22E-04
1:Del:C:3	1.94E-05	2.75E-05	9.50E-05
1:Del:C:4	2.50E-05	0.00E+00	7.19E-05
1:Del:C:5	4.95E-05	0.00E+00	5.75E-05
1:Del:T:0	1.52E-05	6.24E-05	9.50E-05
1:Del:T:1	1.90E-05	5.64E-05	9.06E-05
1:Del:T:2	1.89E-05	4.49E-05	7.02E-05
1:Del:T:3	3.42E-05	5.14E-05	7.14E-05
1:Del:T:4	5.38E-05	3.83E-05	6.12E-05
1:Del:T:5	4.78E-04	1.16E-04	6.49E-04
1:Ins:C:0	6.10E-05	6.31E-05	4.66E-05
1:Ins:C:1	3.96E-06	2.51E-05	3.48E-05
1:Ins:C:2	3.82E-06	1.59E-05	2.98E-05
1:Ins:C:3	6.34E-06	1.66E-05	2.96E-05
1:Ins:C:4	1.35E-05	1.57E-05	3.26E-05
1:Ins:C:5	4.73E-05	3.48E-05	4.19E-05
1:Ins:T:0	2.24E-05	3.22E-05	5.26E-05
1:Ins:T:1	7.15E-06	5.02E-05	9.70E-05
1:Ins:T:2	1.67E-05	3.29E-05	1.04E-04
1:Ins:T:3	2.09E-05	2.79E-05	6.54E-05
1:Ins:T:4	2.34E-05	2.67E-05	4.04E-05
1:Ins:T:5	4.35E-04	3.35E-04	3.07E-04
2:Del:R:0	1.03E-05	4.16E-05	4.19E-05
2:Del:R:1	1.80E-05	5.14E-05	4.85E-05
2:Del:R:2	1.03E-05	2.74E-05	3.86E-05
2:Del:R:3	1.80E-05	1.90E-05	3.10E-05
2:Del:R:4	1.44E-05	1.26E-05	2.18E-05
2:Del:R:5	2.89E-05	2.39E-05	3.31E-05
3:Del:R:0	6.16E-06	2.26E-05	1.82E-05
3:Del:R:1	2.83E-05	3.55E-05	2.60E-05
3:Del:R:2	1.96E-05	1.58E-05	1.08E-05
3:Del:R:3	9.73E-06	8.14E-06	6.31E-06
3:Del:R:4	5.60E-06	7.63E-06	4.09E-06
3:Del:R:5	7.22E-06	7.96E-06	3.40E-06
4:Del:R:0	3.39E-06	2.13E-05	1.86E-05
4:Del:R:1	1.86E-05	2.95E-05	2.29E-05
4:Del:R:2	9.95E-06	1.75E-05	1.03E-05
4:Del:R:3	6.82E-06	1.11E-05	6.01E-06
4:Del:R:4	6.01E-06	7.16E-06	4.97E-06
4:Del:R:5	5.41E-06	6.13E-06	2.20E-07
5:Del:R:0	4.87E-06	8.10E-05	5.48E-05
5:Del:R:1	1.02E-05	2.62E-05	2.08E-05
5:Del:R:2	7.14E-06	1.13E-05	8.36E-06
5:Del:R:3	4.02E-06	6.40E-06	5.23E-06
5:Del:R:4	1.29E-06	3.20E-06	2.35E-06
5:Del:R:5	2.35E-06	1.87E-06	9.59E-07
2:Ins:R:0	2.00E-05	4.02E-05	4.15E-05
2:Ins:R:1	3.16E-06	2.70E-05	2.78E-05
2:Ins:R:2	6.57E-06	1.89E-05	1.49E-05
2:Ins:R:3	9.56E-06	1.38E-05	1.56E-05
2:Ins:R:4	1.97E-05	1.58E-05	1.39E-05
2:Ins:R:5	5.45E-05	4.08E-05	4.04E-05
3:Ins:R:0	8.62E-06	2.09E-05	1.82E-05
3:Ins:R:1	1.75E-06	2.07E-05	1.10E-05
3:Ins:R:2	1.99E-06	1.07E-05	5.81E-06
3:Ins:R:3	3.38E-06	3.42E-06	2.47E-06
3:Ins:R:4	6.98E-06	4.46E-06	3.52E-06
3:Ins:R:5	1.46E-05	1.12E-05	4.53E-06
4:Ins:R:0	1.90E-05	3.26E-05	3.66E-05
4:Ins:R:1	1.28E-06	2.15E-05	8.30E-06
4:Ins:R:2	4.93E-06	8.74E-06	4.60E-06
4:Ins:R:3	5.52E-06	6.32E-06	4.16E-06
4:Ins:R:4	1.15E-05	8.91E-06	3.58E-06
4:Ins:R:5	1.27E-05	1.10E-05	8.59E-07
5:Ins:R:0	1.82E-05	7.75E-05	6.97E-05
5:Ins:R:1	5.75E-06	3.80E-05	2.72E-05
5:Ins:R:2	7.41E-06	1.05E-05	6.34E-06
5:Ins:R:3	5.11E-06	6.52E-06	9.53E-07
5:Ins:R:4	5.18E-06	4.79E-06	3.77E-06
5:Ins:R:5	4.23E-06	4.28E-06	1.73E-06
2:Del:M:1	1.63E-05	4.62E-05	3.52E-05
3:Del:M:1	4.03E-06	2.16E-05	1.42E-05
3:Del:M:2	2.00E-05	2.93E-05	1.70E-05
4:Del:M:1	7.08E-06	2.10E-05	1.51E-05
4:Del:M:2	9.00E-06	2.44E-05	1.43E-05
4:Del:M:3	1.13E-05	3.00E-05	1.52E-05
5:Del:M:1	6.57E-06	6.52E-05	5.14E-05
5:Del:M:2	3.02E-06	5.82E-05	4.40E-05
5:Del:M:3	5.25E-06	4.70E-05	3.06E-05
5:Del:M:4	3.67E-06	2.67E-05	2.48E-05
5:Del:M:5	4.37E-06	3.06E-05	2.46E-05
