MutationType	ID83A	ID83B
1:Del:C:0	2.49E-06	1.82E-05
1:Del:C:1	4.12E-07	1.78E-05
1:Del:C:2	1.21E-06	1.64E-05
1:Del:C:3	2.79E-06	1.15E-05
1:Del:C:4	4.04E-06	1.02E-05
1:Del:C:5	6.56E-06	2.15E-05
1:Del:T:0	1.75E-06	1.12E-05
1:Del:T:1	1.68E-06	1.15E-05
1:Del:T:2	2.34E-06	1.19E-05
1:Del:T:3	4.65E-06	1.54E-05
1:Del:T:4	7.04E-06	2.51E-05
1:Del:T:5	3.74E-05	3.85E-04
1:Ins:C:0	1.08E-06	1.12E-05
1:Ins:C:1	5.61E-07	5.09E-06
1:Ins:C:2	4.54E-07	3.74E-06
1:Ins:C:3	9.66E-07	4.68E-06
1:Ins:C:4	2.06E-06	1.42E-05
1:Ins:C:5	4.08E-06	2.05E-05
1:Ins:T:0	1.37E-06	1.06E-05
1:Ins:T:1	7.16E-07	1.09E-05
1:Ins:T:2	2.18E-06	1.43E-05
1:Ins:T:3	1.48E-06	1.01E-05
1:Ins:T:4	2.50E-06	2.02E-05
1:Ins:T:5	2.73E-05	2.67E-04
2:Del:R:0	1.74E-06	5.85E-06
2:Del:R:1	2.04E-06	9.38E-06
2:Del:R:2	1.44E-06	5.96E-06
2:Del:R:3	3.66E-06	7.37E-06
2:Del:R:4	2.61E-06	4.57E-06
2:Del:R:5	4.24E-06	9.24E-06
3:Del:R:0	8.97E-07	2.54E-06
3:Del:R:1	1.67E-06	6.84E-06
3:Del:R:2	1.15E-06	3.29E-06
3:Del:R:3	6.63E-07	1.47E-06
3:Del:R:4	5.96E-07	8.75E-07
3:Del:R:5	9.33E-07	8.43E-07
4:Del:R:0	6.54E-07	2.64E-06
4:Del:R:1	1.29E-06	5.47E-06
4:Del:R:2	1.01E-06	2.98E-06
4:Del:R:3	8.70E-07	1.82E-06
4:Del:R:4	4.77E-07	1.22E-06
4:Del:R:5	7.69E-07	9.25E-07
5:Del:R:0	9.42E-07	6.69E-06
5:Del:R:1	8.38E-07	3.74E-06
5:Del:R:2	5.15E-07	1.87E-06
5:Del:R:3	4.75E-07	1.21E-06
5:Del:R:4	3.04E-07	6.47E-07
5:Del:R:5	2.39E-07	5.41E-07
2:Ins:R:0	1.61E-06	1.03E-05
2:Ins:R:1	7.03E-07	4.47E-06
2:Ins:R:2	7.87E-07	3.76E-06
2:Ins:R:3	1.26E-06	6.51E-06
2:Ins:R:4	2.37E-06	1.39E-05
2:Ins:R:5	4.71E-06	2.12E-05
3:Ins:R:0	8.41E-07	3.94E-06
3:Ins:R:1	4.09E-07	2.49E-06
3:Ins:R:2	3.80E-07	2.26E-06
3:Ins:R:3	3.18E-07	2.22E-06
3:Ins:R:4	5.01E-07	2.06E-06
3:Ins:R:5	1.19E-06	5.08E-06
4:Ins:R:0	1.33E-06	7.25E-06
4:Ins:R:1	5.36E-07	2.84E-06
4:Ins:R:2	5.08E-07	2.94E-06
4:Ins:R:3	6.42E-07	3.50E-06
4:Ins:R:4	6.92E-07	3.39E-06
4:Ins:R:5	7.08E-07	3.15E-06
5:Ins:R:0	2.63E-06	1.36E-05
5:Ins:R:1	8.47E-07	4.39E-06
5:Ins:R:2	5.12E-07	2.53E-06
5:Ins:R:3	3.26E-07	1.50E-06
5:Ins:R:4	2.84E-07	1.36E-06
5:Ins:R:5	1.81E-07	7.71E-07
2:Del:M:1	2.16E-06	9.42E-06
3:Del:M:1	7.20E-07	2.23E-06
3:Del:M:2	1.48E-06	5.12E-06
4:Del:M:1	1.14E-06	3.30E-06
4:Del:M:2	8.63E-07	3.36E-06
4:Del:M:3	1.06E-06	3.75E-06
5:Del:M:1	1.43E-06	8.18E-06
5:Del:M:2	6.21E-07	6.26E-06
5:Del:M:3	7.70E-07	5.80E-06
5:Del:M:4	5.93E-07	4.36E-06
5:Del:M:5	7.78E-07	5.01E-06
