MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
4:Del:R:0	1.39E-05	4.46E-05	2.68E-04	1.73E-04	1.08E-04	2.61E-04	1.62E-04	2.87E-04	2.83E-04	2.91E-04	2.04E-04
4:Del:R:1	4.14E-05	3.47E-04	5.14E-04	5.37E-05	8.20E-05	5.11E-04	2.95E-04	2.57E-04	3.44E-04	6.64E-04	2.30E-04
4:Del:R:2	2.44E-05	1.34E-04	1.80E-04	2.59E-05	6.98E-05	1.07E-04	8.30E-05	6.28E-05	2.10E-04	2.85E-04	7.31E-05
4:Del:R:3	2.16E-05	6.85E-05	1.32E-04	3.87E-06	2.16E-05	7.48E-05	9.37E-05	7.95E-05	1.50E-04	1.83E-04	3.42E-05
4:Del:R:4	9.71E-06	3.86E-05	8.38E-05	7.99E-06	2.22E-05	8.01E-05	2.43E-05	2.82E-05	1.08E-04	4.18E-05	1.47E-05
4:Del:R:5	2.48E-05	1.21E-05	1.51E-04	0.00E+00	5.45E-06	4.08E-05	2.76E-05	2.37E-05	2.91E-05	9.94E-05	2.10E-10
5:Del:R:0	1.40E-47	3.99E-04	5.40E-03	1.30E-03	2.07E-04	9.51E-04	1.94E-03	1.15E-03	4.22E-03	4.91E-04	2.25E-03
5:Del:R:1	1.85E-05	1.47E-04	9.01E-04	1.15E-04	5.00E-05	5.39E-04	2.74E-04	1.11E-04	5.83E-04	4.84E-04	2.53E-04
5:Del:R:2	1.12E-05	5.86E-05	1.40E-04	3.48E-05	3.44E-05	1.30E-04	4.82E-05	5.98E-05	1.78E-04	1.96E-04	6.25E-05
5:Del:R:3	8.04E-06	2.13E-05	6.29E-05	4.62E-06	1.26E-05	1.05E-05	0.00E+00	1.99E-05	3.33E-05	9.56E-05	3.08E-05
5:Del:R:4	4.62E-06	1.25E-05	1.76E-05	5.90E-11	1.28E-06	3.09E-06	2.09E-05	3.53E-06	6.02E-06	2.22E-05	3.13E-06
5:Del:R:5	3.07E-06	8.38E-06	4.13E-05	3.38E-10	1.43E-05	3.18E-10	7.08E-07	1.94E-05	8.78E-07	1.35E-05	1.20E-05
2:Ins:R:0	8.60E-05	3.78E-04	7.65E-04	4.92E-05	2.04E-04	1.37E-03	5.78E-04	1.87E-04	2.11E-03	4.73E-04	3.30E-04
2:Ins:R:1	1.44E-05	1.28E-04	1.12E-03	1.25E-04	1.47E-04	6.94E-04	1.78E-04	1.75E-04	7.35E-04	2.43E-04	5.44E-05
2:Ins:R:2	2.21E-05	8.43E-05	4.29E-04	5.98E-05	8.58E-05	2.95E-04	1.80E-04	1.68E-04	2.79E-04	9.56E-05	8.73E-05
2:Ins:R:3	3.63E-05	9.69E-05	2.38E-04	3.81E-05	5.66E-05	1.81E-04	6.63E-05	6.56E-05	2.16E-04	1.31E-04	3.68E-05
2:Ins:R:4	9.00E-05	2.88E-04	5.11E-04	4.80E-05	1.80E-05	1.89E-04	1.85E-04	1.03E-04	2.52E-04	1.94E-05	3.28E-05
2:Ins:R:5	2.92E-04	1.84E-03	2.02E-03	7.60E-05	1.02E-04	6.02E-04	4.23E-04	2.15E-04	1.43E-03	3.96E-04	1.84E-04
3:Ins:R:0	1.48E-05	1.48E-04	2.82E-04	9.63E-06	1.02E-04	4.57E-04	2.82E-04	4.77E-05	6.71E-04	1.99E-04	2.32E-04
3:Ins:R:1	8.75E-07	6.82E-05	1.15E-03	1.01E-04	9.95E-05	7.51E-04	1.58E-04	1.63E-04	7.69E-04	2.14E-04	8.62E-05
3:Ins:R:2	7.15E-06	4.79E-05	2.84E-04	5.58E-06	3.34E-05	2.25E-04	4.17E-05	3.03E-05	2.05E-04	3.44E-05	3.75E-05
3:Ins:R:3	5.29E-06	2.35E-05	3.51E-05	1.28E-05	3.99E-06	0.00E+00	3.38E-05	2.83E-10	2.27E-05	5.53E-05	2.43E-05
3:Ins:R:4	4.41E-06	1.94E-05	4.74E-05	1.70E-05	4.34E-06	2.07E-05	2.40E-05	3.75E-05	5.05E-05	0.00E+00	1.32E-05
3:Ins:R:5	3.87E-05	8.43E-05	2.22E-04	1.54E-05	1.83E-05	1.18E-04	3.30E-05	4.66E-10	1.73E-04	1.51E-04	3.34E-05
4:Ins:R:0	7.71E-05	2.67E-04	5.90E-04	6.27E-05	1.68E-04	8.78E-04	4.88E-04	1.24E-04	1.52E-03	2.83E-04	2.19E-04
4:Ins:R:1	6.88E-06	1.32E-04	1.47E-03	1.27E-04	1.21E-04	9.76E-04	1.01E-04	5.49E-05	1.03E-03	1.66E-04	5.33E-05
4:Ins:R:2	1.15E-05	4.10E-05	8.57E-05	5.94E-06	2.75E-05	9.54E-05	3.59E-05	2.90E-06	1.18E-04	0.00E+00	2.26E-05
