Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP111062	1.10E+01	6.27E+00	8.23E+00	5.70E-01	1.40E+00	1.25E+01	5.43E+00	7.84E-01	6.75E+00	1.24E+00	1.90E+00
SP111006	1.66E+01	1.28E+01	2.01E+01	8.34E+00	4.08E+00	2.13E+01	9.18E+00	8.15E-01	1.43E+01	1.89E+00	3.30E+00
SP110846	7.57E+00	4.45E+00	6.52E+00	2.54E-01	2.06E+00	9.18E+00	4.12E+00	3.25E-01	6.29E+00	1.24E+00	1.67E+00
SP111086	1.67E+01	7.31E+00	1.20E+01	9.56E+00	4.95E+00	1.97E+01	4.93E+00	9.44E-01	7.87E+00	2.28E+00	2.31E+00
SP111096	1.58E+01	5.32E+00	7.95E+00	1.21E+00	2.55E+00	1.73E+01	3.59E+00	5.54E-01	4.98E+00	1.22E+00	1.27E+00
SP111021	0.00E+00	0.00E+00	2.81E-02	0.00E+00	8.63E-02	0.00E+00	3.67E-02	0.00E+00	4.14E-02	0.00E+00	8.86E-02
SP111058	1.64E+01	1.08E+01	1.42E+01	1.11E+01	6.90E+00	1.99E+01	3.84E+00	1.07E+00	8.50E+00	2.08E+00	2.00E+00
SP111092	3.73E+01	7.57E+00	1.79E+01	2.19E+00	5.55E+00	4.26E+01	6.68E+00	1.42E+00	1.17E+01	5.78E+00	4.13E+00
SP111076	3.06E+01	9.10E+00	1.69E+01	1.75E+00	2.17E+00	3.27E+01	4.69E+00	5.96E-01	1.00E+01	1.27E+00	1.82E+00
SP111098	1.33E+01	6.71E+00	1.03E+01	2.34E+00	2.99E+00	1.63E+01	3.24E+00	1.18E+00	5.33E+00	1.22E+00	2.06E+00
SP111039	5.36E-01	1.91E+00	1.76E+00	2.00E-01	1.29E+00	8.79E-01	1.82E+00	5.20E-01	2.84E+00	5.49E-01	1.30E+00
SP111052	5.53E-01	7.56E-01	1.07E+00	6.04E-01	7.89E-01	7.94E-01	1.48E+00	4.46E-01	1.70E+00	6.51E-01	5.45E-01
SP111166	2.15E+01	1.52E+01	2.26E+01	3.51E+00	3.80E+00	2.60E+01	5.86E+00	3.68E-01	1.42E+01	1.62E+00	2.06E+00
SP111014	2.52E+00	1.89E+00	2.00E+00	4.66E-01	2.22E+00	2.64E+00	1.50E+00	0.00E+00	2.50E+00	5.41E-01	8.49E-01
SP111066	3.19E+01	1.24E+01	2.59E+01	5.44E+00	7.83E+00	3.91E+01	3.58E+00	8.14E-01	1.22E+01	1.57E+00	2.44E+00
SP111094	1.59E+01	7.34E+00	1.49E+01	4.31E+00	4.18E+00	1.73E+01	1.19E+01	3.96E-01	1.27E+01	1.88E+00	2.92E+00
SP111015	6.33E+00	3.30E+00	5.29E+00	1.29E+00	2.61E+00	7.70E+00	2.05E+00	0.00E+00	3.74E+00	1.02E+00	1.81E+00
SP110853	1.10E+01	5.45E+00	7.26E+00	2.85E+00	4.30E+00	1.18E+01	5.13E+00	8.26E-01	8.92E+00	1.80E+00	2.34E+00
SP111051	1.13E+01	7.19E+00	1.10E+01	6.23E-01	2.87E+00	1.53E+01	3.84E+00	6.86E-01	8.03E+00	1.59E+00	2.39E+00
