Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP123975	1.13E+01	4.68E+00	1.64E+00	1.28E+00	1.07E+00	1.71E+00	6.64E-01	9.95E+00	4.05E+00	2.05E+00	1.39E+00	3.82E-01	1.41E+00	2.19E+00	6.70E-01	2.32E+00	1.24E+00
SP124044	0.00E+00	4.01E-01	8.73E-01	5.72E-01	8.18E-01	5.64E-01	2.47E-01	3.06E-01	5.25E-01	7.66E-01	6.75E-01	0.00E+00	2.38E-01	4.82E-01	5.68E-01	6.02E-01	3.22E-01
SP123972	9.31E-01	2.56E+00	2.78E+00	2.24E+00	1.62E+00	1.85E+00	1.45E+00	1.12E+00	1.53E+00	2.46E+00	7.86E-01	2.30E-01	2.07E+00	3.92E-01	1.30E+00	1.03E+00	1.02E+00
SP123850	3.06E-01	9.09E-01	9.75E-01	7.04E-01	4.24E-01	1.12E+00	1.07E+00	2.83E-01	6.24E-01	7.47E-01	8.53E-01	2.68E-01	9.11E-01	5.61E-01	6.25E-01	9.57E-01	3.00E-02
SP123902	3.84E-01	8.47E-01	1.30E+00	1.28E+00	7.41E-01	1.47E+00	9.95E-01	4.71E-01	1.08E+00	1.14E+00	1.04E+00	0.00E+00	9.76E-01	6.90E-01	9.53E-01	9.15E-01	3.14E-01
SP123884	4.01E-01	2.15E+00	1.90E+00	1.55E+00	1.37E+00	1.85E+00	1.07E+00	3.76E-01	9.71E-01	1.49E+00	1.58E+00	2.40E-01	9.55E-01	7.72E-01	1.43E+00	1.28E+00	3.84E-01
SP123964	3.08E-01	1.75E+00	1.15E+00	7.40E-01	1.14E+00	1.27E+00	7.11E-01	3.15E-01	6.11E-01	1.28E+00	1.00E+00	0.00E+00	6.86E-01	6.55E-01	1.10E+00	1.01E+00	2.09E-01
SP123995	2.45E-01	1.04E+00	1.09E+00	1.66E+00	6.84E-01	1.42E+00	6.18E-01	2.52E-01	9.71E-01	8.53E-01	1.02E+00	0.00E+00	9.68E-01	8.08E-01	9.82E-01	1.18E+00	1.97E-01
SP123846	2.64E-01	9.17E-01	8.45E-01	6.49E-01	4.75E-01	9.55E-01	9.59E-01	3.42E-01	6.96E-01	9.01E-01	7.54E-01	2.19E-01	6.13E-01	1.21E+00	1.18E+00	1.37E+00	4.70E-01
SP124003	3.13E-01	5.26E-01	5.71E-01	5.82E-01	3.76E-01	8.29E-01	8.00E-01	3.67E-01	4.06E-01	4.19E-01	3.91E-01	2.76E-01	5.93E-01	3.95E-01	6.34E-01	7.78E-01	0.00E+00
SP123876	3.28E-01	1.30E+00	1.15E+00	1.23E+00	7.71E-01	1.01E+00	1.21E+00	3.86E-01	6.93E-01	1.26E+00	7.19E-01	0.00E+00	5.32E-01	1.69E-01	7.89E-01	8.04E-01	4.19E-02
SP123878	2.88E-01	1.01E+00	1.05E+00	9.08E-01	4.54E-01	9.78E-01	5.72E-01	3.58E-01	4.95E-01	8.71E-01	5.12E-01	3.00E-01	4.84E-01	4.13E-01	6.74E-01	4.57E-01	4.30E-01
SP123842	1.80E-01	1.42E+00	1.53E+00	1.22E+00	7.52E-01	1.36E+00	1.67E-01	1.70E-01	5.80E-01	8.72E-01	6.97E-01	0.00E+00	7.69E-01	3.80E-01	1.12E+00	7.89E-01	2.00E-02
SP123900	2.49E-01	1.27E+00	1.83E+00	1.77E+00	1.38E+00	1.26E+00	1.07E+00	2.16E-01	6.40E-01	9.99E-01	1.17E+00	2.65E-01	4.67E-01	5.37E-01	9.79E-01	6.30E-01	2.63E-01
SP123978	2.21E-01	6.89E-01	6.55E-01	6.41E-01	4.68E-01	5.10E-01	3.59E-01	1.83E-01	6.42E-01	6.05E-01	4.31E-01	0.00E+00	5.97E-01	4.28E-01	8.86E-01	3.07E-01	3.76E-01
SP123897	2.65E-01	5.18E-01	9.80E-01	8.54E-01	2.77E-01	7.44E-01	7.42E-01	4.11E-01	3.37E-01	6.50E-01	6.70E-01	0.00E+00	4.25E-01	6.59E-01	7.55E-01	6.46E-01	0.00E+00
